File name: cliente_n12inaki1_2024-09-17T12:19:10_2024-09-17T13:50:10

User: cliente

Sensor: n12inaki1[D8:52:F2:7E:F7:B9]

Dive: Protocolos Medguardians
Dive date range: 2024-09-17 12:19:10 - 2024-09-17 13:50:10 (UTC +02:00)

"Location: 39º25'19.58""N,3º15'46.56""E"

Summary: 
Duration: 1:31:00 h.
Temp: 21.92 c (min.) 26.0 c (max.) 
Depth: -2.75 m (max.)

date,temperature(c),depth(m)
2024-09-17 12:19:10,25.43,-1.76
2024-09-17 12:20:10,25.43,-0.52
2024-09-17 12:21:10,25.37,-0.65
2024-09-17 12:22:10,25.43,-0.32
2024-09-17 12:23:10,25.35,-0.6
2024-09-17 12:24:10,25.33,-0.65
2024-09-17 12:25:10,25.38,-0.62
2024-09-17 12:26:10,25.35,-0.75
2024-09-17 12:27:10,25.32,-0.8
2024-09-17 12:28:10,25.41,-0.87
2024-09-17 12:29:10,25.35,-0.82
2024-09-17 12:30:10,25.39,-0.72
2024-09-17 12:31:10,25.38,-0.72
2024-09-17 12:32:10,25.4,-0.67
2024-09-17 12:33:10,25.37,-0.67
2024-09-17 12:34:10,25.45,-0.45
2024-09-17 12:35:10,25.42,-0.72
2024-09-17 12:36:10,25.57,-0.7
2024-09-17 12:37:10,25.55,-0.67
2024-09-17 12:38:10,25.61,-0.6
2024-09-17 12:39:10,25.66,-0.65
2024-09-17 12:40:10,25.66,-0.55
2024-09-17 12:41:10,25.68,-0.57
2024-09-17 12:42:10,25.65,-0.65
2024-09-17 12:43:10,25.64,-0.5
2024-09-17 12:44:10,25.63,-0.57
2024-09-17 12:45:10,25.64,-0.52
2024-09-17 12:46:10,25.64,-0.42
2024-09-17 12:47:10,25.64,-2.75
2024-09-17 12:48:10,25.69,-0.42
2024-09-17 12:49:10,25.59,-0.35
2024-09-17 12:50:10,25.5,-1.5
2024-09-17 12:51:10,25.56,-0.52
2024-09-17 12:52:10,25.59,-0.45
2024-09-17 12:53:10,25.59,-0.7
2024-09-17 12:54:10,25.42,-0.52
2024-09-17 12:55:10,25.45,-0.62
2024-09-17 12:56:10,25.49,-0.6
2024-09-17 12:57:10,25.49,-0.55
2024-09-17 12:58:10,25.5,-0.5
2024-09-17 12:59:10,23.12,-0.25
2024-09-17 13:00:10,21.92,-0.24
2024-09-17 13:01:10,22.0,-0.2
2024-09-17 13:02:10,22.28,-0.21
2024-09-17 13:03:10,22.51,-0.22
2024-09-17 13:04:10,22.43,-0.22
2024-09-17 13:05:10,22.54,-0.2
2024-09-17 13:06:10,22.28,-0.22
2024-09-17 13:07:10,22.21,-0.21
2024-09-17 13:08:10,22.17,-0.21
2024-09-17 13:09:10,22.09,-0.23
2024-09-17 13:10:10,22.14,-0.21
2024-09-17 13:11:10,22.17,-0.21
2024-09-17 13:12:10,22.11,-0.22
2024-09-17 13:13:10,22.12,-0.22
2024-09-17 13:14:10,22.21,-0.22
2024-09-17 13:15:10,22.39,-0.17
2024-09-17 13:16:10,22.4,-0.18
2024-09-17 13:17:10,22.57,-0.18
2024-09-17 13:18:10,22.71,-0.21
2024-09-17 13:19:10,22.67,-0.18
2024-09-17 13:20:10,22.6,-0.18
2024-09-17 13:21:10,22.77,-0.21
2024-09-17 13:22:10,22.96,-0.21
2024-09-17 13:23:10,23.06,-0.2
2024-09-17 13:24:10,23.17,-0.22
2024-09-17 13:25:10,23.37,-0.17
2024-09-17 13:26:10,23.46,-0.15
2024-09-17 13:27:10,23.6,-0.15
2024-09-17 13:28:10,23.92,-0.12
2024-09-17 13:29:10,24.08,-0.12
2024-09-17 13:30:10,24.28,-0.09
2024-09-17 13:31:10,24.45,-0.07
2024-09-17 13:32:10,24.52,-0.06
2024-09-17 13:33:10,24.67,-0.08
2024-09-17 13:34:10,24.69,-0.11
2024-09-17 13:35:10,24.72,-0.13
2024-09-17 13:36:10,24.8,-0.13
2024-09-17 13:37:10,25.0,-0.1
2024-09-17 13:38:10,25.09,-0.15
2024-09-17 13:39:10,25.2,-0.12
2024-09-17 13:40:10,25.35,-0.15
2024-09-17 13:41:10,25.4,-0.12
2024-09-17 13:42:10,25.25,-0.14
2024-09-17 13:43:10,25.35,-0.14
2024-09-17 13:44:10,25.57,-0.14
2024-09-17 13:45:10,25.71,-0.14
2024-09-17 13:46:10,25.82,-0.12
2024-09-17 13:47:10,25.88,-0.21
2024-09-17 13:48:10,25.93,-0.13
2024-09-17 13:49:10,25.96,-0.13
2024-09-17 13:50:10,26.0,-0.13
