File name: cliente_n13inaki1_2024-09-17T12:18:12_2024-09-17T13:55:30

User: cliente

Sensor: n13inaki1[D9:21:E8:54:C7:BA]

Dive: Protocolos Medguardians
Dive date range: 2024-09-17 12:18:12 - 2024-09-17 13:55:30 (UTC +02:00)

"Location: 39º25'9.47""N,3º15'56.18""E"

Summary: 
Duration: 1:37:18 h.
Temp: 21.84 c (min.) 26.4 c (max.) 
Depth: -3.16 m (max.)

date,temperature(c),depth(m)
2024-09-17 12:18:12,25.45,-1.83
2024-09-17 12:18:13,25.44,-1.74
2024-09-17 12:18:14,25.46,-1.57
2024-09-17 12:18:15,25.43,-1.33
2024-09-17 12:18:16,25.44,-1.07
2024-09-17 12:18:17,25.44,-0.8
2024-09-17 12:18:18,25.44,-0.61
2024-09-17 12:18:19,25.46,-0.61
2024-09-17 12:18:20,25.43,-0.71
2024-09-17 12:18:21,25.44,-0.76
2024-09-17 12:18:22,25.44,-0.71
2024-09-17 12:18:23,25.45,-0.58
2024-09-17 12:18:24,25.45,-0.49
2024-09-17 12:18:25,25.47,-0.57
2024-09-17 12:18:26,25.45,-0.76
2024-09-17 12:18:27,25.46,-0.78
2024-09-17 12:18:28,25.44,-0.61
2024-09-17 12:18:29,25.44,-0.61
2024-09-17 12:18:30,25.46,-0.68
2024-09-17 12:18:31,25.47,-0.63
2024-09-17 12:18:32,25.48,-0.63
2024-09-17 12:18:33,25.46,-0.52
2024-09-17 12:18:34,25.46,-0.68
2024-09-17 12:18:35,25.5,-0.58
2024-09-17 12:18:36,25.47,-0.63
2024-09-17 12:18:37,25.47,-0.63
2024-09-17 12:18:38,25.47,-0.71
2024-09-17 12:18:39,25.45,-0.82
2024-09-17 12:18:40,25.44,-0.77
2024-09-17 12:18:41,25.44,-0.82
2024-09-17 12:18:42,25.43,-0.85
2024-09-17 12:18:43,25.43,-0.87
2024-09-17 12:18:44,25.43,-0.85
2024-09-17 12:18:45,25.42,-0.82
2024-09-17 12:18:46,25.45,-0.82
2024-09-17 12:18:47,25.44,-1.36
2024-09-17 12:18:48,25.44,-1.81
2024-09-17 12:18:49,25.44,-1.93
2024-09-17 12:18:50,25.46,-2.07
2024-09-17 12:18:51,25.45,-2.05
2024-09-17 12:18:52,25.47,-2.02
2024-09-17 12:18:53,25.43,-1.98
2024-09-17 12:18:54,25.43,-1.77
2024-09-17 12:18:55,25.46,-1.59
2024-09-17 12:18:56,25.45,-1.17
2024-09-17 12:18:57,25.43,-0.82
2024-09-17 12:18:58,25.43,-0.71
2024-09-17 12:18:59,25.43,-0.8
2024-09-17 12:19:00,25.44,-0.73
2024-09-17 12:19:01,25.45,-0.71
2024-09-17 12:19:02,25.43,-0.63
2024-09-17 12:19:03,25.42,-0.68
2024-09-17 12:19:04,25.43,-0.77
2024-09-17 12:19:05,25.43,-0.8
2024-09-17 12:19:06,25.44,-0.77
2024-09-17 12:19:07,25.45,-0.77
2024-09-17 12:19:08,25.43,-0.73
2024-09-17 12:19:09,25.43,-0.76
