File name: cliente_n14inaki1_2024-06-17T14:29:07_2024-06-17T14:29:17

User: cliente

Sensor: n14inaki1[F2:AA:52:4F:51:03]

Dive: p1
Dive date range: 2024-06-17 14:29:07 - 2024-06-17 14:29:17 (UTC +02:00)

"Location: 39º41'50.68""N,2º41'57.46""E"

Summary: 
Duration: 0:00:10 h.
Temp: 25.58 c (min.) 25.62 c (max.) 
Depth: -0.14 m (max.)

date,temperature(c),depth(m)
2024-06-17 14:29:07,25.6,-0.11
2024-06-17 14:29:08,25.59,-0.14
2024-06-17 14:29:09,25.6,-0.11
2024-06-17 14:29:10,25.58,-0.11
2024-06-17 14:29:11,25.59,-0.14
2024-06-17 14:29:12,25.62,-0.14
2024-06-17 14:29:13,25.58,-0.14
2024-06-17 14:29:14,25.6,-0.08
2024-06-17 14:29:15,25.6,-0.08
2024-06-17 14:29:16,25.58,-0.11
