File name: csic_SeaScale_2024-07-01T11:12:46_2024-07-01T12:13:02

User: csic

Sensor: SeaScale[F8:5D:A0:29:A1:56]

Dive: Prueba Martí _ 22
Dive date range: 2024-07-01 11:12:46 - 2024-07-01 12:13:02 (UTC +02:00)

"Location: 42º7'47.63""N,3º0'33.58""E"

Summary: 
Duration: 1:00:16 h.
Temp: 23.36 c (min.) 246.14 c (max.) 
Depth: -25.9 m (max.)

date,temperature(c),depth(m)
2024-07-01 11:12:46,25.73,-0.34
2024-07-01 11:12:47,25.73,-0.31
2024-07-01 11:12:48,25.71,-0.31
2024-07-01 11:12:49,25.72,-0.34
2024-07-01 11:12:50,25.73,-0.34
2024-07-01 11:12:51,25.72,-0.31
2024-07-01 11:12:52,25.74,-0.34
2024-07-01 11:12:53,25.72,-0.34
2024-07-01 11:12:54,25.73,-0.28
2024-07-01 11:12:55,25.74,-0.34
2024-07-01 11:12:56,25.73,-0.31
2024-07-01 11:13:17,25.75,-0.37
2024-07-01 11:13:32,25.94,-0.4
2024-07-01 11:13:47,24.99,-0.37
2024-07-01 11:14:02,24.86,-0.34
2024-07-01 11:14:17,24.82,-0.4
2024-07-01 11:14:32,24.77,-0.4
2024-07-01 11:14:47,24.76,-0.4
2024-07-01 11:15:02,24.75,-0.4
2024-07-01 11:15:17,24.72,-0.37
2024-07-01 11:15:32,24.76,-0.37
2024-07-01 11:15:47,24.77,-0.37
2024-07-01 11:16:02,24.76,-0.37
2024-07-01 11:16:17,24.76,-0.4
2024-07-01 11:16:32,24.78,-0.37
2024-07-01 11:16:47,24.78,-0.37
2024-07-01 11:17:02,24.82,-0.4
2024-07-01 11:17:17,24.82,-0.4
2024-07-01 11:17:32,24.83,-0.37
2024-07-01 11:17:47,24.84,-0.37
2024-07-01 11:18:02,24.85,-0.37
2024-07-01 11:18:17,24.85,-0.37
2024-07-01 11:18:32,24.85,-0.4
2024-07-01 11:18:47,24.86,-0.34
2024-07-01 11:19:02,24.89,-0.37
2024-07-01 11:19:17,24.91,-0.4
2024-07-01 11:19:32,24.9,-0.43
2024-07-01 11:19:47,24.91,-0.37
2024-07-01 11:20:02,24.94,-0.37
2024-07-01 11:20:17,24.92,-0.37
2024-07-01 11:20:32,24.94,-0.4
2024-07-01 11:20:47,24.94,-0.37
2024-07-01 11:21:02,24.96,-0.4
2024-07-01 11:21:17,24.96,-0.4
2024-07-01 11:21:32,24.96,-0.37
2024-07-01 11:21:47,24.96,-0.37
2024-07-01 11:22:02,24.99,-0.4
2024-07-01 11:22:17,25.01,-0.43
2024-07-01 11:22:32,25.0,-0.37
2024-07-01 11:22:47,25.01,-0.43
2024-07-01 11:23:02,25.03,-0.37
2024-07-01 11:23:17,25.03,-0.37
2024-07-01 11:23:32,25.03,-0.37
2024-07-01 11:23:47,25.03,-0.37
2024-07-01 11:24:02,25.07,-0.37
2024-07-01 11:24:17,25.07,-0.4
2024-07-01 11:24:32,25.1,-0.37
2024-07-01 11:24:47,25.11,-0.37
2024-07-01 11:25:02,25.14,-0.4
2024-07-01 11:25:17,25.14,-0.37
2024-07-01 11:25:32,25.17,-0.4
2024-07-01 11:25:47,25.18,-0.4
2024-07-01 11:26:02,25.19,-0.4
2024-07-01 11:26:17,25.22,-0.37
2024-07-01 11:26:32,25.25,-0.37
2024-07-01 11:26:47,25.28,-0.4
2024-07-01 11:27:02,25.26,-0.37
2024-07-01 11:27:17,25.28,-0.4
2024-07-01 11:27:32,25.3,-0.37
2024-07-01 11:27:47,25.31,-0.4
2024-07-01 11:28:02,25.34,-0.37
2024-07-01 11:28:17,25.35,-0.37
2024-07-01 11:28:32,25.39,-0.4
2024-07-01 11:28:47,25.37,-0.36
2024-07-01 11:29:02,25.4,-0.39
2024-07-01 11:29:17,25.42,-0.36
2024-07-01 11:29:32,25.42,-0.36
2024-07-01 11:29:47,25.43,-0.39
2024-07-01 11:30:02,25.44,-0.33
2024-07-01 11:30:17,25.47,-0.42
2024-07-01 11:30:32,25.48,-0.36
2024-07-01 11:30:47,25.47,-0.36
2024-07-01 11:31:02,25.5,-0.36
2024-07-01 11:31:17,25.46,-0.36
2024-07-01 11:31:32,25.46,-0.33
2024-07-01 11:31:47,25.46,-0.36
2024-07-01 11:32:02,25.43,-0.36
2024-07-01 11:32:17,25.43,-0.39
2024-07-01 11:32:32,25.42,-0.36
2024-07-01 11:32:47,25.44,-0.42
2024-07-01 11:33:02,25.44,-0.36
2024-07-01 11:33:17,25.42,-0.36
2024-07-01 11:33:32,25.42,-0.33
2024-07-01 11:33:47,25.42,-0.36
2024-07-01 11:34:02,25.42,-0.36
2024-07-01 11:34:17,25.42,-0.36
2024-07-01 11:34:32,25.41,-0.36
2024-07-01 11:34:47,25.41,-0.36
2024-07-01 11:35:02,25.4,-0.39
2024-07-01 11:35:17,25.4,-0.39
2024-07-01 11:35:32,25.38,-0.36
2024-07-01 11:35:47,25.38,-0.36
2024-07-01 11:36:02,25.37,-0.33
2024-07-01 11:36:17,25.35,-0.36
2024-07-01 11:36:32,25.36,-0.33
2024-07-01 11:36:47,25.35,-0.39
2024-07-01 11:37:02,25.35,-0.36
2024-07-01 11:37:17,25.36,-0.37
2024-07-01 11:37:32,25.35,-0.4
2024-07-01 11:37:47,25.36,-0.37
2024-07-01 11:38:02,25.37,-0.37
2024-07-01 11:38:17,25.37,-0.37
2024-07-01 11:38:32,25.37,-0.34
2024-07-01 11:38:47,25.36,-25.9
2024-07-01 11:39:02,246.14,-25.88
2024-07-01 11:39:17,246.11,-25.88
2024-07-01 11:39:32,246.11,-25.87
2024-07-01 11:39:47,23.36,-0.4
2024-07-01 11:40:02,25.31,-0.37
2024-07-01 11:40:17,25.31,-0.37
2024-07-01 11:40:32,25.3,-0.37
2024-07-01 11:40:47,25.29,-0.37
2024-07-01 11:41:02,25.3,-0.37
2024-07-01 11:41:17,25.28,-0.34
2024-07-01 11:41:32,25.28,-0.37
2024-07-01 11:41:47,25.26,-0.37
2024-07-01 11:42:02,25.28,-0.4
2024-07-01 11:42:17,25.23,-0.4
2024-07-01 11:42:32,25.25,-0.37
2024-07-01 11:42:47,25.21,-0.34
2024-07-01 11:43:02,25.25,-0.37
2024-07-01 11:43:17,25.25,-0.4
2024-07-01 11:43:32,25.25,-0.4
2024-07-01 11:43:47,25.23,-0.37
2024-07-01 11:44:02,25.23,-0.4
2024-07-01 11:44:17,25.18,-0.37
2024-07-01 11:44:32,25.19,-0.37
2024-07-01 11:44:47,25.19,-0.37
2024-07-01 11:45:02,25.19,-0.4
2024-07-01 11:45:17,25.17,-0.37
2024-07-01 11:45:32,25.14,-0.4
2024-07-01 11:45:47,25.14,-0.37
2024-07-01 11:46:02,25.15,-0.37
2024-07-01 11:46:17,25.14,-0.37
2024-07-01 11:46:32,25.14,-0.37
2024-07-01 11:46:47,25.14,-0.37
2024-07-01 11:47:02,25.14,-0.37
2024-07-01 11:47:17,25.11,-0.4
2024-07-01 11:47:32,25.1,-0.34
2024-07-01 11:47:47,25.1,-0.37
2024-07-01 11:48:02,25.08,-0.4
2024-07-01 11:48:17,25.07,-0.4
2024-07-01 11:48:32,25.1,-0.37
2024-07-01 11:48:47,25.07,-0.37
2024-07-01 11:49:02,25.05,-0.37
2024-07-01 11:49:17,25.06,-0.4
2024-07-01 11:49:32,25.07,-0.37
2024-07-01 11:49:47,25.07,-0.34
2024-07-01 11:50:02,25.1,-0.34
2024-07-01 11:50:17,25.07,-0.37
2024-07-01 11:50:32,25.1,-0.37
2024-07-01 11:50:47,25.11,-0.4
2024-07-01 11:51:02,25.07,-0.37
2024-07-01 11:51:17,25.07,-0.4
2024-07-01 11:51:32,25.05,-0.37
2024-07-01 11:51:47,25.05,-0.37
2024-07-01 11:52:02,25.06,-0.37
2024-07-01 11:52:17,25.06,-0.37
2024-07-01 11:52:32,25.03,-0.34
2024-07-01 11:52:47,25.04,-0.37
2024-07-01 11:53:02,25.06,-0.37
2024-07-01 11:53:17,25.04,-0.4
2024-07-01 11:53:32,25.04,-0.34
2024-07-01 11:53:47,25.03,-0.37
2024-07-01 11:54:02,25.03,-0.4
2024-07-01 11:54:17,25.03,-0.37
2024-07-01 11:54:32,25.02,-0.37
2024-07-01 11:54:47,25.0,-0.37
2024-07-01 11:55:02,24.98,-0.37
2024-07-01 11:55:17,24.99,-0.37
2024-07-01 11:55:32,24.99,-0.37
2024-07-01 11:55:47,24.99,-0.37
2024-07-01 11:56:02,24.98,-0.34
2024-07-01 11:56:17,24.98,-0.37
2024-07-01 11:56:32,24.96,-0.37
2024-07-01 11:56:47,24.99,-0.37
2024-07-01 11:57:02,25.0,-0.4
2024-07-01 11:57:17,24.98,-0.37
2024-07-01 11:57:32,24.99,-0.37
2024-07-01 11:57:47,24.96,-0.37
2024-07-01 11:58:02,24.96,-0.4
2024-07-01 11:58:17,24.96,-0.4
2024-07-01 11:58:32,24.96,-0.37
2024-07-01 11:58:47,24.95,-0.34
2024-07-01 11:59:02,24.96,-0.37
2024-07-01 11:59:17,25.0,-0.4
2024-07-01 11:59:32,24.98,-0.4
2024-07-01 11:59:47,24.99,-0.43
2024-07-01 12:00:02,24.99,-0.37
2024-07-01 12:00:17,24.96,-0.37
2024-07-01 12:00:32,24.98,-0.37
2024-07-01 12:00:47,24.96,-0.37
2024-07-01 12:01:02,25.0,-0.37
2024-07-01 12:01:17,25.0,-0.34
2024-07-01 12:01:32,24.98,-0.4
2024-07-01 12:01:47,24.98,-0.37
2024-07-01 12:02:02,25.0,-0.37
2024-07-01 12:02:17,25.01,-0.37
2024-07-01 12:02:32,25.0,-0.4
2024-07-01 12:02:47,25.02,-0.4
2024-07-01 12:03:02,25.01,-0.4
2024-07-01 12:03:17,25.0,-0.37
2024-07-01 12:03:32,25.0,-0.37
2024-07-01 12:03:47,25.0,-0.4
2024-07-01 12:04:02,25.0,-0.37
2024-07-01 12:04:17,25.01,-0.4
2024-07-01 12:04:32,25.02,-0.4
2024-07-01 12:04:47,25.02,-0.4
2024-07-01 12:05:02,25.03,-0.37
2024-07-01 12:05:17,25.03,-0.37
2024-07-01 12:05:32,25.03,-0.37
2024-07-01 12:05:47,25.03,-0.4
2024-07-01 12:06:02,25.03,-0.34
2024-07-01 12:06:17,25.03,-0.37
2024-07-01 12:06:32,25.04,-0.37
2024-07-01 12:06:47,25.03,-0.4
2024-07-01 12:07:02,25.04,-0.37
2024-07-01 12:07:17,25.06,-0.37
2024-07-01 12:07:32,25.04,-0.4
2024-07-01 12:07:47,25.05,-0.37
2024-07-01 12:08:02,25.03,-0.4
2024-07-01 12:08:17,25.04,-0.37
2024-07-01 12:08:32,25.07,-0.43
2024-07-01 12:08:47,25.07,-0.4
2024-07-01 12:09:02,25.07,-0.4
2024-07-01 12:09:17,25.05,-0.4
2024-07-01 12:09:32,25.05,-0.37
2024-07-01 12:09:47,25.06,-0.37
2024-07-01 12:10:02,25.06,-0.37
2024-07-01 12:10:17,25.05,-0.37
2024-07-01 12:10:32,25.07,-0.4
2024-07-01 12:10:47,25.07,-0.37
2024-07-01 12:11:02,25.07,-0.4
2024-07-01 12:11:17,25.06,-0.4
2024-07-01 12:11:32,25.11,-0.4
2024-07-01 12:11:47,25.1,-0.37
2024-07-01 12:12:02,25.1,-0.4
2024-07-01 12:12:17,25.13,-0.37
2024-07-01 12:12:32,25.11,-0.37
2024-07-01 12:12:47,25.12,-0.37
