File name: csic_n52csic_2024-07-01T21:29:19_2024-07-01T23:46:29

User: csic

Sensor: n52csic[FD:44:65:43:93:19]

Dive: n52 Prova - Tamariu
Dive date range: 2024-07-01 21:29:19 - 2024-07-01 23:46:29 (UTC +02:00)

"Location: 41º55'2.4""N,3º12'32.57""E"

Summary: 
Duration: 2:17:10 h.
Temp: 21.46 c (min.) 23.66 c (max.) 
Depth: -17.03 m (max.)

date,temperature(c),depth(m)
2024-07-01 21:29:19,23.65,-1.1
2024-07-01 21:29:20,23.66,-1.01
2024-07-01 21:29:21,23.64,-1.04
2024-07-01 21:29:22,23.64,-0.98
2024-07-01 21:29:23,23.63,-1.01
2024-07-01 21:29:24,23.62,-1.07
2024-07-01 21:29:25,23.6,-1.07
2024-07-01 21:29:26,23.6,-1.04
2024-07-01 21:29:27,23.61,-1.01
2024-07-01 21:29:28,23.6,-1.04
2024-07-01 21:29:29,23.58,-1.01
2024-07-01 21:29:30,23.6,-0.98
2024-07-01 21:29:31,23.6,-1.16
2024-07-01 21:29:32,23.58,-1.07
2024-07-01 21:29:33,23.56,-1.01
2024-07-01 21:29:34,23.57,-1.01
2024-07-01 21:29:35,23.6,-0.98
2024-07-01 21:29:36,23.58,-1.13
2024-07-01 21:29:37,23.56,-1.01
2024-07-01 21:29:38,23.57,-1.1
2024-07-01 21:29:39,23.57,-1.13
2024-07-01 21:29:40,23.6,-1.13
2024-07-01 21:29:41,23.58,-1.13
2024-07-01 21:29:42,23.57,-1.07
2024-07-01 21:29:43,23.58,-1.13
2024-07-01 21:29:44,23.57,-1.16
2024-07-01 21:29:45,23.57,-1.13
2024-07-01 21:29:46,23.57,-1.13
2024-07-01 21:29:47,23.56,-1.13
2024-07-01 21:29:48,23.56,-1.07
2024-07-01 21:29:49,23.55,-1.04
2024-07-01 21:29:50,23.54,-1.13
2024-07-01 21:29:51,23.54,-1.13
2024-07-01 21:29:52,23.52,-1.07
2024-07-01 21:29:53,23.52,-1.1
2024-07-01 21:29:54,23.55,-1.07
2024-07-01 21:29:55,23.54,-1.04
2024-07-01 21:29:56,23.54,-1.01
2024-07-01 21:29:57,23.55,-1.04
2024-07-01 21:29:58,23.53,-1.07
2024-07-01 21:29:59,23.53,-1.1
2024-07-01 21:30:00,23.53,-1.07
2024-07-01 21:30:01,23.52,-1.07
2024-07-01 21:30:02,23.5,-1.07
2024-07-01 21:30:03,23.51,-1.07
2024-07-01 21:30:04,23.51,-1.04
2024-07-01 21:30:05,23.52,-1.1
2024-07-01 21:30:06,23.5,-1.13
2024-07-01 21:30:07,23.5,-1.13
2024-07-01 21:30:08,23.49,-1.13
2024-07-01 21:30:09,23.5,-1.04
2024-07-01 21:30:10,23.46,-1.07
2024-07-01 21:30:11,23.49,-1.1
2024-07-01 21:30:12,23.48,-1.07
2024-07-01 21:30:13,23.46,-1.16
2024-07-01 21:30:14,23.48,-1.13
2024-07-01 21:30:15,23.48,-1.13
2024-07-01 21:30:16,23.5,-1.13
2024-07-01 21:30:17,23.48,-1.13
2024-07-01 21:30:18,23.46,-1.1
2024-07-01 21:30:19,23.48,-1.1
2024-07-01 21:30:20,23.48,-1.07
2024-07-01 21:30:21,23.45,-1.12
2024-07-01 21:30:22,23.45,-1.12
2024-07-01 21:30:23,23.45,-1.15
2024-07-01 21:30:24,23.46,-1.15
2024-07-01 21:30:25,23.46,-1.12
2024-07-01 21:30:26,23.45,-1.15
2024-07-01 21:30:27,23.44,-1.12
2024-07-01 21:30:28,23.44,-1.15
2024-07-01 21:30:29,23.43,-1.18
2024-07-01 21:30:30,23.43,-1.12
2024-07-01 21:30:31,23.45,-1.15
2024-07-01 21:30:32,23.43,-1.15
2024-07-01 21:30:33,23.42,-1.15
2024-07-01 21:30:34,23.42,-1.21
2024-07-01 21:30:35,23.44,-1.15
2024-07-01 21:30:36,23.42,-1.18
2024-07-01 21:30:37,23.41,-1.15
2024-07-01 21:30:38,23.45,-1.15
2024-07-01 21:30:39,23.42,-1.18
2024-07-01 21:30:40,23.42,-1.12
2024-07-01 21:30:41,23.42,-1.18
2024-07-01 21:30:42,23.42,-1.24
2024-07-01 21:30:43,23.42,-1.24
2024-07-01 21:30:44,23.43,-1.4
2024-07-01 21:30:45,23.42,-1.4
2024-07-01 21:30:46,23.41,-1.12
2024-07-01 21:30:47,23.42,-1.21
2024-07-01 21:30:48,23.43,-1.46
2024-07-01 21:30:49,23.42,-1.64
2024-07-01 21:30:50,23.43,-1.76
2024-07-01 21:30:51,23.42,-1.95
2024-07-01 21:30:52,23.42,-2.27
2024-07-01 21:30:53,23.43,-2.4
2024-07-01 21:30:54,23.45,-2.46
2024-07-01 21:30:55,23.43,-2.49
2024-07-01 21:30:56,23.45,-2.58
2024-07-01 21:30:57,23.43,-2.67
2024-07-01 21:30:58,23.44,-2.64
2024-07-01 21:30:59,23.41,-2.64
2024-07-01 21:31:00,23.43,-2.76
2024-07-01 21:31:01,23.42,-2.79
2024-07-01 21:31:02,23.43,-2.86
2024-07-01 21:31:03,23.42,-2.98
2024-07-01 21:31:04,23.41,-3.04
2024-07-01 21:31:05,23.4,-3.1
2024-07-01 21:31:06,23.42,-3.19
2024-07-01 21:31:07,23.41,-3.13
2024-07-01 21:31:08,23.39,-3.16
2024-07-01 21:31:09,23.4,-3.25
2024-07-01 21:31:10,23.39,-3.31
2024-07-01 21:31:11,23.39,-3.4
2024-07-01 21:31:12,23.39,-3.49
2024-07-01 21:31:13,23.39,-3.49
2024-07-01 21:31:14,23.39,-3.55
2024-07-01 21:31:15,23.39,-3.55
2024-07-01 21:31:16,23.38,-3.52
2024-07-01 21:31:17,23.37,-3.55
2024-07-01 21:31:18,23.35,-3.52
2024-07-01 21:31:19,23.32,-3.58
2024-07-01 21:31:20,23.32,-3.76
2024-07-01 21:31:21,23.31,-3.89
2024-07-01 21:31:22,23.32,-3.85
2024-07-01 21:31:23,23.3,-3.85
2024-07-01 21:31:24,23.29,-3.95
2024-07-01 21:31:25,23.29,-3.89
2024-07-01 21:31:26,23.29,-3.73
2024-07-01 21:31:27,23.31,-3.52
2024-07-01 21:31:28,23.28,-3.67
2024-07-01 21:31:29,23.29,-3.79
2024-07-01 21:31:30,23.28,-3.89
2024-07-01 21:31:31,23.27,-3.89
2024-07-01 21:31:32,23.27,-3.92
2024-07-01 21:31:33,23.3,-3.92
2024-07-01 21:31:34,23.28,-4.04
2024-07-01 21:31:35,23.29,-4.1
2024-07-01 21:31:36,23.29,-4.16
2024-07-01 21:31:37,23.31,-4.19
2024-07-01 21:31:38,23.28,-4.13
2024-07-01 21:31:39,23.28,-4.13
2024-07-01 21:31:40,23.28,-4.07
2024-07-01 21:31:41,23.26,-4.16
2024-07-01 21:31:42,23.26,-4.25
2024-07-01 21:31:43,23.25,-4.36
2024-07-01 21:31:44,23.25,-4.36
2024-07-01 21:31:45,23.23,-4.25
2024-07-01 21:31:46,23.23,-4.33
2024-07-01 21:31:47,23.24,-4.43
2024-07-01 21:31:48,23.24,-4.55
2024-07-01 21:31:49,23.24,-4.61
2024-07-01 21:31:50,23.25,-4.7
2024-07-01 21:31:51,23.24,-4.76
2024-07-01 21:31:52,23.21,-4.85
2024-07-01 21:31:53,23.21,-4.85
2024-07-01 21:31:54,23.21,-4.82
2024-07-01 21:31:55,23.23,-4.79
2024-07-01 21:31:56,23.23,-4.79
2024-07-01 21:31:57,23.19,-4.67
2024-07-01 21:31:58,23.19,-4.73
2024-07-01 21:31:59,23.18,-4.79
2024-07-01 21:32:00,23.16,-4.79
2024-07-01 21:32:01,23.17,-4.85
2024-07-01 21:32:02,23.17,-4.85
2024-07-01 21:32:03,23.15,-4.85
2024-07-01 21:32:04,23.17,-4.79
2024-07-01 21:32:05,23.14,-4.67
2024-07-01 21:32:06,23.15,-4.76
2024-07-01 21:32:07,23.14,-4.88
2024-07-01 21:32:08,23.14,-5.01
2024-07-01 21:32:09,23.14,-4.98
2024-07-01 21:32:10,23.14,-4.98
2024-07-01 21:32:11,23.13,-4.98
2024-07-01 21:32:12,23.1,-4.95
2024-07-01 21:32:13,23.09,-5.01
2024-07-01 21:32:14,23.11,-5.07
2024-07-01 21:32:15,23.1,-5.16
2024-07-01 21:32:16,23.1,-5.18
2024-07-01 21:32:17,23.07,-5.16
2024-07-01 21:32:18,23.05,-5.18
2024-07-01 21:32:19,23.06,-5.18
2024-07-01 21:32:20,23.04,-5.1
2024-07-01 21:32:21,23.06,-5.07
2024-07-01 21:32:22,23.03,-5.1
2024-07-01 21:32:23,23.01,-5.07
2024-07-01 21:32:24,23.0,-5.18
2024-07-01 21:32:25,23.0,-5.15
2024-07-01 21:32:26,22.96,-5.18
2024-07-01 21:32:27,22.96,-5.21
2024-07-01 21:32:28,22.96,-5.21
2024-07-01 21:32:29,22.95,-5.21
2024-07-01 21:32:30,22.96,-5.15
2024-07-01 21:32:31,22.92,-5.27
2024-07-01 21:32:32,22.92,-5.24
2024-07-01 21:32:33,22.91,-5.24
2024-07-01 21:32:34,22.92,-5.24
2024-07-01 21:32:35,22.9,-5.21
2024-07-01 21:32:36,22.89,-5.24
2024-07-01 21:32:37,22.89,-5.24
2024-07-01 21:32:38,22.87,-5.24
2024-07-01 21:32:39,22.89,-5.24
2024-07-01 21:32:40,22.89,-5.21
2024-07-01 21:32:41,22.88,-5.21
2024-07-01 21:32:42,22.87,-5.3
2024-07-01 21:32:43,22.84,-5.24
2024-07-01 21:32:44,22.83,-5.24
2024-07-01 21:32:45,22.84,-5.21
2024-07-01 21:32:46,22.83,-5.27
2024-07-01 21:32:47,22.85,-5.3
2024-07-01 21:32:48,22.82,-5.24
2024-07-01 21:32:49,22.83,-5.24
2024-07-01 21:32:50,22.83,-5.24
2024-07-01 21:32:51,22.84,-5.3
2024-07-01 21:32:52,22.82,-5.39
2024-07-01 21:32:53,22.84,-5.43
2024-07-01 21:32:54,22.82,-5.39
2024-07-01 21:32:55,22.82,-5.36
2024-07-01 21:32:56,22.82,-5.33
2024-07-01 21:32:57,22.81,-5.3
2024-07-01 21:32:58,22.82,-5.33
2024-07-01 21:32:59,22.79,-5.3
2024-07-01 21:33:00,22.79,-5.3
2024-07-01 21:33:01,22.78,-5.24
2024-07-01 21:33:02,22.78,-5.43
2024-07-01 21:33:03,22.8,-5.55
2024-07-01 21:33:04,22.79,-5.52
2024-07-01 21:33:05,22.78,-5.49
2024-07-01 21:33:06,22.78,-5.55
2024-07-01 21:33:07,22.78,-5.67
2024-07-01 21:33:08,22.76,-5.7
2024-07-01 21:33:09,22.77,-5.67
2024-07-01 21:33:10,22.78,-5.7
2024-07-01 21:33:11,22.76,-5.67
2024-07-01 21:33:12,22.77,-5.52
2024-07-01 21:33:13,22.75,-5.43
2024-07-01 21:33:14,22.78,-5.39
2024-07-01 21:33:15,22.75,-5.3
2024-07-01 21:33:16,22.75,-5.33
2024-07-01 21:33:17,22.72,-5.3
2024-07-01 21:33:18,22.72,-5.43
2024-07-01 21:33:19,22.69,-5.52
2024-07-01 21:33:20,22.68,-5.58
2024-07-01 21:33:21,22.69,-5.58
2024-07-01 21:33:22,22.67,-5.58
2024-07-01 21:33:23,22.67,-5.52
2024-07-01 21:33:24,22.67,-5.52
2024-07-01 21:33:25,22.69,-5.55
2024-07-01 21:33:26,22.67,-5.55
2024-07-01 21:33:27,22.69,-5.49
2024-07-01 21:33:28,22.68,-5.46
2024-07-01 21:33:29,22.69,-5.27
2024-07-01 21:33:30,22.68,-5.43
2024-07-01 21:33:31,22.68,-5.49
2024-07-01 21:33:32,22.7,-5.54
2024-07-01 21:33:33,22.71,-5.43
2024-07-01 21:33:34,22.71,-5.63
2024-07-01 21:33:35,22.72,-5.72
2024-07-01 21:33:36,22.71,-5.78
2024-07-01 21:33:37,22.75,-5.72
2024-07-01 21:33:38,22.72,-5.72
2024-07-01 21:33:39,22.71,-5.72
2024-07-01 21:33:40,22.75,-5.75
2024-07-01 21:33:41,22.72,-5.72
2024-07-01 21:33:42,22.74,-5.69
2024-07-01 21:33:43,22.71,-5.75
2024-07-01 21:33:44,22.69,-5.78
2024-07-01 21:33:45,22.67,-5.78
2024-07-01 21:33:46,22.68,-5.69
2024-07-01 21:33:47,22.67,-5.75
2024-07-01 21:33:48,22.69,-5.78
2024-07-01 21:33:49,22.66,-5.87
2024-07-01 21:33:50,22.69,-5.9
2024-07-01 21:33:51,22.65,-5.75
2024-07-01 21:33:52,22.64,-5.78
2024-07-01 21:33:53,22.64,-5.87
2024-07-01 21:33:54,22.64,-5.78
2024-07-01 21:33:55,22.64,-5.9
2024-07-01 21:33:56,22.66,-5.93
2024-07-01 21:33:57,22.64,-5.93
2024-07-01 21:33:58,22.66,-5.93
2024-07-01 21:33:59,22.65,-5.78
2024-07-01 21:34:00,22.64,-5.87
2024-07-01 21:34:01,22.63,-5.9
2024-07-01 21:34:02,22.64,-5.87
2024-07-01 21:34:03,22.62,-5.97
2024-07-01 21:34:04,22.63,-5.93
2024-07-01 21:34:05,22.64,-6.0
2024-07-01 21:34:06,22.62,-6.12
2024-07-01 21:34:07,22.62,-6.09
2024-07-01 21:34:08,22.6,-6.15
2024-07-01 21:34:09,22.61,-6.24
2024-07-01 21:34:10,22.61,-6.26
2024-07-01 21:34:11,22.63,-6.26
2024-07-01 21:34:12,22.61,-6.23
2024-07-01 21:34:13,22.6,-6.23
2024-07-01 21:34:14,22.61,-6.26
2024-07-01 21:34:15,22.6,-6.29
2024-07-01 21:34:16,22.61,-6.32
2024-07-01 21:34:17,22.6,-6.29
2024-07-01 21:34:18,22.61,-6.38
2024-07-01 21:34:19,22.61,-6.38
2024-07-01 21:34:20,22.61,-6.26
2024-07-01 21:34:21,22.59,-6.32
2024-07-01 21:34:22,22.61,-6.32
2024-07-01 21:34:23,22.61,-6.35
2024-07-01 21:34:24,22.6,-6.32
2024-07-01 21:34:25,22.59,-6.23
2024-07-01 21:34:26,22.59,-6.32
2024-07-01 21:34:27,22.58,-6.41
2024-07-01 21:34:28,22.57,-6.32
2024-07-01 21:34:29,22.58,-6.35
2024-07-01 21:34:30,22.59,-6.38
2024-07-01 21:34:31,22.6,-6.38
2024-07-01 21:34:32,22.59,-6.38
2024-07-01 21:34:33,22.59,-6.48
2024-07-01 21:34:34,22.57,-6.51
2024-07-01 21:34:35,22.57,-6.54
2024-07-01 21:34:36,22.57,-6.38
2024-07-01 21:34:37,22.57,-6.51
2024-07-01 21:34:38,22.56,-6.48
2024-07-01 21:34:39,22.57,-6.6
2024-07-01 21:34:40,22.56,-6.6
2024-07-01 21:34:41,22.58,-6.63
2024-07-01 21:34:42,22.56,-6.6
2024-07-01 21:34:43,22.57,-6.63
2024-07-01 21:34:44,22.57,-6.72
2024-07-01 21:34:45,22.56,-6.69
2024-07-01 21:34:46,22.56,-6.66
2024-07-01 21:34:47,22.54,-6.66
2024-07-01 21:34:48,22.55,-6.6
2024-07-01 21:34:49,22.56,-6.6
2024-07-01 21:34:50,22.55,-6.66
2024-07-01 21:34:51,22.53,-6.72
2024-07-01 21:34:52,22.51,-6.69
2024-07-01 21:34:53,22.53,-6.69
2024-07-01 21:34:54,22.51,-6.78
2024-07-01 21:34:55,22.52,-6.81
2024-07-01 21:34:56,22.51,-6.81
2024-07-01 21:34:57,22.5,-6.83
2024-07-01 21:34:58,22.53,-6.86
2024-07-01 21:34:59,22.5,-6.83
2024-07-01 21:35:00,22.5,-6.81
2024-07-01 21:35:01,22.5,-6.8
2024-07-01 21:35:02,22.51,-6.83
2024-07-01 21:35:03,22.5,-6.8
2024-07-01 21:35:04,22.46,-6.83
2024-07-01 21:35:05,22.44,-6.8
2024-07-01 21:35:06,22.44,-6.77
2024-07-01 21:35:07,22.44,-6.86
2024-07-01 21:35:08,22.43,-6.86
2024-07-01 21:35:09,22.43,-6.75
2024-07-01 21:35:10,22.43,-6.8
2024-07-01 21:35:11,22.44,-6.89
2024-07-01 21:35:12,22.43,-6.83
2024-07-01 21:35:13,22.45,-6.89
2024-07-01 21:35:14,22.44,-6.86
2024-07-01 21:35:15,22.45,-6.89
2024-07-01 21:35:16,22.43,-6.92
2024-07-01 21:35:17,22.43,-6.92
2024-07-01 21:35:18,22.44,-6.92
2024-07-01 21:35:19,22.43,-6.89
