File name: csic_quim_n42csic_2024-09-10T13:34:20_2024-09-10T15:26:34

User: csic_quim

Sensor: n42csic[D6:55:61:A5:34:78]

Dive: MEDES-Tunel de la Vaca
Dive date range: 2024-09-10 13:34:20 - 2024-09-10 15:26:34 (UTC +02:00)

"Location: 42º2'53.56""N,3º13'34.02""E"

Summary: 
Duration: 1:52:14 h.
Temp: 21.71 c (min.) 34.08 c (max.) 
Depth: -20.13 m (max.)

date,temperature(c),depth(m)
2024-09-10 13:34:20,22.29,-1.83
2024-09-10 13:34:21,22.3,-2.06
2024-09-10 13:34:22,22.28,-2.41
2024-09-10 13:34:23,22.26,-2.73
2024-09-10 13:34:24,22.28,-3.11
2024-09-10 13:34:25,22.28,-3.46
2024-09-10 13:34:26,22.28,-3.75
2024-09-10 13:34:27,22.27,-3.96
2024-09-10 13:34:28,22.27,-4.28
2024-09-10 13:34:29,22.25,-4.49
2024-09-10 13:34:30,22.25,-4.66
2024-09-10 13:34:31,22.25,-4.86
2024-09-10 13:34:32,22.24,-5.19
2024-09-10 13:34:33,22.24,-5.33
2024-09-10 13:34:34,22.25,-5.48
2024-09-10 13:34:35,22.25,-5.71
2024-09-10 13:34:36,22.25,-5.83
2024-09-10 13:34:37,22.25,-5.98
2024-09-10 13:34:38,22.25,-6.1
2024-09-10 13:34:39,22.25,-6.21
2024-09-10 13:34:40,22.26,-6.38
2024-09-10 13:34:41,22.26,-6.6
2024-09-10 13:34:42,22.27,-6.71
2024-09-10 13:34:43,22.26,-6.82
2024-09-10 13:34:44,22.26,-6.88
2024-09-10 13:34:45,22.24,-6.85
2024-09-10 13:34:46,22.24,-6.88
2024-09-10 13:34:47,22.26,-6.98
2024-09-10 13:34:48,22.24,-7.18
2024-09-10 13:34:49,22.25,-7.27
2024-09-10 13:34:50,22.26,-7.35
2024-09-10 13:34:51,22.25,-7.41
2024-09-10 13:34:52,22.24,-7.5
2024-09-10 13:34:53,22.24,-7.5
2024-09-10 13:34:54,22.25,-7.56
2024-09-10 13:34:55,22.25,-7.68
2024-09-10 13:34:56,22.24,-7.71
2024-09-10 13:34:57,22.23,-7.68
2024-09-10 13:34:58,22.22,-7.76
2024-09-10 13:34:59,22.22,-7.88
2024-09-10 13:35:00,22.22,-7.94
2024-09-10 13:35:01,22.21,-8.15
2024-09-10 13:35:02,22.17,-8.23
2024-09-10 13:35:03,22.17,-8.26
2024-09-10 13:35:04,22.19,-8.32
2024-09-10 13:35:05,22.17,-8.35
2024-09-10 13:35:06,22.16,-8.46
2024-09-10 13:35:07,22.16,-8.62
2024-09-10 13:35:08,22.17,-8.7
2024-09-10 13:35:09,22.15,-8.85
2024-09-10 13:35:10,22.16,-8.9
2024-09-10 13:35:11,22.15,-9.06
2024-09-10 13:35:12,22.15,-9.17
2024-09-10 13:35:13,22.11,-9.29
2024-09-10 13:35:14,22.12,-9.37
2024-09-10 13:35:15,22.13,-9.46
2024-09-10 13:35:16,22.13,-9.49
2024-09-10 13:35:17,22.13,-9.52
2024-09-10 13:35:18,22.14,-9.67
2024-09-10 13:35:19,22.12,-9.75
2024-09-10 13:35:20,22.12,-9.84
2024-09-10 13:35:21,22.14,-9.78
2024-09-10 13:35:22,22.12,-9.78
2024-09-10 13:35:23,22.12,-9.87
2024-09-10 13:35:24,22.13,-9.87
2024-09-10 13:35:25,22.12,-9.93
2024-09-10 13:35:26,22.13,-9.93
2024-09-10 13:35:27,22.14,-10.08
2024-09-10 13:35:28,22.14,-10.11
2024-09-10 13:35:29,22.14,-10.17
2024-09-10 13:35:30,22.13,-10.22
2024-09-10 13:35:31,22.13,-10.2
2024-09-10 13:35:32,22.14,-10.25
2024-09-10 13:35:33,22.15,-10.28
2024-09-10 13:35:34,22.12,-10.37
2024-09-10 13:35:35,22.12,-10.4
2024-09-10 13:35:36,22.11,-10.34
2024-09-10 13:35:37,22.13,-10.45
2024-09-10 13:35:38,22.14,-10.61
2024-09-10 13:35:39,22.13,-10.72
2024-09-10 13:35:40,22.13,-10.75
2024-09-10 13:35:41,22.14,-10.81
2024-09-10 13:35:42,22.13,-10.87
2024-09-10 13:35:43,22.14,-10.92
2024-09-10 13:35:44,22.13,-11.01
2024-09-10 13:35:45,22.14,-11.07
2024-09-10 13:35:46,22.12,-11.22
2024-09-10 13:35:47,22.12,-11.33
2024-09-10 13:35:48,22.11,-11.33
2024-09-10 13:35:49,22.13,-11.48
2024-09-10 13:35:50,22.13,-11.51
2024-09-10 13:35:51,22.12,-11.69
2024-09-10 13:35:52,22.13,-11.8
2024-09-10 13:35:53,22.12,-11.8
2024-09-10 13:35:54,22.13,-11.8
2024-09-10 13:35:55,22.13,-11.75
2024-09-10 13:35:56,22.13,-11.77
2024-09-10 13:35:57,22.14,-11.95
2024-09-10 13:35:58,22.12,-12.19
2024-09-10 13:35:59,22.12,-12.33
