File name: csic_quim_n42csic_2024-10-08T11:56:37_2024-10-08T12:55:41

User: csic_quim

Sensor: n42csic[D6:55:61:A5:34:78]

Dive: Medes - Ferranelles-Tasco petit
Dive date range: 2024-10-08 11:56:37 - 2024-10-08 12:55:41 (UTC +02:00)

"Location: 42º2'30.24""N,3º13'35.67""E"

Summary: 
Duration: 0:59:04 h.
Temp: 19.27 c (min.) 19.75 c (max.) 
Depth: -17.73 m (max.)

date,temperature(c),depth(m)
2024-10-08 11:56:37,19.75,-2.66
2024-10-08 11:56:38,19.75,-2.68
2024-10-08 11:56:39,19.71,-2.8
2024-10-08 11:56:40,19.73,-2.98
2024-10-08 11:56:41,19.72,-3.18
2024-10-08 11:56:42,19.72,-3.45
2024-10-08 11:56:43,19.72,-3.65
2024-10-08 11:56:44,19.72,-3.92
2024-10-08 11:56:45,19.73,-4.06
2024-10-08 11:56:46,19.71,-4.23
2024-10-08 11:56:47,19.72,-4.37
2024-10-08 11:56:48,19.72,-4.56
2024-10-08 11:56:49,19.73,-4.58
2024-10-08 11:56:50,19.73,-4.73
2024-10-08 11:56:51,19.72,-4.87
2024-10-08 11:56:52,19.71,-5.05
2024-10-08 11:56:53,19.71,-5.17
2024-10-08 11:56:54,19.71,-5.17
2024-10-08 11:56:55,19.7,-5.17
2024-10-08 11:56:56,19.69,-5.14
2024-10-08 11:56:57,19.66,-5.2
2024-10-08 11:56:58,19.7,-5.25
2024-10-08 11:56:59,19.71,-5.4
2024-10-08 11:57:00,19.7,-5.4
2024-10-08 11:57:01,19.69,-5.34
2024-10-08 11:57:02,19.69,-5.37
2024-10-08 11:57:03,19.69,-5.4
2024-10-08 11:57:04,19.69,-5.55
2024-10-08 11:57:05,19.71,-5.63
2024-10-08 11:57:06,19.7,-5.66
2024-10-08 11:57:07,19.7,-5.63
2024-10-08 11:57:08,19.7,-5.55
2024-10-08 11:57:09,19.7,-5.69
2024-10-08 11:57:10,19.69,-5.89
2024-10-08 11:57:11,19.67,-6.04
2024-10-08 11:57:12,19.7,-6.07
