File name: dv_menorca_n54laura_2024-10-05T10:11:06_2024-10-05T10:12:51

User: dv_menorca

Sensor: n54laura[DC:E9:E9:B8:06:28]

Dive: porros O
Dive date range: 2024-10-05 10:11:06 - 2024-10-05 10:12:51 (UTC +02:00)

"Location: 40.092395,4.072471"

Summary: 
Duration: 0:01:45 h.
Temp: 18.29 c (min.) 23.62 c (max.) 
Depth: -21.65 m (max.)

date,temperature(c),depth(m)
2024-10-05 10:11:06,22.71,-2.17
2024-10-05 10:11:07,22.69,-2.42
2024-10-05 10:11:08,22.7,-6.04
2024-10-05 10:11:09,22.61,-16.75
2024-10-05 10:11:10,22.61,-13.22
2024-10-05 10:11:11,22.65,-14.29
2024-10-05 10:11:12,22.58,-18.29
2024-10-05 10:11:13,22.47,-18.74
2024-10-05 10:11:14,22.54,-18.29
2024-10-05 10:11:15,22.5,-18.98
2024-10-05 10:11:16,22.4,-21.65
2024-10-05 10:11:17,22.53,-19.96
2024-10-05 10:11:18,22.49,-21.32
2024-10-05 10:11:19,22.47,-20.49
2024-10-05 10:11:20,22.65,-16.96
2024-10-05 10:11:21,22.64,-17.81
2024-10-05 10:11:22,22.64,-18.2
2024-10-05 10:11:23,22.64,-17.22
2024-10-05 10:11:24,22.61,-17.38
2024-10-05 10:11:25,22.57,-17.78
2024-10-05 10:11:26,22.57,-16.6
2024-10-05 10:11:27,22.6,-14.16
2024-10-05 10:11:28,22.56,-16.07
2024-10-05 10:11:29,22.61,-17.16
2024-10-05 10:11:30,22.51,-18.89
2024-10-05 10:11:31,22.64,-17.08
2024-10-05 10:11:32,22.6,-18.42
2024-10-05 10:11:33,22.58,-16.43
2024-10-05 10:11:34,22.6,-18.14
2024-10-05 10:11:35,22.48,-19.15
2024-10-05 10:11:36,22.54,-19.96
2024-10-05 10:11:37,22.58,-18.92
2024-10-05 10:11:38,22.6,-18.2
2024-10-05 10:11:39,22.66,-16.24
2024-10-05 10:11:40,22.65,-14.91
2024-10-05 10:11:41,22.62,-13.37
2024-10-05 10:11:42,22.64,-15.3
2024-10-05 10:11:43,22.64,-17.13
2024-10-05 10:11:44,22.64,-16.87
2024-10-05 10:11:45,22.67,-12.62
2024-10-05 10:11:46,22.66,-12.42
2024-10-05 10:11:47,22.64,-12.75
2024-10-05 10:11:48,22.67,-11.91
2024-10-05 10:11:49,22.68,-6.39
2024-10-05 10:11:50,22.67,-8.62
2024-10-05 10:11:51,22.67,-7.48
2024-10-05 10:11:52,22.72,-0.69
2024-10-05 10:11:53,22.74,-0.69
2024-10-05 10:11:54,21.27,-0.37
2024-10-05 10:11:55,22.21,-0.37
2024-10-05 10:11:56,21.4,-0.37
2024-10-05 10:11:57,21.0,-0.35
2024-10-05 10:11:58,20.73,-0.38
2024-10-05 10:11:59,20.57,-0.35
2024-10-05 10:12:00,20.56,-0.38
2024-10-05 10:12:01,20.71,-0.36
2024-10-05 10:12:02,20.56,-0.36
2024-10-05 10:12:03,20.79,-0.23
2024-10-05 10:12:04,20.55,-0.39
2024-10-05 10:12:05,20.79,-0.33
2024-10-05 10:12:06,20.96,-0.33
2024-10-05 10:12:07,20.03,-0.36
2024-10-05 10:12:08,19.39,-0.39
2024-10-05 10:12:09,19.06,-0.36
2024-10-05 10:12:10,18.86,-0.33
2024-10-05 10:12:11,18.85,-0.37
2024-10-05 10:12:12,18.6,-0.37
2024-10-05 10:12:13,18.5,-0.35
2024-10-05 10:12:14,18.35,-0.35
2024-10-05 10:12:15,18.46,-0.35
2024-10-05 10:12:16,18.41,-0.36
2024-10-05 10:12:17,18.44,-0.33
2024-10-05 10:12:18,18.37,-0.36
2024-10-05 10:12:19,18.35,-0.33
2024-10-05 10:12:20,18.29,-0.33
2024-10-05 10:12:21,18.44,-0.33
2024-10-05 10:12:22,18.42,-0.36
2024-10-05 10:12:23,18.36,-0.33
2024-10-05 10:12:24,18.42,-0.33
2024-10-05 10:12:25,18.39,-0.36
2024-10-05 10:12:26,18.35,-0.36
2024-10-05 10:12:27,18.47,-0.36
2024-10-05 10:12:28,18.54,-0.33
2024-10-05 10:12:29,18.75,-0.33
2024-10-05 10:12:30,18.85,-0.36
2024-10-05 10:12:31,19.95,-0.36
2024-10-05 10:12:32,20.63,-0.33
2024-10-05 10:12:33,22.57,-0.38
2024-10-05 10:12:34,23.04,-0.36
2024-10-05 10:12:35,22.45,-0.38
2024-10-05 10:12:36,23.11,-0.35
2024-10-05 10:12:37,22.89,-0.35
2024-10-05 10:12:38,22.98,-0.35
2024-10-05 10:12:39,23.07,-0.34
2024-10-05 10:12:40,22.81,-0.34
2024-10-05 10:12:41,23.05,-0.37
2024-10-05 10:12:42,22.93,-0.34
2024-10-05 10:12:43,22.89,-0.37
2024-10-05 10:12:44,23.11,-0.37
2024-10-05 10:12:45,23.16,-0.34
2024-10-05 10:12:46,23.32,-0.37
2024-10-05 10:12:47,23.34,-0.34
2024-10-05 10:12:48,23.53,-0.37
2024-10-05 10:12:49,23.62,-0.33
2024-10-05 10:12:50,23.5,-0.33
