File name: h2o_palamos_n17csic_2024-09-02T11:50:09_2024-09-02T12:58:44

User: h2o_palamos

Sensor: n17csic[C7:96:6D:D3:12:F6]

Dive: MORRO DEL VEDELL
Dive date range: 2024-09-02 11:50:09 - 2024-09-02 12:58:44 (UTC +02:00)

"Location: 41.848463,3.138445"

Summary: 
Duration: 1:08:35 h.
Temp: 23.25 c (min.) 25.61 c (max.) 
Depth: -8.7 m (max.)

date,temperature(c),depth(m)
2024-09-02 11:50:09,25.28,-1.12
2024-09-02 11:50:10,25.28,-1.0
2024-09-02 11:50:11,25.29,-1.03
2024-09-02 11:50:12,25.28,-1.03
2024-09-02 11:50:13,25.28,-1.0
2024-09-02 11:50:14,25.28,-1.03
2024-09-02 11:50:15,25.28,-1.09
2024-09-02 11:50:16,25.28,-1.09
2024-09-02 11:50:17,25.3,-1.03
2024-09-02 11:50:18,25.28,-1.09
2024-09-02 11:50:19,25.31,-1.09
2024-09-02 11:50:20,25.31,-1.06
2024-09-02 11:50:21,25.29,-1.12
2024-09-02 11:50:22,25.29,-1.06
2024-09-02 11:50:23,25.28,-1.06
2024-09-02 11:50:24,25.28,-1.03
2024-09-02 11:50:25,25.27,-1.0
2024-09-02 11:50:26,25.28,-1.12
2024-09-02 11:50:27,25.3,-0.91
2024-09-02 11:50:28,25.28,-1.0
2024-09-02 11:50:29,25.28,-1.09
2024-09-02 11:50:30,25.31,-1.03
2024-09-02 11:50:31,25.28,-0.91
2024-09-02 11:50:32,25.28,-0.97
2024-09-02 11:50:33,25.29,-1.0
2024-09-02 11:50:34,25.28,-1.09
2024-09-02 11:50:35,25.29,-0.88
2024-09-02 11:50:36,25.28,-0.88
2024-09-02 11:50:37,25.28,-0.85
2024-09-02 11:50:38,25.29,-1.0
2024-09-02 11:50:39,25.27,-0.97
2024-09-02 11:50:40,25.3,-1.12
2024-09-02 11:50:41,25.29,-1.15
2024-09-02 11:50:42,25.26,-1.12
2024-09-02 11:50:43,25.27,-1.15
2024-09-02 11:50:44,25.29,-1.24
2024-09-02 11:50:45,25.28,-1.15
2024-09-02 11:50:46,25.3,-1.18
2024-09-02 11:50:47,25.3,-1.27
2024-09-02 11:50:48,25.28,-1.4
2024-09-02 11:50:49,25.27,-1.27
2024-09-02 11:50:50,25.28,-1.15
2024-09-02 11:50:51,25.31,-1.27
2024-09-02 11:50:52,25.28,-1.27
2024-09-02 11:50:53,25.29,-1.31
2024-09-02 11:50:54,25.28,-1.24
2024-09-02 11:50:55,25.28,-1.24
2024-09-02 11:50:56,25.31,-1.15
2024-09-02 11:50:57,25.28,-0.82
2024-09-02 11:50:58,25.28,-0.82
2024-09-02 11:50:59,25.28,-0.97
2024-09-02 11:51:00,25.28,-1.12
2024-09-02 11:51:01,25.28,-1.24
2024-09-02 11:51:02,25.26,-1.34
2024-09-02 11:51:03,25.28,-1.49
2024-09-02 11:51:04,25.28,-1.58
