File name: h2o_palamos_n52csic_2024-09-14T14:34:20_2024-09-14T16:12:36

User: h2o_palamos

Sensor: n52csic[FD:44:65:43:93:19]

Dive: boreas
Dive date range: 2024-09-14 14:34:20 - 2024-09-14 16:12:36 (UTC +02:00)

"Location: 41.835478,3.12538"

Summary: 
Duration: 1:38:16 h.
Temp: 17.52 c (min.) 22.62 c (max.) 
Depth: -29.28 m (max.)

date,temperature(c),depth(m)
2024-09-14 14:34:20,22.6,-1.62
2024-09-14 14:34:21,22.59,-1.74
2024-09-14 14:34:22,22.6,-1.8
2024-09-14 14:34:23,22.59,-1.9
2024-09-14 14:34:24,22.61,-1.84
2024-09-14 14:34:25,22.6,-1.84
2024-09-14 14:34:26,22.58,-1.99
2024-09-14 14:34:27,22.6,-2.02
2024-09-14 14:34:28,22.61,-1.99
2024-09-14 14:34:29,22.59,-2.2
2024-09-14 14:34:30,22.61,-2.26
2024-09-14 14:34:31,22.6,-2.56
2024-09-14 14:34:32,22.6,-2.68
2024-09-14 14:34:33,22.59,-2.96
2024-09-14 14:34:34,22.62,-3.29
2024-09-14 14:34:35,22.6,-3.44
2024-09-14 14:34:36,22.58,-3.53
2024-09-14 14:34:37,22.6,-3.65
2024-09-14 14:34:38,22.58,-3.96
2024-09-14 14:34:39,22.59,-4.25
2024-09-14 14:34:40,22.58,-4.37
2024-09-14 14:34:41,22.6,-4.62
2024-09-14 14:34:42,22.61,-4.86
2024-09-14 14:34:43,22.62,-5.1
2024-09-14 14:34:44,22.61,-5.37
2024-09-14 14:34:45,22.61,-5.68
2024-09-14 14:34:46,22.61,-5.92
2024-09-14 14:34:47,22.58,-6.13
2024-09-14 14:34:48,22.58,-6.34
2024-09-14 14:34:49,22.58,-6.65
2024-09-14 14:34:50,22.6,-6.83
2024-09-14 14:34:51,22.6,-7.01
2024-09-14 14:34:52,22.59,-7.28
2024-09-14 14:34:53,22.59,-7.28
2024-09-14 14:34:54,22.6,-7.25
2024-09-14 14:34:55,22.57,-7.28
2024-09-14 14:34:56,22.58,-7.37
2024-09-14 14:34:57,22.58,-7.68
2024-09-14 14:34:58,22.58,-7.94
2024-09-14 14:34:59,22.59,-8.22
2024-09-14 14:35:00,22.59,-8.59
2024-09-14 14:35:01,22.59,-8.82
2024-09-14 14:35:02,22.58,-9.19
2024-09-14 14:35:03,22.61,-9.25
2024-09-14 14:35:04,22.58,-9.4
2024-09-14 14:35:05,22.58,-9.48
2024-09-14 14:35:06,22.57,-9.61
2024-09-14 14:35:07,22.57,-9.64
2024-09-14 14:35:08,22.6,-9.64
2024-09-14 14:35:09,22.58,-9.67
2024-09-14 14:35:10,22.58,-9.76
2024-09-14 14:35:11,22.59,-9.85
2024-09-14 14:35:12,22.57,-9.91
2024-09-14 14:35:13,22.58,-10.06
2024-09-14 14:35:14,22.58,-10.19
2024-09-14 14:35:15,22.57,-10.3
2024-09-14 14:35:16,22.55,-10.36
2024-09-14 14:35:17,22.58,-10.42
2024-09-14 14:35:18,22.59,-10.42
2024-09-14 14:35:19,22.59,-10.51
2024-09-14 14:35:20,22.57,-10.64
2024-09-14 14:35:21,22.57,-10.73
2024-09-14 14:35:22,22.58,-10.73
2024-09-14 14:35:23,22.57,-10.76
2024-09-14 14:35:24,22.57,-10.79
2024-09-14 14:35:25,22.57,-10.85
2024-09-14 14:35:26,22.57,-10.88
2024-09-14 14:35:27,22.57,-11.06
2024-09-14 14:35:28,22.57,-11.3
2024-09-14 14:35:29,22.56,-11.57
2024-09-14 14:35:30,22.57,-11.79
2024-09-14 14:35:31,22.57,-12.0
2024-09-14 14:35:32,22.57,-12.24
2024-09-14 14:35:33,22.57,-12.48
2024-09-14 14:35:34,22.57,-12.7
2024-09-14 14:35:35,22.56,-12.79
2024-09-14 14:35:36,22.56,-12.99
