File name: h2o_palamos_n52csic_2024-09-15T12:42:27_2024-09-15T14:22:40

User: h2o_palamos

Sensor: n52csic[FD:44:65:43:93:19]

Dive: Formigas
Dive date range: 2024-09-15 12:42:27 - 2024-09-15 14:22:40 (UTC +02:00)

"Location: 41.861532,3.188765"

Summary: 
Duration: 1:40:13 h.
Temp: 19.87 c (min.) 23.64 c (max.) 
Depth: -25.66 m (max.)

date,temperature(c),depth(m)
2024-09-15 12:42:27,22.5,-2.3
2024-09-15 12:42:28,22.5,-2.49
2024-09-15 12:42:29,22.51,-2.73
2024-09-15 12:42:30,22.5,-2.97
2024-09-15 12:42:31,22.5,-3.09
2024-09-15 12:42:32,22.52,-3.3
2024-09-15 12:42:33,22.5,-3.46
2024-09-15 12:42:34,22.52,-3.64
2024-09-15 12:42:35,22.51,-3.88
2024-09-15 12:42:36,22.52,-4.03
2024-09-15 12:42:37,22.5,-4.3
2024-09-15 12:42:38,22.52,-4.63
2024-09-15 12:42:39,22.51,-4.84
2024-09-15 12:42:40,22.53,-5.12
2024-09-15 12:42:41,22.51,-5.26
2024-09-15 12:42:42,22.52,-5.41
2024-09-15 12:42:43,22.51,-5.38
2024-09-15 12:42:44,22.51,-5.48
2024-09-15 12:42:45,22.5,-5.51
2024-09-15 12:42:46,22.52,-5.6
2024-09-15 12:42:47,22.5,-5.75
2024-09-15 12:42:48,22.52,-5.9
2024-09-15 12:42:49,22.48,-6.05
2024-09-15 12:42:50,22.53,-6.23
2024-09-15 12:42:51,22.52,-6.29
2024-09-15 12:42:52,22.51,-6.41
2024-09-15 12:42:53,22.5,-6.66
2024-09-15 12:42:54,22.51,-6.86
2024-09-15 12:42:55,22.51,-6.95
2024-09-15 12:42:56,22.5,-7.23
2024-09-15 12:42:57,22.46,-7.38
2024-09-15 12:42:58,22.45,-7.47
2024-09-15 12:42:59,22.46,-7.74
2024-09-15 12:43:00,22.46,-7.8
2024-09-15 12:43:01,22.44,-7.95
2024-09-15 12:43:02,22.46,-8.17
2024-09-15 12:43:03,22.48,-8.23
2024-09-15 12:43:04,22.45,-8.34
2024-09-15 12:43:05,22.46,-8.56
2024-09-15 12:43:06,22.46,-8.68
2024-09-15 12:43:07,22.46,-8.86
2024-09-15 12:43:08,22.47,-9.14
2024-09-15 12:43:09,22.5,-9.22
2024-09-15 12:43:10,22.5,-9.37
2024-09-15 12:43:11,22.48,-9.56
2024-09-15 12:43:12,22.5,-9.71
2024-09-15 12:43:13,22.51,-9.92
2024-09-15 12:43:14,22.51,-10.1
2024-09-15 12:43:15,22.5,-10.19
2024-09-15 12:43:16,22.51,-10.34
2024-09-15 12:43:17,22.51,-10.4
2024-09-15 12:43:18,22.52,-10.49
2024-09-15 12:43:19,22.48,-10.55
2024-09-15 12:43:20,22.5,-10.62
2024-09-15 12:43:21,22.52,-10.85
2024-09-15 12:43:22,22.5,-10.88
2024-09-15 12:43:23,22.5,-11.06
2024-09-15 12:43:24,22.51,-11.03
2024-09-15 12:43:25,22.5,-11.0
2024-09-15 12:43:26,22.48,-11.19
2024-09-15 12:43:27,22.5,-11.31
2024-09-15 12:43:28,22.48,-11.55
2024-09-15 12:43:29,22.5,-11.73
2024-09-15 12:43:30,22.47,-11.94
2024-09-15 12:43:31,22.5,-12.09
2024-09-15 12:43:32,22.52,-12.22
2024-09-15 12:43:33,22.51,-12.45
2024-09-15 12:43:34,22.53,-12.7
2024-09-15 12:43:35,22.51,-12.88
2024-09-15 12:43:36,22.51,-13.0
2024-09-15 12:43:37,22.52,-13.06
2024-09-15 12:43:38,22.52,-13.25
