File name: mvilanova_BNatura15_2024-08-25T08:58:38_2024-08-25T11:11:19

User: mvilanova

Sensor: BNatura15[D9:C4:88:EA:81:E1]

Dive: Cala Margarida
Dive date range: 2024-08-25 08:58:38 - 2024-08-25 11:11:19 (UTC +02:00)

"Location: 41.848669,3.140534"

Summary: 
Duration: 2:12:41 h.
Temp: 18.96 c (min.) 29.88 c (max.) 
Depth: -29.37 m (max.)

date,temperature(c),depth(m)
2024-08-25 08:58:38,24.15,-1.56
2024-08-25 08:58:39,24.14,-1.59
2024-08-25 08:58:40,24.14,-1.65
2024-08-25 08:58:41,24.15,-1.84
2024-08-25 08:58:42,24.15,-1.99
2024-08-25 08:58:43,24.15,-1.96
2024-08-25 08:58:44,24.16,-1.96
2024-08-25 08:58:45,24.17,-1.99
2024-08-25 08:58:46,24.16,-2.11
2024-08-25 08:58:47,24.16,-2.11
2024-08-25 08:58:48,24.15,-2.05
2024-08-25 08:58:49,24.17,-2.05
2024-08-25 08:58:50,24.17,-2.14
2024-08-25 08:58:51,24.15,-2.17
2024-08-25 08:58:52,24.17,-2.14
2024-08-25 08:58:53,24.16,-2.11
2024-08-25 08:58:54,24.18,-2.08
2024-08-25 08:58:55,24.19,-2.14
2024-08-25 08:58:56,24.17,-2.26
2024-08-25 08:58:57,24.19,-2.26
2024-08-25 08:58:58,24.19,-2.29
2024-08-25 08:58:59,24.19,-2.33
2024-08-25 08:59:00,24.18,-2.36
2024-08-25 08:59:01,24.21,-2.42
2024-08-25 08:59:02,24.21,-2.39
2024-08-25 08:59:03,24.19,-2.33
2024-08-25 08:59:04,24.21,-2.29
2024-08-25 08:59:05,24.21,-2.45
2024-08-25 08:59:06,24.18,-2.48
2024-08-25 08:59:07,24.17,-2.42
2024-08-25 08:59:08,24.21,-2.42
2024-08-25 08:59:09,24.21,-2.48
2024-08-25 08:59:10,24.19,-2.63
2024-08-25 08:59:11,24.21,-2.63
2024-08-25 08:59:12,24.22,-2.6
2024-08-25 08:59:13,24.21,-2.51
2024-08-25 08:59:14,24.21,-2.54
2024-08-25 08:59:15,24.22,-2.48
2024-08-25 08:59:16,24.21,-2.45
2024-08-25 08:59:17,24.21,-2.39
2024-08-25 08:59:18,24.21,-2.45
2024-08-25 08:59:19,24.21,-2.48
2024-08-25 08:59:20,24.22,-2.51
2024-08-25 08:59:21,24.22,-2.6
2024-08-25 08:59:22,24.22,-2.72
2024-08-25 08:59:23,24.21,-2.72
2024-08-25 08:59:24,24.21,-2.66
2024-08-25 08:59:25,24.21,-2.63
2024-08-25 08:59:26,24.22,-2.66
2024-08-25 08:59:27,24.21,-2.72
2024-08-25 08:59:28,24.22,-2.69
2024-08-25 08:59:29,24.22,-2.69
2024-08-25 08:59:30,24.21,-2.66
2024-08-25 08:59:31,24.22,-2.69
2024-08-25 08:59:32,24.24,-2.66
2024-08-25 08:59:33,24.24,-2.72
2024-08-25 08:59:34,24.22,-2.75
2024-08-25 08:59:35,24.23,-2.75
2024-08-25 08:59:36,24.24,-2.69
2024-08-25 08:59:37,24.23,-2.69
2024-08-25 08:59:38,24.23,-2.75
2024-08-25 08:59:39,24.24,-2.81
2024-08-25 08:59:40,24.26,-2.81
2024-08-25 08:59:41,24.25,-2.81
2024-08-25 08:59:42,24.24,-2.78
2024-08-25 08:59:43,24.25,-2.75
2024-08-25 08:59:44,24.24,-2.72
2024-08-25 08:59:45,24.25,-2.78
2024-08-25 08:59:46,24.23,-2.66
2024-08-25 08:59:47,24.25,-2.63
2024-08-25 08:59:48,24.25,-2.66
2024-08-25 08:59:49,24.25,-2.69
2024-08-25 08:59:50,24.25,-2.78
2024-08-25 08:59:51,24.25,-2.85
2024-08-25 08:59:52,24.25,-2.97
2024-08-25 08:59:53,24.24,-3.09
2024-08-25 08:59:54,24.26,-3.21
2024-08-25 08:59:55,24.25,-3.3
2024-08-25 08:59:56,24.25,-3.55
