File name: mvilanova_BNatura16_1970-01-01T02:04:10_1970-01-01T03:33:10

User: mvilanova

Sensor: BNatura16[D4:86:39:66:6D:9D]

Dive: Pot del Llop
Dive date range: 1970-01-01 02:04:10 - 1970-01-01 03:33:10 (UTC +02:00)

"Location: 42.047356,3.227179"

Summary: 
Duration: 1:29:00 h.
Temp: 23.64 c (min.) 24.1 c (max.) 
Depth: -4.9 m (max.)

date,temperature(c),depth(m)
1970-01-01 02:04:10,23.96,-3.6
1970-01-01 02:05:10,23.8,-4.9
1970-01-01 02:06:10,23.78,-0.84
1970-01-01 02:07:10,23.82,-0.74
1970-01-01 02:08:10,23.82,-0.74
1970-01-01 02:09:10,23.84,-0.84
1970-01-01 02:10:10,23.89,-2.69
1970-01-01 02:11:10,23.9,-2.05
1970-01-01 02:12:10,23.9,-3.37
1970-01-01 02:13:10,23.89,-2.25
1970-01-01 02:14:10,23.9,-2.14
1970-01-01 02:15:10,23.9,-2.61
1970-01-01 02:16:10,23.89,-2.46
1970-01-01 02:17:10,23.92,-2.0
1970-01-01 02:18:10,23.92,-0.87
1970-01-01 02:19:10,23.92,-0.74
1970-01-01 02:20:10,23.89,-3.24
1970-01-01 02:21:10,23.91,-2.75
1970-01-01 02:22:10,23.89,-2.55
1970-01-01 02:23:10,23.9,-1.86
1970-01-01 02:24:10,23.89,-3.3
1970-01-01 02:25:10,23.9,-2.46
1970-01-01 02:26:10,23.9,-0.9
1970-01-01 02:27:10,23.91,-0.72
1970-01-01 02:28:10,23.92,-0.72
1970-01-01 02:29:10,23.92,-2.28
1970-01-01 02:30:10,23.9,-1.12
1970-01-01 02:31:10,23.91,-0.78
1970-01-01 02:32:10,23.92,-2.11
1970-01-01 02:33:10,23.91,-2.31
1970-01-01 02:34:10,23.9,-0.95
1970-01-01 02:35:10,23.88,-0.92
1970-01-01 02:36:10,23.93,-0.43
1970-01-01 02:37:10,23.92,-0.4
1970-01-01 02:38:10,23.95,-0.43
1970-01-01 02:39:10,23.96,-0.4
1970-01-01 02:40:10,23.97,-0.4
1970-01-01 02:41:10,24.01,-0.43
1970-01-01 02:42:10,24.03,-0.37
1970-01-01 02:43:10,24.1,-0.43
1970-01-01 02:44:10,24.1,-0.4
1970-01-01 02:45:10,24.08,-0.49
1970-01-01 02:46:10,24.04,-0.43
1970-01-01 02:47:10,24.02,-0.4
1970-01-01 02:48:10,23.97,-0.43
1970-01-01 02:49:10,23.93,-0.37
1970-01-01 02:50:10,23.92,-0.43
1970-01-01 02:51:10,23.93,-0.43
1970-01-01 02:52:10,23.92,-0.43
1970-01-01 02:53:10,23.97,-0.4
1970-01-01 02:54:10,23.98,-0.43
1970-01-01 02:55:10,23.92,-0.4
1970-01-01 02:56:10,23.9,-0.37
1970-01-01 02:57:10,23.85,-0.43
1970-01-01 02:58:10,23.83,-0.43
1970-01-01 02:59:10,23.8,-0.4
1970-01-01 03:00:10,23.78,-0.43
1970-01-01 03:01:10,23.75,-0.43
1970-01-01 03:02:10,23.74,-0.43
1970-01-01 03:03:10,23.73,-0.43
1970-01-01 03:04:10,23.73,-0.4
1970-01-01 03:05:10,23.71,-0.4
1970-01-01 03:06:10,23.69,-0.43
1970-01-01 03:07:10,23.68,-0.4
1970-01-01 03:08:10,23.67,-0.4
1970-01-01 03:09:10,23.67,-0.4
1970-01-01 03:10:10,23.66,-0.43
1970-01-01 03:11:10,23.66,-0.4
1970-01-01 03:12:10,23.65,-0.43
1970-01-01 03:13:10,23.65,-0.43
1970-01-01 03:14:10,23.65,-0.46
1970-01-01 03:15:10,23.64,-0.4
1970-01-01 03:16:10,23.65,-0.43
1970-01-01 03:17:10,23.64,-0.4
1970-01-01 03:18:10,23.64,-0.43
1970-01-01 03:19:10,23.66,-0.43
1970-01-01 03:20:10,23.64,-0.4
1970-01-01 03:21:10,23.65,-0.4
1970-01-01 03:22:10,23.64,-0.4
1970-01-01 03:23:10,23.67,-0.4
1970-01-01 03:24:10,23.67,-0.38
1970-01-01 03:25:10,23.66,-0.43
1970-01-01 03:26:10,23.66,-0.46
1970-01-01 03:27:10,23.67,-0.43
1970-01-01 03:28:10,23.67,-0.43
1970-01-01 03:29:10,23.69,-0.43
1970-01-01 03:30:10,23.67,-0.4
1970-01-01 03:31:10,23.71,-0.38
1970-01-01 03:32:10,23.74,-0.4
1970-01-01 03:33:10,23.74,-0.43
