File name: mvilanova_BNatura16_2024-07-01T21:28:52_1970-01-01T04:03:00

User: mvilanova

Sensor: BNatura16[D4:86:39:66:6D:9D]

Dive: Prueba
Dive date range: 2024-07-01 21:28:52 - 1970-01-01 04:03:00 (UTC +02:00)

"Location: 40.416775,-3.70379"

Summary: 
"Duration: -19906 days, 6:34:08 h."
Temp: 20.23 c (min.) 23.96 c (max.) 
Depth: -20.58 m (max.)

date,temperature(c),depth(m)
2024-07-01 21:28:52,23.96,-1.12
2024-07-01 21:28:53,23.96,-1.0
2024-07-01 21:28:54,23.96,-1.09
2024-07-01 21:28:55,23.95,-1.06
2024-07-01 21:28:56,23.95,-1.09
2024-07-01 21:28:57,23.92,-1.06
2024-07-01 21:28:58,23.91,-1.06
2024-07-01 21:28:59,23.9,-1.06
2024-07-01 21:29:00,23.91,-1.06
2024-07-01 21:29:01,23.91,-1.09
2024-07-01 21:29:02,23.9,-1.06
2024-07-01 21:29:03,23.9,-1.06
2024-07-01 21:29:04,23.89,-1.06
2024-07-01 21:29:05,23.87,-1.03
2024-07-01 21:29:06,23.89,-1.09
2024-07-01 21:29:07,23.89,-1.15
2024-07-01 21:29:08,23.85,-1.12
2024-07-01 21:29:09,23.82,-1.09
2024-07-01 21:29:10,23.81,-1.12
2024-07-01 21:29:11,23.82,-1.12
2024-07-01 21:29:12,23.79,-1.12
2024-07-01 21:29:13,23.81,-1.09
2024-07-01 21:29:14,23.78,-1.06
2024-07-01 21:29:15,23.78,-1.06
2024-07-01 21:29:16,23.77,-1.06
2024-07-01 21:29:17,23.75,-1.09
2024-07-01 21:29:18,23.75,-1.06
2024-07-01 21:29:19,23.73,-1.09
2024-07-01 21:29:20,23.75,-1.06
2024-07-01 21:29:21,23.75,-1.06
2024-07-01 21:29:22,23.74,-1.12
2024-07-01 21:29:23,23.73,-1.06
2024-07-01 21:29:24,23.75,-1.12
2024-07-01 21:29:25,23.71,-1.09
2024-07-01 21:29:26,23.71,-1.03
2024-07-01 21:29:27,23.71,-1.06
2024-07-01 21:29:28,23.71,-1.06
2024-07-01 21:29:29,23.69,-1.09
2024-07-01 21:29:30,23.67,-1.09
2024-07-01 21:29:31,23.67,-1.06
2024-07-01 21:29:32,23.65,-1.15
2024-07-01 21:29:33,23.66,-1.15
2024-07-01 21:29:34,23.65,-1.17
2024-07-01 21:29:35,23.64,-1.15
2024-07-01 21:29:36,23.65,-1.12
2024-07-01 21:29:37,23.64,-1.17
2024-07-01 21:29:38,23.64,-1.15
2024-07-01 21:29:39,23.62,-1.17
2024-07-01 21:29:40,23.63,-1.15
2024-07-01 21:29:41,23.64,-1.12
2024-07-01 21:29:42,23.64,-1.06
2024-07-01 21:29:43,23.64,-1.12
2024-07-01 21:29:44,23.62,-1.12
2024-07-01 21:29:45,23.61,-1.06
2024-07-01 21:29:46,23.62,-1.06
2024-07-01 21:29:47,23.57,-1.06
2024-07-01 21:29:48,23.6,-1.09
2024-07-01 21:29:49,23.57,-1.06
2024-07-01 21:29:50,23.57,-1.09
2024-07-01 21:29:51,23.57,-1.09
2024-07-01 21:29:52,23.56,-1.09
2024-07-01 21:29:53,23.56,-1.09
2024-07-01 21:29:54,23.54,-1.09
2024-07-01 21:29:55,23.56,-1.12
2024-07-01 21:29:56,23.54,-1.06
2024-07-01 21:29:57,23.56,-1.09
2024-07-01 21:29:58,23.55,-1.09
2024-07-01 21:29:59,23.56,-1.12
2024-07-01 21:30:00,23.54,-1.12
2024-07-01 21:30:01,23.55,-1.12
2024-07-01 21:30:02,23.53,-1.09
2024-07-01 21:30:03,23.53,-1.09
2024-07-01 21:30:04,23.54,-1.15
2024-07-01 21:30:05,23.53,-1.12
2024-07-01 21:30:06,23.54,-1.15
2024-07-01 21:30:07,23.53,-1.09
2024-07-01 21:30:08,23.54,-1.12
2024-07-01 21:30:09,23.52,-1.18
