File name: mvilanova_BNatura16_2024-08-25T08:58:55_1970-01-01T03:18:00

User: mvilanova

Sensor: BNatura16[D4:86:39:66:6D:9D]

Dive: Cala Margarida
Dive date range: 2024-08-25 08:58:55 - 1970-01-01 03:18:00 (UTC +02:00)

"Location: 41.84864,3.140271"

Summary: 
"Duration: -19961 days, 18:19:05 h."
Temp: 18.97 c (min.) 30.08 c (max.) 
Depth: -29.4 m (max.)

date,temperature(c),depth(m)
2024-08-25 08:58:55,24.2,-1.94
2024-08-25 08:58:56,24.19,-2.03
2024-08-25 08:58:57,24.19,-2.08
2024-08-25 08:58:58,24.18,-2.0
2024-08-25 08:58:59,24.17,-2.08
2024-08-25 08:59:00,24.17,-2.17
2024-08-25 08:59:01,24.17,-2.2
2024-08-25 08:59:02,24.19,-2.17
2024-08-25 08:59:03,24.19,-2.14
2024-08-25 08:59:04,24.18,-2.2
2024-08-25 08:59:05,24.19,-2.23
2024-08-25 08:59:06,24.21,-2.25
2024-08-25 08:59:07,24.18,-2.23
2024-08-25 08:59:08,24.21,-2.14
2024-08-25 08:59:09,24.18,-2.23
2024-08-25 08:59:10,24.21,-2.31
2024-08-25 08:59:11,24.21,-2.38
2024-08-25 08:59:12,24.21,-2.38
2024-08-25 08:59:13,24.21,-2.41
2024-08-25 08:59:14,24.21,-2.43
2024-08-25 08:59:15,24.21,-2.52
2024-08-25 08:59:16,24.22,-2.49
2024-08-25 08:59:17,24.22,-2.38
2024-08-25 08:59:18,24.23,-2.38
2024-08-25 08:59:19,24.2,-2.49
2024-08-25 08:59:20,24.21,-2.61
2024-08-25 08:59:21,24.21,-2.52
2024-08-25 08:59:22,24.2,-2.49
2024-08-25 08:59:23,24.21,-2.58
2024-08-25 08:59:24,24.21,-2.75
2024-08-25 08:59:25,24.21,-2.72
2024-08-25 08:59:26,24.21,-2.63
2024-08-25 08:59:27,24.21,-2.61
2024-08-25 08:59:28,24.22,-2.58
2024-08-25 08:59:29,24.22,-2.55
2024-08-25 08:59:30,24.21,-2.55
2024-08-25 08:59:31,24.22,-2.52
2024-08-25 08:59:32,24.22,-2.52
2024-08-25 08:59:33,24.23,-2.55
2024-08-25 08:59:34,24.25,-2.55
2024-08-25 08:59:35,24.24,-2.69
2024-08-25 08:59:36,24.24,-2.78
2024-08-25 08:59:37,24.24,-2.8
2024-08-25 08:59:38,24.24,-2.75
2024-08-25 08:59:39,24.23,-2.72
2024-08-25 08:59:40,24.23,-2.8
2024-08-25 08:59:41,24.23,-2.8
2024-08-25 08:59:42,24.22,-2.75
2024-08-25 08:59:43,24.23,-2.75
2024-08-25 08:59:44,24.22,-2.75
2024-08-25 08:59:45,24.25,-2.75
