File name: mvilanova_n33csic_2024-08-25T08:24:23_2024-08-25T10:53:37

User: mvilanova

Sensor: n33csic[DA:4B:8D:59:24:D0]

Dive: Cala Margarida
Dive date range: 2024-08-25 08:24:23 - 2024-08-25 10:53:37 (UTC +02:00)

"Location: 41.848941,3.140379"

Summary: 
Duration: 2:29:14 h.
Temp: 19.03 c (min.) 27.92 c (max.) 
Depth: -29.29 m (max.)

date,temperature(c),depth(m)
2024-08-25 08:24:23,26.58,-0.29
2024-08-25 08:24:24,26.59,-0.29
2024-08-25 08:24:25,26.59,-0.32
2024-08-25 08:24:26,26.6,-0.35
2024-08-25 08:24:27,26.62,-0.32
2024-08-25 08:24:28,26.71,-0.32
2024-08-25 08:24:29,26.77,-0.32
2024-08-25 08:24:30,26.78,-0.32
2024-08-25 08:24:31,26.79,-0.32
2024-08-25 08:24:32,26.79,-0.29
2024-08-25 08:24:33,26.79,-0.29
2024-08-25 08:24:34,26.8,-0.35
2024-08-25 08:24:35,26.82,-0.32
2024-08-25 08:24:36,26.85,-0.32
2024-08-25 08:24:37,26.88,-0.29
2024-08-25 08:24:38,26.89,-0.32
2024-08-25 08:24:39,26.9,-0.29
2024-08-25 08:24:40,26.92,-0.32
2024-08-25 08:24:41,26.96,-0.32
2024-08-25 08:24:42,26.98,-0.32
2024-08-25 08:24:43,26.96,-0.35
2024-08-25 08:24:44,26.96,-0.32
2024-08-25 08:24:45,26.93,-0.32
2024-08-25 08:24:46,26.89,-0.35
2024-08-25 08:24:47,26.89,-0.29
2024-08-25 08:24:48,26.89,-0.32
2024-08-25 08:24:49,26.89,-0.32
2024-08-25 08:24:50,26.88,-0.32
2024-08-25 08:24:51,26.89,-0.32
2024-08-25 08:24:52,26.89,-0.32
2024-08-25 08:24:53,26.9,-0.32
2024-08-25 08:24:54,26.91,-0.32
2024-08-25 08:24:55,26.89,-0.32
2024-08-25 08:24:56,26.91,-0.29
2024-08-25 08:24:57,26.93,-0.29
2024-08-25 08:24:58,26.92,-0.29
2024-08-25 08:24:59,26.92,-0.32
2024-08-25 08:25:00,26.91,-0.29
2024-08-25 08:25:01,26.93,-0.35
2024-08-25 08:25:02,26.92,-0.25
2024-08-25 08:25:03,26.93,-0.29
2024-08-25 08:25:04,26.9,-0.32
2024-08-25 08:25:05,26.86,-0.32
2024-08-25 08:25:06,26.82,-0.32
2024-08-25 08:25:07,26.79,-0.32
