File name: mvilanova_n35csic_2024-08-12T09:58:27_2024-08-12T10:58:26

User: mvilanova

Sensor: n35csic[FE:96:67:66:32:6F]

Dive: Prueba 2
Dive date range: 2024-08-12 09:58:27 - 2024-08-12 10:58:26 (UTC +02:00)

"Location: 40.416775,-3.70379"

Summary: 
Duration: 0:59:59 h.
Temp: 28.29 c (min.) 28.68 c (max.) 
Depth: -0.42 m (max.)

date,temperature(c),depth(m)
2024-08-12 09:58:27,28.32,-0.33
2024-08-12 09:58:28,28.34,-0.27
2024-08-12 09:58:29,28.32,-0.3
2024-08-12 09:58:30,28.31,-0.3
2024-08-12 09:58:31,28.29,-0.3
2024-08-12 09:58:32,28.29,-0.33
2024-08-12 09:58:33,28.31,-0.36
2024-08-12 09:58:34,28.38,-0.33
2024-08-12 09:58:35,28.44,-0.3
2024-08-12 09:58:36,28.46,-0.33
2024-08-12 09:58:37,28.46,-0.3
2024-08-12 09:58:38,28.47,-0.27
2024-08-12 09:58:39,28.46,-0.33
2024-08-12 09:58:40,28.47,-0.3
2024-08-12 09:58:41,28.44,-0.3
2024-08-12 09:58:42,28.48,-0.33
2024-08-12 09:58:43,28.46,-0.33
2024-08-12 09:58:44,28.46,-0.3
2024-08-12 09:58:45,28.45,-0.27
2024-08-12 09:58:46,28.44,-0.33
2024-08-12 09:58:47,28.45,-0.3
2024-08-12 09:58:48,28.45,-0.3
2024-08-12 09:58:49,28.44,-0.27
2024-08-12 09:58:50,28.45,-0.3
2024-08-12 09:58:51,28.45,-0.27
2024-08-12 09:58:52,28.44,-0.3
2024-08-12 09:58:53,28.46,-0.3
2024-08-12 09:58:54,28.44,-0.33
2024-08-12 09:58:55,28.46,-0.3
2024-08-12 09:58:56,28.46,-0.27
2024-08-12 09:58:57,28.45,-0.3
2024-08-12 09:58:58,28.44,-0.27
2024-08-12 09:58:59,28.42,-0.3
2024-08-12 09:59:00,28.44,-0.27
2024-08-12 09:59:01,28.43,-0.3
2024-08-12 09:59:02,28.42,-0.3
2024-08-12 09:59:03,28.44,-0.3
2024-08-12 09:59:04,28.45,-0.27
2024-08-12 09:59:05,28.42,-0.3
2024-08-12 09:59:06,28.42,-0.3
2024-08-12 09:59:07,28.42,-0.27
2024-08-12 09:59:08,28.44,-0.27
2024-08-12 09:59:09,28.45,-0.3
