File name: mvilanova_n41csic_2024-08-25T08:30:49_2024-08-25T10:42:51

User: mvilanova

Sensor: n41csic[FB:D7:2F:BB:0F:E1]

Dive: Cala Margarida
Dive date range: 2024-08-25 08:30:49 - 2024-08-25 10:42:51 (UTC +02:00)

"Location: 41.848762,3.140282"

Summary: 
Duration: 2:12:02 h.
Temp: 19.07 c (min.) 26.37 c (max.) 
Depth: -29.39 m (max.)

date,temperature(c),depth(m)
2024-08-25 08:30:49,26.31,-0.38
2024-08-25 08:30:50,26.32,-0.36
2024-08-25 08:30:51,26.28,-0.35
2024-08-25 08:30:52,26.3,-0.38
2024-08-25 08:30:53,26.32,-0.35
2024-08-25 08:30:54,26.31,-0.38
2024-08-25 08:30:55,26.31,-0.38
2024-08-25 08:30:56,26.33,-0.35
2024-08-25 08:30:57,26.33,-0.35
2024-08-25 08:30:58,26.35,-0.38
2024-08-25 08:30:59,26.37,-0.33
2024-08-25 08:31:00,26.31,-0.33
2024-08-25 08:31:01,26.28,-0.33
2024-08-25 08:31:02,26.27,-0.35
2024-08-25 08:31:03,26.25,-0.35
2024-08-25 08:31:04,26.23,-0.35
2024-08-25 08:31:05,26.19,-0.38
2024-08-25 08:31:06,26.15,-0.35
2024-08-25 08:31:07,26.14,-0.38
2024-08-25 08:31:08,26.1,-0.35
2024-08-25 08:31:09,26.03,-0.35
2024-08-25 08:31:10,25.96,-0.38
2024-08-25 08:31:11,25.86,-0.38
2024-08-25 08:31:12,25.79,-0.3
2024-08-25 08:31:13,25.75,-0.35
2024-08-25 08:31:14,25.74,-0.32
2024-08-25 08:31:15,25.67,-0.32
2024-08-25 08:31:16,25.6,-0.38
2024-08-25 08:31:17,25.64,-0.35
2024-08-25 08:31:18,25.61,-0.35
2024-08-25 08:31:19,25.6,-0.35
2024-08-25 08:31:20,25.6,-0.35
2024-08-25 08:31:21,25.6,-0.38
2024-08-25 08:31:22,25.64,-0.35
2024-08-25 08:31:23,25.62,-0.3
2024-08-25 08:31:24,25.6,-0.35
2024-08-25 08:31:25,25.6,-0.32
2024-08-25 08:31:26,25.6,-0.35
2024-08-25 08:31:27,25.62,-0.33
2024-08-25 08:31:28,25.63,-0.33
2024-08-25 08:31:29,25.62,-0.33
2024-08-25 08:31:30,25.63,-0.35
2024-08-25 08:31:31,25.63,-0.35
2024-08-25 08:31:32,25.63,-0.35
2024-08-25 08:31:33,25.64,-0.38
2024-08-25 08:31:34,25.64,-0.33
2024-08-25 08:31:35,25.64,-0.35
2024-08-25 08:31:36,25.64,-0.33
2024-08-25 08:31:37,25.65,-0.33
2024-08-25 08:31:38,25.64,-0.36
2024-08-25 08:31:39,25.67,-0.36
2024-08-25 08:31:40,25.66,-0.3
2024-08-25 08:31:41,25.66,-0.35
2024-08-25 08:31:42,25.67,-0.38
2024-08-25 08:31:43,25.64,-0.33
2024-08-25 08:31:44,25.64,-0.33
2024-08-25 08:31:45,25.65,-0.33
2024-08-25 08:31:46,25.65,-0.36
2024-08-25 08:31:47,25.64,-0.33
2024-08-25 08:31:48,25.64,-0.33
2024-08-25 08:31:49,25.66,-0.36
2024-08-25 08:31:50,25.64,-0.33
2024-08-25 08:31:51,25.64,-0.36
2024-08-25 08:31:52,25.64,-0.3
2024-08-25 08:31:53,25.64,-0.36
2024-08-25 08:31:54,25.64,-0.36
2024-08-25 08:31:55,25.64,-0.36
2024-08-25 08:31:56,25.64,-0.33
2024-08-25 08:31:57,25.61,-0.36
2024-08-25 08:31:58,25.62,-0.33
2024-08-25 08:31:59,25.62,-0.33
2024-08-25 08:32:00,25.61,-0.36
2024-08-25 08:32:01,25.61,-0.36
2024-08-25 08:32:02,25.62,-0.33
2024-08-25 08:32:03,25.62,-0.36
2024-08-25 08:32:04,25.63,-0.36
2024-08-25 08:32:05,25.61,-0.36
2024-08-25 08:32:06,25.6,-0.36
2024-08-25 08:32:07,25.62,-0.33
2024-08-25 08:32:08,25.62,-0.33
2024-08-25 08:32:09,25.6,-0.36
2024-08-25 08:32:10,25.6,-0.36
2024-08-25 08:32:11,25.63,-0.33
2024-08-25 08:32:12,25.59,-0.36
2024-08-25 08:32:13,25.61,-0.33
2024-08-25 08:32:14,25.59,-0.39
2024-08-25 08:32:15,25.61,-0.33
2024-08-25 08:32:16,25.6,-0.36
2024-08-25 08:32:17,25.6,-0.33
2024-08-25 08:32:18,25.6,-0.33
2024-08-25 08:32:19,25.6,-0.36
2024-08-25 08:32:20,25.61,-0.33
2024-08-25 08:32:21,25.59,-0.36
2024-08-25 08:32:22,25.59,-0.36
2024-08-25 08:32:23,25.6,-0.36
2024-08-25 08:32:24,25.6,-0.33
2024-08-25 08:32:25,25.6,-0.33
2024-08-25 08:32:26,25.57,-0.33
2024-08-25 08:32:27,25.59,-0.33
2024-08-25 08:32:28,25.57,-0.33
2024-08-25 08:32:29,25.57,-0.36
2024-08-25 08:32:30,25.59,-0.36
2024-08-25 08:32:31,25.6,-0.39
2024-08-25 08:32:32,25.57,-0.36
2024-08-25 08:32:33,25.57,-0.36
2024-08-25 08:32:34,25.57,-0.33
2024-08-25 08:32:35,25.57,-0.36
2024-08-25 08:32:36,25.57,-0.36
2024-08-25 08:32:37,25.57,-0.33
2024-08-25 08:32:38,25.56,-0.33
2024-08-25 08:32:39,25.55,-0.36
2024-08-25 08:32:40,25.54,-0.39
2024-08-25 08:32:41,25.57,-0.36
2024-08-25 08:32:42,25.57,-0.39
2024-08-25 08:32:43,25.55,-0.33
2024-08-25 08:32:44,25.56,-0.39
2024-08-25 08:32:45,25.55,-0.36
2024-08-25 08:32:46,25.55,-0.36
2024-08-25 08:32:47,25.53,-0.33
2024-08-25 08:32:48,25.53,-0.33
2024-08-25 08:32:49,25.54,-0.39
2024-08-25 08:32:50,25.53,-0.36
2024-08-25 08:32:51,25.54,-0.36
2024-08-25 08:32:52,25.53,-0.33
2024-08-25 08:32:53,25.53,-0.33
2024-08-25 08:32:54,25.53,-0.33
2024-08-25 08:32:55,25.53,-0.36
2024-08-25 08:32:56,25.53,-0.36
2024-08-25 08:32:57,25.53,-0.36
2024-08-25 08:32:58,25.53,-0.36
2024-08-25 08:32:59,25.53,-0.36
2024-08-25 08:33:00,25.52,-0.33
2024-08-25 08:33:01,25.5,-0.33
2024-08-25 08:33:02,25.52,-0.36
2024-08-25 08:33:03,25.51,-0.33
2024-08-25 08:33:04,25.52,-0.36
2024-08-25 08:33:05,25.52,-0.36
2024-08-25 08:33:06,25.51,-0.36
2024-08-25 08:33:07,25.51,-0.33
2024-08-25 08:33:08,25.51,-0.33
2024-08-25 08:33:09,25.52,-0.36
2024-08-25 08:33:10,25.5,-0.36
2024-08-25 08:33:11,25.51,-0.36
2024-08-25 08:33:12,25.5,-0.3
2024-08-25 08:33:13,25.48,-0.39
2024-08-25 08:33:14,25.5,-0.36
2024-08-25 08:33:15,25.5,-0.33
2024-08-25 08:33:16,25.49,-0.36
2024-08-25 08:33:17,25.5,-0.33
2024-08-25 08:33:18,25.47,-0.36
2024-08-25 08:33:19,25.48,-0.36
2024-08-25 08:33:20,25.47,-0.39
2024-08-25 08:33:21,25.48,-0.39
2024-08-25 08:33:22,25.48,-0.33
2024-08-25 08:33:23,25.47,-0.36
2024-08-25 08:33:24,25.46,-0.36
2024-08-25 08:33:25,25.47,-0.36
2024-08-25 08:33:26,25.45,-0.33
2024-08-25 08:33:27,25.47,-0.36
2024-08-25 08:33:28,25.45,-0.33
2024-08-25 08:33:29,25.46,-0.36
2024-08-25 08:33:30,25.46,-0.39
2024-08-25 08:33:31,25.45,-0.36
2024-08-25 08:33:32,25.46,-0.36
2024-08-25 08:33:33,25.46,-0.33
2024-08-25 08:33:34,25.44,-0.36
2024-08-25 08:33:35,25.46,-0.33
2024-08-25 08:33:36,25.43,-0.33
2024-08-25 08:33:37,25.42,-0.33
2024-08-25 08:33:38,25.42,-0.33
2024-08-25 08:33:39,25.43,-0.33
2024-08-25 08:33:40,25.44,-0.33
2024-08-25 08:33:41,25.43,-0.33
2024-08-25 08:33:42,25.42,-0.36
2024-08-25 08:33:43,25.44,-0.36
2024-08-25 08:33:44,25.42,-0.36
2024-08-25 08:33:45,25.42,-0.36
2024-08-25 08:33:46,25.43,-0.36
2024-08-25 08:33:47,25.41,-0.36
2024-08-25 08:33:48,25.4,-0.33
2024-08-25 08:33:49,25.4,-0.36
2024-08-25 08:33:50,25.42,-0.33
2024-08-25 08:33:51,25.41,-0.33
2024-08-25 08:33:52,25.39,-0.33
2024-08-25 08:33:53,25.39,-0.36
2024-08-25 08:33:54,25.39,-0.33
2024-08-25 08:33:55,25.39,-0.33
2024-08-25 08:33:56,25.4,-0.3
2024-08-25 08:33:57,25.39,-0.33
2024-08-25 08:33:58,25.4,-0.36
2024-08-25 08:33:59,25.4,-0.39
2024-08-25 08:34:00,25.38,-0.33
2024-08-25 08:34:01,25.39,-0.33
2024-08-25 08:34:02,25.37,-0.36
2024-08-25 08:34:03,25.39,-0.36
2024-08-25 08:34:04,25.37,-0.33
2024-08-25 08:34:05,25.37,-0.33
2024-08-25 08:34:06,25.36,-0.36
2024-08-25 08:34:07,25.37,-0.33
2024-08-25 08:34:08,25.35,-0.33
2024-08-25 08:34:09,25.35,-0.33
2024-08-25 08:34:10,25.36,-0.39
2024-08-25 08:34:11,25.37,-0.33
2024-08-25 08:34:12,25.36,-0.39
2024-08-25 08:34:13,25.35,-0.33
2024-08-25 08:34:14,25.35,-0.33
2024-08-25 08:34:15,25.36,-0.36
2024-08-25 08:34:16,25.36,-0.36
2024-08-25 08:34:17,25.35,-0.36
2024-08-25 08:34:18,25.35,-0.36
2024-08-25 08:34:19,25.35,-0.36
2024-08-25 08:34:20,25.33,-0.33
2024-08-25 08:34:21,25.33,-0.33
2024-08-25 08:34:22,25.33,-0.33
2024-08-25 08:34:23,25.35,-0.33
2024-08-25 08:34:24,25.32,-0.36
2024-08-25 08:34:25,25.32,-0.36
2024-08-25 08:34:26,25.32,-0.36
2024-08-25 08:34:27,25.3,-0.36
2024-08-25 08:34:28,25.32,-0.33
2024-08-25 08:34:29,25.32,-0.33
2024-08-25 08:34:30,25.32,-0.36
