File name: mvilanova_n42csic_2024-08-14T21:41:49_2024-08-14T23:50:11

User: mvilanova

Sensor: n42csic[D6:55:61:A5:34:78]

Dive: Eden Roc 14/08/24
Dive date range: 2024-08-14 21:41:49 - 2024-08-14 23:50:11 (UTC +02:00)

"Location: 41.771378,3.030456"

Summary: 
Duration: 2:08:22 h.
Temp: 21.92 c (min.) 27.55 c (max.) 
Depth: -26.78 m (max.)

date,temperature(c),depth(m)
2024-08-14 21:41:49,26.74,-2.16
2024-08-14 21:41:50,26.72,-2.3
2024-08-14 21:41:51,26.74,-2.49
2024-08-14 21:41:52,26.75,-2.78
2024-08-14 21:41:53,26.76,-3.1
2024-08-14 21:41:54,26.77,-3.34
2024-08-14 21:41:55,26.8,-3.58
2024-08-14 21:41:56,26.81,-3.84
2024-08-14 21:41:57,26.8,-4.14
2024-08-14 21:41:58,26.82,-4.41
2024-08-14 21:41:59,26.82,-4.67
2024-08-14 21:42:00,26.83,-4.9
2024-08-14 21:42:01,26.84,-5.14
2024-08-14 21:42:02,26.85,-5.4
2024-08-14 21:42:03,26.87,-5.59
2024-08-14 21:42:04,26.86,-5.76
2024-08-14 21:42:05,26.89,-5.97
2024-08-14 21:42:06,26.87,-6.17
2024-08-14 21:42:07,26.88,-6.41
2024-08-14 21:42:08,26.92,-6.59
2024-08-14 21:42:09,26.89,-6.74
2024-08-14 21:42:10,26.89,-6.76
2024-08-14 21:42:11,26.92,-6.88
2024-08-14 21:42:12,26.91,-7.06
2024-08-14 21:42:13,26.89,-7.21
2024-08-14 21:42:14,26.92,-7.35
2024-08-14 21:42:15,26.94,-7.47
2024-08-14 21:42:16,26.94,-7.68
2024-08-14 21:42:17,26.92,-7.8
2024-08-14 21:42:18,26.96,-7.86
2024-08-14 21:42:19,26.95,-7.97
2024-08-14 21:42:20,26.96,-8.07
2024-08-14 21:42:21,26.96,-8.13
2024-08-14 21:42:22,26.96,-8.13
2024-08-14 21:42:23,26.97,-8.24
2024-08-14 21:42:24,26.99,-8.36
2024-08-14 21:42:25,26.96,-8.39
2024-08-14 21:42:26,26.96,-8.42
2024-08-14 21:42:27,26.99,-8.57
2024-08-14 21:42:28,26.99,-8.66
