File name: mvilanova_n52csic_2024-08-22T14:03:48_2024-08-22T15:03:47

User: mvilanova

Sensor: n52csic[FD:44:65:43:93:19]

Dive: Prueba Boton Erase. funciona
Dive date range: 2024-08-22 14:03:48 - 2024-08-22 15:03:47 (UTC +02:00)

"Location: 40.416775,-3.70379"

Summary: 
Duration: 0:59:59 h.
Temp: 26.15 c (min.) 26.53 c (max.) 
Depth: -0.38 m (max.)

date,temperature(c),depth(m)
2024-08-22 14:03:48,26.33,-0.31
2024-08-22 14:03:49,26.35,-0.28
2024-08-22 14:03:50,26.36,-0.28
2024-08-22 14:03:51,26.36,-0.31
2024-08-22 14:03:52,26.36,-0.28
2024-08-22 14:03:53,26.37,-0.31
2024-08-22 14:03:54,26.37,-0.34
2024-08-22 14:03:55,26.37,-0.31
2024-08-22 14:03:56,26.37,-0.28
2024-08-22 14:03:57,26.35,-0.34
2024-08-22 14:03:58,26.36,-0.28
2024-08-22 14:03:59,26.38,-0.28
2024-08-22 14:04:00,26.35,-0.31
2024-08-22 14:04:01,26.37,-0.31
2024-08-22 14:04:02,26.37,-0.31
2024-08-22 14:04:03,26.35,-0.31
2024-08-22 14:04:04,26.35,-0.28
2024-08-22 14:04:05,26.35,-0.31
2024-08-22 14:04:06,26.36,-0.31
2024-08-22 14:04:07,26.37,-0.28
2024-08-22 14:04:08,26.37,-0.31
2024-08-22 14:04:09,26.36,-0.31
2024-08-22 14:04:10,26.36,-0.31
2024-08-22 14:04:11,26.35,-0.31
2024-08-22 14:04:12,26.36,-0.31
2024-08-22 14:04:13,26.35,-0.28
2024-08-22 14:04:14,26.35,-0.34
2024-08-22 14:04:15,26.35,-0.34
2024-08-22 14:04:16,26.34,-0.31
2024-08-22 14:04:17,26.35,-0.28
2024-08-22 14:04:18,26.36,-0.31
2024-08-22 14:04:19,26.33,-0.24
2024-08-22 14:04:20,26.35,-0.31
2024-08-22 14:04:21,26.33,-0.31
2024-08-22 14:04:22,26.35,-0.28
2024-08-22 14:04:23,26.34,-0.28
2024-08-22 14:04:24,26.35,-0.28
2024-08-22 14:04:25,26.35,-0.31
2024-08-22 14:04:26,26.34,-0.31
2024-08-22 14:04:27,26.34,-0.28
2024-08-22 14:04:28,26.32,-0.28
2024-08-22 14:04:29,26.34,-0.34
2024-08-22 14:04:30,26.35,-0.31
2024-08-22 14:04:31,26.32,-0.28
2024-08-22 14:04:32,26.32,-0.31
2024-08-22 14:04:33,26.35,-0.31
2024-08-22 14:04:34,26.33,-0.31
2024-08-22 14:04:35,26.35,-0.31
2024-08-22 14:04:36,26.34,-0.34
2024-08-22 14:04:37,26.34,-0.34
2024-08-22 14:04:38,26.33,-0.31
2024-08-22 14:04:39,26.33,-0.31
2024-08-22 14:04:40,26.33,-0.34
2024-08-22 14:04:41,26.33,-0.34
2024-08-22 14:04:42,26.33,-0.31
2024-08-22 14:04:43,26.32,-0.34
2024-08-22 14:04:44,26.32,-0.31
2024-08-22 14:04:45,26.32,-0.37
2024-08-22 14:04:46,26.32,-0.34
2024-08-22 14:04:47,26.33,-0.31
2024-08-22 14:04:48,26.32,-0.31
2024-08-22 14:04:49,26.32,-0.31
2024-08-22 14:04:50,26.32,-0.28
2024-08-22 14:04:51,26.32,-0.31
2024-08-22 14:04:52,26.33,-0.31
2024-08-22 14:04:53,26.32,-0.28
2024-08-22 14:04:54,26.32,-0.31
2024-08-22 14:04:55,26.28,-0.31
2024-08-22 14:04:56,26.32,-0.31
2024-08-22 14:04:57,26.32,-0.31
2024-08-22 14:04:58,26.32,-0.34
2024-08-22 14:04:59,26.32,-0.31
2024-08-22 14:05:00,26.29,-0.24
2024-08-22 14:05:01,26.31,-0.31
2024-08-22 14:05:02,26.32,-0.31
2024-08-22 14:05:03,26.31,-0.31
2024-08-22 14:05:04,26.31,-0.34
2024-08-22 14:05:05,26.32,-0.31
2024-08-22 14:05:06,26.28,-0.28
2024-08-22 14:05:07,26.31,-0.28
2024-08-22 14:05:08,26.32,-0.31
2024-08-22 14:05:09,26.32,-0.34
2024-08-22 14:05:10,26.31,-0.24
2024-08-22 14:05:11,26.28,-0.31
2024-08-22 14:05:12,26.31,-0.28
2024-08-22 14:05:13,26.29,-0.31
2024-08-22 14:05:14,26.28,-0.31
2024-08-22 14:05:15,26.32,-0.34
2024-08-22 14:05:16,26.31,-0.31
2024-08-22 14:05:17,26.32,-0.34
2024-08-22 14:05:18,26.28,-0.28
2024-08-22 14:05:19,26.31,-0.31
2024-08-22 14:05:20,26.28,-0.31
2024-08-22 14:05:21,26.28,-0.28
2024-08-22 14:05:22,26.31,-0.31
2024-08-22 14:05:23,26.29,-0.31
2024-08-22 14:05:24,26.28,-0.28
2024-08-22 14:05:25,26.29,-0.31
2024-08-22 14:05:26,26.29,-0.31
2024-08-22 14:05:27,26.28,-0.37
2024-08-22 14:05:28,26.28,-0.31
2024-08-22 14:05:29,26.29,-0.31
2024-08-22 14:05:30,26.29,-0.28
2024-08-22 14:05:31,26.28,-0.31
2024-08-22 14:05:32,26.31,-0.31
2024-08-22 14:05:33,26.28,-0.31
2024-08-22 14:05:34,26.29,-0.31
2024-08-22 14:05:35,26.28,-0.31
2024-08-22 14:05:36,26.29,-0.28
2024-08-22 14:05:37,26.29,-0.31
2024-08-22 14:05:38,26.28,-0.31
2024-08-22 14:05:39,26.28,-0.31
2024-08-22 14:05:40,26.28,-0.28
2024-08-22 14:05:41,26.28,-0.31
2024-08-22 14:05:42,26.29,-0.31
2024-08-22 14:05:43,26.28,-0.28
