File name: mvilanova_n52csic_2024-09-04T17:00:11_2024-09-04T19:02:08

User: mvilanova

Sensor: n52csic[FD:44:65:43:93:19]

Dive: Eden Roc
Dive date range: 2024-09-04 17:00:11 - 2024-09-04 19:02:08 (UTC +02:00)

"Location: 41.77116,3.030774"

Summary: 
Duration: 2:01:57 h.
Temp: 19.75 c (min.) 25.89 c (max.) 
Depth: -34.03 m (max.)

date,temperature(c),depth(m)
2024-09-04 17:00:11,25.58,-1.12
2024-09-04 17:00:12,25.59,-1.37
2024-09-04 17:00:13,25.58,-1.49
2024-09-04 17:00:14,25.59,-1.67
2024-09-04 17:00:15,25.57,-1.83
2024-09-04 17:00:16,25.59,-2.16
2024-09-04 17:00:17,25.57,-2.35
2024-09-04 17:00:18,25.59,-2.47
2024-09-04 17:00:19,25.57,-2.59
2024-09-04 17:00:20,25.57,-2.73
2024-09-04 17:00:21,25.58,-2.89
2024-09-04 17:00:22,25.6,-3.01
2024-09-04 17:00:23,25.57,-3.04
2024-09-04 17:00:24,25.57,-3.13
2024-09-04 17:00:25,25.58,-3.31
2024-09-04 17:00:26,25.57,-3.44
2024-09-04 17:00:27,25.6,-3.56
2024-09-04 17:00:28,25.58,-3.65
2024-09-04 17:00:29,25.57,-3.86
2024-09-04 17:00:30,25.59,-4.08
2024-09-04 17:00:31,25.59,-4.2
2024-09-04 17:00:32,25.57,-4.32
2024-09-04 17:00:33,25.57,-4.47
2024-09-04 17:00:34,25.57,-4.59
2024-09-04 17:00:35,25.57,-4.77
2024-09-04 17:00:36,25.58,-4.8
2024-09-04 17:00:37,25.58,-4.89
2024-09-04 17:00:38,25.57,-5.02
2024-09-04 17:00:39,25.57,-5.14
2024-09-04 17:00:40,25.57,-5.23
2024-09-04 17:00:41,25.57,-5.29
2024-09-04 17:00:42,25.57,-5.41
2024-09-04 17:00:43,25.57,-5.54
2024-09-04 17:00:44,25.58,-5.63
2024-09-04 17:00:45,25.57,-5.63
2024-09-04 17:00:46,25.57,-5.57
2024-09-04 17:00:47,25.57,-5.57
2024-09-04 17:00:48,25.58,-5.69
2024-09-04 17:00:49,25.58,-5.84
2024-09-04 17:00:50,25.58,-5.84
2024-09-04 17:00:51,25.55,-5.81
2024-09-04 17:00:52,25.57,-5.81
2024-09-04 17:00:53,25.57,-5.81
