File name: mvilanova_n52csic_2024-09-21T09:23:57_2024-09-21T10:03:36

User: mvilanova

Sensor: n52csic[FD:44:65:43:93:19]

Dive: Llosa
Dive date range: 2024-09-21 09:23:57 - 2024-09-21 10:03:36 (UTC +02:00)

"Location: 41.837721,3.125362"

Summary: 
Duration: 0:39:39 h.
Temp: 18.28 c (min.) 21.32 c (max.) 
Depth: -36.03 m (max.)

date,temperature(c),depth(m)
2024-09-21 09:23:57,21.29,-0.73
2024-09-21 09:23:58,21.29,-1.03
2024-09-21 09:23:59,21.28,-0.97
2024-09-21 09:24:00,21.29,-0.95
2024-09-21 09:24:01,21.28,-1.0
2024-09-21 09:24:02,21.31,-0.92
2024-09-21 09:24:03,21.28,-0.95
2024-09-21 09:24:04,21.3,-1.09
2024-09-21 09:24:05,21.31,-1.4
2024-09-21 09:24:06,21.3,-1.63
2024-09-21 09:24:07,21.3,-1.72
2024-09-21 09:24:08,21.32,-2.0
2024-09-21 09:24:09,21.31,-2.24
2024-09-21 09:24:10,21.31,-2.42
2024-09-21 09:24:11,21.31,-2.48
2024-09-21 09:24:12,21.3,-2.66
2024-09-21 09:24:13,21.3,-2.81
2024-09-21 09:24:14,21.29,-2.93
2024-09-21 09:24:15,21.31,-2.96
2024-09-21 09:24:16,21.3,-2.9
2024-09-21 09:24:17,21.28,-2.99
2024-09-21 09:24:18,21.29,-3.2
2024-09-21 09:24:19,21.27,-3.42
2024-09-21 09:24:20,21.28,-3.48
2024-09-21 09:24:21,21.27,-3.62
2024-09-21 09:24:22,21.26,-3.71
2024-09-21 09:24:23,21.28,-3.77
2024-09-21 09:24:24,21.27,-3.83
2024-09-21 09:24:25,21.24,-4.14
2024-09-21 09:24:26,21.25,-4.37
2024-09-21 09:24:27,21.24,-4.53
2024-09-21 09:24:28,21.23,-4.65
2024-09-21 09:24:29,21.22,-4.74
2024-09-21 09:24:30,21.22,-4.92
2024-09-21 09:24:31,21.22,-5.04
2024-09-21 09:24:32,21.22,-5.16
2024-09-21 09:24:33,21.21,-5.28
2024-09-21 09:24:34,21.21,-5.44
2024-09-21 09:24:35,21.22,-5.73
2024-09-21 09:24:36,21.21,-6.01
2024-09-21 09:24:37,21.23,-6.24
2024-09-21 09:24:38,21.21,-6.52
2024-09-21 09:24:39,21.21,-6.72
2024-09-21 09:24:40,21.2,-6.9
2024-09-21 09:24:41,21.21,-7.12
2024-09-21 09:24:42,21.19,-7.18
2024-09-21 09:24:43,21.2,-7.36
2024-09-21 09:24:44,21.18,-7.66
2024-09-21 09:24:45,21.18,-7.84
2024-09-21 09:24:46,21.17,-7.99
2024-09-21 09:24:47,21.17,-8.14
2024-09-21 09:24:48,21.16,-8.2
2024-09-21 09:24:49,21.14,-8.38
2024-09-21 09:24:50,21.14,-8.54
2024-09-21 09:24:51,21.11,-8.66
2024-09-21 09:24:52,21.1,-8.77
2024-09-21 09:24:53,21.07,-8.95
2024-09-21 09:24:54,21.08,-9.11
2024-09-21 09:24:55,21.07,-9.29
2024-09-21 09:24:56,21.05,-9.52
2024-09-21 09:24:57,21.04,-9.74
2024-09-21 09:24:58,21.03,-9.83
2024-09-21 09:24:59,21.02,-9.97
2024-09-21 09:25:00,21.03,-10.16
2024-09-21 09:25:01,20.99,-10.31
2024-09-21 09:25:02,21.02,-10.48
2024-09-21 09:25:03,21.0,-10.61
2024-09-21 09:25:04,20.96,-10.76
2024-09-21 09:25:05,20.95,-10.88
2024-09-21 09:25:06,20.96,-10.97
2024-09-21 09:25:07,20.92,-11.06
2024-09-21 09:25:08,20.93,-11.15
2024-09-21 09:25:09,20.9,-11.21
2024-09-21 09:25:10,20.85,-11.27
2024-09-21 09:25:11,20.82,-11.3
2024-09-21 09:25:12,20.82,-11.45
2024-09-21 09:25:13,20.78,-11.54
2024-09-21 09:25:14,20.78,-11.69
2024-09-21 09:25:15,20.74,-11.81
2024-09-21 09:25:16,20.72,-11.93
2024-09-21 09:25:17,20.73,-11.9
2024-09-21 09:25:18,20.72,-11.96
2024-09-21 09:25:19,20.72,-12.02
2024-09-21 09:25:20,20.69,-12.15
2024-09-21 09:25:21,20.67,-12.26
2024-09-21 09:25:22,20.67,-12.41
2024-09-21 09:25:23,20.61,-12.62
2024-09-21 09:25:24,20.6,-12.8
2024-09-21 09:25:25,20.6,-13.01
2024-09-21 09:25:26,20.6,-13.1
2024-09-21 09:25:27,20.61,-13.16
2024-09-21 09:25:28,20.64,-13.16
2024-09-21 09:25:29,20.62,-13.26
2024-09-21 09:25:30,20.6,-13.37
2024-09-21 09:25:31,20.59,-13.46
2024-09-21 09:25:32,20.57,-13.64
2024-09-21 09:25:33,20.56,-13.67
2024-09-21 09:25:34,20.56,-13.67
2024-09-21 09:25:35,20.53,-13.77
2024-09-21 09:25:36,20.49,-13.8
2024-09-21 09:25:37,20.49,-13.86
2024-09-21 09:25:38,20.51,-13.97
2024-09-21 09:25:39,20.53,-14.09
2024-09-21 09:25:40,20.51,-14.18
2024-09-21 09:25:41,20.53,-14.31
2024-09-21 09:25:42,20.55,-14.34
2024-09-21 09:25:43,20.55,-14.4
2024-09-21 09:25:44,20.5,-14.4
2024-09-21 09:25:45,20.46,-14.57
2024-09-21 09:25:46,20.45,-14.69
2024-09-21 09:25:47,20.45,-14.76
2024-09-21 09:25:48,20.46,-14.69
2024-09-21 09:25:49,20.48,-14.79
2024-09-21 09:25:50,20.47,-14.82
2024-09-21 09:25:51,20.5,-14.76
2024-09-21 09:25:52,20.47,-14.79
2024-09-21 09:25:53,20.46,-14.85
2024-09-21 09:25:54,20.47,-14.91
2024-09-21 09:25:55,20.46,-14.96
2024-09-21 09:25:56,20.42,-14.99
2024-09-21 09:25:57,20.4,-15.02
2024-09-21 09:25:58,20.37,-15.11
2024-09-21 09:25:59,20.35,-15.3
2024-09-21 09:26:00,20.35,-15.36
2024-09-21 09:26:01,20.35,-15.39
2024-09-21 09:26:02,20.35,-15.45
2024-09-21 09:26:03,20.33,-15.53
2024-09-21 09:26:04,20.35,-15.56
2024-09-21 09:26:05,20.33,-15.62
2024-09-21 09:26:06,20.32,-15.65
2024-09-21 09:26:07,20.3,-15.65
2024-09-21 09:26:08,20.32,-15.71
2024-09-21 09:26:09,20.3,-15.9
2024-09-21 09:26:10,20.28,-16.01
2024-09-21 09:26:11,20.25,-16.07
2024-09-21 09:26:12,20.28,-16.13
2024-09-21 09:26:13,20.29,-16.1
2024-09-21 09:26:14,20.26,-16.07
2024-09-21 09:26:15,20.29,-16.01
2024-09-21 09:26:16,20.25,-16.16
2024-09-21 09:26:17,20.24,-16.29
2024-09-21 09:26:18,20.2,-16.29
2024-09-21 09:26:19,20.21,-16.29
2024-09-21 09:26:20,20.2,-16.29
2024-09-21 09:26:21,20.18,-16.32
2024-09-21 09:26:22,20.15,-16.32
2024-09-21 09:26:23,20.17,-16.41
2024-09-21 09:26:24,20.17,-16.5
2024-09-21 09:26:25,20.19,-16.52
2024-09-21 09:26:26,20.2,-16.64
2024-09-21 09:26:27,20.16,-16.86
2024-09-21 09:26:28,20.14,-17.12
2024-09-21 09:26:29,20.14,-17.24
2024-09-21 09:26:30,20.15,-17.31
2024-09-21 09:26:31,20.14,-17.49
2024-09-21 09:26:32,20.13,-17.72
2024-09-21 09:26:33,20.11,-17.85
2024-09-21 09:26:34,20.11,-17.97
2024-09-21 09:26:35,20.09,-18.06
2024-09-21 09:26:36,20.12,-18.09
2024-09-21 09:26:37,20.14,-18.36
2024-09-21 09:26:38,20.1,-18.6
2024-09-21 09:26:39,20.1,-18.77
2024-09-21 09:26:40,20.1,-18.9
2024-09-21 09:26:41,20.12,-18.99
2024-09-21 09:26:42,20.1,-19.11
2024-09-21 09:26:43,20.08,-19.2
2024-09-21 09:26:44,20.07,-19.26
2024-09-21 09:26:45,20.09,-19.47
2024-09-21 09:26:46,20.1,-19.68
2024-09-21 09:26:47,20.07,-19.85
2024-09-21 09:26:48,20.07,-19.98
2024-09-21 09:26:49,20.07,-20.1
2024-09-21 09:26:50,20.07,-20.25
2024-09-21 09:26:51,20.09,-20.31
2024-09-21 09:26:52,20.09,-20.31
2024-09-21 09:26:53,20.07,-20.46
2024-09-21 09:26:54,20.07,-20.46
2024-09-21 09:26:55,20.07,-20.39
2024-09-21 09:26:56,20.04,-20.36
2024-09-21 09:26:57,20.01,-20.36
2024-09-21 09:26:58,19.98,-20.3
2024-09-21 09:26:59,19.96,-20.33
2024-09-21 09:27:00,19.89,-20.39
2024-09-21 09:27:01,19.87,-20.43
2024-09-21 09:27:02,19.88,-20.39
2024-09-21 09:27:03,19.86,-20.46
2024-09-21 09:27:04,19.85,-20.46
2024-09-21 09:27:05,19.82,-20.49
2024-09-21 09:27:06,19.82,-20.55
2024-09-21 09:27:07,19.83,-20.55
2024-09-21 09:27:08,19.84,-20.49
2024-09-21 09:27:09,19.82,-20.57
2024-09-21 09:27:10,19.8,-20.63
2024-09-21 09:27:11,19.79,-20.69
2024-09-21 09:27:12,19.77,-20.72
2024-09-21 09:27:13,19.75,-20.78
2024-09-21 09:27:14,19.75,-20.78
2024-09-21 09:27:15,19.75,-20.81
2024-09-21 09:27:16,19.74,-20.75
2024-09-21 09:27:17,19.75,-20.69
2024-09-21 09:27:18,19.74,-20.63
2024-09-21 09:27:19,19.71,-20.54
2024-09-21 09:27:20,19.71,-20.57
2024-09-21 09:27:21,19.67,-20.57
2024-09-21 09:27:22,19.68,-20.6
2024-09-21 09:27:23,19.7,-20.63
2024-09-21 09:27:24,19.71,-20.57
2024-09-21 09:27:25,19.71,-20.54
2024-09-21 09:27:26,19.72,-20.42
2024-09-21 09:27:27,19.71,-20.32
2024-09-21 09:27:28,19.71,-20.17
2024-09-21 09:27:29,19.67,-20.0
2024-09-21 09:27:30,19.69,-19.91
2024-09-21 09:27:31,19.7,-19.87
2024-09-21 09:27:32,19.67,-19.81
2024-09-21 09:27:33,19.67,-19.78
2024-09-21 09:27:34,19.66,-19.72
2024-09-21 09:27:35,19.68,-19.69
2024-09-21 09:27:36,19.69,-19.57
2024-09-21 09:27:37,19.64,-19.57
2024-09-21 09:27:38,19.64,-19.54
2024-09-21 09:27:39,19.63,-19.54
2024-09-21 09:27:40,19.62,-19.54
2024-09-21 09:27:41,19.62,-19.54
2024-09-21 09:27:42,19.62,-19.57
2024-09-21 09:27:43,19.64,-19.54
2024-09-21 09:27:44,19.66,-19.42
2024-09-21 09:27:45,19.6,-19.45
2024-09-21 09:27:46,19.63,-19.32
2024-09-21 09:27:47,19.63,-19.42
2024-09-21 09:27:48,19.64,-19.35
2024-09-21 09:27:49,19.64,-19.42
2024-09-21 09:27:50,19.66,-19.48
2024-09-21 09:27:51,19.66,-19.48
2024-09-21 09:27:52,19.67,-19.51
2024-09-21 09:27:53,19.68,-19.6
2024-09-21 09:27:54,19.67,-19.77
2024-09-21 09:27:55,19.7,-19.78
2024-09-21 09:27:56,19.69,-19.78
2024-09-21 09:27:57,19.72,-19.9
2024-09-21 09:27:58,19.69,-20.02
2024-09-21 09:27:59,19.67,-20.11
2024-09-21 09:28:00,19.64,-20.14
2024-09-21 09:28:01,19.64,-20.08
2024-09-21 09:28:02,19.62,-20.11
2024-09-21 09:28:03,19.62,-20.17
2024-09-21 09:28:04,19.62,-20.31
2024-09-21 09:28:05,19.6,-20.47
2024-09-21 09:28:06,19.58,-20.53
2024-09-21 09:28:07,19.57,-20.59
2024-09-21 09:28:08,19.57,-20.62
2024-09-21 09:28:09,19.57,-20.68
2024-09-21 09:28:10,19.57,-20.53
2024-09-21 09:28:11,19.59,-20.5
2024-09-21 09:28:12,19.57,-20.53
2024-09-21 09:28:13,19.58,-20.65
2024-09-21 09:28:14,19.57,-20.74
2024-09-21 09:28:15,19.57,-20.77
2024-09-21 09:28:16,19.57,-20.71
2024-09-21 09:28:17,19.55,-20.68
2024-09-21 09:28:18,19.55,-20.74
2024-09-21 09:28:19,19.53,-20.88
2024-09-21 09:28:20,19.55,-21.1
2024-09-21 09:28:21,19.55,-21.16
2024-09-21 09:28:22,19.55,-21.22
2024-09-21 09:28:23,19.56,-21.25
2024-09-21 09:28:24,19.55,-21.3
2024-09-21 09:28:25,19.57,-21.33
2024-09-21 09:28:26,19.53,-21.33
2024-09-21 09:28:27,19.54,-21.39
2024-09-21 09:28:28,19.54,-21.42
2024-09-21 09:28:29,19.52,-21.36
2024-09-21 09:28:30,19.52,-21.3
2024-09-21 09:28:31,19.53,-21.33
2024-09-21 09:28:32,19.52,-21.36
2024-09-21 09:28:33,19.52,-21.39
2024-09-21 09:28:34,19.5,-21.24
2024-09-21 09:28:35,19.51,-21.21
2024-09-21 09:28:36,19.5,-21.24
2024-09-21 09:28:37,19.48,-21.3
2024-09-21 09:28:38,19.5,-21.39
2024-09-21 09:28:39,19.48,-21.3
2024-09-21 09:28:40,19.48,-21.3
2024-09-21 09:28:41,19.46,-21.42
2024-09-21 09:28:42,19.45,-21.46
2024-09-21 09:28:43,19.44,-21.42
2024-09-21 09:28:44,19.45,-21.42
2024-09-21 09:28:45,19.42,-21.42
2024-09-21 09:28:46,19.42,-21.33
2024-09-21 09:28:47,19.42,-21.42
2024-09-21 09:28:48,19.42,-21.49
2024-09-21 09:28:49,19.4,-21.46
2024-09-21 09:28:50,19.44,-21.42
2024-09-21 09:28:51,19.42,-21.39
2024-09-21 09:28:52,19.42,-21.36
2024-09-21 09:28:53,19.43,-21.54
2024-09-21 09:28:54,19.44,-21.81
2024-09-21 09:28:55,19.42,-22.0
2024-09-21 09:28:56,19.4,-22.2
2024-09-21 09:28:57,19.4,-22.32
2024-09-21 09:28:58,19.42,-22.35
2024-09-21 09:28:59,19.44,-22.54
2024-09-21 09:29:00,19.42,-22.77
2024-09-21 09:29:01,19.44,-22.86
2024-09-21 09:29:02,19.4,-22.99
2024-09-21 09:29:03,19.42,-23.08
2024-09-21 09:29:04,19.43,-23.19
2024-09-21 09:29:05,19.4,-23.37
2024-09-21 09:29:06,19.42,-23.53
2024-09-21 09:29:07,19.43,-23.61
2024-09-21 09:29:08,19.44,-23.7
2024-09-21 09:29:09,19.43,-23.76
2024-09-21 09:29:10,19.4,-23.85
2024-09-21 09:29:11,19.39,-23.94
2024-09-21 09:29:12,19.42,-24.07
2024-09-21 09:29:13,19.4,-24.21
2024-09-21 09:29:14,19.4,-24.27
2024-09-21 09:29:15,19.4,-24.36
2024-09-21 09:29:16,19.39,-24.58
2024-09-21 09:29:17,19.39,-24.69
2024-09-21 09:29:18,19.39,-24.84
2024-09-21 09:29:19,19.39,-24.9
2024-09-21 09:29:20,19.4,-24.96
2024-09-21 09:29:21,19.38,-24.9
2024-09-21 09:29:22,19.38,-24.93
2024-09-21 09:29:23,19.35,-25.17
2024-09-21 09:29:24,19.32,-25.38
