File name: mvilanova_n52csic_2024-10-08T11:56:31_2024-10-08T12:53:13

User: mvilanova

Sensor: n52csic[FD:44:65:43:93:19]

Dive: Tascó Petit
Dive date range: 2024-10-08 11:56:31 - 2024-10-08 12:53:13 (UTC +02:00)

"Location: 42.041314,3.226527"

Summary: 
Duration: 0:56:42 h.
Temp: 19.57 c (min.) 20.91 c (max.) 
Depth: -18.71 m (max.)

date,temperature(c),depth(m)
2024-10-08 11:56:31,20.91,-1.43
2024-10-08 11:56:32,20.9,-1.55
2024-10-08 11:56:33,20.9,-1.64
2024-10-08 11:56:34,20.89,-1.7
2024-10-08 11:56:35,20.89,-1.86
2024-10-08 11:56:36,20.86,-1.92
2024-10-08 11:56:37,20.86,-2.01
2024-10-08 11:56:38,20.84,-2.13
2024-10-08 11:56:39,20.86,-2.22
2024-10-08 11:56:40,20.84,-2.22
2024-10-08 11:56:41,20.84,-2.3
2024-10-08 11:56:42,20.85,-2.4
2024-10-08 11:56:43,20.84,-2.52
2024-10-08 11:56:44,20.83,-2.79
2024-10-08 11:56:45,20.8,-3.01
2024-10-08 11:56:46,20.8,-3.19
2024-10-08 11:56:47,20.8,-3.27
2024-10-08 11:56:48,20.79,-3.52
2024-10-08 11:56:49,20.8,-3.79
2024-10-08 11:56:50,20.8,-4.1
2024-10-08 11:56:51,20.77,-4.28
2024-10-08 11:56:52,20.81,-4.49
2024-10-08 11:56:53,20.77,-4.67
2024-10-08 11:56:54,20.77,-4.85
2024-10-08 11:56:55,20.78,-5.04
2024-10-08 11:56:56,20.75,-5.16
2024-10-08 11:56:57,20.75,-5.33
2024-10-08 11:56:58,20.73,-5.49
2024-10-08 11:56:59,20.72,-5.61
2024-10-08 11:57:00,20.71,-5.76
2024-10-08 11:57:01,20.71,-5.88
2024-10-08 11:57:02,20.69,-5.95
2024-10-08 11:57:03,20.69,-6.12
2024-10-08 11:57:04,20.68,-6.21
2024-10-08 11:57:05,20.67,-6.36
2024-10-08 11:57:06,20.67,-6.36
2024-10-08 11:57:07,20.67,-6.33
2024-10-08 11:57:08,20.64,-6.15
2024-10-08 11:57:09,20.62,-6.06
2024-10-08 11:57:10,20.57,-6.05
2024-10-08 11:57:11,20.57,-6.2
2024-10-08 11:57:12,20.53,-6.32
2024-10-08 11:57:13,20.5,-6.44
2024-10-08 11:57:14,20.5,-6.41
2024-10-08 11:57:15,20.47,-6.44
2024-10-08 11:57:16,20.45,-6.48
2024-10-08 11:57:17,20.46,-6.62
2024-10-08 11:57:18,20.46,-6.68
2024-10-08 11:57:19,20.46,-6.62
2024-10-08 11:57:20,20.46,-6.56
2024-10-08 11:57:21,20.46,-6.53
2024-10-08 11:57:22,20.44,-6.47
2024-10-08 11:57:23,20.43,-6.47
2024-10-08 11:57:24,20.42,-6.65
2024-10-08 11:57:25,20.42,-6.59
2024-10-08 11:57:26,20.42,-6.56
2024-10-08 11:57:27,20.42,-6.53
2024-10-08 11:57:28,20.39,-6.53
2024-10-08 11:57:29,20.39,-6.5
2024-10-08 11:57:30,20.41,-6.65
2024-10-08 11:57:31,20.4,-6.62
2024-10-08 11:57:32,20.39,-6.56
2024-10-08 11:57:33,20.39,-6.53
2024-10-08 11:57:34,20.39,-6.31
2024-10-08 11:57:35,20.4,-6.28
2024-10-08 11:57:36,20.38,-6.34
2024-10-08 11:57:37,20.38,-6.34
2024-10-08 11:57:38,20.35,-6.42
2024-10-08 11:57:39,20.35,-6.45
2024-10-08 11:57:40,20.35,-6.31
2024-10-08 11:57:41,20.33,-6.28
2024-10-08 11:57:42,20.35,-6.22
2024-10-08 11:57:43,20.33,-6.33
2024-10-08 11:57:44,20.32,-6.45
2024-10-08 11:57:45,20.3,-6.45
2024-10-08 11:57:46,20.32,-6.45
2024-10-08 11:57:47,20.32,-6.49
2024-10-08 11:57:48,20.3,-6.49
2024-10-08 11:57:49,20.31,-6.55
2024-10-08 11:57:50,20.31,-6.61
2024-10-08 11:57:51,20.28,-6.55
2024-10-08 11:57:52,20.31,-6.45
2024-10-08 11:57:53,20.28,-6.7
2024-10-08 11:57:54,20.28,-6.87
2024-10-08 11:57:55,20.28,-6.93
2024-10-08 11:57:56,20.25,-7.06
2024-10-08 11:57:57,20.25,-7.12
2024-10-08 11:57:58,20.24,-7.03
2024-10-08 11:57:59,20.24,-7.0
2024-10-08 11:58:00,20.24,-7.15
2024-10-08 11:58:01,20.25,-7.38
2024-10-08 11:58:02,20.22,-7.57
2024-10-08 11:58:03,20.21,-7.6
2024-10-08 11:58:04,20.21,-7.66
2024-10-08 11:58:05,20.2,-7.6
2024-10-08 11:58:06,20.21,-7.66
2024-10-08 11:58:07,20.18,-7.89
2024-10-08 11:58:08,20.2,-8.05
2024-10-08 11:58:09,20.2,-8.02
2024-10-08 11:58:10,20.2,-8.05
2024-10-08 11:58:11,20.19,-8.02
