File name: mvilanova_n53csic_2024-08-12T14:54:21_2024-08-12T15:54:20

User: mvilanova

Sensor: n53csic[FC:CB:2A:16:06:22]

Dive: Prueba 2
Dive date range: 2024-08-12 14:54:21 - 2024-08-12 15:54:20 (UTC +02:00)

"Location: 40.416775,-3.70379"

Summary: 
Duration: 0:59:59 h.
Temp: 30.92 c (min.) 32.33 c (max.) 
Depth: -0.43 m (max.)

date,temperature(c),depth(m)
2024-08-12 14:54:21,30.95,-0.33
2024-08-12 14:54:22,30.92,-0.33
2024-08-12 14:54:23,30.93,-0.33
2024-08-12 14:54:24,30.95,-0.36
2024-08-12 14:54:25,30.96,-0.36
2024-08-12 14:54:26,30.96,-0.33
2024-08-12 14:54:27,30.97,-0.36
2024-08-12 14:54:28,30.96,-0.33
2024-08-12 14:54:29,30.96,-0.33
2024-08-12 14:54:30,30.97,-0.33
2024-08-12 14:54:31,30.96,-0.3
2024-08-12 14:54:32,30.97,-0.33
2024-08-12 14:54:33,30.99,-0.33
2024-08-12 14:54:34,30.96,-0.33
2024-08-12 14:54:35,30.98,-0.33
2024-08-12 14:54:36,30.99,-0.33
2024-08-12 14:54:37,31.01,-0.33
2024-08-12 14:54:38,31.01,-0.3
2024-08-12 14:54:39,31.01,-0.33
2024-08-12 14:54:40,31.03,-0.36
2024-08-12 14:54:41,31.03,-0.33
2024-08-12 14:54:42,31.03,-0.33
2024-08-12 14:54:43,31.03,-0.33
2024-08-12 14:54:44,31.03,-0.33
2024-08-12 14:54:45,31.04,-0.3
2024-08-12 14:54:46,31.05,-0.33
2024-08-12 14:54:47,31.06,-0.33
2024-08-12 14:54:48,31.07,-0.33
2024-08-12 14:54:49,31.06,-0.33
2024-08-12 14:54:50,31.07,-0.33
2024-08-12 14:54:51,31.06,-0.33
2024-08-12 14:54:52,31.04,-0.33
2024-08-12 14:54:53,31.05,-0.3
2024-08-12 14:54:54,31.07,-0.33
2024-08-12 14:54:55,31.07,-0.36
2024-08-12 14:54:56,31.07,-0.33
2024-08-12 14:54:57,31.06,-0.33
2024-08-12 14:54:58,31.07,-0.3
2024-08-12 14:54:59,31.07,-0.36
2024-08-12 14:55:00,31.08,-0.3
2024-08-12 14:55:01,31.07,-0.33
2024-08-12 14:55:02,31.09,-0.33
2024-08-12 14:55:03,31.1,-0.33
2024-08-12 14:55:04,31.08,-0.36
2024-08-12 14:55:05,31.08,-0.3
2024-08-12 14:55:06,31.08,-0.3
2024-08-12 14:55:07,31.07,-0.3
2024-08-12 14:55:08,31.09,-0.33
2024-08-12 14:55:09,31.11,-0.3
2024-08-12 14:55:10,31.09,-0.33
2024-08-12 14:55:11,31.1,-0.36
2024-08-12 14:55:12,31.1,-0.3
2024-08-12 14:55:13,31.1,-0.33
2024-08-12 14:55:14,31.1,-0.33
2024-08-12 14:55:15,31.1,-0.33
2024-08-12 14:55:16,31.1,-0.3
2024-08-12 14:55:17,31.13,-0.3
2024-08-12 14:55:18,31.1,-0.33
2024-08-12 14:55:19,31.1,-0.33
2024-08-12 14:55:20,31.11,-0.3
2024-08-12 14:55:21,31.14,-0.33
2024-08-12 14:55:22,31.13,-0.36
2024-08-12 14:55:23,31.1,-0.36
2024-08-12 14:55:24,31.11,-0.3
2024-08-12 14:55:25,31.1,-0.33
2024-08-12 14:55:26,31.13,-0.33
2024-08-12 14:55:27,31.11,-0.33
2024-08-12 14:55:28,31.11,-0.3
2024-08-12 14:55:29,31.14,-0.3
2024-08-12 14:55:30,31.14,-0.33
2024-08-12 14:55:31,31.14,-0.33
2024-08-12 14:55:32,31.14,-0.33
2024-08-12 14:55:33,31.1,-0.3
2024-08-12 14:55:34,31.14,-0.33
2024-08-12 14:55:35,31.14,-0.3
2024-08-12 14:55:36,31.13,-0.33
2024-08-12 14:55:37,31.14,-0.33
2024-08-12 14:55:38,31.14,-0.33
2024-08-12 14:55:39,31.14,-0.33
2024-08-12 14:55:40,31.14,-0.33
2024-08-12 14:55:41,31.15,-0.36
2024-08-12 14:55:42,31.15,-0.33
2024-08-12 14:55:43,31.17,-0.33
2024-08-12 14:55:44,31.14,-0.33
2024-08-12 14:55:45,31.15,-0.33
2024-08-12 14:55:46,31.16,-0.33
2024-08-12 14:55:47,31.16,-0.3
2024-08-12 14:55:48,31.15,-0.3
2024-08-12 14:55:49,31.16,-0.3
2024-08-12 14:55:50,31.16,-0.33
2024-08-12 14:55:51,31.16,-0.33
2024-08-12 14:55:52,31.16,-0.3
2024-08-12 14:55:53,31.15,-0.33
2024-08-12 14:55:54,31.14,-0.33
2024-08-12 14:55:55,31.14,-0.36
2024-08-12 14:55:56,31.17,-0.33
2024-08-12 14:55:57,31.15,-0.3
2024-08-12 14:55:58,31.16,-0.33
2024-08-12 14:55:59,31.16,-0.33
2024-08-12 14:56:00,31.17,-0.3
2024-08-12 14:56:01,31.17,-0.33
2024-08-12 14:56:02,31.17,-0.3
2024-08-12 14:56:03,31.16,-0.33
2024-08-12 14:56:04,31.17,-0.3
2024-08-12 14:56:05,31.17,-0.3
2024-08-12 14:56:06,31.17,-0.33
2024-08-12 14:56:07,31.17,-0.33
2024-08-12 14:56:08,31.17,-0.33
2024-08-12 14:56:09,31.17,-0.33
2024-08-12 14:56:10,31.17,-0.33
2024-08-12 14:56:11,31.19,-0.33
2024-08-12 14:56:12,31.16,-0.33
2024-08-12 14:56:13,31.17,-0.33
2024-08-12 14:56:14,31.17,-0.3
2024-08-12 14:56:15,31.17,-0.33
2024-08-12 14:56:16,31.17,-0.33
2024-08-12 14:56:17,31.18,-0.33
2024-08-12 14:56:18,31.19,-0.36
2024-08-12 14:56:19,31.17,-0.3
2024-08-12 14:56:20,31.21,-0.33
2024-08-12 14:56:21,31.18,-0.3
2024-08-12 14:56:22,31.2,-0.36
2024-08-12 14:56:23,31.19,-0.33
2024-08-12 14:56:24,31.21,-0.3
2024-08-12 14:56:25,31.2,-0.33
2024-08-12 14:56:26,31.2,-0.33
2024-08-12 14:56:27,31.2,-0.3
2024-08-12 14:56:28,31.21,-0.33
2024-08-12 14:56:29,31.21,-0.33
2024-08-12 14:56:30,31.18,-0.36
2024-08-12 14:56:31,31.19,-0.33
2024-08-12 14:56:32,31.19,-0.33
2024-08-12 14:56:33,31.21,-0.33
2024-08-12 14:56:34,31.21,-0.33
2024-08-12 14:56:35,31.2,-0.33
2024-08-12 14:56:36,31.21,-0.36
2024-08-12 14:56:37,31.21,-0.3
2024-08-12 14:56:38,31.21,-0.33
2024-08-12 14:56:39,31.21,-0.3
2024-08-12 14:56:40,31.21,-0.33
2024-08-12 14:56:41,31.22,-0.36
2024-08-12 14:56:42,31.21,-0.36
2024-08-12 14:56:43,31.2,-0.36
2024-08-12 14:56:44,31.21,-0.3
2024-08-12 14:56:45,31.2,-0.36
2024-08-12 14:56:46,31.22,-0.33
2024-08-12 14:56:47,31.21,-0.36
2024-08-12 14:56:48,31.22,-0.33
2024-08-12 14:56:49,31.22,-0.3
2024-08-12 14:56:50,31.21,-0.33
2024-08-12 14:56:51,31.21,-0.3
2024-08-12 14:56:52,31.22,-0.33
2024-08-12 14:56:53,31.23,-0.33
2024-08-12 14:56:54,31.23,-0.3
2024-08-12 14:56:55,31.22,-0.33
2024-08-12 14:56:56,31.22,-0.33
2024-08-12 14:56:57,31.23,-0.33
2024-08-12 14:56:58,31.24,-0.33
2024-08-12 14:56:59,31.22,-0.33
2024-08-12 14:57:00,31.23,-0.33
2024-08-12 14:57:01,31.23,-0.3
2024-08-12 14:57:02,31.23,-0.36
2024-08-12 14:57:03,31.24,-0.3
2024-08-12 14:57:04,31.22,-0.36
2024-08-12 14:57:05,31.23,-0.33
2024-08-12 14:57:06,31.25,-0.33
2024-08-12 14:57:07,31.24,-0.33
2024-08-12 14:57:08,31.25,-0.33
2024-08-12 14:57:09,31.24,-0.33
2024-08-12 14:57:10,31.24,-0.33
2024-08-12 14:57:11,31.24,-0.36
2024-08-12 14:57:12,31.22,-0.33
2024-08-12 14:57:13,31.24,-0.36
2024-08-12 14:57:14,31.25,-0.3
2024-08-12 14:57:15,31.23,-0.33
2024-08-12 14:57:16,31.24,-0.33
2024-08-12 14:57:17,31.26,-0.33
2024-08-12 14:57:18,31.26,-0.36
2024-08-12 14:57:19,31.25,-0.33
2024-08-12 14:57:20,31.25,-0.33
2024-08-12 14:57:21,31.24,-0.33
2024-08-12 14:57:22,31.26,-0.3
2024-08-12 14:57:23,31.25,-0.33
