File name: paula_lopez_n52csic_2024-10-16T10:11:57_2024-10-16T10:52:23

User: paula_lopez

Sensor: n52csic[None]

Dive: Ciclón de fuera
Dive date range: 2024-10-16 10:11:57 - 2024-10-16 10:52:23 (UTC +02:00)

"Location: 35.900229,-5.303832"

Summary: 
Duration: 0:40:26 h.
Temp: 16.95 c (min.) 18.03 c (max.) 
Depth: -33.56 m (max.)

date,temperature(c),depth(m)
2024-10-16 10:11:57,18.02,-2.92
2024-10-16 10:11:58,18.0,-3.06
2024-10-16 10:11:59,18.03,-3.24
2024-10-16 10:12:00,18.02,-3.49
2024-10-16 10:12:01,18.01,-3.75
2024-10-16 10:12:02,18.03,-3.91
2024-10-16 10:12:03,18.0,-4.0
2024-10-16 10:12:04,18.0,-4.11
2024-10-16 10:12:05,18.02,-4.29
2024-10-16 10:12:06,18.01,-4.59
2024-10-16 10:12:07,18.0,-4.86
2024-10-16 10:12:08,17.99,-4.89
2024-10-16 10:12:09,18.0,-4.99
2024-10-16 10:12:10,18.0,-5.16
2024-10-16 10:12:11,18.0,-5.44
2024-10-16 10:12:12,18.0,-5.61
2024-10-16 10:12:13,18.0,-5.73
2024-10-16 10:12:14,17.99,-6.0
2024-10-16 10:12:15,17.97,-6.36
2024-10-16 10:12:16,17.96,-6.57
2024-10-16 10:12:17,17.97,-6.75
2024-10-16 10:12:18,17.95,-7.08
2024-10-16 10:12:19,17.95,-7.4
2024-10-16 10:12:20,17.94,-7.77
2024-10-16 10:12:21,17.92,-8.1
2024-10-16 10:12:22,17.92,-8.31
2024-10-16 10:12:23,17.92,-8.48
2024-10-16 10:12:24,17.94,-8.61
2024-10-16 10:12:25,17.92,-8.73
2024-10-16 10:12:26,17.94,-8.84
2024-10-16 10:12:27,17.91,-9.06
2024-10-16 10:12:28,17.91,-9.32
2024-10-16 10:12:29,17.91,-9.38
2024-10-16 10:12:30,17.91,-9.38
2024-10-16 10:12:31,17.89,-9.33
2024-10-16 10:12:32,17.91,-9.38
2024-10-16 10:12:33,17.9,-9.47
2024-10-16 10:12:34,17.91,-9.53
2024-10-16 10:12:35,17.92,-9.66
2024-10-16 10:12:36,17.89,-9.69
2024-10-16 10:12:37,17.89,-9.83
2024-10-16 10:12:38,17.89,-10.04
2024-10-16 10:12:39,17.89,-10.25
2024-10-16 10:12:40,17.88,-10.46
2024-10-16 10:12:41,17.88,-10.61
2024-10-16 10:12:42,17.89,-10.7
2024-10-16 10:12:43,17.87,-10.73
2024-10-16 10:12:44,17.88,-10.79
2024-10-16 10:12:45,17.85,-10.82
2024-10-16 10:12:46,17.87,-10.94
2024-10-16 10:12:47,17.86,-10.97
2024-10-16 10:12:48,17.87,-11.06
2024-10-16 10:12:49,17.87,-11.21
2024-10-16 10:12:50,17.83,-11.36
2024-10-16 10:12:51,17.84,-11.51
2024-10-16 10:12:52,17.83,-11.53
2024-10-16 10:12:53,17.83,-11.66
