File name: sd_tossa_n33csic_1970-01-01T02:52:50_1970-01-01T04:45:50

User: sd_tossa

Sensor: n33csic[DA:4B:8D:59:24:D0]

Dive: Mar menuda 28/09
Dive date range: 1970-01-01 02:52:50 - 1970-01-01 04:45:50 (UTC +02:00)

"Location: 41.721735,2.939545"

Summary: 
Duration: 1:53:00 h.
Temp: 17.66 c (min.) 21.6 c (max.) 
Depth: -28.29 m (max.)

date,temperature(c),depth(m)
1970-01-01 02:52:50,21.1,-1.64
1970-01-01 02:53:50,21.31,-3.5
1970-01-01 02:54:50,21.33,-5.83
1970-01-01 02:55:50,21.32,-9.63
1970-01-01 02:56:50,21.33,-9.12
1970-01-01 02:57:50,21.35,-11.51
1970-01-01 02:58:50,21.37,-11.42
1970-01-01 02:59:50,21.4,-9.15
1970-01-01 03:00:50,21.47,-9.45
1970-01-01 03:01:50,21.47,-9.48
1970-01-01 03:02:50,21.43,-10.91
1970-01-01 03:03:50,21.35,-11.67
1970-01-01 03:04:50,21.36,-8.23
1970-01-01 03:05:50,21.4,-10.42
1970-01-01 03:06:50,21.32,-15.07
1970-01-01 03:07:50,21.29,-19.53
1970-01-01 03:08:50,21.27,-18.41
1970-01-01 03:09:50,21.27,-17.73
1970-01-01 03:10:50,21.25,-23.02
1970-01-01 03:11:50,21.27,-24.57
1970-01-01 03:12:50,21.26,-26.24
1970-01-01 03:13:50,21.07,-26.99
1970-01-01 03:14:50,20.75,-28.29
1970-01-01 03:15:50,20.58,-28.16
1970-01-01 03:16:50,20.52,-28.27
1970-01-01 03:17:50,20.78,-26.56
1970-01-01 03:18:50,21.07,-28.01
1970-01-01 03:19:50,21.14,-27.92
1970-01-01 03:20:50,21.14,-27.75
1970-01-01 03:21:50,21.14,-25.29
1970-01-01 03:22:50,21.23,-22.19
1970-01-01 03:23:50,21.26,-18.46
1970-01-01 03:24:50,21.29,-19.34
1970-01-01 03:25:50,21.28,-22.11
1970-01-01 03:26:50,21.3,-22.87
1970-01-01 03:27:50,21.34,-21.05
1970-01-01 03:28:50,21.34,-20.05
1970-01-01 03:29:50,21.37,-17.62
1970-01-01 03:30:50,21.42,-19.02
1970-01-01 03:31:50,21.41,-19.05
1970-01-01 03:32:50,21.39,-18.19
1970-01-01 03:33:50,21.42,-17.32
1970-01-01 03:34:50,21.42,-17.35
1970-01-01 03:35:50,21.45,-17.32
1970-01-01 03:36:50,21.46,-16.71
1970-01-01 03:37:50,21.46,-17.32
1970-01-01 03:38:50,21.45,-15.89
1970-01-01 03:39:50,21.54,-5.38
1970-01-01 03:40:50,21.6,-7.78
1970-01-01 03:41:50,21.6,-5.51
1970-01-01 03:42:50,21.6,-6.66
1970-01-01 03:43:50,21.59,-6.93
1970-01-01 03:44:50,21.52,-8.33
1970-01-01 03:45:50,21.34,-8.99
1970-01-01 03:46:50,21.32,-9.12
1970-01-01 03:47:50,21.33,-8.57
1970-01-01 03:48:50,21.42,-8.14
1970-01-01 03:49:50,21.57,-7.75
1970-01-01 03:50:50,21.58,-6.63
1970-01-01 03:51:50,21.48,-5.86
1970-01-01 03:52:50,21.45,-5.56
1970-01-01 03:53:50,21.41,-5.11
1970-01-01 03:54:50,21.39,-5.26
1970-01-01 03:55:50,21.39,-4.96
1970-01-01 03:56:50,21.39,-5.62
1970-01-01 03:57:50,21.39,-5.86
1970-01-01 03:58:50,21.4,-5.83
1970-01-01 03:59:50,21.41,-5.23
1970-01-01 04:00:50,21.39,-3.95
1970-01-01 04:01:50,21.42,-3.93
1970-01-01 04:02:50,21.43,-3.16
1970-01-01 04:03:50,21.48,-0.61
1970-01-01 04:04:50,21.48,-0.55
1970-01-01 04:05:50,21.46,-0.4
1970-01-01 04:06:50,21.5,-0.43
1970-01-01 04:07:50,21.49,-0.31
1970-01-01 04:08:50,21.27,-0.24
1970-01-01 04:09:50,20.88,-0.31
1970-01-01 04:10:50,20.53,-0.28
1970-01-01 04:11:50,19.89,-0.28
1970-01-01 04:12:50,19.83,-0.31
1970-01-01 04:13:50,19.92,-0.28
1970-01-01 04:14:50,19.42,-0.28
1970-01-01 04:15:50,19.17,-0.31
1970-01-01 04:16:50,18.92,-0.28
1970-01-01 04:17:50,18.89,-0.28
1970-01-01 04:18:50,19.25,-0.31
1970-01-01 04:19:50,19.5,-0.28
1970-01-01 04:20:50,19.6,-0.31
1970-01-01 04:21:50,19.69,-0.24
1970-01-01 04:22:50,19.78,-0.24
1970-01-01 04:23:50,19.92,-0.24
1970-01-01 04:24:50,20.1,-0.28
1970-01-01 04:25:50,20.14,-0.31
1970-01-01 04:26:50,20.68,-0.24
1970-01-01 04:27:50,20.07,-0.28
1970-01-01 04:28:50,19.65,-0.28
1970-01-01 04:29:50,19.45,-0.28
1970-01-01 04:30:50,19.23,-0.28
1970-01-01 04:31:50,19.02,-0.28
1970-01-01 04:32:50,18.88,-0.31
1970-01-01 04:33:50,18.72,-0.28
1970-01-01 04:34:50,18.64,-0.28
1970-01-01 04:35:50,18.54,-0.24
1970-01-01 04:36:50,18.39,-0.31
1970-01-01 04:37:50,18.22,-0.28
1970-01-01 04:38:50,18.08,-0.28
1970-01-01 04:39:50,18.0,-0.28
1970-01-01 04:40:50,17.94,-0.28
1970-01-01 04:41:50,17.88,-0.24
1970-01-01 04:42:50,17.8,-0.28
1970-01-01 04:43:50,17.66,-0.28
1970-01-01 04:44:50,18.52,-0.28
