File name: sd_tossa_n33csic_2024-09-23T10:03:33_2024-09-23T11:35:34

User: sd_tossa

Sensor: n33csic[DA:4B:8D:59:24:D0]

Dive: Mar Menuda 23/09
Dive date range: 2024-09-23 10:03:33 - 2024-09-23 11:35:34 (UTC +02:00)

"Location: 41.721729,2.939545"

Summary: 
Duration: 1:32:01 h.
Temp: 21.51 c (min.) 30.87 c (max.) 
Depth: -13.68 m (max.)

date,temperature(c),depth(m)
2024-09-23 10:03:33,22.78,-1.79
2024-09-23 10:03:34,22.77,-1.83
2024-09-23 10:03:35,22.75,-1.74
2024-09-23 10:03:36,22.75,-1.68
2024-09-23 10:03:37,22.75,-1.68
2024-09-23 10:03:38,22.77,-1.77
2024-09-23 10:03:39,22.77,-1.83
2024-09-23 10:03:40,22.77,-1.83
2024-09-23 10:03:41,22.77,-1.77
2024-09-23 10:03:42,22.77,-1.79
2024-09-23 10:03:43,22.77,-1.98
2024-09-23 10:03:44,22.75,-2.04
2024-09-23 10:03:45,22.74,-2.01
2024-09-23 10:03:46,22.77,-2.01
2024-09-23 10:03:47,22.72,-1.83
2024-09-23 10:03:48,22.74,-1.74
2024-09-23 10:03:49,22.75,-1.56
2024-09-23 10:03:50,22.75,-1.35
2024-09-23 10:03:51,22.75,-1.16
2024-09-23 10:03:52,22.75,-1.01
2024-09-23 10:03:53,22.75,-0.8
2024-09-23 10:03:54,22.78,-0.52
2024-09-23 10:03:55,22.75,-0.73
2024-09-23 10:03:56,22.75,-0.83
2024-09-23 10:03:57,22.75,-0.8
2024-09-23 10:03:58,22.77,-0.76
2024-09-23 10:03:59,22.75,-0.73
2024-09-23 10:04:00,22.78,-0.92
2024-09-23 10:04:01,22.77,-1.04
2024-09-23 10:04:02,22.75,-0.95
2024-09-23 10:04:03,22.77,-1.01
2024-09-23 10:04:04,22.77,-0.89
2024-09-23 10:04:05,22.77,-0.83
2024-09-23 10:04:06,22.77,-0.98
2024-09-23 10:04:07,22.78,-1.1
2024-09-23 10:04:08,22.77,-1.07
2024-09-23 10:04:09,22.75,-1.25
2024-09-23 10:04:10,22.78,-1.22
2024-09-23 10:04:11,22.75,-1.25
2024-09-23 10:04:12,22.78,-1.16
2024-09-23 10:04:13,22.78,-1.16
2024-09-23 10:04:14,22.79,-1.13
2024-09-23 10:04:15,22.77,-1.01
2024-09-23 10:04:16,22.78,-0.86
2024-09-23 10:04:17,22.75,-0.67
