File name: sd_tossa_n41csic_1970-01-01T02:29:50_1970-01-01T04:18:50

User: sd_tossa

Sensor: n41csic[FB:D7:2F:BB:0F:E1]

Dive: Mar Menuda 12/09
Dive date range: 1970-01-01 02:29:50 - 1970-01-01 04:18:50 (UTC +02:00)

"Location: 41.7217,2.939578"

Summary: 
Duration: 1:49:00 h.
Temp: 20.14 c (min.) 25.64 c (max.) 
Depth: -20.65 m (max.)

date,temperature(c),depth(m)
1970-01-01 02:29:50,25.13,-1.9
1970-01-01 02:30:50,25.26,-1.21
1970-01-01 02:31:50,25.35,-2.48
1970-01-01 02:32:50,25.4,-3.06
1970-01-01 02:33:50,25.42,-4.12
1970-01-01 02:34:50,25.46,-4.86
1970-01-01 02:35:50,25.5,-5.49
1970-01-01 02:36:50,25.52,-5.1
1970-01-01 02:37:50,25.53,-6.19
1970-01-01 02:38:50,25.54,-5.36
1970-01-01 02:39:50,25.57,-5.92
1970-01-01 02:40:50,25.57,-7.93
1970-01-01 02:41:50,25.57,-8.97
1970-01-01 02:42:50,25.57,-8.43
1970-01-01 02:43:50,25.61,-10.92
1970-01-01 02:44:50,25.57,-11.48
1970-01-01 02:45:50,25.59,-12.81
1970-01-01 02:46:50,25.6,-10.56
1970-01-01 02:47:50,25.59,-13.73
1970-01-01 02:48:50,25.6,-13.4
1970-01-01 02:49:50,25.61,-12.4
1970-01-01 02:50:50,25.6,-12.84
1970-01-01 02:51:50,25.62,-13.82
1970-01-01 02:52:50,25.61,-13.4
1970-01-01 02:53:50,25.62,-13.4
1970-01-01 02:54:50,25.63,-14.61
1970-01-01 02:55:50,25.64,-15.5
1970-01-01 02:56:50,25.61,-18.4
1970-01-01 02:57:50,25.55,-20.65
1970-01-01 02:58:50,25.43,-19.34
1970-01-01 02:59:50,25.35,-17.48
1970-01-01 03:00:50,25.31,-18.78
1970-01-01 03:01:50,25.31,-18.1
1970-01-01 03:02:50,25.29,-18.96
1970-01-01 03:03:50,25.29,-17.33
1970-01-01 03:04:50,25.32,-13.37
1970-01-01 03:05:50,25.38,-12.4
1970-01-01 03:06:50,25.43,-14.35
1970-01-01 03:07:50,25.43,-12.9
1970-01-01 03:08:50,25.48,-13.13
1970-01-01 03:09:50,25.48,-11.0
1970-01-01 03:10:50,25.48,-9.83
1970-01-01 03:11:50,25.52,-8.79
1970-01-01 03:12:50,25.53,-6.9
1970-01-01 03:13:50,25.56,-6.84
1970-01-01 03:14:50,25.54,-5.51
1970-01-01 03:15:50,25.56,-5.6
1970-01-01 03:16:50,25.57,-6.1
1970-01-01 03:17:50,25.56,-5.86
1970-01-01 03:18:50,25.57,-5.54
1970-01-01 03:19:50,25.57,-4.92
1970-01-01 03:20:50,25.57,-2.35
1970-01-01 03:21:50,25.56,-2.08
1970-01-01 03:22:50,25.54,-0.69
1970-01-01 03:23:50,25.54,-0.63
1970-01-01 03:24:50,25.53,-0.57
1970-01-01 03:25:50,25.52,-0.55
1970-01-01 03:26:50,25.47,-0.37
1970-01-01 03:27:50,25.23,-0.35
1970-01-01 03:28:50,24.78,-0.35
1970-01-01 03:29:50,24.25,-0.35
1970-01-01 03:30:50,23.78,-0.36
1970-01-01 03:31:50,23.28,-0.34
1970-01-01 03:32:50,22.85,-0.32
1970-01-01 03:33:50,20.98,-0.36
1970-01-01 03:34:50,20.92,-0.37
1970-01-01 03:35:50,20.89,-0.35
1970-01-01 03:36:50,20.71,-0.35
1970-01-01 03:37:50,20.6,-0.33
1970-01-01 03:38:50,20.41,-0.33
1970-01-01 03:39:50,20.35,-0.34
1970-01-01 03:40:50,20.28,-0.31
1970-01-01 03:41:50,20.33,-0.31
1970-01-01 03:42:50,20.33,-0.34
1970-01-01 03:43:50,20.33,-0.35
1970-01-01 03:44:50,20.35,-0.35
1970-01-01 03:45:50,20.35,-0.35
1970-01-01 03:46:50,20.37,-0.35
1970-01-01 03:47:50,20.39,-0.32
1970-01-01 03:48:50,20.28,-0.32
1970-01-01 03:49:50,20.21,-0.32
1970-01-01 03:50:50,20.21,-0.29
1970-01-01 03:51:50,20.17,-0.32
1970-01-01 03:52:50,20.15,-0.32
1970-01-01 03:53:50,20.14,-0.35
1970-01-01 03:54:50,20.14,-0.32
1970-01-01 03:55:50,20.25,-0.38
1970-01-01 03:56:50,20.28,-0.32
1970-01-01 03:57:50,20.31,-0.32
1970-01-01 03:58:50,20.35,-0.38
1970-01-01 03:59:50,20.38,-0.32
1970-01-01 04:00:50,20.39,-0.38
1970-01-01 04:01:50,20.42,-0.32
1970-01-01 04:02:50,20.45,-0.35
1970-01-01 04:03:50,20.49,-0.35
1970-01-01 04:04:50,20.49,-0.32
1970-01-01 04:05:50,20.52,-0.32
1970-01-01 04:06:50,20.54,-0.32
1970-01-01 04:07:50,20.56,-0.35
1970-01-01 04:08:50,20.44,-0.32
1970-01-01 04:09:50,20.14,-0.32
1970-01-01 04:10:50,20.17,-0.35
1970-01-01 04:11:50,20.33,-0.35
1970-01-01 04:12:50,20.35,-0.29
1970-01-01 04:13:50,20.57,-0.29
1970-01-01 04:14:50,20.65,-0.29
1970-01-01 04:15:50,20.71,-0.29
1970-01-01 04:16:50,20.66,-0.35
1970-01-01 04:17:50,20.7,-0.32
