File name: sd_tossa_n41csic_1970-01-03T00:31:40_1970-01-03T07:21:20

User: sd_tossa

Sensor: n41csic[FB:D7:2F:BB:0F:E1]

Dive: mar menuda 19/09
Dive date range: 1970-01-03 00:31:40 - 1970-01-03 07:21:20 (UTC +02:00)

"Location: 41.721754,2.939521"

Summary: 
Duration: 6:49:40 h.
Temp: 20.25 c (min.) 25.01 c (max.) 
Depth: -8.06 m (max.)

date,temperature(c),depth(m)
1970-01-03 00:31:40,23.84,-1.17
1970-01-03 00:32:40,23.84,-1.55
1970-01-03 00:33:40,23.85,-1.88
1970-01-03 00:34:40,23.85,-2.64
1970-01-03 00:35:40,23.85,-3.08
1970-01-03 00:36:40,23.86,-2.96
1970-01-03 00:37:40,23.86,-3.78
1970-01-03 00:38:40,23.88,-3.72
1970-01-03 00:39:40,23.88,-4.14
1970-01-03 00:40:40,23.89,-4.64
1970-01-03 00:41:40,23.89,-4.97
1970-01-03 00:42:40,23.87,-5.37
1970-01-03 00:43:40,23.85,-5.31
1970-01-03 00:44:40,23.83,-5.67
1970-01-03 00:45:40,23.85,-5.84
1970-01-03 00:46:40,23.86,-6.17
1970-01-03 00:47:40,23.84,-6.06
1970-01-03 00:48:40,23.84,-6.58
1970-01-03 00:49:40,23.84,-6.31
1970-01-03 00:50:40,23.83,-6.29
1970-01-03 00:51:40,23.85,-6.2
1970-01-03 00:52:40,23.84,-6.47
1970-01-03 00:53:40,23.85,-5.87
1970-01-03 00:54:40,23.89,-5.84
1970-01-03 00:55:40,23.88,-5.31
1970-01-03 00:56:40,23.92,-2.16
1970-01-03 00:57:40,23.93,-5.02
1970-01-03 00:58:40,23.92,-3.41
1970-01-03 00:59:40,23.92,-5.17
1970-01-03 01:00:40,23.91,-5.4
1970-01-03 01:01:40,23.91,-5.37
1970-01-03 01:02:40,23.87,-6.08
1970-01-03 01:03:40,23.83,-5.73
1970-01-03 01:04:40,23.87,-6.29
1970-01-03 01:05:40,23.87,-6.56
1970-01-03 01:06:40,23.88,-6.76
1970-01-03 01:07:40,23.88,-6.87
1970-01-03 01:08:40,23.87,-8.06
1970-01-03 01:09:40,23.89,-7.29
1970-01-03 01:10:40,23.89,-7.29
1970-01-03 01:11:40,23.88,-7.06
1970-01-03 01:12:40,23.89,-6.53
1970-01-03 01:13:40,23.92,-5.9
1970-01-03 01:14:40,23.92,-5.87
1970-01-03 01:15:40,23.89,-5.79
1970-01-03 01:16:40,23.89,-5.81
1970-01-03 01:17:40,23.92,-5.34
1970-01-03 01:18:40,23.93,-5.14
1970-01-03 01:19:40,23.92,-3.96
1970-01-03 01:20:40,23.92,-0.87
1970-01-03 01:21:40,23.93,-3.22
1970-01-03 01:22:40,23.94,-3.17
1970-01-03 01:23:40,23.93,-0.87
1970-01-03 01:24:40,23.95,-0.52
1970-01-03 01:25:40,23.82,-0.4
1970-01-03 01:26:40,23.27,-0.4
1970-01-03 01:27:40,22.85,-0.41
1970-01-03 01:28:40,22.38,-0.41
1970-01-03 01:29:40,22.25,-0.35
1970-01-03 01:30:40,21.98,-0.39
1970-01-03 01:31:40,21.81,-0.39
1970-01-03 01:32:40,21.81,-0.37
1970-01-03 01:33:40,21.67,-0.37
1970-01-03 01:34:40,21.41,-0.38
1970-01-03 01:35:40,21.21,-0.35
1970-01-03 01:36:40,21.05,-0.39
1970-01-03 01:37:40,20.94,-0.36
1970-01-03 01:38:40,20.92,-0.39
1970-01-03 01:39:40,20.88,-0.36
1970-01-03 01:40:40,21.04,-0.36
1970-01-03 01:41:40,21.11,-0.36
1970-01-03 01:42:40,21.13,-0.39
1970-01-03 01:43:40,21.11,-0.39
1970-01-03 01:44:40,21.13,-0.39
1970-01-03 01:45:40,21.17,-0.37
1970-01-03 01:46:40,21.05,-0.37
1970-01-03 01:47:40,20.95,-0.37
1970-01-03 01:48:40,20.78,-0.4
1970-01-03 01:49:40,20.78,-0.4
1970-01-03 01:50:40,20.8,-0.37
