date,temperature(c),depth(m)
1970-01-01 22:50:00,24.19,1.45
1970-01-01 22:51:00,23.92,1.61
1970-01-01 22:52:00,23.89,2.03
1970-01-01 22:53:00,23.77,2.51
1970-01-01 22:54:00,23.72,2.82
1970-01-01 22:55:00,23.65,2.67
1970-01-01 22:56:00,23.64,2.3
1970-01-01 22:57:00,23.64,2.32
1970-01-01 22:58:00,23.65,2.42
1970-01-01 22:59:00,23.64,2.27
1970-01-01 23:00:00,23.6,3.81
1970-01-01 23:01:00,23.56,4.67
1970-01-01 23:02:00,23.53,4.44
1970-01-01 23:03:00,23.51,5.46
1970-01-01 23:04:00,23.5,4.89
1970-01-01 23:05:00,23.5,4.96
1970-01-01 23:06:00,23.51,5.03
1970-01-01 23:07:00,23.49,5.46
1970-01-01 23:08:00,23.52,4.67
1970-01-01 23:09:00,23.51,4.39
1970-01-01 23:10:00,23.51,4.07
1970-01-01 23:11:00,23.48,5.24
1970-01-01 23:12:00,23.49,5.97
1970-01-01 23:13:00,23.49,6.07
1970-01-01 23:14:00,23.45,6.54
1970-01-01 23:15:00,23.47,6.99
1970-01-01 23:16:00,23.44,7.27
1970-01-01 23:17:00,23.45,7.82
1970-01-01 23:18:00,23.45,9.07
1970-01-01 23:19:00,23.46,9.61
1970-01-01 23:20:00,23.48,9.23
1970-01-01 23:21:00,23.44,9.61
1970-01-01 23:22:00,23.45,8.71
1970-01-01 23:23:00,23.47,8.38
1970-01-01 23:24:00,23.46,8.59
1970-01-01 23:25:00,23.49,7.91
1970-01-01 23:26:00,23.49,8.45
1970-01-01 23:27:00,23.49,7.67
1970-01-01 23:28:00,23.49,6.75
1970-01-01 23:29:00,23.5,6.14
1970-01-01 23:30:00,23.5,5.64
1970-01-01 23:31:00,23.52,5.74
1970-01-01 23:32:00,23.55,5.36
1970-01-01 23:33:00,23.54,4.72
1970-01-01 23:34:00,23.61,4.09
1970-01-01 23:35:00,23.65,3.59
1970-01-01 23:36:00,23.69,3.22
1970-01-01 23:37:00,23.97,1.12
1970-01-01 23:38:00,23.78,1.75
1970-01-04 16:26:10,23.54,1.31
1970-01-04 16:27:10,23.5,1.0
1970-01-04 16:28:10,23.28,1.31
1970-01-04 16:29:10,23.31,2.13
1970-01-04 16:30:10,23.33,1.99
1970-01-04 16:31:10,23.28,2.29
1970-01-04 16:32:10,23.3,2.86
1970-01-04 16:33:10,23.32,3.26
1970-01-04 16:34:10,23.32,3.87
1970-01-04 16:35:10,23.32,3.92
1970-01-04 16:36:10,23.35,4.49
1970-01-04 16:37:10,23.39,4.75
1970-01-04 16:38:10,23.41,5.15
1970-01-04 16:39:10,23.41,5.1
1970-01-04 16:40:10,23.39,5.1
1970-01-04 16:41:10,23.45,5.9
1970-01-04 16:42:10,23.4,6.0
1970-01-04 16:43:10,23.39,5.62
1970-01-04 16:44:10,23.42,6.37
1970-01-04 16:45:10,23.4,6.35
1970-01-04 16:46:10,23.42,6.12
1970-01-04 16:47:10,23.41,5.88
1970-01-04 16:48:10,23.4,1.77
1970-01-04 16:50:10,23.42,2.2
1970-01-04 16:51:10,23.33,4.25
1970-01-04 16:52:10,23.35,3.85
1970-01-04 16:53:10,23.32,3.87
1970-01-04 16:54:10,23.34,3.45
1970-01-04 16:55:10,23.31,3.1
1970-01-04 16:56:10,23.35,2.74
1970-01-04 16:57:10,23.36,2.62
1970-01-04 16:58:10,23.39,1.42
1970-01-05 15:53:30,23.57,1.82
1970-01-05 15:54:30,23.51,5.11
1970-01-05 15:55:30,23.45,6.31
1970-01-05 15:56:30,23.43,5.2
1970-01-05 15:57:30,23.43,6.38
1970-01-05 15:58:30,23.42,6.54
1970-01-05 15:59:30,23.42,6.5
1970-01-05 16:00:30,23.42,5.97
1970-01-05 16:01:30,23.39,7.44
1970-01-05 16:02:30,23.41,10.74
1970-01-05 16:03:30,23.43,11.54
1970-01-05 16:04:30,23.43,13.36
1970-01-05 16:05:30,23.42,17.47
1970-01-05 16:06:30,23.46,18.84
1970-01-05 16:07:30,23.44,16.83
1970-01-05 16:08:30,23.42,16.69
1970-01-05 16:09:30,23.46,16.97
1970-01-05 16:10:30,23.42,14.19
1970-01-05 16:11:30,23.42,11.73
1970-01-05 16:12:30,23.42,11.64
1970-01-05 16:13:30,23.44,10.91
1970-01-05 16:14:30,23.43,9.82
1970-01-05 16:15:30,23.44,7.87
1970-01-05 16:16:30,23.41,6.4
1970-01-05 16:17:30,23.42,6.12
1970-01-05 16:18:30,23.42,4.87
1970-01-05 16:19:30,23.42,4.53
1970-01-05 16:20:30,23.42,4.39
1970-01-05 16:21:30,23.42,3.07
1970-01-05 16:28:30,23.43,3.14
1970-01-05 16:29:30,23.45,5.22
1970-01-05 16:30:30,23.43,5.91
1970-01-05 16:31:30,23.42,4.13
1970-01-05 16:32:30,23.42,4.87
1970-01-05 16:33:30,23.42,6.26
1970-01-05 16:34:30,23.43,7.88
1970-01-05 16:35:30,23.43,7.27
1970-01-05 16:36:30,23.44,4.21
1970-01-05 16:37:30,23.42,3.78
1970-01-05 16:38:30,23.47,4.47
1970-01-05 16:39:30,23.45,3.27
1970-01-07 19:02:00,23.77,1.73
1970-01-07 19:03:00,23.72,2.44
1970-01-07 19:04:00,23.7,3.22
1970-01-07 19:05:00,23.7,4.14
1970-01-07 19:06:00,23.7,4.92
1970-01-07 19:07:00,23.68,5.34
1970-01-07 19:08:00,23.67,5.08
1970-01-07 19:09:00,23.66,5.43
1970-01-07 19:10:00,23.65,5.74
1970-01-07 19:11:00,23.65,5.77
1970-01-07 19:12:00,23.67,6.14
1970-01-07 19:13:00,23.65,6.42
1970-01-07 19:14:00,23.64,7.18
1970-01-07 19:15:00,23.65,5.69
1970-01-07 19:16:00,23.65,5.72
1970-01-07 19:17:00,23.65,6.57
1970-01-07 19:18:00,23.64,5.55
1970-01-07 19:19:00,23.65,5.17
1970-01-07 19:20:00,23.66,4.75
1970-01-07 19:21:00,23.67,4.27
1970-01-07 19:22:00,23.66,3.67
1970-01-07 19:23:00,23.7,1.68
1970-01-07 19:24:00,23.7,2.42
1970-01-07 19:55:00,23.82,1.21
1970-01-07 19:56:00,23.8,1.63
1970-01-07 19:58:00,23.75,1.82
