date,temperature(c),depth(m)
2024-10-03 17:02:41,18.64,2.96
2024-10-03 17:02:42,18.65,3.17
2024-10-03 17:02:43,18.63,3.54
2024-10-03 17:02:44,18.64,3.78
2024-10-03 17:02:45,18.63,4.03
2024-10-03 17:02:46,18.6,4.3
2024-10-03 17:02:47,18.58,4.48
2024-10-03 17:02:48,18.56,4.72
2024-10-03 17:02:49,18.53,5.06
2024-10-03 17:02:50,18.53,5.3
2024-10-03 17:02:51,18.53,5.49
2024-10-03 17:02:52,18.51,5.64
2024-10-03 17:02:53,18.49,5.81
2024-10-03 17:02:54,18.44,5.93
2024-10-03 17:02:55,18.42,6.03
2024-10-03 17:02:56,18.39,6.15
2024-10-03 17:02:57,18.33,6.24
2024-10-03 17:02:58,18.32,6.52
2024-10-03 17:02:59,18.34,6.7
2024-10-03 17:03:00,18.32,6.76
2024-10-03 17:03:01,18.32,6.91
2024-10-03 17:03:02,18.32,7.1
2024-10-03 17:03:03,18.29,7.07
2024-10-03 17:03:04,18.28,7.13
2024-10-03 17:03:05,18.26,7.21
2024-10-03 17:03:06,18.25,7.3
2024-10-03 17:03:07,18.25,7.48
2024-10-03 17:03:08,18.25,7.64
2024-10-03 17:03:09,18.23,7.76
2024-10-03 17:03:10,18.21,7.88
2024-10-03 17:03:11,18.21,8.0
2024-10-03 17:03:12,18.22,8.25
2024-10-03 17:03:13,18.21,8.25
2024-10-03 17:03:14,18.21,8.48
2024-10-03 17:03:15,18.21,8.55
2024-10-03 17:03:16,18.18,8.67
2024-10-03 17:03:17,18.15,8.79
2024-10-03 17:03:18,18.16,8.85
2024-10-03 17:03:19,18.11,9.0
2024-10-03 17:03:20,18.1,9.0
2024-10-03 17:03:21,18.1,8.88
2024-10-03 17:03:22,18.09,8.94
2024-10-03 17:03:23,18.07,8.88
2024-10-03 17:03:24,18.07,9.07
2024-10-03 17:03:25,18.03,9.25
2024-10-03 17:03:26,18.03,9.28
2024-10-03 17:03:27,18.02,9.65
2024-10-03 17:03:28,18.02,9.56
2024-10-03 17:03:29,18.0,9.94
2024-10-03 17:03:30,17.97,10.0
2024-10-03 17:03:31,17.99,10.22
2024-10-03 17:03:32,17.99,10.28
2024-10-03 17:03:33,17.98,10.46
2024-10-03 17:03:34,17.96,10.62
2024-10-03 17:03:35,17.95,10.74
2024-10-03 17:03:36,17.96,10.94
2024-10-03 17:03:37,17.96,10.91
2024-10-03 17:03:38,17.95,11.16
2024-10-03 17:03:39,17.93,11.16
2024-10-03 17:03:40,17.93,11.43
2024-10-03 17:03:41,17.93,11.43
2024-10-03 17:03:42,17.92,11.77
2024-10-03 17:03:43,17.92,11.71
2024-10-03 17:03:44,17.92,11.97
2024-10-03 17:03:45,17.92,12.09
2024-10-03 17:03:46,17.92,12.06
2024-10-03 17:03:47,17.91,12.28
2024-10-03 17:03:48,17.91,12.16
2024-10-03 17:03:49,17.91,12.25
2024-10-03 17:03:50,17.91,12.25
2024-10-03 17:03:51,17.89,12.25
2024-10-03 17:03:52,17.89,12.52
2024-10-03 17:03:53,17.89,12.49
2024-10-03 17:03:54,17.89,12.31
2024-10-03 17:03:55,17.89,12.4
2024-10-03 17:03:56,17.89,12.31
2024-10-03 17:03:57,17.89,12.52
2024-10-03 17:03:58,17.87,12.55
2024-10-03 17:03:59,17.85,12.64
2024-10-03 17:04:00,17.85,12.85
2024-10-03 17:04:01,17.85,12.74
2024-10-03 17:04:02,17.85,13.0
2024-10-03 17:04:03,17.87,12.97
2024-10-03 17:04:04,17.85,13.25
2024-10-03 17:04:05,17.82,13.34
2024-10-03 17:04:06,17.84,13.67
2024-10-03 17:04:07,17.8,13.77
2024-10-03 17:04:08,17.73,14.09
2024-10-03 17:04:09,17.7,14.12
2024-10-03 17:04:10,17.57,14.34
2024-10-03 17:04:11,17.46,14.18
2024-10-03 17:04:12,17.35,14.46
2024-10-03 17:04:13,17.33,14.43
2024-10-03 17:04:14,17.28,14.61
2024-10-03 17:04:15,17.28,14.58
2024-10-03 17:04:16,17.28,14.73
2024-10-03 17:04:17,17.25,14.69
2024-10-03 17:04:18,17.25,14.85
2024-10-03 17:04:19,17.25,14.88
2024-10-03 17:04:20,17.19,14.97
2024-10-03 17:04:21,17.2,15.18
2024-10-03 17:04:22,17.16,15.09
2024-10-03 17:04:23,17.12,15.28
2024-10-03 17:04:24,17.14,15.21
2024-10-03 17:04:25,17.08,15.43
2024-10-03 17:04:26,17.07,15.54
