date,temperature(c),depth(m)
2024-09-17 12:17:54,25.48,1.86
2024-09-17 12:17:55,25.46,2.03
2024-09-17 12:17:56,25.46,2.03
2024-09-17 12:17:57,25.47,1.83
2024-09-17 12:17:58,25.45,1.57
2024-09-17 12:17:59,25.45,1.27
2024-09-17 12:18:30,25.45,1.27
2024-09-17 12:18:31,25.46,2.0
2024-09-17 12:18:32,25.43,2.2
2024-09-17 12:18:33,25.44,2.35
2024-09-17 12:18:34,25.48,2.41
2024-09-17 12:18:35,25.44,2.35
2024-09-17 12:18:36,25.46,2.26
2024-09-17 12:18:37,25.45,2.12
2024-09-17 12:18:38,25.47,1.86
2024-09-17 12:18:39,25.44,1.48
2024-09-17 12:21:14,25.38,1.83
2024-09-17 12:21:15,25.37,2.5
2024-09-17 12:21:16,25.38,2.9
2024-09-17 12:21:17,25.38,3.02
2024-09-17 12:21:18,25.38,3.02
2024-09-17 12:21:19,25.35,2.88
2024-09-17 12:21:20,25.37,2.67
2024-09-17 12:21:21,25.36,2.33
2024-09-17 12:21:22,25.36,1.79
2024-09-17 12:21:23,25.35,1.1
2024-09-17 12:23:00,25.39,1.42
2024-09-17 12:23:01,25.35,2.29
2024-09-17 12:23:02,25.36,2.99
2024-09-17 12:23:03,25.35,3.33
2024-09-17 12:23:04,25.38,3.68
2024-09-17 12:23:05,25.38,3.65
2024-09-17 12:23:06,25.36,3.54
2024-09-17 12:23:07,25.36,3.07
2024-09-17 12:23:08,25.35,2.5
2024-09-17 12:23:09,25.35,1.89
2024-09-17 12:23:10,25.36,1.27
2024-09-17 12:25:36,25.39,1.04
2024-09-17 12:27:31,25.4,1.04
2024-09-17 12:27:37,25.37,1.04
2024-09-17 12:27:38,25.35,1.02
2024-09-17 12:27:39,25.39,1.02
2024-09-17 12:27:40,25.37,1.02
2024-09-17 12:27:41,25.36,1.02
2024-09-17 12:27:49,25.38,1.04
2024-09-17 12:27:50,25.36,1.04
2024-09-17 12:27:53,25.38,1.04
2024-09-17 12:27:58,25.38,1.02
2024-09-17 12:27:59,25.36,1.02
2024-09-17 12:28:03,25.39,1.02
2024-09-17 12:28:35,25.39,1.02
2024-09-17 12:28:50,25.39,1.07
2024-09-17 12:28:51,25.38,1.86
2024-09-17 12:28:52,25.38,2.17
2024-09-17 12:28:53,25.37,2.55
2024-09-17 12:28:54,25.39,2.61
2024-09-17 12:28:55,25.38,2.75
2024-09-17 12:28:56,25.37,2.81
2024-09-17 12:28:57,25.35,2.88
2024-09-17 12:28:58,25.35,2.88
2024-09-17 12:28:59,25.35,2.64
2024-09-17 12:29:00,25.33,2.35
2024-09-17 12:29:01,25.36,2.0
2024-09-17 12:29:02,25.35,1.59
2024-09-17 12:29:03,25.34,1.1
2024-09-17 12:29:05,25.35,1.1
2024-09-17 12:29:06,25.35,1.71
2024-09-17 12:29:07,25.35,1.97
2024-09-17 12:29:08,25.36,1.95
2024-09-17 12:29:09,25.35,1.92
2024-09-17 12:29:10,25.36,1.74
2024-09-17 12:29:11,25.36,1.57
2024-09-17 12:29:12,25.38,1.51
2024-09-17 12:29:13,25.38,1.19
2024-09-17 12:29:46,25.37,1.02
2024-09-17 12:29:57,25.38,1.02
2024-09-17 12:30:34,25.39,1.68
2024-09-17 12:30:35,25.39,2.33
2024-09-17 12:30:36,25.39,2.52
2024-09-17 12:30:37,25.37,2.85
2024-09-17 12:30:38,25.39,3.07
2024-09-17 12:30:39,25.37,3.16
2024-09-17 12:30:40,25.38,3.13
2024-09-17 12:30:41,25.36,3.02
2024-09-17 12:30:42,25.36,3.02
2024-09-17 12:30:43,25.39,2.78
2024-09-17 12:30:44,25.38,2.55
2024-09-17 12:30:45,25.39,2.14
2024-09-17 12:30:46,25.39,1.71
2024-09-17 12:30:47,25.38,1.21
2024-09-17 12:30:53,25.4,1.59
2024-09-17 12:30:54,25.39,1.95
2024-09-17 12:30:55,25.39,2.23
2024-09-17 12:30:56,25.38,2.29
2024-09-17 12:30:57,25.39,2.44
2024-09-17 12:30:58,25.38,2.47
2024-09-17 12:30:59,25.39,2.58
2024-09-17 12:31:00,25.39,2.69
2024-09-17 12:31:01,25.4,2.72
2024-09-17 12:31:02,25.39,2.67
2024-09-17 12:31:03,25.35,2.75
2024-09-17 12:31:04,25.38,2.47
2024-09-17 12:31:05,25.39,1.97
2024-09-17 12:31:06,25.38,1.45
2024-09-17 12:34:19,25.46,1.02
2024-09-17 12:35:36,25.53,1.13
2024-09-17 12:35:37,25.55,1.89
2024-09-17 12:35:38,25.55,2.2
2024-09-17 12:35:39,25.53,2.33
2024-09-17 12:35:40,25.56,2.26
2024-09-17 12:35:41,25.56,2.14
2024-09-17 12:35:42,25.53,1.89
2024-09-17 12:35:43,25.53,1.57
2024-09-17 12:35:44,25.55,1.07
2024-09-17 12:35:57,25.53,1.02
2024-09-17 12:41:18,25.65,1.13
2024-09-17 12:41:19,25.64,1.83
2024-09-17 12:41:20,25.64,1.74
2024-09-17 12:41:21,25.64,1.59
2024-09-17 12:41:22,25.64,1.21
2024-09-17 12:41:56,25.64,1.02
2024-09-17 12:42:10,25.65,1.86
2024-09-17 12:42:11,25.64,2.33
2024-09-17 12:42:12,25.64,2.5
2024-09-17 12:42:13,25.65,2.64
2024-09-17 12:42:14,25.64,2.67
2024-09-17 12:42:15,25.64,2.61
2024-09-17 12:42:16,25.64,2.52
2024-09-17 12:42:17,25.64,2.29
2024-09-17 12:42:18,25.62,1.83
2024-09-17 12:42:19,25.64,1.37
2024-09-17 12:42:20,25.62,1.04
2024-09-17 12:44:49,25.63,1.68
2024-09-17 12:44:50,25.62,2.12
2024-09-17 12:44:51,25.64,2.55
2024-09-17 12:44:52,25.62,2.7
2024-09-17 12:44:53,25.61,2.7
2024-09-17 12:44:54,25.61,2.64
2024-09-17 12:44:55,25.6,2.5
2024-09-17 12:44:56,25.62,2.2
2024-09-17 12:44:57,25.63,1.89
2024-09-17 12:44:58,25.62,1.48
2024-09-17 12:44:59,25.63,1.02
2024-09-17 12:46:25,25.62,1.59
2024-09-17 12:46:26,25.64,1.54
2024-09-17 12:46:27,25.65,2.88
2024-09-17 12:46:28,25.63,3.27
2024-09-17 12:46:29,25.64,3.37
2024-09-17 12:46:30,25.64,3.37
2024-09-17 12:46:31,25.63,3.05
2024-09-17 12:46:32,25.64,2.67
2024-09-17 12:46:33,25.62,2.14
2024-09-17 12:46:34,25.63,1.65
2024-09-17 12:46:35,25.64,1.27
2024-09-17 12:46:48,25.64,1.54
2024-09-17 12:46:49,25.62,2.06
2024-09-17 12:46:50,25.64,2.33
2024-09-17 12:46:51,25.62,2.33
2024-09-17 12:46:52,25.64,2.2
2024-09-17 12:46:53,25.63,2.06
2024-09-17 12:46:54,25.61,1.76
2024-09-17 12:46:55,25.62,1.34
2024-09-17 12:48:09,25.56,1.37
2024-09-17 12:48:10,25.55,1.95
2024-09-17 12:48:11,25.56,2.23
2024-09-17 12:48:12,25.56,2.38
2024-09-17 12:48:13,25.57,2.41
2024-09-17 12:48:14,25.56,2.14
2024-09-17 12:48:15,25.57,1.86
2024-09-17 12:48:16,25.57,1.45
2024-09-17 12:49:25,25.5,1.68
2024-09-17 12:49:26,25.51,1.97
2024-09-17 12:49:27,25.51,1.76
2024-09-17 12:49:28,25.47,1.76
2024-09-17 12:49:29,25.49,1.83
2024-09-17 12:49:30,25.48,1.68
2024-09-17 12:49:31,25.5,1.48
2024-09-17 12:49:32,25.5,1.21
