date,temperature(c),depth(m)
2024-09-17 12:18:05,25.46,1.74
2024-09-17 12:18:06,25.46,1.67
2024-09-17 12:18:07,25.46,1.51
2024-09-17 12:18:08,25.46,1.27
2024-09-17 12:18:09,25.46,1.04
2024-09-17 12:18:40,25.48,1.43
2024-09-17 12:18:41,25.47,1.77
2024-09-17 12:18:42,25.46,1.95
2024-09-17 12:18:43,25.47,2.02
2024-09-17 12:18:44,25.47,2.05
2024-09-17 12:18:45,25.46,2.0
2024-09-17 12:18:46,25.46,1.88
2024-09-17 12:18:47,25.45,1.74
2024-09-17 12:18:48,25.45,1.51
2024-09-17 12:18:49,25.46,1.11
2024-09-17 12:21:24,25.4,1.81
2024-09-17 12:21:25,25.39,2.18
2024-09-17 12:21:26,25.42,2.44
2024-09-17 12:21:27,25.39,2.49
2024-09-17 12:21:28,25.4,2.49
2024-09-17 12:21:29,25.39,2.32
2024-09-17 12:21:30,25.37,2.12
2024-09-17 12:21:31,25.39,1.81
2024-09-17 12:21:32,25.37,1.37
2024-09-17 12:23:10,25.38,1.53
2024-09-17 12:23:11,25.39,2.02
2024-09-17 12:23:12,25.39,2.58
2024-09-17 12:23:13,25.4,2.92
2024-09-17 12:23:14,25.41,3.12
2024-09-17 12:23:15,25.41,3.06
2024-09-17 12:23:16,25.4,2.84
2024-09-17 12:23:17,25.39,2.42
2024-09-17 12:23:18,25.4,1.92
2024-09-17 12:23:19,25.38,1.43
2024-09-17 12:29:00,25.42,1.06
2024-09-17 12:29:01,25.42,1.74
2024-09-17 12:29:02,25.42,1.91
2024-09-17 12:29:03,25.41,2.14
2024-09-17 12:29:04,25.42,2.18
2024-09-17 12:29:05,25.41,2.3
2024-09-17 12:29:06,25.41,2.32
2024-09-17 12:29:07,25.42,2.35
2024-09-17 12:29:08,25.42,2.28
2024-09-17 12:29:09,25.38,2.07
2024-09-17 12:29:10,25.41,1.91
2024-09-17 12:29:11,25.4,1.57
2024-09-17 12:29:12,25.39,1.22
2024-09-17 12:29:15,25.4,1.13
2024-09-17 12:29:16,25.4,1.53
2024-09-17 12:29:17,25.4,1.65
2024-09-17 12:29:18,25.4,1.62
2024-09-17 12:29:19,25.41,1.57
2024-09-17 12:29:20,25.41,1.37
2024-09-17 12:29:21,25.39,1.34
2024-09-17 12:29:22,25.4,1.22
2024-09-17 12:30:44,25.41,1.62
2024-09-17 12:30:45,25.42,1.97
2024-09-17 12:30:46,25.42,2.14
2024-09-17 12:30:47,25.42,2.44
2024-09-17 12:30:48,25.42,2.58
2024-09-17 12:30:49,25.41,2.61
2024-09-17 12:30:50,25.42,2.54
2024-09-17 12:30:51,25.42,2.54
2024-09-17 12:30:52,25.39,2.44
2024-09-17 12:30:53,25.41,2.23
2024-09-17 12:30:54,25.4,2.0
2024-09-17 12:30:55,25.42,1.67
2024-09-17 12:30:56,25.4,1.32
2024-09-17 12:31:03,25.43,1.48
2024-09-17 12:31:04,25.42,1.77
2024-09-17 12:31:05,25.41,1.86
2024-09-17 12:31:06,25.43,1.88
2024-09-17 12:31:07,25.42,2.12
2024-09-17 12:31:08,25.42,2.12
2024-09-17 12:31:09,25.42,2.28
2024-09-17 12:31:10,25.42,2.3
2024-09-17 12:31:11,25.41,2.26
2024-09-17 12:31:12,25.42,2.26
2024-09-17 12:31:13,25.39,2.21
2024-09-17 12:31:14,25.39,1.95
2024-09-17 12:31:15,25.4,1.55
2024-09-17 12:31:16,25.41,1.08
