date,temperature(c),depth(m)
2024-07-12 13:05:29,24.35,1.23
2024-07-12 13:05:30,24.33,1.48
2024-07-12 13:05:31,24.33,1.66
2024-07-12 13:05:32,24.32,1.88
2024-07-12 13:05:33,24.33,2.0
2024-07-12 13:05:34,24.33,2.08
2024-07-12 13:05:35,24.34,2.17
2024-07-12 13:05:36,24.33,2.39
2024-07-12 13:05:37,24.34,2.51
2024-07-12 13:05:38,24.34,2.63
2024-07-12 13:05:39,24.32,2.75
2024-07-12 13:05:40,24.33,3.06
2024-07-12 13:05:41,24.32,3.4
2024-07-12 13:05:42,24.32,3.55
2024-07-12 13:05:43,24.35,3.73
2024-07-12 13:05:44,24.33,3.92
2024-07-12 13:05:45,24.32,4.1
2024-07-12 13:05:46,24.33,4.34
2024-07-12 13:05:47,24.34,4.41
2024-07-12 13:05:48,24.32,4.47
2024-07-12 13:05:49,24.33,4.5
2024-07-12 13:05:50,24.32,4.56
2024-07-12 13:05:51,24.32,4.65
2024-07-12 13:05:52,24.32,4.83
2024-07-12 13:05:53,24.3,4.99
2024-07-12 13:05:54,24.31,5.08
2024-07-12 13:05:55,24.3,5.14
2024-07-12 13:05:56,24.29,5.2
2024-07-12 13:05:57,24.3,5.32
2024-07-12 13:05:58,24.29,5.45
2024-07-12 13:05:59,24.3,5.51
2024-07-12 13:06:00,24.27,5.57
2024-07-12 13:06:01,24.28,5.63
2024-07-12 13:06:02,24.29,5.75
2024-07-12 13:06:03,24.28,6.0
2024-07-12 13:06:04,24.27,6.18
2024-07-12 13:06:05,24.24,6.36
2024-07-12 13:06:06,24.21,6.42
2024-07-12 13:06:07,24.22,6.52
2024-07-12 13:06:08,24.21,6.61
2024-07-12 13:06:09,24.2,6.73
2024-07-12 13:06:10,24.18,6.85
2024-07-12 13:06:11,24.18,6.88
2024-07-12 13:06:12,24.17,6.88
2024-07-12 13:06:13,24.17,6.94
2024-07-12 13:06:14,24.14,6.94
2024-07-12 13:06:15,24.14,6.91
2024-07-12 13:06:16,24.14,7.01
2024-07-12 13:06:17,24.12,7.13
2024-07-12 13:06:18,24.09,7.28
2024-07-12 13:06:19,24.1,7.34
2024-07-12 13:06:20,24.08,7.53
2024-07-12 13:06:21,24.07,7.61
2024-07-12 13:06:22,24.06,7.67
2024-07-12 13:06:23,24.05,7.88
2024-07-12 13:06:24,24.05,7.88
2024-07-12 13:06:25,24.04,7.97
2024-07-12 13:06:26,24.03,8.1
