date,temperature(c),depth(m)
2024-07-01 21:29:11,23.78,1.08
2024-07-01 21:29:12,23.79,1.02
2024-07-01 21:29:13,23.75,1.02
2024-07-01 21:29:25,23.73,1.05
2024-07-01 21:29:30,23.73,1.05
2024-07-01 21:29:32,23.73,1.11
2024-07-01 21:29:33,23.71,1.08
2024-07-01 21:29:34,23.68,1.08
2024-07-01 21:29:35,23.67,1.05
2024-07-01 21:29:37,23.67,1.05
2024-07-01 21:29:38,23.67,1.08
2024-07-01 21:29:39,23.67,1.05
2024-07-01 21:29:40,23.66,1.08
2024-07-01 21:29:41,23.65,1.08
2024-07-01 21:29:42,23.66,1.02
2024-07-01 21:29:43,23.67,1.02
2024-07-01 21:29:44,23.64,1.11
2024-07-01 21:29:45,23.64,1.05
2024-07-01 21:29:46,23.66,1.02
2024-07-01 21:29:49,23.62,1.02
2024-07-01 21:29:52,23.61,1.02
2024-07-01 21:29:58,23.58,1.02
2024-07-01 21:29:59,23.59,1.02
2024-07-01 21:30:00,23.59,1.02
2024-07-01 21:30:01,23.58,1.08
2024-07-01 21:30:02,23.59,1.05
2024-07-01 21:30:04,23.58,1.08
2024-07-01 21:30:05,23.58,1.11
2024-07-01 21:30:06,23.57,1.02
2024-07-01 21:30:07,23.58,1.11
2024-07-01 21:30:08,23.57,1.08
2024-07-01 21:30:09,23.57,1.05
2024-07-01 21:30:10,23.57,1.08
2024-07-01 21:30:11,23.57,1.05
2024-07-01 21:30:12,23.57,1.08
2024-07-01 21:30:13,23.56,1.02
2024-07-01 21:30:14,23.57,1.08
2024-07-01 21:30:15,23.57,1.11
2024-07-01 21:30:16,23.56,1.11
2024-07-01 21:30:17,23.57,1.11
2024-07-01 21:30:18,23.57,1.05
2024-07-01 21:30:19,23.56,1.05
2024-07-01 21:30:20,23.57,1.08
2024-07-01 21:30:21,23.56,1.08
2024-07-01 21:30:22,23.54,1.08
2024-07-01 21:30:23,23.56,1.11
2024-07-01 21:30:24,23.54,1.05
2024-07-01 21:30:25,23.55,1.08
2024-07-01 21:30:26,23.53,1.11
2024-07-01 21:30:27,23.55,1.08
2024-07-01 21:30:28,23.53,1.14
2024-07-01 21:30:29,23.54,1.08
2024-07-01 21:30:30,23.54,1.14
2024-07-01 21:30:31,23.53,1.08
2024-07-01 21:30:32,23.54,1.08
2024-07-01 21:30:33,23.52,1.08
2024-07-01 21:30:34,23.53,1.02
2024-07-01 21:30:35,23.52,1.11
2024-07-01 21:30:36,23.52,1.17
2024-07-01 21:30:37,23.52,1.26
2024-07-01 21:30:38,23.53,1.39
2024-07-01 21:30:39,23.53,1.26
2024-07-01 21:30:41,23.52,1.08
2024-07-01 21:30:42,23.52,1.33
2024-07-01 21:30:43,23.52,1.54
2024-07-01 21:30:44,23.53,1.66
2024-07-01 21:30:45,23.53,1.88
2024-07-01 21:30:46,23.52,2.18
2024-07-01 21:30:47,23.5,2.3
2024-07-01 21:30:48,23.5,2.34
2024-07-01 21:30:49,23.46,2.37
2024-07-01 21:30:50,23.48,2.49
2024-07-01 21:30:51,23.48,2.55
2024-07-01 21:30:52,23.5,2.55
2024-07-01 21:30:53,23.48,2.58
2024-07-01 21:30:54,23.5,2.67
2024-07-01 21:30:55,23.51,2.7
2024-07-01 21:30:56,23.5,2.79
2024-07-01 21:30:57,23.5,2.89
2024-07-01 21:30:58,23.5,2.95
2024-07-01 21:30:59,23.5,3.01
2024-07-01 21:31:00,23.52,3.07
2024-07-01 21:31:01,23.5,3.07
2024-07-01 21:31:02,23.51,3.13
2024-07-01 21:31:03,23.5,3.1
2024-07-01 21:31:04,23.53,3.19
2024-07-01 21:31:05,23.5,3.31
2024-07-01 21:31:06,23.5,3.34
2024-07-01 21:31:07,23.5,3.38
2024-07-01 21:31:08,23.46,3.44
2024-07-01 21:31:09,23.48,3.5
2024-07-01 21:31:10,23.47,3.5
2024-07-01 21:31:11,23.47,3.44
2024-07-01 21:31:12,23.47,3.41
2024-07-01 21:31:13,23.47,3.47
2024-07-01 21:31:14,23.48,3.65
2024-07-01 21:31:15,23.47,3.8
2024-07-01 21:31:16,23.5,3.77
2024-07-01 21:31:17,23.5,3.77
2024-07-01 21:31:18,23.47,3.83
2024-07-01 21:31:19,23.46,3.8
2024-07-01 21:31:20,23.47,3.56
2024-07-01 21:31:21,23.46,3.41
2024-07-01 21:31:22,23.46,3.56
2024-07-01 21:31:23,23.43,3.71
2024-07-01 21:31:24,23.42,3.8
2024-07-01 21:31:25,23.42,3.8
2024-07-01 21:31:26,23.39,3.8
2024-07-01 21:31:27,23.41,3.83
2024-07-01 21:31:28,23.4,3.93
2024-07-01 21:31:29,23.41,4.01
2024-07-01 21:31:30,23.41,4.08
2024-07-01 21:31:31,23.4,4.1
2024-07-01 21:31:32,23.4,4.04
2024-07-01 21:31:33,23.41,3.98
2024-07-01 21:31:34,23.39,3.98
2024-07-01 21:31:35,23.42,4.04
2024-07-01 21:31:36,23.4,4.16
