date,temperature(c),depth(m)
2024-09-10 11:13:41,22.65,1.55
2024-09-10 11:13:42,22.5,1.49
2024-09-10 11:13:43,22.36,1.35
2024-09-10 11:13:44,22.29,1.17
2024-09-10 11:13:45,22.25,1.02
2024-09-10 11:23:24,22.13,1.2
2024-09-10 11:23:25,22.14,1.7
2024-09-10 11:23:26,22.14,2.14
2024-09-10 11:23:27,22.14,2.73
2024-09-10 11:23:28,22.14,3.22
2024-09-10 11:23:29,22.16,3.55
2024-09-10 11:23:30,22.14,3.99
2024-09-10 11:23:31,22.16,4.36
2024-09-10 11:23:32,22.17,4.69
2024-09-10 11:23:33,22.17,5.04
2024-09-10 11:23:34,22.17,5.33
2024-09-10 11:23:35,22.17,5.74
2024-09-10 11:23:36,22.16,6.04
2024-09-10 11:23:37,22.16,6.36
2024-09-10 11:23:38,22.15,6.62
2024-09-10 11:23:39,22.15,6.82
2024-09-10 11:23:40,22.17,7.09
2024-09-10 11:23:41,22.15,7.35
2024-09-10 11:23:42,22.17,7.53
2024-09-10 11:23:43,22.16,7.76
2024-09-10 11:23:44,22.14,7.85
2024-09-10 11:23:45,22.14,7.99
2024-09-10 11:23:46,22.14,8.12
2024-09-10 11:23:47,22.14,8.2
2024-09-10 11:23:48,22.13,8.23
2024-09-10 11:23:49,22.12,8.29
2024-09-10 11:23:50,22.12,8.32
2024-09-10 11:23:51,22.11,8.4
2024-09-10 11:23:52,22.11,8.46
2024-09-10 11:23:53,22.12,8.59
2024-09-10 11:23:54,22.1,8.59
2024-09-10 11:23:55,22.1,8.49
2024-09-10 11:23:56,22.1,8.56
2024-09-10 11:23:57,22.11,8.56
2024-09-10 11:23:58,22.1,8.53
2024-09-10 11:23:59,22.11,8.46
2024-09-10 11:24:00,22.11,8.38
2024-09-10 11:24:01,22.09,8.35
2024-09-10 11:24:02,22.1,8.32
2024-09-10 11:24:03,22.1,8.26
2024-09-10 11:24:04,22.1,8.32
2024-09-10 11:24:05,22.09,8.35
2024-09-10 11:24:06,22.07,8.26
2024-09-10 11:24:07,22.07,8.32
2024-09-10 11:24:08,22.08,8.23
2024-09-10 11:24:09,22.08,8.12
2024-09-10 11:24:10,22.08,7.96
2024-09-10 11:24:11,22.08,7.71
2024-09-10 11:24:12,22.09,7.59
2024-09-10 11:24:13,22.1,7.56
2024-09-10 11:24:14,22.1,7.44
2024-09-10 11:24:15,22.1,7.32
2024-09-10 11:24:16,22.09,7.15
2024-09-10 11:24:17,22.12,6.94
2024-09-10 11:24:18,22.11,6.74
2024-09-10 11:24:19,22.12,6.65
2024-09-10 11:24:20,22.12,6.6
2024-09-10 11:24:21,22.11,6.57
2024-09-10 11:24:22,22.12,6.38
2024-09-10 11:24:23,22.12,6.21
2024-09-10 11:24:24,22.12,5.98
2024-09-10 11:24:25,22.1,5.8
2024-09-10 11:24:26,22.1,5.77
2024-09-10 11:24:27,22.1,5.71
2024-09-10 11:24:28,22.1,5.66
2024-09-10 11:24:29,22.1,5.69
