date,temperature(c),depth(m)
2024-10-10 10:00:15,21.32,1.33
2024-10-10 10:00:16,21.33,6.04
2024-10-10 10:00:17,21.32,8.34
2024-10-10 10:00:18,21.35,10.56
2024-10-10 10:00:19,21.36,11.34
2024-10-10 10:00:20,21.37,14.68
2024-10-10 10:00:21,21.36,17.56
2024-10-10 10:00:22,21.38,17.79
2024-10-10 10:00:23,21.35,18.29
2024-10-10 10:00:24,21.36,17.14
2024-10-10 10:00:25,21.38,19.36
2024-10-10 10:00:26,21.39,19.24
2024-10-10 10:00:27,21.35,19.3
2024-10-10 10:00:28,21.38,16.49
2024-10-10 10:00:29,21.45,15.9
2024-10-10 10:00:30,21.45,14.3
2024-10-10 10:00:31,21.48,15.63
2024-10-10 10:00:32,21.44,13.97
2024-10-10 10:00:33,21.46,10.3
2024-10-10 10:00:34,21.46,10.06
2024-10-10 10:00:35,21.46,11.13
2024-10-10 10:00:36,21.46,13.05
2024-10-10 10:00:37,21.48,13.74
2024-10-10 10:00:38,21.42,14.45
2024-10-10 10:00:39,21.43,12.58
2024-10-10 10:00:40,21.39,11.84
2024-10-10 10:00:41,21.39,10.72
2024-10-10 10:00:42,21.39,11.34
2024-10-10 10:00:43,21.39,11.48
2024-10-10 10:00:44,21.39,9.71
2024-10-10 10:00:45,21.38,10.3
2024-10-10 10:00:46,21.39,8.26
2024-10-10 10:00:47,21.39,8.34
2024-10-10 10:00:48,21.39,7.25
2024-10-10 10:00:49,21.38,6.74
2024-10-10 10:00:50,21.41,6.36
2024-10-10 10:00:51,21.34,6.92
2024-10-10 10:00:52,21.34,5.77
2024-10-10 10:00:53,21.36,5.59
2024-10-10 10:00:54,21.37,5.38
2024-10-10 10:00:55,21.36,5.91
2024-10-10 10:00:56,21.35,4.2
2024-10-10 10:00:57,21.36,5.09
