date,temperature(c),depth(m)
2024-09-27 11:58:15,21.76,1.11
2024-09-27 11:58:16,21.77,1.14
2024-09-27 11:58:17,21.78,1.23
2024-09-27 11:58:18,21.76,1.26
2024-09-27 11:58:19,21.75,1.47
2024-09-27 11:58:20,21.75,1.55
2024-09-27 11:58:21,21.73,1.73
2024-09-27 11:58:22,21.75,1.91
2024-09-27 11:58:23,21.76,2.08
2024-09-27 11:58:24,21.75,2.25
2024-09-27 11:58:25,21.74,2.46
2024-09-27 11:58:26,21.75,2.66
2024-09-27 11:58:27,21.75,2.78
2024-09-27 11:58:28,21.73,2.99
2024-09-27 11:58:29,21.76,3.16
2024-09-27 11:58:30,21.74,3.37
2024-09-27 11:58:31,21.74,3.6
2024-09-27 11:58:32,21.74,3.63
2024-09-27 11:58:33,21.69,3.63
2024-09-27 11:58:34,21.71,3.66
2024-09-27 11:58:35,21.7,3.71
2024-09-27 11:58:36,21.67,3.74
2024-09-27 11:58:37,21.67,3.48
2024-09-27 11:58:38,21.66,3.3
2024-09-27 11:58:39,21.64,3.22
2024-09-27 11:58:40,21.67,3.22
2024-09-27 11:58:41,21.64,3.07
2024-09-27 11:58:42,21.65,3.1
2024-09-27 11:58:43,21.67,3.19
2024-09-27 11:58:44,21.67,3.16
2024-09-27 11:58:45,21.66,3.07
2024-09-27 11:58:46,21.67,3.1
2024-09-27 11:58:47,21.66,3.16
2024-09-27 11:58:48,21.67,3.19
2024-09-27 11:58:49,21.67,3.22
2024-09-27 11:58:50,21.65,3.19
2024-09-27 11:58:51,21.66,3.22
2024-09-27 11:58:52,21.67,3.13
2024-09-27 11:58:53,21.67,3.19
2024-09-27 11:58:54,21.69,3.19
2024-09-27 11:58:55,21.67,3.28
2024-09-27 11:58:56,21.67,3.28
2024-09-27 11:58:57,21.67,3.3
2024-09-27 11:58:58,21.67,3.07
2024-09-27 11:58:59,21.69,2.96
2024-09-27 11:59:00,21.69,2.69
2024-09-27 11:59:01,21.67,2.52
2024-09-27 11:59:02,21.67,2.41
2024-09-27 11:59:03,21.69,2.17
2024-09-27 11:59:04,21.69,1.97
2024-09-27 11:59:05,21.71,1.61
2024-09-27 11:59:06,21.67,1.53
2024-09-27 11:59:07,21.72,1.64
2024-09-27 11:59:08,21.71,1.94
2024-09-27 11:59:09,21.71,2.17
2024-09-27 11:59:10,21.71,2.38
2024-09-27 11:59:11,21.71,2.49
2024-09-27 11:59:12,21.69,2.58
2024-09-27 11:59:13,21.71,2.58
2024-09-27 11:59:14,21.67,2.69
2024-09-27 11:59:15,21.71,2.81
2024-09-27 11:59:16,21.71,3.02
2024-09-27 11:59:17,21.71,3.22
2024-09-27 11:59:18,21.72,3.51
2024-09-27 11:59:19,21.7,3.77
2024-09-27 11:59:20,21.69,3.95
2024-09-27 11:59:21,21.7,4.1
2024-09-27 11:59:22,21.67,4.33
2024-09-27 11:59:23,21.61,4.54
2024-09-27 11:59:24,21.53,4.71
2024-09-27 11:59:25,21.42,4.88
2024-09-27 11:59:26,21.37,5.03
2024-09-27 11:59:27,21.28,5.12
2024-09-27 11:59:28,21.17,5.32
2024-09-27 11:59:29,21.03,5.38
2024-09-27 11:59:30,20.91,5.53
2024-09-27 11:59:31,20.78,5.62
2024-09-27 11:59:32,20.7,5.62
2024-09-27 11:59:33,20.64,5.56
2024-09-27 11:59:34,20.58,5.53
2024-09-27 11:59:35,20.57,5.59
2024-09-27 11:59:36,20.52,5.65
2024-09-27 11:59:37,20.49,5.73
2024-09-27 11:59:38,20.47,5.7
2024-09-27 11:59:39,20.45,5.76
2024-09-27 11:59:40,20.42,5.79
2024-09-27 11:59:41,20.4,5.76
2024-09-27 11:59:42,20.42,5.76
2024-09-27 11:59:43,20.36,5.59
2024-09-27 11:59:44,20.37,5.62
2024-09-27 11:59:45,20.35,5.53
2024-09-27 11:59:46,20.33,5.59
2024-09-27 11:59:47,20.32,5.45
2024-09-27 11:59:48,20.31,5.27
2024-09-27 11:59:49,20.3,5.24
2024-09-27 11:59:50,20.29,5.27
2024-09-27 11:59:51,20.3,5.35
2024-09-27 11:59:52,20.3,5.45
2024-09-27 11:59:53,20.31,5.5
2024-09-27 11:59:54,20.31,5.56
2024-09-27 11:59:55,20.28,5.62
2024-09-27 11:59:56,20.28,5.65
2024-09-27 11:59:57,20.27,5.79
2024-09-27 11:59:58,20.27,5.85
2024-09-27 11:59:59,20.25,6.03
2024-09-27 12:00:00,20.21,6.09
2024-09-27 12:00:01,20.2,6.09
2024-09-27 12:00:02,20.2,6.03
2024-09-27 12:00:03,20.17,5.97
2024-09-27 12:00:04,20.17,6.06
2024-09-27 12:00:05,20.18,6.09
2024-09-27 12:00:06,20.17,6.14
2024-09-27 12:00:07,20.19,6.2
2024-09-27 12:00:08,20.18,6.26
2024-09-27 12:00:09,20.2,6.32
2024-09-27 12:00:10,20.16,6.4
2024-09-27 12:00:11,20.2,6.53
2024-09-27 12:00:12,20.17,6.58
2024-09-27 12:00:13,20.14,6.64
2024-09-27 12:00:14,20.18,6.58
2024-09-27 12:00:15,20.17,6.55
2024-09-27 12:00:16,20.16,6.67
2024-09-27 12:00:17,20.18,6.84
2024-09-27 12:00:18,20.18,7.05
2024-09-27 12:00:19,20.19,7.14
2024-09-27 12:00:20,20.17,7.11
2024-09-27 12:00:21,20.15,7.16
2024-09-27 12:00:22,20.17,7.19
2024-09-27 12:00:23,20.15,7.28
2024-09-27 12:00:24,20.16,7.36
2024-09-27 12:00:25,20.15,7.48
2024-09-27 12:00:26,20.15,7.55
2024-09-27 12:00:27,20.15,7.63
2024-09-27 12:00:28,20.14,7.75
2024-09-27 12:00:29,20.12,7.92
2024-09-27 12:00:30,20.12,8.1
2024-09-27 12:00:31,20.13,8.21
2024-09-27 12:00:32,20.1,8.33
2024-09-27 12:00:33,20.09,8.47
2024-09-27 12:00:34,20.1,8.56
2024-09-27 12:00:35,20.08,8.76
2024-09-27 12:00:36,20.07,8.76
2024-09-27 12:00:37,20.07,8.91
2024-09-27 12:00:38,20.07,9.09
2024-09-27 12:00:39,20.06,9.12
2024-09-27 12:00:40,20.07,9.23
2024-09-27 12:00:41,20.05,9.35
2024-09-27 12:00:42,20.04,9.46
2024-09-27 12:00:43,20.04,9.54
2024-09-27 12:00:44,20.06,9.7
2024-09-27 12:00:45,20.03,9.67
2024-09-27 12:00:46,20.04,9.81
2024-09-27 12:00:47,20.04,9.84
2024-09-27 12:00:48,20.05,9.9
2024-09-27 12:00:49,20.05,9.9
2024-09-27 12:00:50,20.04,9.95
2024-09-27 12:00:51,20.03,10.08
2024-09-27 12:00:52,20.03,10.19
2024-09-27 12:00:53,20.02,10.28
2024-09-27 12:00:54,20.02,10.22
2024-09-27 12:00:55,20.01,10.14
2024-09-27 12:00:56,20.0,10.16
2024-09-27 12:00:57,20.0,10.31
2024-09-27 12:00:58,19.98,10.28
2024-09-27 12:00:59,19.98,10.39
2024-09-27 12:01:00,19.98,10.53
2024-09-27 12:01:01,19.97,10.6
2024-09-27 12:01:02,19.95,10.56
2024-09-27 12:01:03,19.99,10.63
2024-09-27 12:01:04,19.96,10.69
2024-09-27 12:01:05,19.95,10.72
2024-09-27 12:01:06,19.96,10.83
2024-09-27 12:01:07,19.95,10.89
2024-09-27 12:01:08,19.95,10.97
2024-09-27 12:01:09,19.94,11.12
2024-09-27 12:01:10,19.96,11.09
2024-09-27 12:01:11,19.96,11.15
2024-09-27 12:01:12,19.96,11.3
2024-09-27 12:01:13,19.95,11.27
2024-09-27 12:01:14,19.96,11.24
2024-09-27 12:01:15,19.94,11.24
2024-09-27 12:01:16,19.95,11.24
2024-09-27 12:01:17,19.93,11.18
2024-09-27 12:01:18,19.95,11.15
2024-09-27 12:01:19,19.92,11.0
2024-09-27 12:01:20,19.93,10.89
2024-09-27 12:01:21,19.96,10.72
2024-09-27 12:01:22,19.93,10.66
2024-09-27 12:01:23,19.95,10.72
2024-09-27 12:01:24,19.96,10.8
2024-09-27 12:01:25,19.96,10.91
2024-09-27 12:01:26,19.96,10.91
2024-09-27 12:01:27,19.96,10.86
2024-09-27 12:01:28,19.96,10.83
2024-09-27 12:01:29,19.94,10.94
2024-09-27 12:01:30,19.96,11.03
2024-09-27 12:01:31,19.96,11.18
2024-09-27 12:01:32,19.94,11.27
2024-09-27 12:01:33,19.95,11.27
2024-09-27 12:01:34,19.96,11.21
2024-09-27 12:01:35,19.96,11.18
2024-09-27 12:01:36,19.94,11.3
2024-09-27 12:01:37,19.94,11.47
2024-09-27 12:01:38,19.96,11.55
2024-09-27 12:01:39,19.94,11.58
2024-09-27 12:01:40,19.94,11.58
2024-09-27 12:01:41,19.96,11.55
2024-09-27 12:01:42,19.94,11.47
2024-09-27 12:01:43,19.95,11.55
2024-09-27 12:01:44,19.94,11.58
2024-09-27 12:01:45,19.94,11.68
2024-09-27 12:01:46,19.94,11.79
2024-09-27 12:01:47,19.94,11.82
2024-09-27 12:01:48,19.94,11.65
2024-09-27 12:01:49,19.94,11.41
2024-09-27 12:01:50,19.94,11.32
2024-09-27 12:01:51,19.95,11.29
2024-09-27 12:01:52,19.96,11.09
2024-09-27 12:01:53,19.94,11.03
2024-09-27 12:01:54,19.94,11.03
2024-09-27 12:01:55,19.94,11.15
2024-09-27 12:01:56,19.93,11.24
2024-09-27 12:01:57,19.94,11.29
2024-09-27 12:01:58,19.92,11.35
2024-09-27 12:01:59,19.93,11.47
2024-09-27 12:02:00,19.92,11.61
2024-09-27 12:02:01,19.93,11.79
2024-09-27 12:02:02,19.92,11.85
2024-09-27 12:02:03,19.92,11.87
2024-09-27 12:02:04,19.91,11.96
2024-09-27 12:02:05,19.9,12.07
2024-09-27 12:02:06,19.91,12.17
2024-09-27 12:02:07,19.92,12.34
2024-09-27 12:02:08,19.92,12.45
2024-09-27 12:02:09,19.89,12.57
2024-09-27 12:02:10,19.91,12.72
2024-09-27 12:02:11,19.9,12.69
2024-09-27 12:02:12,19.89,12.78
2024-09-27 12:02:13,19.92,12.92
2024-09-27 12:02:14,19.9,12.98
2024-09-27 12:02:15,19.89,12.98
2024-09-27 12:02:16,19.89,12.95
2024-09-27 12:02:17,19.89,12.95
2024-09-27 12:02:18,19.89,12.98
2024-09-27 12:02:19,19.91,13.15
2024-09-27 12:02:20,19.9,13.12
2024-09-27 12:02:21,19.89,13.15
2024-09-27 12:02:22,19.89,13.22
2024-09-27 12:02:23,19.9,13.12
2024-09-27 12:02:24,19.89,12.92
2024-09-27 12:02:25,19.89,12.86
2024-09-27 12:02:26,19.89,12.95
2024-09-27 12:02:27,19.86,13.01
2024-09-27 12:02:28,19.89,12.98
2024-09-27 12:02:29,19.88,12.95
2024-09-27 12:02:30,19.86,12.75
2024-09-27 12:02:31,19.88,12.72
2024-09-27 12:02:32,19.85,12.78
2024-09-27 12:02:33,19.88,12.81
2024-09-27 12:02:34,19.88,12.83
2024-09-27 12:02:35,19.89,12.66
2024-09-27 12:02:36,19.88,12.57
2024-09-27 12:02:37,19.89,12.57
2024-09-27 12:02:38,19.88,12.6
2024-09-27 12:02:39,19.89,12.62
2024-09-27 12:02:40,19.89,12.69
2024-09-27 12:02:41,19.89,12.54
2024-09-27 12:02:42,19.88,12.57
2024-09-27 12:02:43,19.88,12.62
2024-09-27 12:02:44,19.89,12.69
2024-09-27 12:02:45,19.9,12.72
2024-09-27 12:02:46,19.89,12.72
2024-09-27 12:02:47,19.9,12.75
2024-09-27 12:02:48,19.89,12.6
2024-09-27 12:02:49,19.89,12.51
2024-09-27 12:02:50,19.88,12.48
2024-09-27 12:02:51,19.89,12.62
2024-09-27 12:02:52,19.89,12.6
2024-09-27 12:02:53,19.86,12.66
2024-09-27 12:02:54,19.89,12.42
2024-09-27 12:02:55,19.89,12.2
2024-09-27 12:02:56,19.89,12.1
2024-09-27 12:02:57,19.92,12.07
2024-09-27 12:02:58,19.92,12.07
2024-09-27 12:02:59,19.89,12.1
2024-09-27 12:03:00,19.89,12.07
2024-09-27 12:03:01,19.89,11.84
2024-09-27 12:03:02,19.89,11.61
2024-09-27 12:03:03,19.91,11.38
2024-09-27 12:03:04,19.88,11.46
2024-09-27 12:03:05,19.9,11.55
2024-09-27 12:03:06,19.9,11.49
2024-09-27 12:03:07,19.9,11.44
2024-09-27 12:03:08,19.91,11.26
2024-09-27 12:03:09,19.9,11.18
2024-09-27 12:03:10,19.9,11.15
2024-09-27 12:03:11,19.92,11.15
2024-09-27 12:03:12,19.89,11.18
2024-09-27 12:03:13,19.9,11.18
2024-09-27 12:03:14,19.92,11.08
2024-09-27 12:03:15,19.89,11.0
2024-09-27 12:03:16,19.9,11.0
2024-09-27 12:03:17,19.9,11.06
2024-09-27 12:03:18,19.89,11.03
2024-09-27 12:03:19,19.91,11.08
2024-09-27 12:03:20,19.9,11.06
2024-09-27 12:03:21,19.9,10.97
2024-09-27 12:03:22,19.89,10.97
2024-09-27 12:03:23,19.9,10.94
2024-09-27 12:03:24,19.9,10.86
2024-09-27 12:03:25,19.89,10.91
2024-09-27 12:03:26,19.91,11.08
2024-09-27 12:03:27,19.91,11.12
2024-09-27 12:03:28,19.91,11.08
2024-09-27 12:03:29,19.9,11.03
2024-09-27 12:03:30,19.89,10.94
2024-09-27 12:03:31,19.92,10.91
2024-09-27 12:03:32,19.92,11.0
2024-09-27 12:03:33,19.89,11.15
2024-09-27 12:03:34,19.9,11.12
2024-09-27 12:03:35,19.9,11.03
2024-09-27 12:03:36,19.9,11.03
2024-09-27 12:03:37,19.9,11.03
2024-09-27 12:03:38,19.9,11.15
2024-09-27 12:03:39,19.86,11.24
2024-09-27 12:03:40,19.92,11.35
2024-09-27 12:03:41,19.89,11.38
2024-09-27 12:03:42,19.89,11.35
2024-09-27 12:03:43,19.89,11.18
2024-09-27 12:03:44,19.89,11.21
2024-09-27 12:03:45,19.89,11.21
2024-09-27 12:03:46,19.89,11.41
2024-09-27 12:03:47,19.9,11.46
2024-09-27 12:03:48,19.89,11.58
2024-09-27 12:03:49,19.89,11.58
2024-09-27 12:03:50,19.89,11.52
2024-09-27 12:03:51,19.86,11.58
2024-09-27 12:03:52,19.88,11.73
2024-09-27 12:03:53,19.9,11.87
2024-09-27 12:03:54,19.89,11.96
2024-09-27 12:03:55,19.89,12.07
2024-09-27 12:03:56,19.89,12.07
2024-09-27 12:03:57,19.88,11.96
2024-09-27 12:03:58,19.86,11.9
2024-09-27 12:03:59,19.88,11.96
2024-09-27 12:04:00,19.88,12.02
2024-09-27 12:04:01,19.88,12.1
2024-09-27 12:04:02,19.85,12.2
2024-09-27 12:04:03,19.86,12.22
2024-09-27 12:04:04,19.88,12.25
2024-09-27 12:04:05,19.85,12.28
2024-09-27 12:04:06,19.85,12.31
2024-09-27 12:04:07,19.85,12.4
2024-09-27 12:04:08,19.86,12.57
2024-09-27 12:04:09,19.85,12.69
2024-09-27 12:04:10,19.85,12.83
2024-09-27 12:04:11,19.85,12.98
2024-09-27 12:04:12,19.85,13.09
2024-09-27 12:04:13,19.85,13.15
2024-09-27 12:04:14,19.85,13.15
2024-09-27 12:04:15,19.83,13.27
2024-09-27 12:04:16,19.82,13.47
2024-09-27 12:04:17,19.82,13.71
2024-09-27 12:04:18,19.83,13.94
2024-09-27 12:04:19,19.84,14.08
2024-09-27 12:04:20,19.81,14.11
2024-09-27 12:04:21,19.83,14.13
2024-09-27 12:04:22,19.82,14.19
2024-09-27 12:04:23,19.82,14.4
2024-09-27 12:04:24,19.82,14.69
2024-09-27 12:04:25,19.82,14.92
2024-09-27 12:04:26,19.84,15.01
2024-09-27 12:04:27,19.82,15.04
2024-09-27 12:04:28,19.82,15.04
2024-09-27 12:04:29,19.82,15.09
2024-09-27 12:04:30,19.82,15.25
2024-09-27 12:04:31,19.79,15.42
2024-09-27 12:04:32,19.8,15.59
2024-09-27 12:04:33,19.8,15.73
2024-09-27 12:04:34,19.81,15.77
2024-09-27 12:04:35,19.8,15.7
2024-09-27 12:04:36,19.81,15.77
2024-09-27 12:04:37,19.8,15.8
2024-09-27 12:04:38,19.82,15.94
2024-09-27 12:04:39,19.8,16.08
2024-09-27 12:04:40,19.8,16.25
2024-09-27 12:04:41,19.81,16.2
2024-09-27 12:04:42,19.8,16.17
2024-09-27 12:04:43,19.81,16.38
2024-09-27 12:04:44,19.78,16.52
2024-09-27 12:04:45,19.78,16.72
2024-09-27 12:04:46,19.78,16.9
2024-09-27 12:04:47,19.78,17.04
2024-09-27 12:04:48,19.78,17.13
2024-09-27 12:04:49,19.77,17.24
2024-09-27 12:04:50,19.79,17.37
2024-09-27 12:04:51,19.78,17.45
2024-09-27 12:04:52,19.79,17.48
2024-09-27 12:04:53,19.78,17.51
2024-09-27 12:04:54,19.79,17.34
2024-09-27 12:04:55,19.78,17.37
2024-09-27 12:04:56,19.78,17.31
2024-09-27 12:04:57,19.78,17.31
2024-09-27 12:04:58,19.77,17.34
2024-09-27 12:04:59,19.79,17.27
2024-09-27 12:05:00,19.78,17.21
2024-09-27 12:05:01,19.78,17.19
2024-09-27 12:05:02,19.78,17.21
2024-09-27 12:05:03,19.79,17.21
2024-09-27 12:05:04,19.79,17.27
2024-09-27 12:05:05,19.79,17.45
2024-09-27 12:05:06,19.78,17.45
2024-09-27 12:05:07,19.78,17.39
2024-09-27 12:05:08,19.79,17.37
2024-09-27 12:05:09,19.78,17.42
2024-09-27 12:05:10,19.78,17.45
2024-09-27 12:05:11,19.78,17.54
2024-09-27 12:05:12,19.78,17.59
2024-09-27 12:05:13,19.78,17.45
2024-09-27 12:05:14,19.8,17.27
2024-09-27 12:05:15,19.77,17.27
2024-09-27 12:05:16,19.78,17.21
2024-09-27 12:05:17,19.78,17.16
2024-09-27 12:05:18,19.77,17.07
2024-09-27 12:05:19,19.78,17.01
2024-09-27 12:05:20,19.78,16.99
2024-09-27 12:05:21,19.78,16.9
2024-09-27 12:05:22,19.78,16.93
2024-09-27 12:05:23,19.78,16.99
2024-09-27 12:05:24,19.78,17.07
2024-09-27 12:05:25,19.78,17.07
2024-09-27 12:05:26,19.78,17.07
2024-09-27 12:05:27,19.79,16.96
2024-09-27 12:05:28,19.78,17.07
2024-09-27 12:05:29,19.77,17.21
2024-09-27 12:05:30,19.78,17.34
2024-09-27 12:05:31,19.8,17.34
2024-09-27 12:05:32,19.78,17.31
2024-09-27 12:05:33,19.79,17.21
2024-09-27 12:05:34,19.78,17.16
2024-09-27 12:05:35,19.78,17.01
2024-09-27 12:05:36,19.78,17.04
2024-09-27 12:05:37,19.81,16.99
2024-09-27 12:05:38,19.78,16.93
2024-09-27 12:05:39,19.78,16.96
2024-09-27 12:05:40,19.78,16.81
2024-09-27 12:05:41,19.78,16.69
2024-09-27 12:05:42,19.79,16.63
2024-09-27 12:05:43,19.78,16.52
2024-09-27 12:05:44,19.78,16.52
2024-09-27 12:05:45,19.78,16.58
2024-09-27 12:05:46,19.78,16.63
2024-09-27 12:05:47,19.78,16.66
2024-09-27 12:05:48,19.79,16.6
2024-09-27 12:05:49,19.78,16.52
2024-09-27 12:05:50,19.78,16.58
2024-09-27 12:05:51,19.78,16.69
2024-09-27 12:05:52,19.77,16.72
2024-09-27 12:05:53,19.78,16.78
2024-09-27 12:05:54,19.78,16.9
2024-09-27 12:05:55,19.78,16.81
2024-09-27 12:05:56,19.8,16.69
2024-09-27 12:05:57,19.78,16.55
2024-09-27 12:05:58,19.78,16.49
2024-09-27 12:05:59,19.78,16.46
2024-09-27 12:06:00,19.78,16.49
2024-09-27 12:06:01,19.77,16.49
2024-09-27 12:06:02,19.79,16.55
2024-09-27 12:06:03,19.79,16.55
2024-09-27 12:06:04,19.78,16.52
2024-09-27 12:06:05,19.78,16.63
2024-09-27 12:06:06,19.79,16.72
2024-09-27 12:06:07,19.78,16.75
2024-09-27 12:06:08,19.78,16.9
2024-09-27 12:06:09,19.77,17.01
2024-09-27 12:06:10,19.78,17.01
2024-09-27 12:06:11,19.77,16.93
2024-09-27 12:06:12,19.76,16.96
2024-09-27 12:06:13,19.78,17.04
2024-09-27 12:06:14,19.77,17.07
2024-09-27 12:06:15,19.76,17.16
2024-09-27 12:06:16,19.77,17.31
2024-09-27 12:06:17,19.77,17.36
2024-09-27 12:06:18,19.75,17.31
2024-09-27 12:06:19,19.76,17.42
2024-09-27 12:06:20,19.78,17.45
2024-09-27 12:06:21,19.76,17.51
2024-09-27 12:06:22,19.78,17.62
2024-09-27 12:06:23,19.76,17.71
2024-09-27 12:06:24,19.77,17.59
2024-09-27 12:06:25,19.78,17.56
2024-09-27 12:06:26,19.75,17.42
2024-09-27 12:06:27,19.75,17.51
2024-09-27 12:06:28,19.77,17.51
2024-09-27 12:06:29,19.76,17.51
2024-09-27 12:06:30,19.78,17.51
2024-09-27 12:06:31,19.76,17.42
2024-09-27 12:06:32,19.74,17.42
2024-09-27 12:06:33,19.78,17.45
2024-09-27 12:06:34,19.77,17.42
2024-09-27 12:06:35,19.77,17.45
2024-09-27 12:06:36,19.77,17.54
2024-09-27 12:06:37,19.78,17.56
2024-09-27 12:06:38,19.76,17.51
2024-09-27 12:06:39,19.78,17.45
2024-09-27 12:06:40,19.78,17.36
2024-09-27 12:06:41,19.77,17.36
2024-09-27 12:06:42,19.76,17.51
2024-09-27 12:06:43,19.76,17.62
2024-09-27 12:06:44,19.77,17.71
2024-09-27 12:06:45,19.76,17.79
2024-09-27 12:06:46,19.75,17.65
2024-09-27 12:06:47,19.78,17.62
2024-09-27 12:06:48,19.76,17.59
2024-09-27 12:06:49,19.76,17.68
2024-09-27 12:06:50,19.76,17.94
2024-09-27 12:06:51,19.77,17.94
2024-09-27 12:06:52,19.78,18.0
2024-09-27 12:06:53,19.76,17.92
2024-09-27 12:06:54,19.77,17.73
2024-09-27 12:06:55,19.74,17.56
2024-09-27 12:06:56,19.76,17.48
2024-09-27 12:06:57,19.77,17.51
2024-09-27 12:06:58,19.77,17.53
2024-09-27 12:06:59,19.77,17.59
2024-09-27 12:07:00,19.76,17.65
2024-09-27 12:07:01,19.76,17.56
2024-09-27 12:07:02,19.75,17.42
2024-09-27 12:07:03,19.77,17.39
2024-09-27 12:07:04,19.77,17.36
2024-09-27 12:07:05,19.76,17.45
2024-09-27 12:07:06,19.76,17.54
2024-09-27 12:07:07,19.79,17.51
2024-09-27 12:07:08,19.75,17.56
2024-09-27 12:07:09,19.77,17.59
2024-09-27 12:07:10,19.77,17.59
2024-09-27 12:07:11,19.76,17.68
2024-09-27 12:07:12,19.74,17.65
2024-09-27 12:07:13,19.77,17.71
2024-09-27 12:07:14,19.76,17.76
2024-09-27 12:07:15,19.75,17.76
2024-09-27 12:07:16,19.77,17.68
2024-09-27 12:07:17,19.78,17.62
2024-09-27 12:07:18,19.76,17.45
2024-09-27 12:07:19,19.76,17.31
2024-09-27 12:07:20,19.77,17.27
2024-09-27 12:07:21,19.77,17.27
2024-09-27 12:07:22,19.75,17.24
2024-09-27 12:07:23,19.77,17.15
2024-09-27 12:07:24,19.76,17.15
2024-09-27 12:07:25,19.77,17.15
2024-09-27 12:07:26,19.78,17.15
2024-09-27 12:07:27,19.77,17.13
2024-09-27 12:07:28,19.75,17.07
2024-09-27 12:07:29,19.78,16.98
2024-09-27 12:07:30,19.76,16.75
2024-09-27 12:07:31,19.76,16.55
2024-09-27 12:07:32,19.79,16.49
