date,temperature(c),depth(m)
2024-10-04 15:37:46,21.4,2.23
2024-10-04 15:37:47,21.42,2.39
2024-10-04 15:37:48,21.4,2.47
2024-10-04 15:37:49,21.42,2.59
2024-10-04 15:37:50,21.42,2.7
2024-10-04 15:37:51,21.41,2.67
2024-10-04 15:37:52,21.42,2.62
2024-10-04 15:37:53,21.4,2.62
2024-10-04 15:37:54,21.4,2.67
2024-10-04 15:37:55,21.4,2.79
2024-10-04 15:37:56,21.42,2.88
2024-10-04 15:37:57,21.42,2.94
2024-10-04 15:37:58,21.4,2.97
2024-10-04 15:37:59,21.42,3.03
2024-10-04 15:38:00,21.4,3.03
2024-10-04 15:38:01,21.41,2.91
2024-10-04 15:38:02,21.4,2.97
2024-10-04 15:38:03,21.39,2.91
2024-10-04 15:38:04,21.41,2.76
2024-10-04 15:38:05,21.41,2.7
2024-10-04 15:38:06,21.42,2.67
2024-10-04 15:38:07,21.4,2.64
2024-10-04 15:38:08,21.41,2.53
2024-10-04 15:38:09,21.38,2.5
2024-10-04 15:38:10,21.41,2.47
2024-10-04 15:38:11,21.4,2.44
2024-10-04 15:38:12,21.42,2.5
2024-10-04 15:38:13,21.39,2.53
2024-10-04 15:38:14,21.39,2.59
2024-10-04 15:38:15,21.4,2.64
2024-10-04 15:38:16,21.4,2.56
2024-10-04 15:38:17,21.42,2.7
2024-10-04 15:38:18,21.41,2.67
2024-10-04 15:38:19,21.38,2.79
2024-10-04 15:38:20,21.42,2.73
2024-10-04 15:38:21,21.4,2.64
2024-10-04 15:38:22,21.42,2.42
2024-10-04 15:38:23,21.41,2.39
2024-10-04 15:38:24,21.41,2.42
2024-10-04 15:38:25,21.4,2.62
2024-10-04 15:38:26,21.42,2.73
2024-10-04 15:38:27,21.42,2.85
2024-10-04 15:38:28,21.4,3.14
2024-10-04 15:38:29,21.41,3.34
2024-10-04 15:38:30,21.42,3.44
2024-10-04 15:38:31,21.39,3.58
2024-10-04 15:38:32,21.41,3.75
2024-10-04 15:38:33,21.39,3.86
2024-10-04 15:38:34,21.4,4.05
2024-10-04 15:38:35,21.42,4.22
2024-10-04 15:38:36,21.4,4.27
2024-10-04 15:38:37,21.39,4.46
2024-10-04 15:38:38,21.4,4.63
2024-10-04 15:38:39,21.39,4.8
2024-10-04 15:38:40,21.41,4.92
2024-10-04 15:38:41,21.4,4.95
2024-10-04 15:38:42,21.4,4.95
2024-10-04 15:38:43,21.39,5.21
2024-10-04 15:38:44,21.42,5.53
2024-10-04 15:38:45,21.42,5.76
2024-10-04 15:38:46,21.4,6.09
2024-10-04 15:38:47,21.39,6.4
2024-10-04 15:38:48,21.4,6.67
2024-10-04 15:38:49,21.42,6.87
2024-10-04 15:38:50,21.41,7.02
2024-10-04 15:38:51,21.39,7.22
2024-10-04 15:38:52,21.41,7.36
2024-10-04 15:38:53,21.39,7.52
2024-10-04 15:38:54,21.4,7.63
2024-10-04 15:38:55,21.39,7.86
2024-10-04 15:38:56,21.39,8.0
2024-10-04 15:38:57,21.4,8.15
2024-10-04 15:38:58,21.4,8.35
2024-10-04 15:38:59,21.41,8.54
2024-10-04 15:39:00,21.39,8.65
2024-10-04 15:39:01,21.39,8.82
2024-10-04 15:39:02,21.39,9.02
2024-10-04 15:39:03,21.4,9.23
2024-10-04 15:39:04,21.4,9.46
2024-10-04 15:39:05,21.4,9.67
2024-10-04 15:39:06,21.39,9.9
2024-10-04 15:39:07,21.37,10.19
2024-10-04 15:39:08,21.37,10.42
2024-10-04 15:39:09,21.36,10.69
2024-10-04 15:39:10,21.35,10.89
2024-10-04 15:39:11,21.35,11.16
2024-10-04 15:39:12,21.35,11.33
2024-10-04 15:39:13,21.34,11.59
2024-10-04 15:39:14,21.34,11.68
2024-10-04 15:39:15,21.33,12.05
2024-10-04 15:39:16,21.33,12.35
2024-10-04 15:39:17,21.34,12.44
2024-10-04 15:39:18,21.33,12.7
2024-10-04 15:39:19,21.32,12.93
2024-10-04 15:39:20,21.29,13.2
2024-10-04 15:39:21,21.34,13.57
2024-10-04 15:39:22,21.33,13.87
2024-10-04 15:39:23,21.32,14.12
2024-10-04 15:39:24,21.32,14.42
2024-10-04 15:39:25,21.32,14.7
2024-10-04 15:39:26,21.31,14.97
2024-10-04 15:39:27,21.31,15.11
2024-10-04 15:39:28,21.29,15.32
2024-10-04 15:39:29,21.29,15.58
2024-10-04 15:39:30,21.28,15.88
2024-10-04 15:39:31,21.3,16.08
2024-10-04 15:39:32,21.32,16.4
2024-10-04 15:39:33,21.29,16.46
2024-10-04 15:39:34,21.31,16.63
2024-10-04 15:39:35,21.29,16.66
2024-10-04 15:39:36,21.32,16.87
2024-10-04 15:39:37,21.31,17.07
2024-10-04 15:39:38,21.29,17.42
2024-10-04 15:39:39,21.3,17.65
2024-10-04 15:39:40,21.32,17.83
2024-10-04 15:39:41,21.3,18.0
2024-10-04 15:39:42,21.31,18.15
2024-10-04 15:39:43,21.31,18.29
2024-10-04 15:39:44,21.28,18.47
2024-10-04 15:39:45,21.29,18.7
2024-10-04 15:39:46,21.29,18.97
2024-10-04 15:39:47,21.28,19.2
2024-10-04 15:39:48,21.28,19.55
2024-10-04 15:39:49,21.31,19.78
2024-10-04 15:39:50,21.29,20.07
2024-10-04 15:39:51,21.29,20.39
2024-10-04 15:39:52,21.28,20.68
2024-10-04 15:39:53,21.28,20.98
2024-10-04 15:39:54,21.28,21.24
2024-10-04 15:39:55,21.31,21.53
2024-10-04 15:39:56,21.29,21.79
2024-10-04 15:39:57,21.29,22.0
2024-10-04 15:39:58,21.28,22.23
2024-10-04 15:39:59,21.28,22.49
2024-10-04 15:40:00,21.27,22.78
2024-10-04 15:40:01,21.29,22.99
2024-10-04 15:40:02,21.27,23.28
2024-10-04 15:40:03,21.27,23.42
2024-10-04 15:40:04,21.26,23.6
2024-10-04 15:40:05,21.25,23.74
2024-10-04 15:40:06,21.26,24.13
2024-10-04 15:40:07,21.25,24.27
2024-10-04 15:40:08,21.25,24.44
2024-10-04 15:40:09,21.26,24.74
2024-10-04 15:40:10,21.23,24.94
2024-10-04 15:40:11,21.25,25.06
2024-10-04 15:40:12,21.25,25.26
2024-10-04 15:40:13,21.23,25.43
2024-10-04 15:40:14,21.24,25.52
2024-10-04 15:40:15,21.24,25.76
2024-10-04 15:40:16,21.22,25.87
2024-10-04 15:40:17,21.24,25.98
2024-10-04 15:40:18,21.23,26.17
2024-10-04 15:40:19,21.22,26.31
2024-10-04 15:40:20,21.22,26.42
2024-10-04 15:40:21,21.22,26.45
2024-10-04 15:40:22,21.21,26.59
2024-10-04 15:40:23,21.22,26.63
2024-10-04 15:40:24,21.22,26.66
2024-10-04 15:40:25,21.22,26.78
2024-10-04 15:40:26,21.22,26.89
2024-10-04 15:40:27,21.19,27.09
2024-10-04 15:40:28,21.23,27.21
2024-10-04 15:40:29,21.21,27.33
2024-10-04 15:40:30,21.22,27.47
2024-10-04 15:40:31,21.21,27.61
2024-10-04 15:40:32,21.19,27.71
2024-10-04 15:40:33,21.21,27.74
2024-10-04 15:40:34,21.21,27.71
2024-10-04 15:40:35,21.18,27.74
2024-10-04 15:40:36,21.19,27.85
2024-10-04 15:40:37,21.19,27.94
2024-10-04 15:40:38,21.18,28.18
2024-10-04 15:40:39,21.17,28.32
2024-10-04 15:40:40,21.21,28.46
2024-10-04 15:40:41,21.21,28.61
2024-10-04 15:40:42,21.19,28.82
2024-10-04 15:40:43,21.21,29.02
2024-10-04 15:40:44,21.19,29.23
2024-10-04 15:40:45,21.17,29.45
2024-10-04 15:40:46,21.14,29.72
2024-10-04 15:40:47,21.06,29.89
2024-10-04 15:40:48,21.01,30.0
2024-10-04 15:40:49,20.94,30.18
2024-10-04 15:40:50,20.92,30.3
2024-10-04 15:40:51,20.88,30.27
2024-10-04 15:40:52,20.85,30.17
2024-10-04 15:40:53,20.82,30.24
2024-10-04 15:40:54,20.81,30.2
2024-10-04 15:40:55,20.78,30.27
2024-10-04 15:40:56,20.77,30.47
2024-10-04 15:40:57,20.78,30.44
2024-10-04 15:40:58,20.78,30.44
2024-10-04 15:40:59,20.79,30.38
2024-10-04 15:41:00,20.77,30.38
2024-10-04 15:41:01,20.77,30.44
2024-10-04 15:41:02,20.74,30.41
2024-10-04 15:41:03,20.73,30.44
2024-10-04 15:41:04,20.7,30.38
2024-10-04 15:41:05,20.67,30.44
2024-10-04 15:41:06,20.67,30.55
2024-10-04 15:41:07,20.67,30.58
2024-10-04 15:41:08,20.65,30.66
2024-10-04 15:41:09,20.64,30.66
2024-10-04 15:41:10,20.63,30.69
2024-10-04 15:41:11,20.63,30.63
2024-10-04 15:41:12,20.64,30.66
2024-10-04 15:41:13,20.64,30.55
2024-10-04 15:41:14,20.62,30.49
2024-10-04 15:41:15,20.62,30.55
2024-10-04 15:41:16,20.64,30.58
2024-10-04 15:41:17,20.63,30.66
2024-10-04 15:41:18,20.62,30.72
2024-10-04 15:41:19,20.62,30.6
2024-10-04 15:41:20,20.63,30.52
2024-10-04 15:41:21,20.61,30.52
2024-10-04 15:41:22,20.63,30.43
2024-10-04 15:41:23,20.65,30.4
2024-10-04 15:41:24,20.64,30.4
2024-10-04 15:41:25,20.66,30.37
2024-10-04 15:41:26,20.65,30.35
2024-10-04 15:41:27,20.67,30.37
2024-10-04 15:41:28,20.67,30.52
2024-10-04 15:41:29,20.63,30.4
2024-10-04 15:41:30,20.64,30.37
2024-10-04 15:41:31,20.66,30.16
2024-10-04 15:41:32,20.64,30.19
2024-10-04 15:41:33,20.66,30.13
2024-10-04 15:41:34,20.69,30.05
2024-10-04 15:41:35,20.69,30.05
2024-10-04 15:41:36,20.72,29.99
2024-10-04 15:41:37,20.74,29.96
2024-10-04 15:41:38,20.73,29.93
2024-10-04 15:41:39,20.75,29.91
2024-10-04 15:41:40,20.73,29.73
2024-10-04 15:41:41,20.75,29.71
2024-10-04 15:41:42,20.76,29.71
2024-10-04 15:41:43,20.76,29.79
2024-10-04 15:41:44,20.77,29.93
2024-10-04 15:41:45,20.77,29.99
2024-10-04 15:41:46,20.76,30.11
2024-10-04 15:41:47,20.75,30.16
2024-10-04 15:41:48,20.75,30.26
2024-10-04 15:41:49,20.75,30.26
2024-10-04 15:41:50,20.74,30.29
2024-10-04 15:41:51,20.74,30.29
2024-10-04 15:41:52,20.73,30.23
2024-10-04 15:41:53,20.75,30.11
2024-10-04 15:41:54,20.75,30.08
2024-10-04 15:41:55,20.76,30.11
2024-10-04 15:41:56,20.75,30.13
2024-10-04 15:41:57,20.74,30.32
2024-10-04 15:41:58,20.74,30.31
2024-10-04 15:41:59,20.75,30.34
2024-10-04 15:42:00,20.73,30.43
2024-10-04 15:42:01,20.72,30.54
2024-10-04 15:42:02,20.74,30.6
2024-10-04 15:42:03,20.72,30.66
2024-10-04 15:42:04,20.74,30.69
2024-10-04 15:42:05,20.73,30.78
2024-10-04 15:42:06,20.72,30.75
2024-10-04 15:42:07,20.73,30.66
2024-10-04 15:42:08,20.73,30.57
2024-10-04 15:42:09,20.74,30.4
2024-10-04 15:42:10,20.74,30.31
2024-10-04 15:42:11,20.75,29.99
2024-10-04 15:42:12,20.73,29.79
2024-10-04 15:42:13,20.75,29.69
2024-10-04 15:42:14,20.77,29.47
2024-10-04 15:42:15,20.76,29.44
2024-10-04 15:42:16,20.78,29.29
2024-10-04 15:42:17,20.82,29.27
2024-10-04 15:42:18,20.85,29.14
2024-10-04 15:42:19,20.92,29.06
2024-10-04 15:42:20,20.97,28.97
2024-10-04 15:42:21,21.02,28.77
2024-10-04 15:42:22,21.07,28.72
2024-10-04 15:42:23,21.07,28.78
2024-10-04 15:42:24,21.11,28.86
2024-10-04 15:42:25,21.13,29.06
2024-10-04 15:42:26,21.15,29.21
2024-10-04 15:42:27,21.14,29.36
2024-10-04 15:42:28,21.14,29.36
2024-10-04 15:42:29,21.17,29.33
2024-10-04 15:42:30,21.16,29.27
2024-10-04 15:42:31,21.17,29.19
2024-10-04 15:42:32,21.16,29.06
2024-10-04 15:42:33,21.17,29.06
2024-10-04 15:42:34,21.17,29.12
2024-10-04 15:42:35,21.17,29.12
2024-10-04 15:42:36,21.17,29.19
2024-10-04 15:42:37,21.17,29.22
2024-10-04 15:42:38,21.16,29.12
2024-10-04 15:42:39,21.17,28.98
2024-10-04 15:42:40,21.17,28.86
2024-10-04 15:42:41,21.17,28.86
2024-10-04 15:42:42,21.21,28.86
2024-10-04 15:42:43,21.18,28.86
2024-10-04 15:42:44,21.19,28.89
2024-10-04 15:42:45,21.17,28.86
2024-10-04 15:42:46,21.17,28.75
2024-10-04 15:42:47,21.17,28.78
2024-10-04 15:42:48,21.17,28.6
2024-10-04 15:42:49,21.17,28.43
2024-10-04 15:42:50,21.18,28.31
2024-10-04 15:42:51,21.18,28.02
2024-10-04 15:42:52,21.18,27.9
2024-10-04 15:42:53,21.16,27.87
2024-10-04 15:42:54,21.17,27.64
2024-10-04 15:42:55,21.17,27.55
2024-10-04 15:42:56,21.17,27.29
2024-10-04 15:42:57,21.21,27.05
2024-10-04 15:42:58,21.18,26.91
2024-10-04 15:42:59,21.18,26.8
2024-10-04 15:43:00,21.18,26.65
2024-10-04 15:43:01,21.18,26.56
2024-10-04 15:43:02,21.21,26.47
2024-10-04 15:43:03,21.21,26.3
2024-10-04 15:43:04,21.21,26.22
2024-10-04 15:43:05,21.22,25.95
2024-10-04 15:43:06,21.18,25.92
2024-10-04 15:43:07,21.19,25.75
2024-10-04 15:43:08,21.23,25.75
2024-10-04 15:43:09,21.22,25.81
2024-10-04 15:43:10,21.23,25.86
2024-10-04 15:43:11,21.23,25.84
2024-10-04 15:43:12,21.22,25.81
2024-10-04 15:43:13,21.23,25.78
2024-10-04 15:43:14,21.22,25.69
2024-10-04 15:43:15,21.22,25.61
2024-10-04 15:43:16,21.23,25.69
2024-10-04 15:43:17,21.24,25.72
2024-10-04 15:43:18,21.22,25.95
2024-10-04 15:43:19,21.23,26.19
2024-10-04 15:43:20,21.21,26.3
2024-10-04 15:43:21,21.19,26.53
2024-10-04 15:43:22,21.17,26.74
2024-10-04 15:43:23,21.17,26.91
2024-10-04 15:43:24,21.16,27.03
2024-10-04 15:43:25,21.17,27.24
2024-10-04 15:43:26,21.13,27.38
2024-10-04 15:43:27,21.14,27.35
2024-10-04 15:43:28,21.12,27.44
2024-10-04 15:43:29,21.12,27.52
2024-10-04 15:43:30,21.11,27.7
2024-10-04 15:43:31,21.12,27.9
2024-10-04 15:43:32,21.12,28.1
2024-10-04 15:43:33,21.11,28.31
2024-10-04 15:43:34,21.1,28.51
2024-10-04 15:43:35,21.11,28.57
2024-10-04 15:43:36,21.1,28.63
2024-10-04 15:43:37,21.1,28.75
2024-10-04 15:43:38,21.11,28.84
2024-10-04 15:43:39,21.1,28.95
2024-10-04 15:43:40,21.11,29.28
2024-10-04 15:43:41,21.07,29.48
2024-10-04 15:43:42,21.1,29.59
2024-10-04 15:43:43,21.07,29.62
2024-10-04 15:43:44,21.04,29.67
2024-10-04 15:43:45,21.01,29.71
2024-10-04 15:43:46,21.02,29.8
2024-10-04 15:43:47,20.99,30.03
2024-10-04 15:43:48,20.98,30.27
2024-10-04 15:43:49,20.95,30.38
2024-10-04 15:43:50,20.93,30.35
2024-10-04 15:43:51,20.94,30.44
2024-10-04 15:43:52,20.92,30.35
2024-10-04 15:43:53,20.9,30.32
2024-10-04 15:43:54,20.89,30.38
2024-10-04 15:43:55,20.89,30.35
2024-10-04 15:43:56,20.87,30.44
2024-10-04 15:43:57,20.86,30.46
2024-10-04 15:43:58,20.85,30.52
2024-10-04 15:43:59,20.83,30.43
2024-10-04 15:44:00,20.82,30.38
2024-10-04 15:44:01,20.83,30.32
2024-10-04 15:44:02,20.82,30.23
2024-10-04 15:44:03,20.82,30.23
2024-10-04 15:44:04,20.82,30.17
2024-10-04 15:44:05,20.81,30.23
2024-10-04 15:44:06,20.82,30.32
2024-10-04 15:44:07,20.82,30.29
2024-10-04 15:44:08,20.82,30.29
2024-10-04 15:44:09,20.82,30.26
2024-10-04 15:44:10,20.83,30.23
2024-10-04 15:44:11,20.85,30.29
2024-10-04 15:44:12,20.85,30.2
2024-10-04 15:44:13,20.86,30.14
2024-10-04 15:44:14,20.89,30.08
2024-10-04 15:44:15,20.91,29.99
2024-10-04 15:44:16,20.92,29.91
2024-10-04 15:44:17,20.94,29.94
2024-10-04 15:44:18,21.0,29.91
2024-10-04 15:44:19,21.01,29.91
2024-10-04 15:44:20,21.03,29.85
2024-10-04 15:44:21,21.03,29.85
2024-10-04 15:44:22,21.04,29.85
2024-10-04 15:44:23,21.04,29.88
2024-10-04 15:44:24,21.07,29.94
2024-10-04 15:44:25,21.07,29.94
2024-10-04 15:44:26,21.1,29.91
2024-10-04 15:44:27,21.1,30.0
2024-10-04 15:44:28,21.1,29.94
2024-10-04 15:44:29,21.1,30.0
2024-10-04 15:44:30,21.14,30.03
2024-10-04 15:44:31,21.14,29.97
2024-10-04 15:44:32,21.13,30.03
2024-10-04 15:44:33,21.14,29.94
2024-10-04 15:44:34,21.13,29.94
2024-10-04 15:44:35,21.13,30.0
2024-10-04 15:44:36,21.14,29.91
2024-10-04 15:44:37,21.14,29.91
2024-10-04 15:44:38,21.13,29.97
2024-10-04 15:44:39,21.14,29.91
2024-10-04 15:44:40,21.11,29.86
2024-10-04 15:44:41,21.07,29.74
2024-10-04 15:44:42,21.12,29.77
2024-10-04 15:44:43,21.12,29.89
2024-10-04 15:44:44,21.1,29.83
2024-10-04 15:44:45,21.12,29.86
2024-10-04 15:44:46,21.12,29.94
2024-10-04 15:44:47,21.13,29.97
2024-10-04 15:44:48,21.12,30.08
2024-10-04 15:44:49,21.11,29.97
2024-10-04 15:44:50,21.1,29.91
2024-10-04 15:44:51,21.1,29.94
2024-10-04 15:44:52,21.07,30.03
2024-10-04 15:44:53,21.07,30.14
2024-10-04 15:44:54,21.05,30.0
2024-10-04 15:44:55,21.09,29.77
2024-10-04 15:44:56,21.05,29.77
2024-10-04 15:44:57,21.09,29.89
2024-10-04 15:44:58,21.09,29.83
2024-10-04 15:44:59,21.1,29.83
2024-10-04 15:45:00,21.1,29.83
2024-10-04 15:45:01,21.1,29.86
2024-10-04 15:45:02,21.12,29.86
2024-10-04 15:45:03,21.1,29.86
2024-10-04 15:45:04,21.11,29.94
2024-10-04 15:45:05,21.11,30.11
2024-10-04 15:45:06,21.09,30.41
2024-10-04 15:45:07,21.07,30.58
2024-10-04 15:45:08,21.05,30.52
2024-10-04 15:45:09,21.03,30.64
2024-10-04 15:45:10,21.0,30.66
2024-10-04 15:45:11,20.99,30.76
2024-10-04 15:45:12,20.96,30.87
2024-10-04 15:45:13,20.92,31.13
2024-10-04 15:45:14,20.85,31.31
2024-10-04 15:45:15,20.8,31.48
2024-10-04 15:45:16,20.76,31.62
2024-10-04 15:45:17,20.7,31.68
2024-10-04 15:45:18,20.64,31.62
2024-10-04 15:45:19,20.63,31.65
2024-10-04 15:45:20,20.6,31.71
2024-10-04 15:45:21,20.57,31.77
2024-10-04 15:45:22,20.55,31.8
2024-10-04 15:45:23,20.56,31.73
2024-10-04 15:45:24,20.53,31.77
2024-10-04 15:45:25,20.53,31.68
2024-10-04 15:45:26,20.53,31.68
2024-10-04 15:45:27,20.53,31.59
2024-10-04 15:45:28,20.56,31.45
2024-10-04 15:45:29,20.58,31.45
2024-10-04 15:45:30,20.61,31.42
2024-10-04 15:45:31,20.6,31.27
2024-10-04 15:45:32,20.59,31.09
2024-10-04 15:45:33,20.58,30.84
2024-10-04 15:45:34,20.59,30.71
2024-10-04 15:45:35,20.6,30.54
2024-10-04 15:45:36,20.61,30.51
2024-10-04 15:45:37,20.64,30.37
2024-10-04 15:45:38,20.65,30.29
2024-10-04 15:45:39,20.67,30.16
2024-10-04 15:45:40,20.67,29.93
2024-10-04 15:45:41,20.72,29.79
2024-10-04 15:45:42,20.75,29.49
2024-10-04 15:45:43,20.75,29.29
2024-10-04 15:45:44,20.76,29.03
2024-10-04 15:45:45,20.79,28.86
2024-10-04 15:45:46,20.85,28.77
2024-10-04 15:45:47,20.87,28.8
2024-10-04 15:45:48,20.89,28.72
2024-10-04 15:45:49,20.92,28.53
2024-10-04 15:45:50,20.93,28.59
2024-10-04 15:45:51,20.98,28.59
2024-10-04 15:45:52,21.0,28.51
2024-10-04 15:45:53,21.03,28.34
2024-10-04 15:45:54,21.04,28.19
2024-10-04 15:45:55,21.03,28.07
2024-10-04 15:45:56,21.04,27.98
2024-10-04 15:45:57,21.07,27.95
2024-10-04 15:45:58,21.07,27.93
2024-10-04 15:45:59,21.09,27.84
2024-10-04 15:46:00,21.07,27.81
2024-10-04 15:46:01,21.09,27.93
2024-10-04 15:46:02,21.09,27.76
2024-10-04 15:46:03,21.09,27.7
2024-10-04 15:46:04,21.09,27.67
