date,temperature(c),depth(m)
2024-09-10 09:23:40,25.31,2.12
2024-09-10 09:23:41,25.32,2.3
2024-09-10 09:23:42,25.34,2.43
2024-09-10 09:23:43,25.33,2.46
2024-09-10 09:23:44,25.33,2.52
2024-09-10 09:23:45,25.32,2.52
2024-09-10 09:23:46,25.35,2.64
2024-09-10 09:23:47,25.35,2.79
2024-09-10 09:23:48,25.35,2.86
2024-09-10 09:23:49,25.34,3.1
2024-09-10 09:23:50,25.35,3.22
2024-09-10 09:23:51,25.33,3.41
2024-09-10 09:23:52,25.34,3.53
2024-09-10 09:23:53,25.36,3.65
2024-09-10 09:23:54,25.34,3.98
2024-09-10 09:23:55,25.34,4.25
2024-09-10 09:23:56,25.33,4.37
2024-09-10 09:23:57,25.34,4.47
2024-09-10 09:23:58,25.33,4.53
2024-09-10 09:23:59,25.35,4.71
2024-09-10 09:24:00,25.33,4.99
2024-09-10 09:24:01,25.33,5.17
2024-09-10 09:24:02,25.35,5.34
2024-09-10 09:24:03,25.33,5.59
2024-09-10 09:24:04,25.35,5.53
2024-09-10 09:24:05,25.35,5.56
2024-09-10 09:24:06,25.32,5.59
2024-09-10 09:24:07,25.35,5.56
2024-09-10 09:24:08,25.32,5.68
2024-09-10 09:24:09,25.34,5.99
2024-09-10 09:24:10,25.28,6.23
2024-09-10 09:24:11,25.23,6.35
2024-09-10 09:24:12,25.21,6.44
2024-09-10 09:24:13,25.16,6.63
2024-09-10 09:24:14,25.12,6.75
2024-09-10 09:24:15,25.07,6.92
2024-09-10 09:24:16,25.05,7.05
2024-09-10 09:24:17,25.0,7.14
2024-09-10 09:24:18,24.92,7.23
2024-09-10 09:24:19,24.87,7.26
2024-09-10 09:24:20,24.78,7.32
2024-09-10 09:24:21,24.71,7.41
2024-09-10 09:24:22,24.61,7.47
2024-09-10 09:24:23,24.66,7.6
2024-09-10 09:24:24,24.64,7.63
2024-09-10 09:24:25,24.65,7.69
2024-09-10 09:24:26,24.66,7.81
2024-09-10 09:24:27,24.64,7.98
2024-09-10 09:24:28,24.63,8.05
2024-09-10 09:24:29,24.62,8.14
2024-09-10 09:24:30,24.58,8.26
2024-09-10 09:24:31,24.52,8.41
2024-09-10 09:24:32,24.48,8.54
2024-09-10 09:24:33,24.45,8.66
2024-09-10 09:24:34,24.42,8.78
2024-09-10 09:24:35,24.4,8.98
2024-09-10 09:24:36,24.38,9.17
2024-09-10 09:24:37,24.38,9.29
2024-09-10 09:24:38,24.35,9.47
2024-09-10 09:24:39,24.34,9.75
