date,temperature(c),depth(m)
2024-05-21 10:19:38,19.49,3.58
2024-05-21 10:19:39,19.49,4.04
2024-05-21 10:19:40,19.47,4.47
2024-05-21 10:19:41,19.48,4.93
2024-05-21 10:19:42,19.48,5.29
2024-05-21 10:19:43,19.47,5.73
2024-05-21 10:19:44,19.47,6.21
2024-05-21 10:19:45,19.48,6.67
2024-05-21 10:19:46,19.46,7.19
2024-05-21 10:19:47,19.46,7.71
2024-05-21 10:19:48,19.46,8.25
2024-05-21 10:19:49,19.43,8.36
2024-05-21 10:19:50,19.43,8.39
2024-05-21 10:19:51,19.43,8.36
2024-05-21 10:19:52,19.42,8.33
2024-05-21 10:19:53,19.42,8.36
2024-05-21 10:19:54,19.42,8.19
2024-05-21 10:19:55,19.42,8.22
2024-05-21 10:19:56,19.42,8.25
2024-05-21 10:19:57,19.42,8.28
2024-05-21 10:19:58,19.42,8.31
2024-05-21 10:19:59,19.43,8.28
2024-05-21 10:20:00,19.43,8.28
2024-05-21 10:20:01,19.42,8.02
2024-05-21 10:20:02,19.42,7.82
2024-05-21 10:20:03,19.4,7.84
2024-05-21 10:20:04,19.42,7.73
2024-05-21 10:20:05,19.42,7.73
2024-05-21 10:20:06,19.42,7.7
2024-05-21 10:20:07,19.41,7.47
2024-05-21 10:20:08,19.4,7.33
2024-05-21 10:20:09,19.4,7.22
2024-05-21 10:20:10,19.39,7.22
2024-05-21 10:20:11,19.4,7.22
2024-05-21 10:20:12,19.42,7.13
2024-05-21 10:20:13,19.42,7.05
2024-05-21 10:20:14,19.42,7.05
2024-05-21 10:20:15,19.41,7.1
2024-05-21 10:20:16,19.42,7.05
2024-05-21 10:20:17,19.43,6.99
2024-05-21 10:20:18,19.4,6.95
2024-05-21 10:20:19,19.4,6.95
2024-05-21 10:20:20,19.42,6.81
2024-05-21 10:20:21,19.42,6.7
2024-05-21 10:20:22,19.41,6.64
2024-05-21 10:20:23,19.4,6.53
2024-05-21 10:20:24,19.4,6.47
2024-05-21 10:20:25,19.4,6.32
2024-05-21 10:20:26,19.39,6.18
2024-05-21 10:20:27,19.4,6.13
2024-05-21 10:20:28,19.42,6.13
2024-05-21 10:20:29,19.4,6.13
2024-05-21 10:20:30,19.4,6.07
2024-05-21 10:20:31,19.43,6.07
2024-05-21 10:20:32,19.4,6.07
2024-05-21 10:20:33,19.42,5.86
2024-05-21 10:20:34,19.42,5.72
2024-05-21 10:20:35,19.41,5.58
2024-05-21 10:20:36,19.43,5.53
2024-05-21 10:20:37,19.42,5.4
2024-05-21 10:20:38,19.42,5.38
2024-05-21 10:20:39,19.43,5.07
2024-05-21 10:20:40,19.42,4.89
2024-05-21 10:20:41,19.45,4.69
2024-05-21 10:20:42,19.43,4.52
2024-05-21 10:20:43,19.42,4.37
2024-05-21 10:20:44,19.43,4.34
2024-05-21 10:20:45,19.46,4.15
2024-05-21 10:20:46,19.42,4.18
2024-05-21 10:20:47,19.43,4.23
2024-05-21 10:20:48,19.46,4.23
2024-05-21 10:20:49,19.46,4.23
2024-05-21 10:20:50,19.45,4.18
2024-05-21 10:20:51,19.46,4.09
2024-05-21 10:20:52,19.43,4.12
2024-05-21 10:20:53,19.43,4.09
2024-05-21 10:20:54,19.45,4.06
2024-05-21 10:20:55,19.43,4.06
2024-05-21 10:20:56,19.46,4.06
2024-05-21 10:20:57,19.43,3.98
2024-05-21 10:20:58,19.46,3.86
2024-05-21 10:20:59,19.46,3.86
2024-05-21 10:21:00,19.47,3.74
2024-05-21 10:21:01,19.45,3.6
2024-05-21 10:21:02,19.46,3.49
2024-05-21 10:21:03,19.45,3.44
2024-05-21 10:21:04,19.45,3.46
2024-05-21 10:21:05,19.42,3.6
2024-05-21 10:21:06,19.45,3.63
2024-05-21 10:21:07,19.45,3.74
2024-05-21 10:21:08,19.46,3.92
2024-05-21 10:21:09,19.46,4.15
2024-05-21 10:21:10,19.46,4.34
2024-05-21 10:21:11,19.43,4.5
2024-05-21 10:21:12,19.45,4.58
2024-05-21 10:21:13,19.45,4.66
2024-05-21 10:21:14,19.43,4.8
2024-05-21 10:21:15,19.45,5.01
2024-05-21 10:21:16,19.43,5.09
2024-05-21 10:21:17,19.46,5.32
2024-05-21 10:21:18,19.42,5.47
2024-05-21 10:21:19,19.42,5.53
2024-05-21 10:21:20,19.41,5.69
2024-05-21 10:21:21,19.4,5.78
2024-05-21 10:21:22,19.41,5.92
2024-05-21 10:21:23,19.4,5.99
2024-05-21 10:21:24,19.39,6.1
2024-05-21 10:21:25,19.39,6.21
2024-05-21 10:21:26,19.39,6.29
2024-05-21 10:21:27,19.38,6.61
2024-05-21 10:21:28,19.39,6.87
2024-05-21 10:21:29,19.39,7.1
2024-05-21 10:21:30,19.39,7.21
2024-05-21 10:21:31,19.38,7.41
2024-05-21 10:21:32,19.36,7.56
2024-05-21 10:21:33,19.39,7.7
2024-05-21 10:21:34,19.39,7.84
2024-05-21 10:21:35,19.38,7.95
2024-05-21 10:21:36,19.39,8.02
2024-05-21 10:21:37,19.38,7.92
2024-05-21 10:21:38,19.38,8.05
2024-05-21 10:21:39,19.37,7.98
2024-05-21 10:21:40,19.38,8.13
2024-05-21 10:21:41,19.39,8.27
2024-05-21 10:21:42,19.38,8.16
2024-05-21 10:21:43,19.38,8.38
2024-05-21 10:21:44,19.37,8.47
2024-05-21 10:21:45,19.38,8.47
2024-05-21 10:21:46,19.38,8.44
2024-05-21 10:21:47,19.36,8.41
2024-05-21 10:21:48,19.36,8.33
2024-05-21 10:21:49,19.37,8.38
2024-05-21 10:21:50,19.35,8.38
2024-05-21 10:21:51,19.36,8.3
2024-05-21 10:21:52,19.37,8.27
2024-05-21 10:21:53,19.37,8.3
2024-05-21 10:21:54,19.37,8.27
2024-05-21 10:21:55,19.38,8.16
2024-05-21 10:21:56,19.38,8.13
2024-05-21 10:21:57,19.36,8.13
2024-05-21 10:21:58,19.37,8.1
2024-05-21 10:21:59,19.35,8.07
2024-05-21 10:22:00,19.36,7.98
2024-05-21 10:22:01,19.35,7.95
2024-05-21 10:22:02,19.36,7.9
2024-05-21 10:22:03,19.37,7.9
2024-05-21 10:22:04,19.35,7.87
2024-05-21 10:22:05,19.35,7.84
2024-05-21 10:22:06,19.35,7.84
2024-05-21 10:22:07,19.35,7.84
2024-05-21 10:22:08,19.35,7.81
2024-05-21 10:22:09,19.35,7.78
2024-05-21 10:22:10,19.35,7.64
2024-05-21 10:22:11,19.34,7.61
2024-05-21 10:22:12,19.35,7.56
2024-05-21 10:22:13,19.35,7.5
2024-05-21 10:22:14,19.35,7.38
2024-05-21 10:22:15,19.32,7.35
2024-05-21 10:22:16,19.34,7.24
2024-05-21 10:22:17,19.35,7.24
2024-05-21 10:22:18,19.34,7.18
2024-05-21 10:22:19,19.34,7.1
2024-05-21 10:22:20,19.32,7.13
2024-05-21 10:22:21,19.35,7.18
2024-05-21 10:22:22,19.35,7.18
2024-05-21 10:22:23,19.34,7.13
2024-05-21 10:22:24,19.33,7.15
2024-05-21 10:22:25,19.34,7.21
2024-05-21 10:22:26,19.34,7.29
2024-05-21 10:22:27,19.34,7.24
2024-05-21 10:22:28,19.34,7.1
2024-05-21 10:22:29,19.34,6.95
2024-05-21 10:22:30,19.33,6.81
2024-05-21 10:22:31,19.33,7.01
2024-05-21 10:22:32,19.35,7.04
2024-05-21 10:22:33,19.34,7.07
2024-05-21 10:22:34,19.34,7.1
2024-05-21 10:22:35,19.33,7.01
2024-05-21 10:22:36,19.34,6.89
2024-05-21 10:22:37,19.35,6.78
2024-05-21 10:22:38,19.33,6.72
2024-05-21 10:22:39,19.35,6.61
2024-05-21 10:22:40,19.36,6.53
2024-05-21 10:22:41,19.33,6.47
2024-05-21 10:22:42,19.34,6.29
2024-05-21 10:22:43,19.34,6.15
2024-05-21 10:22:44,19.35,6.21
2024-05-21 10:22:45,19.35,6.12
2024-05-21 10:22:46,19.35,6.04
2024-05-21 10:22:47,19.35,5.98
2024-05-21 10:22:48,19.33,6.01
2024-05-21 10:22:49,19.35,6.01
2024-05-21 10:22:50,19.36,6.07
2024-05-21 10:22:51,19.35,6.1
2024-05-21 10:22:52,19.37,6.24
2024-05-21 10:22:53,19.35,6.26
2024-05-21 10:22:54,19.36,6.38
2024-05-21 10:22:55,19.35,6.55
2024-05-21 10:22:56,19.34,6.5
2024-05-21 10:22:57,19.35,6.5
2024-05-21 10:22:58,19.35,6.55
2024-05-21 10:22:59,19.34,6.53
2024-05-21 10:23:00,19.35,6.53
2024-05-21 10:23:01,19.35,6.53
2024-05-21 10:23:02,19.35,6.5
2024-05-21 10:23:03,19.36,6.64
2024-05-21 10:23:04,19.33,6.69
2024-05-21 10:23:05,19.34,6.83
2024-05-21 10:23:06,19.34,7.01
2024-05-21 10:23:07,19.35,7.13
2024-05-21 10:23:08,19.34,7.24
2024-05-21 10:23:09,19.35,7.27
2024-05-21 10:23:10,19.34,7.35
2024-05-21 10:23:11,19.33,7.27
2024-05-21 10:23:12,19.3,7.35
2024-05-21 10:23:13,19.31,7.35
2024-05-21 10:23:14,19.3,7.38
2024-05-21 10:23:15,19.31,7.38
2024-05-21 10:23:16,19.34,7.5
2024-05-21 10:23:17,19.32,7.58
2024-05-21 10:23:18,19.32,7.64
2024-05-21 10:23:19,19.33,7.78
2024-05-21 10:23:20,19.32,7.84
2024-05-21 10:23:21,19.33,7.75
2024-05-21 10:23:22,19.29,7.7
2024-05-21 10:23:23,19.3,7.64
2024-05-21 10:23:24,19.3,7.61
2024-05-21 10:23:25,19.31,7.58
2024-05-21 10:23:26,19.32,7.58
2024-05-21 10:23:27,19.31,7.53
2024-05-21 10:23:28,19.3,7.58
2024-05-21 10:23:29,19.32,7.67
2024-05-21 10:23:30,19.29,7.61
2024-05-21 10:23:31,19.31,7.67
2024-05-21 10:23:32,19.29,7.67
2024-05-21 10:23:33,19.3,7.64
2024-05-21 10:23:34,19.3,7.61
2024-05-21 10:23:35,19.31,7.58
2024-05-21 10:23:36,19.28,7.5
2024-05-21 10:23:37,19.3,7.46
2024-05-21 10:23:38,19.3,7.46
2024-05-21 10:23:39,19.31,7.41
2024-05-21 10:23:40,19.31,7.35
2024-05-21 10:23:41,19.29,7.29
2024-05-21 10:23:42,19.3,7.29
2024-05-21 10:23:43,19.3,7.29
2024-05-21 10:23:44,19.31,7.32
2024-05-21 10:23:45,19.31,7.32
2024-05-21 10:23:46,19.29,7.35
2024-05-21 10:23:47,19.32,7.24
2024-05-21 10:23:48,19.29,7.24
2024-05-21 10:23:49,19.3,7.29
2024-05-21 10:23:50,19.3,7.27
2024-05-21 10:23:51,19.3,7.27
2024-05-21 10:23:52,19.31,7.29
2024-05-21 10:23:53,19.31,7.21
2024-05-21 10:23:54,19.29,7.1
2024-05-21 10:23:55,19.3,7.18
