date,temperature(c),depth(m)
2024-09-16 20:37:49,23.61,2.35
2024-09-16 20:37:50,23.63,2.52
2024-09-16 20:37:51,23.61,2.58
2024-09-16 20:37:52,23.6,2.72
2024-09-16 20:37:53,23.6,2.91
2024-09-16 20:37:54,23.63,3.05
2024-09-16 20:37:55,23.61,3.17
2024-09-16 20:37:56,23.6,3.2
2024-09-16 20:37:57,23.61,3.2
2024-09-16 20:37:58,23.61,3.29
2024-09-16 20:37:59,23.63,3.41
2024-09-16 20:38:00,23.64,3.44
2024-09-16 20:38:01,23.64,3.44
2024-09-16 20:38:02,23.63,3.41
2024-09-16 20:38:03,23.63,3.34
2024-09-16 20:38:04,23.63,3.34
2024-09-16 20:38:05,23.64,3.44
2024-09-16 20:38:06,23.63,3.5
2024-09-16 20:38:07,23.6,3.62
2024-09-16 20:38:08,23.64,3.67
2024-09-16 20:38:09,23.64,3.76
2024-09-16 20:38:10,23.63,3.76
2024-09-16 20:38:11,23.6,3.76
2024-09-16 20:38:12,23.63,3.79
2024-09-16 20:38:13,23.64,3.89
2024-09-16 20:38:14,23.64,3.85
2024-09-16 20:38:15,23.64,3.89
2024-09-16 20:38:16,23.6,3.95
2024-09-16 20:38:17,23.64,4.03
2024-09-16 20:38:18,23.64,4.18
2024-09-16 20:38:19,23.63,4.27
2024-09-16 20:38:20,23.64,4.32
2024-09-16 20:38:21,23.64,4.48
2024-09-16 20:38:22,23.63,4.68
2024-09-16 20:38:23,23.63,4.83
2024-09-16 20:38:24,23.63,5.01
2024-09-16 20:38:25,23.61,5.1
2024-09-16 20:38:26,23.6,5.18
2024-09-16 20:38:27,23.61,5.27
2024-09-16 20:38:28,23.63,5.3
2024-09-16 20:38:29,23.6,5.46
2024-09-16 20:38:30,23.63,5.54
2024-09-16 20:38:31,23.6,5.63
2024-09-16 20:38:32,23.6,5.69
2024-09-16 20:38:33,23.63,5.75
2024-09-16 20:38:34,23.61,5.83
2024-09-16 20:38:35,23.63,5.99
2024-09-16 20:38:36,23.6,6.08
2024-09-16 20:38:37,23.64,6.25
2024-09-16 20:38:38,23.61,6.34
2024-09-16 20:38:39,23.6,6.45
2024-09-16 20:38:40,23.6,6.55
2024-09-16 20:38:41,23.61,6.69
2024-09-16 20:38:42,23.6,6.9
2024-09-16 20:38:43,23.6,7.05
2024-09-16 20:38:44,23.63,7.17
2024-09-16 20:38:45,23.61,7.23
2024-09-16 20:38:46,23.63,7.37
2024-09-16 20:38:47,23.6,7.5
2024-09-16 20:38:48,23.61,7.64
2024-09-16 20:38:49,23.63,7.82
2024-09-16 20:38:50,23.6,7.93
2024-09-16 20:38:51,23.63,8.09
2024-09-16 20:38:52,23.61,8.2
2024-09-16 20:38:53,23.6,8.38
2024-09-16 20:38:54,23.63,8.47
2024-09-16 20:38:55,23.6,8.59
2024-09-16 20:38:56,23.61,8.74
2024-09-16 20:38:57,23.6,8.88
2024-09-16 20:38:58,23.6,9.0
2024-09-16 20:38:59,23.6,9.15
2024-09-16 20:39:00,23.61,9.27
