date,temperature(c),depth(m)
2024-08-25 08:58:43,24.1,1.3
2024-08-25 08:58:44,24.12,1.51
2024-08-25 08:58:45,24.1,1.63
2024-08-25 08:58:46,24.1,1.69
2024-08-25 08:58:47,24.13,1.82
2024-08-25 08:58:48,24.1,1.97
2024-08-25 08:58:49,24.1,1.97
2024-08-25 08:58:50,24.1,1.94
2024-08-25 08:58:51,24.1,2.0
2024-08-25 08:58:52,24.14,2.06
2024-08-25 08:58:53,24.14,2.15
2024-08-25 08:58:54,24.12,2.09
2024-08-25 08:58:55,24.12,2.06
2024-08-25 08:58:56,24.11,2.09
2024-08-25 08:58:57,24.13,2.18
2024-08-25 08:58:58,24.12,2.15
2024-08-25 08:58:59,24.12,2.12
2024-08-25 08:59:00,24.13,2.09
2024-08-25 08:59:01,24.12,2.12
2024-08-25 08:59:02,24.13,2.26
2024-08-25 08:59:03,24.15,2.26
2024-08-25 08:59:04,24.13,2.29
2024-08-25 08:59:05,24.12,2.33
2024-08-25 08:59:06,24.14,2.36
2024-08-25 08:59:07,24.13,2.42
2024-08-25 08:59:08,24.14,2.39
2024-08-25 08:59:09,24.14,2.36
2024-08-25 08:59:10,24.14,2.29
2024-08-25 08:59:11,24.14,2.39
2024-08-25 08:59:12,24.15,2.51
2024-08-25 08:59:13,24.14,2.42
2024-08-25 08:59:14,24.14,2.39
2024-08-25 08:59:15,24.14,2.45
2024-08-25 08:59:16,24.14,2.57
2024-08-25 08:59:17,24.13,2.66
2024-08-25 08:59:18,24.13,2.63
2024-08-25 08:59:19,24.13,2.54
2024-08-25 08:59:20,24.12,2.51
2024-08-25 08:59:21,24.13,2.51
2024-08-25 08:59:22,24.14,2.48
2024-08-25 08:59:23,24.14,2.45
2024-08-25 08:59:24,24.14,2.42
2024-08-25 08:59:25,24.13,2.45
2024-08-25 08:59:26,24.13,2.51
2024-08-25 08:59:27,24.14,2.57
2024-08-25 08:59:28,24.14,2.69
2024-08-25 08:59:29,24.14,2.72
2024-08-25 08:59:30,24.14,2.72
2024-08-25 08:59:31,24.15,2.66
2024-08-25 08:59:32,24.14,2.69
2024-08-25 08:59:33,24.14,2.72
2024-08-25 08:59:34,24.15,2.72
2024-08-25 08:59:35,24.14,2.69
2024-08-25 08:59:36,24.14,2.66
2024-08-25 08:59:37,24.15,2.69
