date,temperature(c),depth(m)
2024-09-18 16:45:47,23.62,1.07
2024-09-18 16:45:48,23.64,1.32
2024-09-18 16:45:49,23.62,1.53
2024-09-18 16:45:50,23.62,1.71
2024-09-18 16:45:51,23.64,1.84
2024-09-18 16:45:52,23.65,1.95
2024-09-18 16:45:53,23.64,2.07
2024-09-18 16:45:54,23.67,2.16
2024-09-18 16:45:55,23.65,2.19
2024-09-18 16:45:56,23.66,2.28
2024-09-18 16:45:57,23.66,2.41
2024-09-18 16:45:58,23.66,2.5
2024-09-18 16:45:59,23.66,2.47
2024-09-18 16:46:00,23.65,2.38
2024-09-18 16:46:01,23.65,2.28
2024-09-18 16:46:02,23.66,2.25
2024-09-18 16:46:03,23.65,2.35
2024-09-18 16:46:04,23.64,2.41
2024-09-18 16:46:05,23.64,2.35
2024-09-18 16:46:06,23.65,2.19
2024-09-18 16:46:07,23.66,2.13
2024-09-18 16:46:08,23.64,2.16
2024-09-18 16:46:09,23.65,2.19
2024-09-18 16:46:10,23.62,2.19
2024-09-18 16:46:11,23.62,2.1
2024-09-18 16:46:12,23.65,2.13
2024-09-18 16:46:13,23.64,2.19
2024-09-18 16:46:14,23.66,2.22
2024-09-18 16:46:15,23.66,2.28
2024-09-18 16:46:16,23.65,2.38
2024-09-18 16:46:17,23.64,2.31
2024-09-18 16:46:18,23.64,2.35
2024-09-18 16:46:19,23.65,2.31
2024-09-18 16:46:20,23.64,2.41
2024-09-18 16:46:21,23.64,2.41
2024-09-18 16:46:22,23.64,2.35
2024-09-18 16:46:23,23.65,2.38
2024-09-18 16:46:24,23.64,2.25
2024-09-18 16:46:25,23.61,2.19
2024-09-18 16:46:26,23.62,2.28
2024-09-18 16:46:27,23.62,2.35
2024-09-18 16:46:28,23.65,2.44
2024-09-18 16:46:29,23.66,2.41
2024-09-18 16:46:30,23.64,2.35
2024-09-18 16:46:31,23.64,2.25
2024-09-18 16:46:32,23.65,2.16
2024-09-18 16:46:33,23.65,2.13
2024-09-18 16:46:34,23.64,2.16
2024-09-18 16:46:35,23.64,2.28
2024-09-18 16:46:36,23.64,2.38
2024-09-18 16:46:37,23.62,2.25
2024-09-18 16:46:38,23.64,2.19
2024-09-18 16:46:39,23.64,2.16
2024-09-18 16:46:40,23.64,2.13
2024-09-18 16:46:41,23.62,2.13
2024-09-18 16:46:42,23.64,2.28
2024-09-18 16:46:43,23.64,2.5
2024-09-18 16:46:44,23.64,2.5
2024-09-18 16:46:45,23.62,2.44
2024-09-18 16:46:46,23.62,2.35
2024-09-18 16:46:47,23.64,2.35
2024-09-18 16:46:48,23.64,2.44
2024-09-18 16:46:49,23.62,2.5
2024-09-18 16:46:50,23.62,2.56
2024-09-18 16:46:51,23.64,2.56
2024-09-18 16:46:52,23.64,2.68
2024-09-18 16:46:53,23.64,2.56
2024-09-18 16:46:54,23.61,2.47
2024-09-18 16:46:55,23.62,2.53
2024-09-18 16:46:56,23.64,2.56
2024-09-18 16:46:57,23.64,2.71
2024-09-18 16:46:58,23.64,2.77
2024-09-18 16:46:59,23.61,2.8
2024-09-18 16:47:00,23.61,2.77
2024-09-18 16:47:01,23.64,2.74
2024-09-18 16:47:02,23.61,2.71
2024-09-18 16:47:03,23.62,2.77
2024-09-18 16:47:04,23.62,2.8
