date,temperature(c),depth(m)
2024-09-19 11:34:38,23.82,1.56
2024-09-19 11:34:39,23.82,1.41
2024-09-19 11:34:40,23.81,1.32
2024-09-19 11:34:41,23.84,1.28
2024-09-19 11:34:42,23.83,1.41
2024-09-19 11:34:43,23.84,1.5
2024-09-19 11:34:44,23.83,1.5
2024-09-19 11:34:45,23.84,1.47
2024-09-19 11:34:46,23.82,1.38
2024-09-19 11:34:47,23.83,1.28
2024-09-19 11:34:48,23.82,1.22
2024-09-19 11:34:49,23.83,1.25
2024-09-19 11:34:50,23.82,1.22
2024-09-19 11:34:51,23.82,1.19
2024-09-19 11:34:52,23.83,1.19
2024-09-19 11:34:53,23.82,1.19
2024-09-19 11:34:54,23.82,1.19
2024-09-19 11:34:55,23.83,1.25
2024-09-19 11:34:56,23.82,1.35
2024-09-19 11:34:57,23.82,1.41
2024-09-19 11:34:58,23.82,1.41
2024-09-19 11:34:59,23.82,1.38
2024-09-19 11:35:00,23.83,1.35
2024-09-19 11:35:01,23.84,1.32
2024-09-19 11:35:02,23.82,1.25
2024-09-19 11:35:03,23.82,1.32
2024-09-19 11:35:04,23.82,1.38
2024-09-19 11:35:05,23.83,1.47
2024-09-19 11:35:06,23.82,1.5
2024-09-19 11:35:07,23.82,1.5
2024-09-19 11:35:08,23.82,1.5
2024-09-19 11:35:09,23.82,1.32
2024-09-19 11:35:10,23.82,1.19
2024-09-19 11:35:11,23.82,1.07
2024-09-19 11:35:12,23.82,1.13
2024-09-19 11:35:13,23.83,1.13
2024-09-19 11:35:14,23.82,1.13
2024-09-19 11:35:15,23.82,1.35
2024-09-19 11:35:16,23.82,1.41
2024-09-19 11:35:17,23.82,1.35
2024-09-19 11:35:18,23.83,1.41
2024-09-19 11:35:19,23.84,1.53
2024-09-19 11:35:20,23.82,1.59
2024-09-19 11:35:21,23.81,1.53
2024-09-19 11:35:22,23.82,1.56
2024-09-19 11:35:23,23.82,1.5
2024-09-19 11:35:24,23.83,1.32
2024-09-19 11:35:25,23.84,1.25
2024-09-19 11:35:26,23.82,1.28
2024-09-19 11:35:27,23.84,1.25
2024-09-19 11:35:28,23.83,1.22
2024-09-19 11:35:29,23.83,1.32
2024-09-19 11:35:30,23.83,1.35
2024-09-19 11:35:31,23.81,1.41
2024-09-19 11:35:32,23.83,1.35
2024-09-19 11:35:33,23.82,1.35
2024-09-19 11:35:34,23.82,1.41
2024-09-19 11:35:35,23.81,1.5
2024-09-19 11:35:36,23.83,1.47
2024-09-19 11:35:37,23.82,1.53
2024-09-19 11:35:38,23.83,1.44
2024-09-19 11:35:39,23.82,1.35
2024-09-19 11:35:40,23.82,1.32
2024-09-19 11:35:41,23.82,1.25
2024-09-19 11:35:42,23.82,1.25
2024-09-19 11:35:43,23.82,1.13
2024-09-19 11:35:44,23.82,1.16
2024-09-19 11:35:45,23.82,1.13
2024-09-19 11:35:46,23.82,1.28
2024-09-19 11:35:47,23.83,1.32
2024-09-19 11:35:48,23.84,1.41
2024-09-19 11:35:49,23.83,1.38
2024-09-19 11:35:50,23.83,1.38
2024-09-19 11:35:51,23.85,1.38
2024-09-19 11:35:52,23.85,1.47
2024-09-19 11:35:53,23.82,1.5
2024-09-19 11:35:54,23.82,1.47
2024-09-19 11:35:55,23.82,1.44
2024-09-19 11:35:56,23.84,1.41
2024-09-19 11:35:57,23.82,1.41
2024-09-19 11:35:58,23.84,1.41
2024-09-19 11:35:59,23.83,1.5
2024-09-19 11:36:00,23.85,1.5
2024-09-19 11:36:01,23.83,1.56
2024-09-19 11:36:02,23.84,1.62
2024-09-19 11:36:03,23.82,1.68
2024-09-19 11:36:04,23.85,1.68
2024-09-19 11:36:05,23.83,1.71
2024-09-19 11:36:06,23.87,1.71
2024-09-19 11:36:07,23.83,1.62
2024-09-19 11:36:08,23.84,1.47
2024-09-19 11:36:09,23.83,1.38
2024-09-19 11:36:10,23.85,1.41
2024-09-19 11:36:11,23.84,1.44
2024-09-19 11:36:12,23.84,1.53
2024-09-19 11:36:13,23.83,1.56
2024-09-19 11:36:14,23.84,1.56
2024-09-19 11:36:15,23.82,1.65
2024-09-19 11:36:16,23.83,1.62
2024-09-19 11:36:17,23.84,1.62
2024-09-19 11:36:18,23.85,1.56
2024-09-19 11:36:19,23.83,1.53
2024-09-19 11:36:20,23.82,1.62
2024-09-19 11:36:21,23.84,1.65
2024-09-19 11:36:22,23.85,1.59
2024-09-19 11:36:23,23.85,1.53
2024-09-19 11:36:24,23.86,1.47
2024-09-19 11:36:25,23.85,1.47
2024-09-19 11:36:26,23.85,1.59
2024-09-19 11:36:27,23.83,1.71
2024-09-19 11:36:28,23.83,1.65
2024-09-19 11:36:29,23.85,1.65
2024-09-19 11:36:30,23.85,1.68
2024-09-19 11:36:31,23.84,1.68
2024-09-19 11:36:32,23.84,1.65
2024-09-19 11:36:33,23.84,1.5
2024-09-19 11:36:34,23.84,1.38
2024-09-19 11:36:35,23.85,1.38
2024-09-19 11:36:36,23.84,1.38
2024-09-19 11:36:37,23.84,1.5
2024-09-19 11:36:38,23.86,1.68
2024-09-19 11:36:39,23.83,1.8
2024-09-19 11:36:40,23.87,1.68
2024-09-19 11:36:41,23.85,1.47
2024-09-19 11:36:42,23.86,1.38
2024-09-19 11:36:43,23.86,1.41
2024-09-19 11:36:44,23.85,1.35
2024-09-19 11:36:45,23.87,1.41
2024-09-19 11:36:46,23.85,1.32
2024-09-19 11:36:47,23.83,1.16
2024-09-19 11:36:48,23.82,1.22
2024-09-19 11:36:49,23.84,1.19
2024-09-19 11:36:50,23.85,1.22
2024-09-19 11:36:51,23.84,1.28
2024-09-19 11:36:52,23.85,1.41
2024-09-19 11:36:53,23.84,1.47
2024-09-19 11:36:54,23.83,1.5
2024-09-19 11:36:55,23.85,1.53
2024-09-19 11:36:56,23.85,1.44
2024-09-19 11:36:57,23.85,1.32
2024-09-19 11:36:58,23.84,1.16
2024-09-19 11:36:59,23.86,1.13
2024-09-19 11:37:00,23.82,1.19
2024-09-19 11:37:01,23.84,1.25
2024-09-19 11:37:02,23.84,1.22
2024-09-19 11:37:03,23.84,1.32
2024-09-19 11:37:04,23.84,1.35
2024-09-19 11:37:05,23.84,1.35
2024-09-19 11:37:06,23.83,1.47
2024-09-19 11:37:07,23.85,1.5
2024-09-19 11:37:08,23.84,1.74
2024-09-19 11:37:09,23.85,1.77
2024-09-19 11:37:10,23.85,1.87
2024-09-19 11:37:11,23.84,1.99
2024-09-19 11:37:12,23.84,1.96
2024-09-19 11:37:13,23.83,2.02
2024-09-19 11:37:14,23.85,2.11
2024-09-19 11:37:15,23.85,2.08
2024-09-19 11:37:16,23.83,2.05
2024-09-19 11:37:17,23.84,2.02
2024-09-19 11:37:18,23.86,1.96
2024-09-19 11:37:19,23.87,2.05
2024-09-19 11:37:20,23.85,2.2
2024-09-19 11:37:21,23.85,2.23
2024-09-19 11:37:22,23.85,2.23
2024-09-19 11:37:23,23.84,2.14
2024-09-19 11:37:24,23.83,2.14
2024-09-19 11:37:25,23.84,2.14
