"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20586686, SEN S/N: 20586686)"	"Acoplador separado (LGR S/N: 20586686, SEN S/N: 20586686)"	"Acoplador adjunto (LGR S/N: 20586686, SEN S/N: 20586686)"	"Host conectado (LGR S/N: 20586686, SEN S/N: 20586686)"	"Parado (LGR S/N: 20586686, SEN S/N: 20586686)"	"Final de archivo (LGR S/N: 20586686, SEN S/N: 20586686)"
1	11/07/24	23:00:00	22.369	Registrado				
2	11/07/24	23:30:00	22.250					
3	12/07/24	00:00:00	22.513					
4	12/07/24	00:30:00	22.585					
5	12/07/24	01:00:00	22.705					
6	12/07/24	01:30:00	22.585					
7	12/07/24	02:00:00	22.729					
8	12/07/24	02:30:00	22.681					
9	12/07/24	03:00:00	22.633					
10	12/07/24	03:30:00	22.729					
11	12/07/24	04:00:00	22.681					
12	12/07/24	04:30:00	22.537					
13	12/07/24	05:00:00	22.345					
14	12/07/24	05:30:00	22.393					
15	12/07/24	06:00:00	22.441					
16	12/07/24	06:30:00	22.465					
17	12/07/24	07:00:00	22.537					
18	12/07/24	07:30:00	22.537					
19	12/07/24	08:00:00	22.585					
20	12/07/24	08:30:00	22.681					
21	12/07/24	09:00:00	22.872					
22	12/07/24	09:30:00	22.729					
23	12/07/24	10:00:00	22.968					
24	12/07/24	10:30:00	22.896					
25	12/07/24	11:00:00	23.112					
26	12/07/24	11:30:00	23.208					
27	12/07/24	12:00:00	23.184					
28	12/07/24	12:30:00	23.232					
29	12/07/24	13:00:00	22.920					
30	12/07/24	13:30:00	22.729					
31	12/07/24	14:00:00	22.681					
32	12/07/24	14:30:00	22.896					
33	12/07/24	15:00:00	22.824					
34	12/07/24	15:30:00	22.800					
35	12/07/24	16:00:00	22.896					
36	12/07/24	16:30:00	23.064					
37	12/07/24	17:00:00	22.968					
38	12/07/24	17:30:00	23.208					
39	12/07/24	18:00:00	22.896					
40	12/07/24	18:30:00	22.776					
41	12/07/24	19:00:00	23.112					
42	12/07/24	19:30:00	23.521					
43	12/07/24	20:00:00	23.424					
44	12/07/24	20:30:00	23.665					
45	12/07/24	21:00:00	23.809					
46	12/07/24	21:30:00	23.713					
47	12/07/24	22:00:00	23.593					
48	12/07/24	22:30:00	23.448					
49	12/07/24	23:00:00	23.208					
50	12/07/24	23:30:00	22.824					
51	13/07/24	00:00:00	22.824					
52	13/07/24	00:30:00	22.872					
53	13/07/24	01:00:00	22.824					
54	13/07/24	01:30:00	22.753					
55	13/07/24	02:00:00	22.729					
56	13/07/24	02:30:00	22.657					
57	13/07/24	03:00:00	22.489					
58	13/07/24	03:30:00	22.537					
59	13/07/24	04:00:00	22.537					
60	13/07/24	04:30:00	22.537					
61	13/07/24	05:00:00	22.609					
62	13/07/24	05:30:00	22.681					
63	13/07/24	06:00:00	22.705					
64	13/07/24	06:30:00	22.585					
65	13/07/24	07:00:00	22.513					
66	13/07/24	07:30:00	22.441					
67	13/07/24	08:00:00	22.345					
68	13/07/24	08:30:00	22.393					
