Date	Time	10	15	20	25	30	35	40
04/03/2021	15:00:00	14.316				14.197	14.148	13.978
04/03/2021	16:00:00	14.146				14.194	14.103	13.954
04/03/2021	17:00:00	14.146				14.194	14.163	13.954
04/03/2021	18:00:00	14.146				14.235	14.148	13.978
04/03/2021	19:00:00	14.146				14.221	14.189	14.002
04/03/2021	20:00:00	14.146				14.218	14.172	14.05
04/03/2021	21:00:00	14.146				14.177	14.17	14.074
04/03/2021	22:00:00	14.146				14.17	14.192	14.074
04/03/2021	23:00:00	14.146				14.17	14.172	14.074
05/03/2021	00:00:00	14.146				14.17	14.192	14.074
05/03/2021	01:00:00	14.124				14.191	14.194	14.098
05/03/2021	02:00:00	14.1				14.173	14.151	14.05
05/03/2021	03:00:00	14.098				14.149	14.146	14.05
05/03/2021	04:00:00	14.076				14.187	14.211	14.098
05/03/2021	05:00:00	14.052				14.215	14.218	14.098
05/03/2021	06:00:00	14.05				14.218	14.196	14.098
05/03/2021	07:00:00	14.072				14.218	14.216	14.098
05/03/2021	08:00:00	14.185				14.239	14.153	14.026
05/03/2021	09:00:00	14.305				14.201	14.146	14.026
05/03/2021	10:00:00	14.379				14.215	14.233	14.05
05/03/2021	11:00:00	14.407				14.239	14.264	14.05
05/03/2021	12:00:00	14.409				14.263	14.244	14.074
05/03/2021	13:00:00	14.409				14.287	14.242	14.098
05/03/2021	14:00:00	14.365				14.311	14.264	14.146
05/03/2021	15:00:00	14.427				14.314	14.266	14.122
05/03/2021	16:00:00	14.411				14.293	14.244	14.098
05/03/2021	17:00:00	14.387				14.29	14.264	14.146
05/03/2021	18:00:00	14.363				14.29	14.266	14.122
05/03/2021	19:00:00	14.361				14.29	14.266	14.146
05/03/2021	20:00:00	14.361				14.311	14.266	14.17
05/03/2021	21:00:00	14.361				14.314	14.266	14.146
05/03/2021	22:00:00	14.361				14.334	14.288	14.194
05/03/2021	23:00:00	14.361				14.337	14.29	14.194
06/03/2021	00:00:00	14.339				14.296	14.29	14.17
06/03/2021	01:00:00	14.337				14.29	14.29	14.17
06/03/2021	02:00:00	14.294				14.29	14.29	14.17
06/03/2021	03:00:00	14.268				14.29	14.268	14.17
06/03/2021	04:00:00	14.244				14.29	14.266	14.17
06/03/2021	05:00:00	14.242				14.29	14.266	14.146
06/03/2021	06:00:00	14.22				14.269	14.244	14.146
06/03/2021	07:00:00	14.218				14.287	14.264	14.146
06/03/2021	08:00:00	14.24				14.311	14.288	14.17
06/03/2021	09:00:00	14.33				14.334	14.333	14.218
06/03/2021	10:00:00	14.426				14.378	14.359	14.242
06/03/2021	11:00:00	14.411				14.385	14.361	14.242
06/03/2021	12:00:00	14.409				14.385	14.361	14.266
06/03/2021	13:00:00	14.387				14.385	14.361	14.266
06/03/2021	14:00:00	14.606				14.385	14.361	14.242
06/03/2021	15:00:00	14.559				14.385	14.361	14.242
06/03/2021	16:00:00	14.442				14.385	14.361	14.242
06/03/2021	17:00:00	14.433				14.385	14.361	14.242
06/03/2021	18:00:00	14.499				14.385	14.361	14.266
06/03/2021	19:00:00	14.483				14.385	14.361	14.242
06/03/2021	20:00:00	14.459				14.385	14.361	14.242
06/03/2021	21:00:00	14.435				14.385	14.361	14.242
06/03/2021	22:00:00	14.389				14.406	14.383	14.29
06/03/2021	23:00:00	14.385				14.409	14.363	14.266
07/03/2021	00:00:00	14.407				14.409	14.339	14.242
07/03/2021	01:00:00	14.431				14.409	14.337	14.242
07/03/2021	02:00:00	14.433				14.409	14.38	14.266
07/03/2021	03:00:00	14.411				14.43	14.407	14.29
07/03/2021	04:00:00	14.409				14.454	14.431	14.337
07/03/2021	05:00:00	14.409				14.457	14.455	14.361
07/03/2021	06:00:00	14.409				14.457	14.457	14.337
07/03/2021	07:00:00	14.409				14.478	14.414	14.314
07/03/2021	08:00:00	14.431				14.419	14.366	14.266
07/03/2021	09:00:00	14.477				14.388	14.339	14.218
07/03/2021	10:00:00	14.503				14.364	14.316	14.194
07/03/2021	11:00:00	14.505				14.361	14.314	14.194
07/03/2021	12:00:00	14.439				14.382	14.314	14.194
07/03/2021	13:00:00	14.411				14.385	14.314	14.194
07/03/2021	14:00:00	14.453				14.364	14.292	14.194
07/03/2021	15:00:00	14.479				14.423	14.29	14.194
07/03/2021	16:00:00	14.481				14.35	14.312	14.194
07/03/2021	17:00:00	14.503				14.399	14.314	14.218
07/03/2021	18:00:00	14.483				14.43	14.357	14.218
07/03/2021	19:00:00	14.481				14.454	14.339	14.218
07/03/2021	20:00:00	14.481				14.436	14.38	14.266
07/03/2021	21:00:00	14.481				14.433	14.407	14.29
07/03/2021	22:00:00	14.481				14.516	14.431	14.314
07/03/2021	23:00:00	14.481				14.529	14.498	14.409
08/03/2021	00:00:00	14.481				14.57	14.57	14.457
08/03/2021	01:00:00	14.525				14.618	14.62	14.505
08/03/2021	02:00:00	14.529				14.646	14.647	14.529
08/03/2021	03:00:00	14.551				14.67	14.649	14.529
08/03/2021	04:00:00	14.575				14.673	14.671	14.553
08/03/2021	05:00:00	14.599				14.673	14.673	14.577
08/03/2021	06:00:00	14.601				14.673	14.695	14.577
08/03/2021	07:00:00	14.623				14.673	14.675	14.529
08/03/2021	08:00:00	14.625				14.694	14.63	14.529
08/03/2021	09:00:00	14.669				14.697	14.668	14.529
08/03/2021	10:00:00	14.673				14.676	14.673	14.529
08/03/2021	11:00:00	14.695				14.694	14.673	14.553
08/03/2021	12:00:00	14.697				14.697	14.63	14.529
08/03/2021	13:00:00	14.697				14.635	14.582	14.457
08/03/2021	14:00:00	14.697				14.646	14.577	14.481
08/03/2021	15:00:00	14.697				14.67	14.62	14.505
08/03/2021	16:00:00	14.697				14.694	14.647	14.529
08/03/2021	17:00:00	14.697				14.656	14.627	14.529
08/03/2021	18:00:00	14.675				14.67	14.625	14.529
08/03/2021	19:00:00	14.651				14.652	14.625	14.529
08/03/2021	20:00:00	14.649				14.649	14.603	14.505
08/03/2021	21:00:00	14.627				14.628	14.406	14.291
08/03/2021	22:00:00	14.625				14.604	14.342	14.218
08/03/2021	23:00:00	14.625				14.435	14.316	14.194
09/03/2021	00:00:00	14.625				14.45	14.4	14.314
09/03/2021	01:00:00	14.625				14.395	14.409	14.266
09/03/2021	02:00:00	14.625				14.592	14.431	14.314
09/03/2021	03:00:00	14.625				14.625	14.585	14.433
09/03/2021	04:00:00	14.625				14.646	14.623	14.529
09/03/2021	05:00:00	14.625				14.649	14.625	14.529
09/03/2021	06:00:00	14.603				14.649	14.625	14.529
09/03/2021	07:00:00	14.601				14.649	14.625	14.529
09/03/2021	08:00:00	14.601				14.649	14.647	14.529
09/03/2021	09:00:00	14.623				14.649	14.649	14.529
09/03/2021	10:00:00	14.647				14.67	14.649	14.529
09/03/2021	11:00:00	14.671				14.673	14.671	14.553
09/03/2021	12:00:00	14.695				14.694	14.673	14.577
09/03/2021	13:00:00	14.762				14.718	14.673	14.577
09/03/2021	14:00:00	14.79				14.721	14.478	14.338
09/03/2021	15:00:00	14.792				14.555	14.414	14.314
09/03/2021	16:00:00	14.792				14.529	14.431	14.314
09/03/2021	17:00:00	14.77				14.529	14.455	14.337
09/03/2021	18:00:00	14.768				14.55	14.479	14.361
09/03/2021	19:00:00	14.747				14.532	14.503	14.385
09/03/2021	20:00:00	14.745				14.55	14.505	14.409
09/03/2021	21:00:00	14.723				14.553	14.527	14.409
09/03/2021	22:00:00	14.699				14.553	14.507	14.409
09/03/2021	23:00:00	14.675				14.636	14.548	14.433
10/03/2021	00:00:00	14.651				14.67	14.64	14.481
10/03/2021	01:00:00	14.649				14.673	14.649	14.529
10/03/2021	02:00:00	14.671				14.673	14.692	14.577
10/03/2021	03:00:00	14.651				14.694	14.697	14.577
10/03/2021	04:00:00	14.627				14.697	14.697	14.577
10/03/2021	05:00:00	14.625				14.718	14.675	14.577
10/03/2021	06:00:00	14.625				14.68	14.608	14.505
10/03/2021	07:00:00	14.647				14.632	14.427	14.291
10/03/2021	08:00:00	14.671				14.563	14.452	14.337
10/03/2021	09:00:00	14.673				14.553	14.5	14.385
10/03/2021	10:00:00	14.717				14.532	14.418	14.243
10/03/2021	11:00:00	14.721				14.446	14.344	14.218
10/03/2021	12:00:00	14.786				14.433	14.337	14.218
10/03/2021	13:00:00	14.836				14.392	14.337	14.242
10/03/2021	14:00:00	14.774				14.426	14.359	14.266
10/03/2021	15:00:00	14.812				14.516	14.426	14.337
10/03/2021	16:00:00	14.927				14.57	14.498	14.409
10/03/2021	17:00:00	14.914				14.722	14.57	14.457
10/03/2021	18:00:00	14.912				14.745	14.555	14.433
10/03/2021	19:00:00	14.868				14.704	14.575	14.481
10/03/2021	20:00:00	14.842				14.779	14.707	14.481
10/03/2021	21:00:00	14.818				14.792	14.743	14.529
10/03/2021	22:00:00	14.816				14.792	14.766	14.577
10/03/2021	23:00:00	14.772				14.813	14.79	14.649
11/03/2021	00:00:00	14.725				14.816	14.684	14.553
11/03/2021	01:00:00	14.721				14.651	14.564	14.457
11/03/2021	02:00:00	14.699				14.687	14.553	14.457
11/03/2021	03:00:00	14.697				14.718	14.553	14.457
11/03/2021	04:00:00	14.697				14.659	14.531	14.433
11/03/2021	05:00:00	14.675				14.69	14.572	14.457
11/03/2021	06:00:00	14.673				14.697	14.512	14.409
11/03/2021	07:00:00	14.673				14.697	14.527	14.385
11/03/2021	08:00:00	14.717				14.635	14.486	14.337
11/03/2021	09:00:00	14.743				14.542	14.459	14.195
11/03/2021	10:00:00	14.81				14.488	14.328	14.194
11/03/2021	11:00:00	14.838				14.502	14.314	14.194
11/03/2021	12:00:00	14.862				14.401	14.292	14.17
11/03/2021	13:00:00	14.82				14.344	14.138	14.003
11/03/2021	14:00:00	14.794				14.213	14.165	14.05
11/03/2021	15:00:00	14.814				14.194	14.127	14.002
11/03/2021	16:00:00	14.794				14.194	14.144	14.026
11/03/2021	17:00:00	14.77				14.194	14.168	14.05
11/03/2021	18:00:00	14.747				14.194	14.148	14.026
11/03/2021	19:00:00	14.679				14.173	14.124	14.026
11/03/2021	20:00:00	14.629				14.149	14.144	14.026
11/03/2021	21:00:00	14.536				14.146	14.146	14.026
11/03/2021	22:00:00	14.573				14.146	14.146	14.05
11/03/2021	23:00:00	14.621				14.167	14.146	14.026
12/03/2021	00:00:00	14.647				14.335	14.146	14.05
12/03/2021	01:00:00	14.627				14.361	14.255	14.098
12/03/2021	02:00:00	14.603				14.423	14.288	14.17
12/03/2021	03:00:00	14.579				14.433	14.29	14.194
12/03/2021	04:00:00	14.577				14.495	14.376	14.266
12/03/2021	05:00:00	14.577				14.443	14.385	14.29
12/03/2021	06:00:00	14.577				14.433	14.385	14.29
12/03/2021	07:00:00	14.577				14.516	14.45	14.337
12/03/2021	08:00:00	14.577				14.591	14.566	14.385
12/03/2021	09:00:00	14.577				14.622	14.577	14.481
12/03/2021	10:00:00	14.577				14.604	14.534	14.409
12/03/2021	11:00:00	14.621				14.539	14.572	14.361
12/03/2021	12:00:00	14.647				14.591	14.599	14.409
12/03/2021	13:00:00	14.649				14.601	14.579	14.457
12/03/2021	14:00:00	14.627				14.601	14.577	14.481
12/03/2021	15:00:00	14.625				14.601	14.577	14.481
