Date	Time	5
26/11/2019	09:51:56	15.49
26/11/2019	10:51:56	15.49
26/11/2019	11:51:56	24.42
26/11/2019	12:51:56	23.08
26/11/2019	13:51:56	21.71
26/11/2019	14:51:56	20.67
26/11/2019	15:51:56	20.4
26/11/2019	16:51:56	16.79
26/11/2019	17:51:56	15.92
26/11/2019	18:51:56	15.7
26/11/2019	19:51:56	15.57
26/11/2019	20:51:56	15.64
26/11/2019	21:51:56	15.49
26/11/2019	22:51:56	15.35
26/11/2019	23:51:56	15.19
27/11/2019	00:51:56	15.09
27/11/2019	01:51:56	15.02
27/11/2019	02:51:56	14.99
27/11/2019	03:51:56	14.95
27/11/2019	04:51:56	14.89
27/11/2019	05:51:56	14.86
27/11/2019	06:51:56	14.8
27/11/2019	07:51:56	14.71
27/11/2019	08:51:56	15.19
27/11/2019	09:51:56	18.53
27/11/2019	10:51:56	18.8
27/11/2019	11:51:56	18.8
27/11/2019	12:51:56	18.77
27/11/2019	13:51:56	18.82
27/11/2019	14:51:56	18.8
27/11/2019	15:51:56	18.79
27/11/2019	16:51:56	18.78
27/11/2019	17:51:56	18.73
27/11/2019	18:51:56	18.72
27/11/2019	19:51:56	18.71
27/11/2019	20:51:56	18.69
27/11/2019	21:51:56	18.7
27/11/2019	22:51:56	18.66
27/11/2019	23:51:56	18.63
28/11/2019	00:51:56	18.63
28/11/2019	01:51:56	18.58
28/11/2019	02:51:56	18.59
28/11/2019	03:51:56	18.55
28/11/2019	04:51:56	18.52
28/11/2019	05:51:56	18.48
28/11/2019	06:51:56	18.43
28/11/2019	07:51:56	18.39
28/11/2019	08:51:56	18.37
28/11/2019	09:51:56	18.36
28/11/2019	10:51:56	18.34
28/11/2019	11:51:56	18.33
28/11/2019	12:51:56	18.33
28/11/2019	13:51:56	18.31
28/11/2019	14:51:56	18.3
28/11/2019	15:51:56	18.3
28/11/2019	16:51:56	18.29
28/11/2019	17:51:56	18.27
28/11/2019	18:51:56	18.22
28/11/2019	19:51:56	18.25
28/11/2019	20:51:56	18.2
28/11/2019	21:51:56	18.06
28/11/2019	22:51:56	18.14
28/11/2019	23:51:56	18.21
29/11/2019	00:51:56	18.25
29/11/2019	01:51:56	18.25
29/11/2019	02:51:56	18.27
29/11/2019	03:51:56	18.26
29/11/2019	04:51:56	18.26
29/11/2019	05:51:56	18.28
29/11/2019	06:51:56	18.23
29/11/2019	07:51:56	18.21
29/11/2019	08:51:56	18.27
29/11/2019	09:51:56	18.23
29/11/2019	10:51:56	18.23
29/11/2019	11:51:56	18.22
29/11/2019	12:51:56	18.29
29/11/2019	13:51:56	18.33
29/11/2019	14:51:56	18.27
29/11/2019	15:51:56	18.28
29/11/2019	16:51:56	18.26
29/11/2019	17:51:56	18.23
29/11/2019	18:51:56	18.21
29/11/2019	19:51:56	18.19
29/11/2019	20:51:56	18.16
29/11/2019	21:51:56	18.13
29/11/2019	22:51:56	18.14
29/11/2019	23:51:56	18.12
30/11/2019	00:51:56	18.15
30/11/2019	01:51:56	18.15
30/11/2019	02:51:56	18.15
30/11/2019	03:51:56	18.12
30/11/2019	04:51:56	18.14
30/11/2019	05:51:56	18.14
30/11/2019	06:51:56	18.16
30/11/2019	07:51:56	18.13
30/11/2019	08:51:56	18.15
30/11/2019	09:51:56	18.14
30/11/2019	10:51:56	18.13
30/11/2019	11:51:56	18.12
30/11/2019	12:51:56	18.15
30/11/2019	13:51:56	18.11
30/11/2019	14:51:56	18.14
30/11/2019	15:51:56	18.13
30/11/2019	16:51:56	18.08
30/11/2019	17:51:56	18.05
30/11/2019	18:51:56	18.07
30/11/2019	19:51:56	18.07
30/11/2019	20:51:56	18.05
30/11/2019	21:51:56	18.01
30/11/2019	22:51:56	17.94
30/11/2019	23:51:56	17.94
01/12/2019	00:51:56	17.97
01/12/2019	01:51:56	17.97
01/12/2019	02:51:56	17.91
01/12/2019	03:51:56	17.91
01/12/2019	04:51:56	17.91
01/12/2019	05:51:56	17.92
01/12/2019	06:51:56	17.92
