File name: buceo_natura_BNatura16_1970-01-01T02:23:40_1970-01-02T04:37:00

User: buceo_natura

Sensor: BNatura16[D4:86:39:66:6D:9D]

Dive: Punta de la Mona - Corales
Dive date range: 1970-01-01 02:23:40 - 1970-01-02 04:37:00 (UTC +01:00)

"Location: 36.718881,-3.726428"

Summary: 
"Duration: 1 day, 2:13:20 h."
Temp: 15.57 c (min.) 34.69 c (max.) 
Depth: -38.1 m (max.)

date,temperature(c),depth(m)
1970-01-01 02:23:40,21.87,-1.21
1970-01-01 02:24:40,18.39,-1.08
1970-01-01 02:25:40,18.27,-1.08
1970-01-01 02:26:40,18.12,-1.08
1970-01-01 02:27:40,18.1,-1.08
1970-01-01 02:28:40,18.01,-6.53
1970-01-01 02:29:40,17.96,-7.7
1970-01-01 02:30:40,17.96,-9.82
1970-01-01 02:31:40,17.96,-14.95
1970-01-01 02:32:40,17.64,-17.26
1970-01-01 02:33:40,16.32,-20.54
1970-01-01 02:34:40,15.69,-33.11
1970-01-01 02:35:40,15.57,-37.29
1970-01-01 02:36:40,15.57,-37.24
1970-01-01 02:37:40,15.6,-37.06
1970-01-01 02:38:40,15.6,-37.0
1970-01-01 02:39:40,15.57,-37.02
1970-01-01 02:40:40,15.57,-36.94
1970-01-01 02:41:40,15.63,-36.39
1970-01-01 02:42:40,15.66,-36.82
1970-01-01 02:43:40,15.71,-36.36
1970-01-01 02:44:40,15.75,-36.2
1970-01-01 02:45:40,15.75,-37.03
1970-01-01 02:46:40,15.78,-36.74
1970-01-01 02:47:40,15.78,-37.03
1970-01-01 02:48:40,15.81,-36.69
1970-01-01 02:49:40,15.8,-37.12
1970-01-01 02:50:40,15.81,-37.18
1970-01-01 02:51:40,15.82,-37.2
1970-01-01 02:52:40,15.82,-37.32
1970-01-01 02:53:40,15.81,-36.78
1970-01-01 02:54:40,15.87,-37.47
1970-01-01 02:55:40,15.87,-37.81
1970-01-01 02:56:40,15.85,-37.35
1970-01-01 02:57:40,15.85,-37.04
1970-01-01 02:58:40,15.84,-37.21
1970-01-01 02:59:40,15.87,-37.64
1970-01-01 03:00:40,15.87,-37.32
1970-01-01 03:01:40,15.85,-38.1
1970-01-01 03:02:40,15.88,-37.24
1970-01-01 03:03:40,15.88,-37.24
1970-01-01 03:04:40,15.92,-37.5
1970-01-01 03:05:40,15.96,-37.24
1970-01-01 03:06:40,15.93,-37.16
1970-01-01 03:07:40,15.92,-37.33
1970-01-01 03:08:40,15.94,-36.96
1970-01-01 03:09:40,15.99,-36.81
1970-01-01 03:10:40,15.98,-32.22
1970-01-01 03:11:40,16.0,-28.12
1970-01-01 03:12:40,16.09,-25.35
1970-01-01 03:13:40,16.35,-24.76
1970-01-01 03:14:40,17.84,-21.38
1970-01-01 03:15:40,17.96,-21.9
1970-01-01 03:16:40,17.99,-22.01
1970-01-01 03:17:40,18.02,-20.95
1970-01-01 03:18:40,18.02,-17.49
1970-01-01 03:19:40,18.07,-15.6
1970-01-01 03:20:40,18.03,-13.62
1970-01-01 03:21:40,18.03,-12.56
1970-01-01 03:22:40,18.04,-10.04
1970-01-01 03:23:40,18.04,-10.08
1970-01-01 03:24:40,18.06,-9.36
1970-01-01 03:25:40,18.05,-8.16
1970-01-01 03:26:40,18.07,-7.27
1970-01-01 03:27:40,18.07,-7.53
1970-01-01 03:28:40,18.06,-7.64
1970-01-01 03:29:40,18.06,-7.05
