File name: cliente_n6inaki1_2024-09-17T12:18:05_2024-09-17T13:54:13

User: cliente

Sensor: n6inaki1[E0:43:D7:1F:89:B5]

Dive: Protocolos MedGuardians
Dive date range: 2024-09-17 12:18:05 - 2024-09-17 13:54:13 (UTC +02:00)

"Location: 39º25'8.52""N,3º15'54.38""E"

Summary: 
Duration: 1:36:08 h.
Temp: 20.7 c (min.) 26.18 c (max.) 
Depth: -3.12 m (max.)

date,temperature(c),depth(m)
2024-09-17 12:18:05,25.46,-1.74
2024-09-17 12:18:06,25.46,-1.67
2024-09-17 12:18:07,25.46,-1.51
2024-09-17 12:18:08,25.46,-1.27
2024-09-17 12:18:09,25.46,-1.04
2024-09-17 12:18:10,25.46,-0.73
2024-09-17 12:18:11,25.45,-0.62
2024-09-17 12:18:12,25.46,-0.59
2024-09-17 12:18:13,25.47,-0.68
2024-09-17 12:18:14,25.46,-0.76
2024-09-17 12:18:15,25.47,-0.68
2024-09-17 12:18:16,25.47,-0.54
2024-09-17 12:18:17,25.44,-0.42
2024-09-17 12:18:18,25.5,-0.54
2024-09-17 12:18:19,25.46,-0.71
2024-09-17 12:18:20,25.46,-0.68
2024-09-17 12:18:21,25.46,-0.57
2024-09-17 12:18:22,25.47,-0.59
2024-09-17 12:18:23,25.48,-0.68
2024-09-17 12:18:24,25.46,-0.64
2024-09-17 12:18:25,25.5,-0.59
2024-09-17 12:18:26,25.5,-0.47
2024-09-17 12:18:27,25.47,-0.66
2024-09-17 12:18:28,25.47,-0.64
2024-09-17 12:18:29,25.46,-0.64
2024-09-17 12:18:30,25.45,-0.64
2024-09-17 12:18:31,25.44,-0.71
2024-09-17 12:18:32,25.45,-0.77
2024-09-17 12:18:33,25.46,-0.76
2024-09-17 12:18:34,25.46,-0.85
2024-09-17 12:18:35,25.46,-0.8
2024-09-17 12:18:36,25.48,-0.8
2024-09-17 12:18:37,25.48,-0.85
2024-09-17 12:18:38,25.48,-0.76
2024-09-17 12:18:39,25.49,-0.76
2024-09-17 12:18:40,25.48,-1.43
2024-09-17 12:18:41,25.47,-1.77
2024-09-17 12:18:42,25.46,-1.95
2024-09-17 12:18:43,25.47,-2.02
2024-09-17 12:18:44,25.47,-2.05
2024-09-17 12:18:45,25.46,-2.0
2024-09-17 12:18:46,25.46,-1.88
2024-09-17 12:18:47,25.45,-1.74
2024-09-17 12:18:48,25.45,-1.51
2024-09-17 12:18:49,25.46,-1.11
2024-09-17 12:18:50,25.47,-0.76
2024-09-17 12:18:51,25.46,-0.68
2024-09-17 12:18:52,25.49,-0.73
2024-09-17 12:18:53,25.45,-0.68
2024-09-17 12:18:54,25.45,-0.62
2024-09-17 12:18:55,25.45,-0.57
2024-09-17 12:18:56,25.46,-0.66
2024-09-17 12:18:57,25.46,-0.73
2024-09-17 12:18:58,25.43,-0.76
2024-09-17 12:18:59,25.45,-0.73
2024-09-17 12:19:00,25.45,-0.71
2024-09-17 12:19:01,25.47,-0.71
2024-09-17 12:19:02,25.45,-0.71
2024-09-17 12:19:03,25.46,-0.73
2024-09-17 12:19:04,25.46,-0.71
2024-09-17 12:19:05,25.46,-0.77
2024-09-17 12:19:06,25.46,-0.64
2024-09-17 12:19:07,25.46,-0.57
2024-09-17 12:19:08,25.45,-0.68
2024-09-17 12:19:09,25.45,-0.76
2024-09-17 12:19:10,25.47,-0.76
2024-09-17 12:19:11,25.48,-0.71
2024-09-17 12:19:12,25.49,-0.77
2024-09-17 12:19:13,25.49,-0.57
