File name: csic_n17csic_2024-07-01T10:58:19_2024-07-01T11:58:18

User: csic

Sensor: n17csic[C7:96:6D:D3:12:F6]

Dive: Prueba Martí _17
Dive date range: 2024-07-01 10:58:19 - 2024-07-01 11:58:18 (UTC +02:00)

"Location: 41º51'24.3""N,3º7'45.95""E"

Summary: 
Duration: 0:59:59 h.
Temp: 23.13 c (min.) 246.23 c (max.) 
Depth: -25.67 m (max.)

date,temperature(c),depth(m)
2024-07-01 10:58:19,24.82,-0.42
2024-07-01 10:58:20,24.82,-0.39
2024-07-01 10:58:21,24.84,-0.39
2024-07-01 10:58:22,24.82,-0.39
2024-07-01 10:58:23,24.81,-0.39
2024-07-01 10:58:24,24.87,-0.39
2024-07-01 10:58:25,24.91,-0.39
2024-07-01 10:58:26,24.97,-0.39
2024-07-01 10:58:27,25.0,-0.42
2024-07-01 10:58:28,25.03,-0.42
2024-07-01 10:58:29,25.07,-0.39
2024-07-01 10:58:30,25.08,-0.39
2024-07-01 10:58:31,25.14,-0.39
2024-07-01 10:58:32,25.16,-0.39
2024-07-01 10:58:33,25.18,-0.39
2024-07-01 10:58:34,25.2,-0.42
2024-07-01 10:58:35,25.21,-0.42
2024-07-01 10:58:36,25.24,-0.42
2024-07-01 10:58:37,25.24,-0.36
2024-07-01 10:58:38,25.25,-0.36
2024-07-01 10:58:39,25.25,-0.39
2024-07-01 10:58:40,25.24,-0.42
2024-07-01 10:58:41,25.29,-0.39
2024-07-01 10:58:42,25.39,-0.33
2024-07-01 10:58:43,25.41,-0.42
2024-07-01 10:58:44,25.46,-0.39
2024-07-01 10:58:45,25.48,-0.45
2024-07-01 10:58:46,25.46,-0.39
2024-07-01 10:58:47,25.61,-0.42
2024-07-01 10:58:48,25.65,-0.45
2024-07-01 10:58:49,25.75,-0.42
2024-07-01 10:58:50,25.76,-0.36
2024-07-01 10:58:51,25.75,-0.42
2024-07-01 10:58:52,25.75,-0.42
2024-07-01 10:58:53,25.78,-0.39
2024-07-01 10:58:54,25.78,-0.38
2024-07-01 10:58:55,25.8,-0.38
2024-07-01 10:58:56,25.83,-0.41
2024-07-01 10:58:57,25.86,-0.41
2024-07-01 10:58:58,25.96,-0.41
2024-07-01 10:58:59,25.95,-0.41
2024-07-01 10:59:00,25.71,-0.38
2024-07-01 10:59:01,25.42,-0.41
2024-07-01 10:59:02,25.19,-0.41
2024-07-01 10:59:03,24.91,-0.44
2024-07-01 10:59:04,24.65,-0.41
2024-07-01 10:59:05,24.41,-0.44
2024-07-01 10:59:06,24.21,-0.38
2024-07-01 10:59:07,24.08,-0.41
2024-07-01 10:59:08,24.06,-0.42
2024-07-01 10:59:09,24.03,-0.42
2024-07-01 10:59:10,24.03,-0.39
2024-07-01 10:59:11,24.0,-0.42
2024-07-01 10:59:12,23.99,-0.39
2024-07-01 10:59:13,23.98,-0.42
2024-07-01 10:59:14,23.97,-0.42
2024-07-01 10:59:15,24.0,-0.39
