File name: csic_n33csic_2024-07-01T21:29:11_2024-07-01T23:46:12

User: csic

Sensor: n33csic[DA:4B:8D:59:24:D0]

Dive: n33 Prova - Tamariu
Dive date range: 2024-07-01 21:29:11 - 2024-07-01 23:46:12 (UTC +02:00)

"Location: 41º55'0.91""N,3º12'35.78""E"

Summary: 
Duration: 2:17:01 h.
Temp: 21.48 c (min.) 23.79 c (max.) 
Depth: -16.94 m (max.)

date,temperature(c),depth(m)
2024-07-01 21:29:11,23.78,-1.08
2024-07-01 21:29:12,23.79,-1.02
2024-07-01 21:29:13,23.75,-1.02
2024-07-01 21:29:14,23.78,-0.99
2024-07-01 21:29:15,23.77,-0.99
2024-07-01 21:29:16,23.76,-0.93
2024-07-01 21:29:17,23.75,-0.99
2024-07-01 21:29:18,23.75,-0.99
2024-07-01 21:29:19,23.74,-0.99
2024-07-01 21:29:20,23.75,-0.93
2024-07-01 21:29:21,23.78,-0.96
2024-07-01 21:29:22,23.74,-0.99
2024-07-01 21:29:23,23.74,-0.9
2024-07-01 21:29:24,23.71,-0.96
2024-07-01 21:29:25,23.73,-1.05
2024-07-01 21:29:26,23.73,-0.99
2024-07-01 21:29:27,23.74,-0.93
2024-07-01 21:29:28,23.74,-0.96
2024-07-01 21:29:29,23.71,-0.9
2024-07-01 21:29:30,23.73,-1.05
2024-07-01 21:29:31,23.71,-0.93
2024-07-01 21:29:32,23.73,-1.11
2024-07-01 21:29:33,23.71,-1.08
2024-07-01 21:29:34,23.68,-1.08
2024-07-01 21:29:35,23.67,-1.05
2024-07-01 21:29:36,23.68,-0.99
2024-07-01 21:29:37,23.67,-1.05
2024-07-01 21:29:38,23.67,-1.08
2024-07-01 21:29:39,23.67,-1.05
2024-07-01 21:29:40,23.66,-1.08
2024-07-01 21:29:41,23.65,-1.08
2024-07-01 21:29:42,23.66,-1.02
2024-07-01 21:29:43,23.67,-1.02
2024-07-01 21:29:44,23.64,-1.11
2024-07-01 21:29:45,23.64,-1.05
2024-07-01 21:29:46,23.66,-1.02
2024-07-01 21:29:47,23.65,-0.99
2024-07-01 21:29:48,23.64,-0.99
2024-07-01 21:29:49,23.62,-1.02
2024-07-01 21:29:50,23.62,-0.96
2024-07-01 21:29:51,23.61,-0.96
2024-07-01 21:29:52,23.61,-1.02
2024-07-01 21:29:53,23.62,-0.99
2024-07-01 21:29:54,23.61,-0.99
2024-07-01 21:29:55,23.59,-0.99
2024-07-01 21:29:56,23.61,-0.99
2024-07-01 21:29:57,23.62,-0.99
2024-07-01 21:29:58,23.58,-1.02
2024-07-01 21:29:59,23.59,-1.02
2024-07-01 21:30:00,23.59,-1.02
2024-07-01 21:30:01,23.58,-1.08
2024-07-01 21:30:02,23.59,-1.05
2024-07-01 21:30:03,23.58,-0.99
2024-07-01 21:30:04,23.58,-1.08
2024-07-01 21:30:05,23.58,-1.11
2024-07-01 21:30:06,23.57,-1.02
2024-07-01 21:30:07,23.58,-1.11
2024-07-01 21:30:08,23.57,-1.08
2024-07-01 21:30:09,23.57,-1.05
2024-07-01 21:30:10,23.57,-1.08
2024-07-01 21:30:11,23.57,-1.05
2024-07-01 21:30:12,23.57,-1.08
2024-07-01 21:30:13,23.56,-1.02
2024-07-01 21:30:14,23.57,-1.08
2024-07-01 21:30:15,23.57,-1.11
2024-07-01 21:30:16,23.56,-1.11
2024-07-01 21:30:17,23.57,-1.11
2024-07-01 21:30:18,23.57,-1.05
2024-07-01 21:30:19,23.56,-1.05
2024-07-01 21:30:20,23.57,-1.08
2024-07-01 21:30:21,23.56,-1.08
2024-07-01 21:30:22,23.54,-1.08
2024-07-01 21:30:23,23.56,-1.11
2024-07-01 21:30:24,23.54,-1.05
2024-07-01 21:30:25,23.55,-1.08
2024-07-01 21:30:26,23.53,-1.11
2024-07-01 21:30:27,23.55,-1.08
2024-07-01 21:30:28,23.53,-1.14
2024-07-01 21:30:29,23.54,-1.08
2024-07-01 21:30:30,23.54,-1.14
2024-07-01 21:30:31,23.53,-1.08
2024-07-01 21:30:32,23.54,-1.08
2024-07-01 21:30:33,23.52,-1.08
2024-07-01 21:30:34,23.53,-1.02
2024-07-01 21:30:35,23.52,-1.11
2024-07-01 21:30:36,23.52,-1.17
2024-07-01 21:30:37,23.52,-1.26
2024-07-01 21:30:38,23.53,-1.39
2024-07-01 21:30:39,23.53,-1.26
2024-07-01 21:30:40,23.53,-0.96
2024-07-01 21:30:41,23.52,-1.08
2024-07-01 21:30:42,23.52,-1.33
2024-07-01 21:30:43,23.52,-1.54
2024-07-01 21:30:44,23.53,-1.66
2024-07-01 21:30:45,23.53,-1.88
2024-07-01 21:30:46,23.52,-2.18
2024-07-01 21:30:47,23.5,-2.3
2024-07-01 21:30:48,23.5,-2.34
2024-07-01 21:30:49,23.46,-2.37
2024-07-01 21:30:50,23.48,-2.49
2024-07-01 21:30:51,23.48,-2.55
2024-07-01 21:30:52,23.5,-2.55
2024-07-01 21:30:53,23.48,-2.58
