File name: csic_n42csic_2024-07-01T21:29:19_2024-07-01T23:46:28

User: csic

Sensor: n42csic[D6:55:61:A5:34:78]

Dive: Prova sensor n42 - Tamariu
Dive date range: 2024-07-01 21:29:19 - 2024-07-01 23:46:28 (UTC +02:00)

"Location: 41º55'1.77""N,3º12'33.13""E"

Summary: 
Duration: 2:17:09 h.
Temp: 21.32 c (min.) 23.57 c (max.) 
Depth: -17.03 m (max.)

date,temperature(c),depth(m)
2024-07-01 21:29:19,23.56,-1.1
2024-07-01 21:29:20,23.57,-1.01
2024-07-01 21:29:21,23.57,-0.95
2024-07-01 21:29:22,23.56,-1.01
2024-07-01 21:29:23,23.55,-1.04
2024-07-01 21:29:24,23.57,-1.04
2024-07-01 21:29:25,23.55,-1.01
2024-07-01 21:29:26,23.56,-0.98
2024-07-01 21:29:27,23.57,-1.01
2024-07-01 21:29:28,23.53,-0.95
2024-07-01 21:29:29,23.54,-0.95
2024-07-01 21:29:30,23.55,-1.1
2024-07-01 21:29:31,23.53,-1.01
2024-07-01 21:29:32,23.53,-0.98
2024-07-01 21:29:33,23.54,-1.01
2024-07-01 21:29:34,23.54,-0.95
2024-07-01 21:29:35,23.53,-1.16
2024-07-01 21:29:36,23.53,-0.95
2024-07-01 21:29:37,23.55,-1.13
2024-07-01 21:29:38,23.54,-1.13
2024-07-01 21:29:39,23.54,-1.13
2024-07-01 21:29:40,23.53,-1.07
2024-07-01 21:29:41,23.54,-1.01
2024-07-01 21:29:42,23.53,-1.13
2024-07-01 21:29:43,23.53,-1.13
2024-07-01 21:29:44,23.53,-1.1
2024-07-01 21:29:45,23.5,-1.13
2024-07-01 21:29:46,23.54,-1.1
2024-07-01 21:29:47,23.5,-1.07
2024-07-01 21:29:48,23.53,-1.01
2024-07-01 21:29:49,23.53,-1.16
2024-07-01 21:29:50,23.5,-1.1
2024-07-01 21:29:51,23.5,-1.07
2024-07-01 21:29:52,23.5,-1.07
2024-07-01 21:29:53,23.5,-1.01
