File name: csic_quim_n42csic_2024-09-10T11:13:41_2024-09-10T12:49:41

User: csic_quim

Sensor: n42csic[D6:55:61:A5:34:78]

Dive: Meda petita
Dive date range: 2024-09-10 11:13:41 - 2024-09-10 12:49:41 (UTC +02:00)

"Location: 42º2'37.33""N,3º13'35.51""E"

Summary: 
Duration: 1:36:00 h.
Temp: 19.65 c (min.) 34.5 c (max.) 
Depth: -17.39 m (max.)

date,temperature(c),depth(m)
2024-09-10 11:13:41,22.65,-1.55
2024-09-10 11:13:42,22.5,-1.49
2024-09-10 11:13:43,22.36,-1.35
2024-09-10 11:13:44,22.29,-1.17
2024-09-10 11:13:45,22.25,-1.02
2024-09-10 11:13:46,22.22,-0.79
2024-09-10 11:13:47,22.22,-0.5
2024-09-10 11:13:48,22.21,-0.5
2024-09-10 11:13:49,22.22,-0.67
2024-09-10 11:13:50,22.17,-0.58
2024-09-10 11:13:51,22.17,-0.64
2024-09-10 11:13:52,22.16,-0.61
2024-09-10 11:13:53,22.17,-0.55
2024-09-10 11:13:54,22.14,-0.5
2024-09-10 11:13:55,22.16,-0.5
2024-09-10 11:13:56,22.14,-0.67
2024-09-10 11:13:57,22.15,-0.58
2024-09-10 11:13:58,22.14,-0.58
2024-09-10 11:13:59,22.13,-0.56
2024-09-10 11:14:00,22.13,-0.58
2024-09-10 11:14:01,22.14,-0.53
2024-09-10 11:14:02,22.14,-0.35
2024-09-10 11:14:03,22.14,-0.44
2024-09-10 11:14:04,22.16,-0.47
2024-09-10 11:14:05,22.14,-0.41
2024-09-10 11:14:06,22.14,-0.38
2024-09-10 11:14:07,22.17,-0.38
2024-09-10 11:14:08,22.14,-0.56
2024-09-10 11:14:09,22.15,-0.44
2024-09-10 11:14:10,22.15,-0.41
2024-09-10 11:14:11,22.14,-0.38
2024-09-10 11:14:12,22.14,-0.38
2024-09-10 11:14:13,22.15,-0.5
2024-09-10 11:14:14,22.14,-0.5
2024-09-10 11:14:15,22.14,-0.47
2024-09-10 11:14:16,22.14,-0.47
2024-09-10 11:14:17,22.12,-0.59
2024-09-10 11:14:18,22.13,-0.56
2024-09-10 11:14:19,22.12,-0.33
2024-09-10 11:14:20,22.24,-0.38
2024-09-10 11:14:21,22.17,-0.41
2024-09-10 11:14:22,22.21,-0.36
2024-09-10 11:14:23,22.26,-0.39
2024-09-10 11:14:24,22.17,-0.47
2024-09-10 11:14:25,22.2,-0.44
2024-09-10 11:14:26,22.16,-0.38
2024-09-10 11:14:27,22.15,-0.44
2024-09-10 11:14:28,22.2,-0.53
2024-09-10 11:14:29,22.16,-0.53
2024-09-10 11:14:30,22.16,-0.5
2024-09-10 11:14:31,22.13,-0.56
2024-09-10 11:14:32,22.11,-0.56
2024-09-10 11:14:33,22.14,-0.53
2024-09-10 11:14:34,22.12,-0.59
2024-09-10 11:14:35,22.12,-0.5
2024-09-10 11:14:36,22.11,-0.53
2024-09-10 11:14:37,22.1,-0.47
2024-09-10 11:14:38,22.11,-0.39
