File name: csic_quim_n42csic_2024-09-21T13:00:13_2024-09-21T14:44:28

User: csic_quim

Sensor: n42csic[D6:55:61:A5:34:78]

Dive: Ustica - Scoglio dell Medico
Dive date range: 2024-09-21 13:00:13 - 2024-09-21 14:44:28 (UTC +02:00)

"Location: 38º42'54.5""N,13º9'20.02""E"

Summary: 
Duration: 1:44:15 h.
Temp: 21.62 c (min.) 25.67 c (max.) 
Depth: -25.79 m (max.)

date,temperature(c),depth(m)
2024-09-21 13:00:13,24.8,-1.2
2024-09-21 13:00:14,24.76,-1.33
2024-09-21 13:00:15,24.79,-1.41
2024-09-21 13:00:16,24.77,-1.53
2024-09-21 13:00:17,24.77,-1.64
2024-09-21 13:00:18,24.78,-1.85
2024-09-21 13:00:19,24.78,-2.0
2024-09-21 13:00:20,24.78,-2.09
2024-09-21 13:00:21,24.77,-2.09
2024-09-21 13:00:22,24.76,-2.11
2024-09-21 13:00:23,24.8,-2.17
2024-09-21 13:00:24,24.78,-2.2
2024-09-21 13:00:25,24.78,-2.26
2024-09-21 13:00:26,24.78,-2.26
2024-09-21 13:00:27,24.77,-2.23
2024-09-21 13:00:28,24.76,-2.29
2024-09-21 13:00:29,24.75,-2.33
2024-09-21 13:00:30,24.76,-2.33
2024-09-21 13:00:31,24.75,-2.29
2024-09-21 13:00:32,24.75,-2.33
2024-09-21 13:00:33,24.74,-2.41
2024-09-21 13:00:34,24.73,-2.44
2024-09-21 13:00:35,24.73,-2.41
2024-09-21 13:00:36,24.71,-2.44
2024-09-21 13:00:37,24.73,-2.44
2024-09-21 13:00:38,24.73,-2.53
2024-09-21 13:00:39,24.71,-2.56
2024-09-21 13:00:40,24.71,-2.64
2024-09-21 13:00:41,24.71,-2.67
2024-09-21 13:00:42,24.71,-2.7
2024-09-21 13:00:43,24.7,-2.76
2024-09-21 13:00:44,24.67,-2.82
2024-09-21 13:00:45,24.7,-2.89
2024-09-21 13:00:46,24.7,-2.82
2024-09-21 13:00:47,24.71,-2.76
2024-09-21 13:00:48,24.71,-2.7
2024-09-21 13:00:49,24.71,-2.73
2024-09-21 13:00:50,24.7,-2.79
2024-09-21 13:00:51,24.69,-2.67
2024-09-21 13:00:52,24.67,-2.62
2024-09-21 13:00:53,24.69,-2.67
2024-09-21 13:00:54,24.69,-2.64
2024-09-21 13:00:55,24.68,-2.62
2024-09-21 13:00:56,24.7,-2.62
2024-09-21 13:00:57,24.71,-2.62
2024-09-21 13:00:58,24.71,-2.64
2024-09-21 13:00:59,24.71,-2.67
2024-09-21 13:01:00,24.73,-2.64
2024-09-21 13:01:01,24.71,-2.62
2024-09-21 13:01:02,24.71,-2.62
2024-09-21 13:01:03,24.7,-2.62
2024-09-21 13:01:04,24.73,-2.64
2024-09-21 13:01:05,24.71,-2.62
2024-09-21 13:01:06,24.71,-2.59
2024-09-21 13:01:07,24.74,-2.59
2024-09-21 13:01:08,24.74,-2.62
2024-09-21 13:01:09,24.74,-2.56
2024-09-21 13:01:10,24.73,-2.53
2024-09-21 13:01:11,24.75,-2.47
2024-09-21 13:01:12,24.75,-2.56
2024-09-21 13:01:13,24.75,-2.59
