File name: csic_quim_n42csic_2024-10-11T10:13:00_2024-10-11T11:01:11

User: csic_quim

Sensor: n42csic[D6:55:61:A5:34:78]

Dive: Ullastres III
Dive date range: 2024-10-11 10:13:00 - 2024-10-11 11:01:11 (UTC +02:00)

"Location: 41º53'16.61""N,3º12'8.72""E"

Summary: 
Duration: 0:48:11 h.
Temp: 17.85 c (min.) 19.25 c (max.) 
Depth: -40.49 m (max.)

date,temperature(c),depth(m)
2024-10-11 10:13:00,19.25,-2.41
2024-10-11 10:13:01,19.25,-2.47
2024-10-11 10:13:02,19.25,-2.61
2024-10-11 10:13:03,19.23,-2.85
2024-10-11 10:13:04,19.25,-2.96
2024-10-11 10:13:05,19.24,-3.05
2024-10-11 10:13:06,19.24,-3.22
2024-10-11 10:13:07,19.23,-3.49
2024-10-11 10:13:08,19.21,-3.57
2024-10-11 10:13:09,19.17,-3.77
2024-10-11 10:13:10,19.14,-3.95
2024-10-11 10:13:11,19.12,-4.15
2024-10-11 10:13:12,19.12,-4.27
2024-10-11 10:13:13,19.1,-4.42
2024-10-11 10:13:14,19.09,-4.62
2024-10-11 10:13:15,19.07,-4.94
2024-10-11 10:13:16,19.06,-5.17
2024-10-11 10:13:17,19.03,-5.31
2024-10-11 10:13:18,19.06,-5.55
2024-10-11 10:13:19,19.03,-5.78
2024-10-11 10:13:20,19.03,-6.05
2024-10-11 10:13:21,19.03,-6.25
2024-10-11 10:13:22,19.03,-6.48
2024-10-11 10:13:23,19.0,-6.74
2024-10-11 10:13:24,19.02,-6.94
2024-10-11 10:13:25,19.02,-7.21
2024-10-11 10:13:26,19.01,-7.41
2024-10-11 10:13:27,19.0,-7.73
2024-10-11 10:13:28,19.0,-7.99
2024-10-11 10:13:29,19.02,-8.28
2024-10-11 10:13:30,19.0,-8.51
2024-10-11 10:13:31,19.01,-8.75
2024-10-11 10:13:32,19.0,-9.03
2024-10-11 10:13:33,18.99,-9.33
2024-10-11 10:13:34,19.0,-9.5
2024-10-11 10:13:35,18.96,-9.68
2024-10-11 10:13:36,18.98,-9.82
2024-10-11 10:13:37,18.98,-9.97
2024-10-11 10:13:38,18.97,-10.0
2024-10-11 10:13:39,18.97,-10.09
2024-10-11 10:13:40,18.99,-10.15
2024-10-11 10:13:41,18.98,-10.29
2024-10-11 10:13:42,18.97,-10.35
2024-10-11 10:13:43,18.99,-10.38
2024-10-11 10:13:44,18.98,-10.55
2024-10-11 10:13:45,18.97,-10.64
2024-10-11 10:13:46,18.96,-10.76
2024-10-11 10:13:47,18.97,-10.73
2024-10-11 10:13:48,18.97,-10.84
2024-10-11 10:13:49,18.99,-10.96
2024-10-11 10:13:50,18.96,-11.07
2024-10-11 10:13:51,18.99,-11.11
2024-10-11 10:13:52,18.97,-11.11
2024-10-11 10:13:53,18.96,-11.25
2024-10-11 10:13:54,18.96,-11.22
2024-10-11 10:13:55,18.98,-11.36
2024-10-11 10:13:56,18.99,-11.48
2024-10-11 10:13:57,18.98,-11.56
2024-10-11 10:13:58,18.98,-11.59
2024-10-11 10:13:59,18.97,-11.66
2024-10-11 10:14:00,18.98,-11.66
2024-10-11 10:14:01,18.96,-11.72
2024-10-11 10:14:02,18.98,-11.77
2024-10-11 10:14:03,18.95,-11.92
2024-10-11 10:14:04,18.97,-11.97
2024-10-11 10:14:05,18.96,-12.03
2024-10-11 10:14:06,18.98,-12.06
2024-10-11 10:14:07,18.97,-12.18
2024-10-11 10:14:08,18.94,-12.3
2024-10-11 10:14:09,18.94,-12.38
2024-10-11 10:14:10,18.93,-12.47
2024-10-11 10:14:11,18.94,-12.55
2024-10-11 10:14:12,18.92,-12.68
2024-10-11 10:14:13,18.91,-12.76
2024-10-11 10:14:14,18.89,-12.82
2024-10-11 10:14:15,18.89,-12.85
2024-10-11 10:14:16,18.89,-12.91
2024-10-11 10:14:17,18.86,-12.99
2024-10-11 10:14:18,18.85,-12.99
2024-10-11 10:14:19,18.84,-13.08
2024-10-11 10:14:20,18.79,-13.02
2024-10-11 10:14:21,18.77,-13.08
2024-10-11 10:14:22,18.75,-13.16
2024-10-11 10:14:23,18.72,-13.2
2024-10-11 10:14:24,18.71,-13.26
2024-10-11 10:14:25,18.67,-13.31
2024-10-11 10:14:26,18.64,-13.4
2024-10-11 10:14:27,18.63,-13.57
2024-10-11 10:14:28,18.61,-13.75
2024-10-11 10:14:29,18.62,-13.98
2024-10-11 10:14:30,18.6,-14.15
2024-10-11 10:14:31,18.59,-14.36
2024-10-11 10:14:32,18.58,-14.53
2024-10-11 10:14:33,18.57,-14.56
2024-10-11 10:14:34,18.57,-14.64
2024-10-11 10:14:35,18.57,-14.67
2024-10-11 10:14:36,18.57,-14.7
2024-10-11 10:14:37,18.54,-14.67
2024-10-11 10:14:38,18.53,-14.5
2024-10-11 10:14:39,18.52,-14.5
2024-10-11 10:14:40,18.53,-14.56
2024-10-11 10:14:41,18.53,-14.61
2024-10-11 10:14:42,18.52,-14.64
2024-10-11 10:14:43,18.53,-14.61
2024-10-11 10:14:44,18.53,-14.64
2024-10-11 10:14:45,18.53,-14.67
2024-10-11 10:14:46,18.53,-14.74
2024-10-11 10:14:47,18.53,-14.85
2024-10-11 10:14:48,18.53,-14.97
2024-10-11 10:14:49,18.53,-15.11
2024-10-11 10:14:50,18.53,-15.19
2024-10-11 10:14:51,18.54,-15.26
2024-10-11 10:14:52,18.53,-15.35
2024-10-11 10:14:53,18.53,-15.32
2024-10-11 10:14:54,18.52,-15.22
2024-10-11 10:14:55,18.5,-15.19
2024-10-11 10:14:56,18.51,-15.35
2024-10-11 10:14:57,18.53,-15.46
2024-10-11 10:14:58,18.5,-15.49
2024-10-11 10:14:59,18.51,-15.6
2024-10-11 10:15:00,18.52,-15.69
2024-10-11 10:15:01,18.51,-15.84
2024-10-11 10:15:02,18.51,-16.07
2024-10-11 10:15:03,18.53,-16.31
2024-10-11 10:15:04,18.53,-16.42
2024-10-11 10:15:05,18.5,-16.59
2024-10-11 10:15:06,18.5,-16.8
2024-10-11 10:15:07,18.49,-17.03
2024-10-11 10:15:08,18.48,-17.23
2024-10-11 10:15:09,18.46,-17.41
2024-10-11 10:15:10,18.49,-17.63
2024-10-11 10:15:11,18.44,-17.93
2024-10-11 10:15:12,18.47,-18.07
2024-10-11 10:15:13,18.47,-18.27
2024-10-11 10:15:14,18.44,-18.4
2024-10-11 10:15:15,18.45,-18.51
2024-10-11 10:15:16,18.46,-18.65
2024-10-11 10:15:17,18.46,-18.95
2024-10-11 10:15:18,18.44,-19.12
2024-10-11 10:15:19,18.45,-19.32
2024-10-11 10:15:20,18.44,-19.47
2024-10-11 10:15:21,18.44,-19.61
2024-10-11 10:15:22,18.45,-19.81
2024-10-11 10:15:23,18.46,-20.11
2024-10-11 10:15:24,18.45,-20.36
2024-10-11 10:15:25,18.44,-20.54
2024-10-11 10:15:26,18.45,-20.8
2024-10-11 10:15:27,18.45,-20.98
2024-10-11 10:15:28,18.44,-21.09
2024-10-11 10:15:29,18.42,-21.09
2024-10-11 10:15:30,18.46,-21.15
2024-10-11 10:15:31,18.45,-21.12
2024-10-11 10:15:32,18.45,-21.24
2024-10-11 10:15:33,18.42,-21.38
2024-10-11 10:15:34,18.44,-21.5
2024-10-11 10:15:35,18.42,-21.67
2024-10-11 10:15:36,18.42,-21.76
2024-10-11 10:15:37,18.45,-21.82
2024-10-11 10:15:38,18.45,-21.93
2024-10-11 10:15:39,18.42,-22.05
2024-10-11 10:15:40,18.42,-22.17
2024-10-11 10:15:41,18.44,-22.23
2024-10-11 10:15:42,18.42,-22.34
2024-10-11 10:15:43,18.42,-22.42
2024-10-11 10:15:44,18.42,-22.58
2024-10-11 10:15:45,18.44,-22.72
2024-10-11 10:15:46,18.42,-22.86
2024-10-11 10:15:47,18.41,-23.07
2024-10-11 10:15:48,18.42,-23.16
2024-10-11 10:15:49,18.44,-23.27
2024-10-11 10:15:50,18.42,-23.35
2024-10-11 10:15:51,18.42,-23.41
2024-10-11 10:15:52,18.42,-23.56
2024-10-11 10:15:53,18.42,-23.74
2024-10-11 10:15:54,18.42,-23.85
2024-10-11 10:15:55,18.45,-23.85
2024-10-11 10:15:56,18.42,-23.88
2024-10-11 10:15:57,18.42,-23.91
2024-10-11 10:15:58,18.42,-23.91
