File name: csic_quim_n42csic_2024-10-15T10:19:59_2024-10-15T11:12:50

User: csic_quim

Sensor: n42csic[D6:55:61:A5:34:78]

Dive: Benzu - Jardin gorgonias
Dive date range: 2024-10-15 10:19:59 - 2024-10-15 11:12:50 (UTC +02:00)

"Location: 35º55'15.21""N,-5º-21'-37.86""W"

Summary: 
Duration: 0:52:51 h.
Temp: 17.52 c (min.) 18.58 c (max.) 
Depth: -32.69 m (max.)

date,temperature(c),depth(m)
2024-10-15 10:19:59,18.03,-1.27
2024-10-15 10:20:00,18.02,-1.48
2024-10-15 10:20:01,17.99,-1.68
2024-10-15 10:20:02,17.97,-1.8
2024-10-15 10:20:03,17.97,-2.01
2024-10-15 10:20:04,17.93,-2.12
2024-10-15 10:20:05,17.93,-2.33
2024-10-15 10:20:06,17.92,-2.47
2024-10-15 10:20:07,17.94,-2.7
2024-10-15 10:20:08,17.92,-2.99
2024-10-15 10:20:09,17.91,-3.19
2024-10-15 10:20:10,17.9,-3.4
2024-10-15 10:20:11,17.91,-3.6
2024-10-15 10:20:12,17.9,-3.72
2024-10-15 10:20:13,17.89,-3.93
2024-10-15 10:20:14,17.87,-4.04
2024-10-15 10:20:15,17.87,-4.3
2024-10-15 10:20:16,17.85,-4.45
2024-10-15 10:20:17,17.85,-4.51
2024-10-15 10:20:18,17.83,-4.65
2024-10-15 10:20:19,17.87,-4.79
2024-10-15 10:20:20,17.86,-4.95
2024-10-15 10:20:21,17.85,-5.06
2024-10-15 10:20:22,17.86,-5.12
2024-10-15 10:20:23,17.84,-5.12
2024-10-15 10:20:24,17.85,-5.15
2024-10-15 10:20:25,17.82,-5.03
2024-10-15 10:20:26,17.85,-5.0
2024-10-15 10:20:27,17.82,-5.0
2024-10-15 10:20:28,17.85,-5.06
2024-10-15 10:20:29,17.85,-5.09
2024-10-15 10:20:30,17.82,-5.06
2024-10-15 10:20:31,17.82,-5.03
2024-10-15 10:20:32,17.82,-4.95
2024-10-15 10:20:33,17.82,-4.74
2024-10-15 10:20:34,17.85,-4.74
2024-10-15 10:20:35,17.8,-4.82
2024-10-15 10:20:36,17.82,-5.0
2024-10-15 10:20:37,17.81,-5.03
2024-10-15 10:20:38,17.82,-5.17
2024-10-15 10:20:39,17.83,-5.2
2024-10-15 10:20:40,17.82,-5.23
2024-10-15 10:20:41,17.82,-5.17
2024-10-15 10:20:42,17.82,-5.17
2024-10-15 10:20:43,17.85,-5.17
2024-10-15 10:20:44,17.85,-5.26
2024-10-15 10:20:45,17.85,-5.4
2024-10-15 10:20:46,17.83,-5.55
2024-10-15 10:20:47,17.83,-5.75
2024-10-15 10:20:48,17.85,-5.75
2024-10-15 10:20:49,17.86,-5.84
2024-10-15 10:20:50,17.85,-5.9
2024-10-15 10:20:51,17.87,-5.99
2024-10-15 10:20:52,17.83,-6.16
2024-10-15 10:20:53,17.83,-6.22
2024-10-15 10:20:54,17.85,-6.28
2024-10-15 10:20:55,17.85,-6.45
2024-10-15 10:20:56,17.81,-6.68
2024-10-15 10:20:57,17.81,-6.88
2024-10-15 10:20:58,17.8,-7.01
2024-10-15 10:20:59,17.81,-7.21
2024-10-15 10:21:00,17.81,-7.35
2024-10-15 10:21:01,17.81,-7.62
2024-10-15 10:21:02,17.79,-7.82
2024-10-15 10:21:03,17.8,-8.02
2024-10-15 10:21:04,17.79,-8.28
2024-10-15 10:21:05,17.77,-8.48
2024-10-15 10:21:06,17.75,-8.72
2024-10-15 10:21:07,17.74,-8.97
2024-10-15 10:21:08,17.73,-9.24
2024-10-15 10:21:09,17.73,-9.35
2024-10-15 10:21:10,17.71,-9.56
2024-10-15 10:21:11,17.71,-9.76
2024-10-15 10:21:12,17.7,-9.9
2024-10-15 10:21:13,17.7,-10.17
2024-10-15 10:21:14,17.67,-10.34
2024-10-15 10:21:15,17.68,-10.57
2024-10-15 10:21:16,17.7,-10.72
2024-10-15 10:21:17,17.67,-10.89
2024-10-15 10:21:18,17.67,-11.24
2024-10-15 10:21:19,17.69,-11.41
2024-10-15 10:21:20,17.69,-11.65
2024-10-15 10:21:21,17.68,-11.76
2024-10-15 10:21:22,17.67,-11.94
2024-10-15 10:21:23,17.67,-12.08
2024-10-15 10:21:24,17.68,-12.26
2024-10-15 10:21:25,17.65,-12.46
2024-10-15 10:21:26,17.67,-12.63
2024-10-15 10:21:27,17.66,-12.78
2024-10-15 10:21:28,17.66,-13.01
2024-10-15 10:21:29,17.67,-13.3
2024-10-15 10:21:30,17.67,-13.42
2024-10-15 10:21:31,17.67,-13.53
2024-10-15 10:21:32,17.67,-13.59
2024-10-15 10:21:33,17.66,-13.64
2024-10-15 10:21:34,17.67,-13.71
2024-10-15 10:21:35,17.67,-13.8
2024-10-15 10:21:36,17.67,-13.88
2024-10-15 10:21:37,17.65,-13.97
2024-10-15 10:21:38,17.68,-14.11
2024-10-15 10:21:39,17.67,-14.19
2024-10-15 10:21:40,17.67,-14.29
2024-10-15 10:21:41,17.69,-14.4
2024-10-15 10:21:42,17.66,-14.52
2024-10-15 10:21:43,17.66,-14.57
2024-10-15 10:21:44,17.67,-14.69
2024-10-15 10:21:45,17.66,-14.81
2024-10-15 10:21:46,17.66,-14.84
2024-10-15 10:21:47,17.67,-14.92
2024-10-15 10:21:48,17.67,-14.98
2024-10-15 10:21:49,17.69,-15.01
2024-10-15 10:21:50,17.67,-15.04
2024-10-15 10:21:51,17.67,-15.04
2024-10-15 10:21:52,17.69,-15.09
2024-10-15 10:21:53,17.66,-15.21
2024-10-15 10:21:54,17.67,-15.21
2024-10-15 10:21:55,17.67,-15.3
2024-10-15 10:21:56,17.68,-15.36
2024-10-15 10:21:57,17.68,-15.47
2024-10-15 10:21:58,17.67,-15.5
2024-10-15 10:21:59,17.65,-15.64
2024-10-15 10:22:00,17.67,-15.59
2024-10-15 10:22:01,17.67,-15.7
2024-10-15 10:22:02,17.64,-15.82
2024-10-15 10:22:03,17.66,-16.02
2024-10-15 10:22:04,17.68,-16.22
2024-10-15 10:22:05,17.68,-16.32
2024-10-15 10:22:06,17.66,-16.35
2024-10-15 10:22:07,17.67,-16.46
2024-10-15 10:22:08,17.67,-16.6
2024-10-15 10:22:09,17.67,-16.72
2024-10-15 10:22:10,17.65,-16.9
2024-10-15 10:22:11,17.65,-16.98
2024-10-15 10:22:12,17.67,-17.04
2024-10-15 10:22:13,17.66,-17.12
2024-10-15 10:22:14,17.67,-17.12
2024-10-15 10:22:15,17.67,-17.27
2024-10-15 10:22:16,17.67,-17.39
2024-10-15 10:22:17,17.65,-17.47
2024-10-15 10:22:18,17.67,-17.59
2024-10-15 10:22:19,17.67,-17.65
2024-10-15 10:22:20,17.66,-17.76
2024-10-15 10:22:21,17.65,-17.85
2024-10-15 10:22:22,17.65,-17.97
2024-10-15 10:22:23,17.65,-18.08
2024-10-15 10:22:24,17.65,-18.17
2024-10-15 10:22:25,17.64,-18.35
2024-10-15 10:22:26,17.64,-18.46
2024-10-15 10:22:27,17.63,-18.49
2024-10-15 10:22:28,17.64,-18.49
2024-10-15 10:22:29,17.63,-18.57
2024-10-15 10:22:30,17.64,-18.75
2024-10-15 10:22:31,17.64,-18.77
2024-10-15 10:22:32,17.64,-18.83
2024-10-15 10:22:33,17.66,-18.9
2024-10-15 10:22:34,17.65,-18.93
2024-10-15 10:22:35,17.64,-18.93
2024-10-15 10:22:36,17.65,-18.93
2024-10-15 10:22:37,17.64,-18.95
2024-10-15 10:22:38,17.64,-18.95
2024-10-15 10:22:39,17.65,-18.95
