File name: dv_menorca_n34laura_2024-10-01T13:53:25_2024-10-01T15:32:58

User: dv_menorca

Sensor: n34laura[DA:51:7C:9E:DD:77]

Dive: es morter
Dive date range: 2024-10-01 13:53:25 - 2024-10-01 15:32:58 (UTC +02:00)

"Location: 40.067825,4.145293"

Summary: 
Duration: 1:39:33 h.
Temp: 21.31 c (min.) 24.92 c (max.) 
Depth: -13.87 m (max.)

date,temperature(c),depth(m)
2024-10-01 13:53:25,24.2,-1.19
2024-10-01 13:53:26,24.17,-1.13
2024-10-01 13:53:27,24.16,-0.89
2024-10-01 13:53:28,24.15,-0.89
2024-10-01 13:53:29,24.14,-0.92
2024-10-01 13:53:30,24.13,-0.92
2024-10-01 13:53:31,24.14,-0.98
2024-10-01 13:53:32,24.1,-1.01
2024-10-01 13:53:33,24.12,-0.92
2024-10-01 13:53:34,24.1,-0.86
2024-10-01 13:53:35,24.1,-0.92
2024-10-01 13:53:36,24.1,-0.76
2024-10-01 13:53:37,24.1,-0.89
2024-10-01 13:53:38,24.1,-0.73
2024-10-01 13:53:39,24.09,-0.83
2024-10-01 13:53:40,24.08,-0.92
2024-10-01 13:53:41,24.09,-0.86
2024-10-01 13:53:42,24.09,-0.83
2024-10-01 13:53:43,24.09,-0.86
2024-10-01 13:53:44,24.07,-0.89
2024-10-01 13:53:45,24.09,-0.92
2024-10-01 13:53:46,24.07,-0.89
2024-10-01 13:53:47,24.07,-0.92
2024-10-01 13:53:48,24.07,-0.83
2024-10-01 13:53:49,24.08,-0.89
2024-10-01 13:53:50,24.09,-0.95
2024-10-01 13:53:51,24.07,-0.86
2024-10-01 13:53:52,24.06,-0.89
2024-10-01 13:53:53,24.08,-0.76
2024-10-01 13:53:54,24.07,-0.8
2024-10-01 13:53:55,24.09,-0.98
2024-10-01 13:53:56,24.08,-0.98
2024-10-01 13:53:57,24.05,-0.95
2024-10-01 13:53:58,24.08,-0.95
2024-10-01 13:53:59,24.07,-1.01
2024-10-01 13:54:00,24.07,-0.92
2024-10-01 13:54:01,24.08,-1.04
2024-10-01 13:54:02,24.06,-0.83
2024-10-01 13:54:03,24.06,-0.73
2024-10-01 13:54:04,24.09,-0.83
2024-10-01 13:54:05,24.08,-0.76
2024-10-01 13:54:06,24.08,-0.95
2024-10-01 13:54:07,24.07,-0.92
2024-10-01 13:54:08,24.07,-0.86
2024-10-01 13:54:09,24.07,-0.95
2024-10-01 13:54:10,24.07,-0.7
2024-10-01 13:54:11,24.06,-0.76
2024-10-01 13:54:12,24.06,-0.76
2024-10-01 13:54:13,24.05,-0.92
2024-10-01 13:54:14,24.08,-0.89
2024-10-01 13:54:15,24.06,-0.95
2024-10-01 13:54:16,24.06,-0.89
2024-10-01 13:54:17,24.05,-0.8
2024-10-01 13:54:18,24.07,-0.7
2024-10-01 13:54:19,24.06,-0.7
2024-10-01 13:54:20,24.08,-0.7
2024-10-01 13:54:21,24.07,-0.7
2024-10-01 13:54:22,24.06,-0.76
2024-10-01 13:54:23,24.07,-0.76
2024-10-01 13:54:24,24.06,-0.83
2024-10-01 13:54:25,24.06,-0.86
2024-10-01 13:54:26,24.07,-0.83
2024-10-01 13:54:27,24.06,-0.86
2024-10-01 13:54:28,24.06,-0.89
2024-10-01 13:54:29,24.05,-0.92
2024-10-01 13:54:30,24.05,-0.89
2024-10-01 13:54:31,24.05,-0.86
2024-10-01 13:54:32,24.06,-0.89
2024-10-01 13:54:33,24.05,-0.83
2024-10-01 13:54:34,24.06,-0.86
2024-10-01 13:54:35,24.06,-0.95
2024-10-01 13:54:36,24.06,-0.83
2024-10-01 13:54:37,24.06,-0.83
2024-10-01 13:54:38,24.07,-0.86
2024-10-01 13:54:39,24.06,-0.95
2024-10-01 13:54:40,24.06,-0.92
2024-10-01 13:54:41,24.06,-1.04
2024-10-01 13:54:42,24.08,-0.95
2024-10-01 13:54:43,24.1,-0.92
2024-10-01 13:54:44,24.1,-1.04
2024-10-01 13:54:45,24.08,-1.1
2024-10-01 13:54:46,24.1,-1.04
2024-10-01 13:54:47,24.11,-0.92
2024-10-01 13:54:48,24.1,-1.07
2024-10-01 13:54:49,24.1,-1.19
2024-10-01 13:54:50,24.1,-1.37
2024-10-01 13:54:51,24.12,-1.32
2024-10-01 13:54:52,24.1,-1.25
2024-10-01 13:54:53,24.1,-1.34
2024-10-01 13:54:54,24.11,-1.37
2024-10-01 13:54:55,24.1,-1.46
2024-10-01 13:54:56,24.1,-1.52
2024-10-01 13:54:57,24.1,-1.58
2024-10-01 13:54:58,24.09,-1.61
2024-10-01 13:54:59,24.11,-1.55
2024-10-01 13:55:00,24.11,-1.58
2024-10-01 13:55:01,24.09,-1.64
2024-10-01 13:55:02,24.08,-1.79
2024-10-01 13:55:03,24.07,-1.83
2024-10-01 13:55:04,24.06,-1.83
2024-10-01 13:55:05,24.05,-1.76
2024-10-01 13:55:06,24.06,-1.67
2024-10-01 13:55:07,24.08,-1.55
2024-10-01 13:55:08,24.1,-1.58
2024-10-01 13:55:09,24.1,-1.67
2024-10-01 13:55:10,24.09,-1.61
2024-10-01 13:55:11,24.1,-1.76
2024-10-01 13:55:12,24.08,-1.86
2024-10-01 13:55:13,24.11,-1.95
2024-10-01 13:55:14,24.11,-2.1
2024-10-01 13:55:15,24.09,-2.28
2024-10-01 13:55:16,24.08,-2.44
2024-10-01 13:55:17,24.07,-2.56
2024-10-01 13:55:18,24.04,-2.71
2024-10-01 13:55:19,24.06,-2.8
2024-10-01 13:55:20,24.05,-2.93
2024-10-01 13:55:21,24.05,-3.02
2024-10-01 13:55:22,24.04,-2.99
2024-10-01 13:55:23,24.05,-3.02
2024-10-01 13:55:24,24.06,-3.14
2024-10-01 13:55:25,24.06,-3.17
2024-10-01 13:55:26,24.06,-3.28
2024-10-01 13:55:27,24.06,-3.34
2024-10-01 13:55:28,24.07,-3.44
