File name: dv_menorca_n54laura_2024-10-01T13:54:46_2024-10-02T09:21:56

User: dv_menorca

Sensor: n54laura[DC:E9:E9:B8:06:28]

Dive: la llosa
Dive date range: 2024-10-01 13:54:46 - 2024-10-02 09:21:56 (UTC +02:00)

"Location: 40.084636,4.099852"

Summary: 
Duration: 19:27:10 h.
Temp: 21.51 c (min.) 29.49 c (max.) 
Depth: -24.09 m (max.)

date,temperature(c),depth(m)
2024-10-01 13:54:46,24.1,-1.26
2024-10-01 13:54:47,24.0,-4.87
2024-10-01 13:54:48,23.93,-8.89
2024-10-01 13:54:49,23.96,-9.22
2024-10-01 13:54:50,23.93,-9.31
2024-10-01 13:54:51,23.93,-8.69
2024-10-01 13:54:52,23.98,-10.97
2024-10-01 13:54:53,23.95,-10.65
2024-10-01 13:54:54,23.96,-11.16
2024-10-01 13:54:55,23.95,-12.1
2024-10-01 13:54:56,23.93,-11.48
2024-10-01 13:54:57,23.96,-10.94
2024-10-01 13:54:58,23.92,-12.49
2024-10-01 13:54:59,23.95,-13.18
2024-10-01 13:55:00,23.92,-12.73
2024-10-01 13:55:01,23.96,-11.66
2024-10-01 13:55:02,23.92,-10.05
2024-10-01 13:55:03,23.92,-9.01
2024-10-01 13:55:04,23.93,-8.86
2024-10-01 13:55:05,23.97,-10.2
2024-10-01 13:55:06,23.96,-10.62
2024-10-01 13:55:07,23.98,-7.79
2024-10-01 13:55:08,23.99,-7.88
2024-10-01 13:55:09,23.98,-8.98
2024-10-01 13:55:10,24.0,-7.31
2024-10-01 13:55:11,23.96,-6.66
2024-10-01 13:55:12,24.03,-0.67
2024-10-01 13:55:13,24.04,-0.67
2024-10-01 13:55:14,24.01,-0.62
2024-10-01 13:55:15,24.04,-0.67
2024-10-01 13:55:16,24.03,-0.7
2024-10-01 13:55:17,24.03,-0.7
2024-10-01 13:55:18,24.05,-0.64
2024-10-01 13:55:19,24.07,-0.7
2024-10-01 13:55:20,24.07,-0.8
2024-10-01 13:55:21,24.02,-3.98
2024-10-01 13:55:22,24.03,-4.01
2024-10-01 13:55:23,24.02,-3.09
2024-10-01 13:55:24,24.0,-3.95
2024-10-01 13:55:25,24.02,-0.86
2024-10-01 13:55:26,24.05,-0.7
2024-10-01 13:55:27,24.04,-0.64
2024-10-01 13:55:28,24.04,-0.67
2024-10-01 13:55:29,24.04,-2.1
2024-10-01 13:55:30,24.03,-4.81
2024-10-01 13:55:31,24.01,-3.62
2024-10-01 13:55:32,24.01,-4.81
2024-10-01 13:55:33,24.03,-4.22
2024-10-01 13:55:34,24.0,-5.88
2024-10-01 13:55:35,23.97,-4.36
2024-10-01 13:55:36,24.01,-4.58
2024-10-01 13:55:37,24.03,-4.58
2024-10-01 13:55:38,24.03,-0.67
2024-10-01 13:55:39,22.14,-0.33
2024-10-01 13:55:40,22.28,-0.36
2024-10-01 13:55:41,22.26,-0.36
2024-10-01 13:55:42,21.92,-0.4
2024-10-01 13:55:43,21.51,-0.37
2024-10-01 13:55:44,21.72,-0.34
2024-10-01 13:55:45,21.88,-0.37
2024-10-01 13:55:46,21.97,-0.35
2024-10-01 13:55:47,21.97,-0.35
2024-10-01 13:55:48,21.97,-0.41
2024-10-01 13:55:49,22.07,-0.32
2024-10-01 13:55:50,22.15,-0.35
2024-10-01 13:55:51,22.38,-0.38
2024-10-01 13:55:52,22.41,-0.35
2024-10-01 13:55:53,22.69,-0.35
2024-10-01 13:55:54,22.49,-0.38
2024-10-01 13:55:55,22.42,-0.37
2024-10-01 13:55:56,22.71,-0.34
2024-10-01 13:55:57,23.01,-0.34
2024-10-01 13:55:58,23.53,-0.37
2024-10-01 13:55:59,23.67,-0.34
2024-10-01 13:56:00,23.62,-0.34
2024-10-01 13:56:01,23.43,-0.36
2024-10-01 13:56:02,23.69,-0.36
2024-10-01 13:56:03,23.75,-0.33
2024-10-01 13:56:04,23.88,-0.36
2024-10-01 13:56:05,24.19,-0.36
2024-10-01 13:56:06,24.21,-0.33
2024-10-01 13:56:07,24.02,-0.33
2024-10-01 13:56:08,24.0,-0.36
2024-10-01 13:56:09,24.04,-0.36
2024-10-01 13:56:10,24.42,-0.33
2024-10-01 13:56:11,24.71,-0.33
2024-10-01 13:56:12,24.81,-0.35
2024-10-01 13:56:13,24.82,-0.38
2024-10-01 13:56:14,24.77,-0.35
2024-10-01 13:56:15,24.71,-0.35
2024-10-01 13:56:16,24.84,-0.35
2024-10-01 13:56:17,24.78,-0.35
2024-10-01 13:56:18,24.67,-0.32
2024-10-01 13:56:19,24.55,-0.32
2024-10-01 13:56:20,24.49,-0.35
2024-10-01 13:56:21,24.24,-0.35
2024-10-01 13:56:22,24.26,-0.35
2024-10-02 09:20:15,23.92,-2.86
2024-10-02 09:20:16,23.98,-10.04
2024-10-02 09:20:17,24.0,-8.35
2024-10-02 09:20:18,24.01,-9.4
2024-10-02 09:20:19,24.01,-11.22
2024-10-02 09:20:20,24.03,-14.91
2024-10-02 09:20:21,24.03,-16.82
2024-10-02 09:20:22,24.06,-19.22
2024-10-02 09:20:23,24.07,-24.09
2024-10-02 09:20:24,24.06,-20.63
2024-10-02 09:20:25,24.06,-17.44
2024-10-02 09:20:26,24.05,-17.23
2024-10-02 09:20:27,24.07,-17.14
2024-10-02 09:20:28,24.08,-18.58
2024-10-02 09:20:29,24.08,-15.62
2024-10-02 09:20:30,24.05,-12.49
2024-10-02 09:20:31,24.05,-12.94
2024-10-02 09:20:32,24.03,-15.3
2024-10-02 09:20:33,24.04,-15.59
2024-10-02 09:20:34,24.04,-14.58
2024-10-02 09:20:35,24.03,-13.15
2024-10-02 09:20:36,24.06,-14.04
2024-10-02 09:20:37,24.04,-16.43
2024-10-02 09:20:38,24.04,-17.05
2024-10-02 09:20:39,24.07,-16.91
2024-10-02 09:20:40,24.03,-15.78
2024-10-02 09:20:41,24.04,-17.83
2024-10-02 09:20:42,24.06,-17.86
2024-10-02 09:20:43,24.04,-18.27
2024-10-02 09:20:44,24.05,-16.34
2024-10-02 09:20:45,24.07,-15.14
2024-10-02 09:20:46,24.06,-13.9
2024-10-02 09:20:47,24.0,-12.8
2024-10-02 09:20:48,24.03,-12.35
2024-10-02 09:20:49,24.03,-11.75
2024-10-02 09:20:50,24.01,-12.38
2024-10-02 09:20:51,24.02,-13.19
2024-10-02 09:20:52,24.05,-10.44
2024-10-02 09:20:53,24.03,-9.7
2024-10-02 09:20:54,24.05,-7.43
2024-10-02 09:20:55,24.04,-7.4
2024-10-02 09:20:56,24.04,-5.91
2024-10-02 09:20:57,24.08,-0.59
2024-10-02 09:20:58,23.17,-0.29
2024-10-02 09:20:59,23.33,-0.3
2024-10-02 09:21:00,23.13,-0.3
2024-10-02 09:21:01,22.83,-0.3
2024-10-02 09:21:02,22.62,-0.33
2024-10-02 09:21:03,22.46,-0.3
2024-10-02 09:21:04,22.42,-0.3
2024-10-02 09:21:05,22.25,-0.28
2024-10-02 09:21:06,22.17,-0.34
2024-10-02 09:21:07,22.38,-0.31
2024-10-02 09:21:08,22.29,-0.31
2024-10-02 09:21:09,22.25,-0.34
2024-10-02 09:21:10,22.38,-0.31
2024-10-02 09:21:11,22.46,-0.31
2024-10-02 09:21:12,22.41,-0.32
2024-10-02 09:21:13,22.79,-0.32
2024-10-02 09:21:14,22.72,-0.32
2024-10-02 09:21:15,22.79,-0.29
2024-10-02 09:21:16,22.91,-0.34
2024-10-02 09:21:17,22.65,-0.31
2024-10-02 09:21:18,22.68,-0.31
2024-10-02 09:21:19,22.85,-0.31
2024-10-02 09:21:20,22.89,-0.31
2024-10-02 09:21:21,23.07,-0.31
2024-10-02 09:21:22,23.07,-0.34
2024-10-02 09:21:23,23.13,-0.31
2024-10-02 09:21:24,23.92,-0.31
2024-10-02 09:21:25,22.98,-0.31
2024-10-02 09:21:26,23.6,-0.31
2024-10-02 09:21:27,23.07,-0.3
2024-10-02 09:21:28,22.91,-0.3
2024-10-02 09:21:29,22.96,-0.3
2024-10-02 09:21:30,23.97,-0.33
2024-10-02 09:21:31,22.94,-0.33
2024-10-02 09:21:32,22.89,-0.33
2024-10-02 09:21:33,22.87,-0.3
2024-10-02 09:21:34,22.79,-0.33
2024-10-02 09:21:35,23.05,-0.31
2024-10-02 09:21:36,23.25,-0.31
2024-10-02 09:21:37,23.18,-0.34
2024-10-02 09:21:38,23.45,-0.31
2024-10-02 09:21:39,23.97,-0.31
2024-10-02 09:21:40,23.97,-0.3
2024-10-02 09:21:41,25.91,-0.29
2024-10-02 09:21:42,26.23,-0.32
2024-10-02 09:21:43,26.28,-0.31
2024-10-02 09:21:44,26.75,-0.33
2024-10-02 09:21:45,27.73,-0.33
2024-10-02 09:21:46,28.01,-0.32
2024-10-02 09:21:47,28.46,-0.31
2024-10-02 09:21:48,28.92,-0.31
2024-10-02 09:21:49,29.07,-0.3
2024-10-02 09:21:50,29.22,-0.32
2024-10-02 09:21:51,29.49,-0.32
2024-10-02 09:21:52,29.01,-0.32
2024-10-02 09:21:53,28.49,-0.32
2024-10-02 09:21:54,27.55,-0.32
2024-10-02 09:21:55,27.08,-0.3
