File name: dv_menorca_n54laura_2024-10-10T10:00:15_2024-10-10T10:01:57

User: dv_menorca

Sensor: n54laura[DC:E9:E9:B8:06:28]

Dive: islote
Dive date range: 2024-10-10 10:00:15 - 2024-10-10 10:01:57 (UTC +02:00)

"Location: 40.074557,4.093393"

Summary: 
Duration: 0:01:42 h.
Temp: 19.34 c (min.) 29.05 c (max.) 
Depth: -19.36 m (max.)

date,temperature(c),depth(m)
2024-10-10 10:00:15,21.32,-1.33
2024-10-10 10:00:16,21.33,-6.04
2024-10-10 10:00:17,21.32,-8.34
2024-10-10 10:00:18,21.35,-10.56
2024-10-10 10:00:19,21.36,-11.34
2024-10-10 10:00:20,21.37,-14.68
2024-10-10 10:00:21,21.36,-17.56
2024-10-10 10:00:22,21.38,-17.79
2024-10-10 10:00:23,21.35,-18.29
2024-10-10 10:00:24,21.36,-17.14
2024-10-10 10:00:25,21.38,-19.36
2024-10-10 10:00:26,21.39,-19.24
2024-10-10 10:00:27,21.35,-19.3
2024-10-10 10:00:28,21.38,-16.49
2024-10-10 10:00:29,21.45,-15.9
2024-10-10 10:00:30,21.45,-14.3
2024-10-10 10:00:31,21.48,-15.63
2024-10-10 10:00:32,21.44,-13.97
2024-10-10 10:00:33,21.46,-10.3
2024-10-10 10:00:34,21.46,-10.06
2024-10-10 10:00:35,21.46,-11.13
2024-10-10 10:00:36,21.46,-13.05
2024-10-10 10:00:37,21.48,-13.74
2024-10-10 10:00:38,21.42,-14.45
2024-10-10 10:00:39,21.43,-12.58
2024-10-10 10:00:40,21.39,-11.84
2024-10-10 10:00:41,21.39,-10.72
2024-10-10 10:00:42,21.39,-11.34
2024-10-10 10:00:43,21.39,-11.48
2024-10-10 10:00:44,21.39,-9.71
2024-10-10 10:00:45,21.38,-10.3
2024-10-10 10:00:46,21.39,-8.26
2024-10-10 10:00:47,21.39,-8.34
2024-10-10 10:00:48,21.39,-7.25
2024-10-10 10:00:49,21.38,-6.74
2024-10-10 10:00:50,21.41,-6.36
2024-10-10 10:00:51,21.34,-6.92
2024-10-10 10:00:52,21.34,-5.77
2024-10-10 10:00:53,21.36,-5.59
2024-10-10 10:00:54,21.37,-5.38
2024-10-10 10:00:55,21.36,-5.91
2024-10-10 10:00:56,21.35,-4.2
2024-10-10 10:00:57,21.36,-5.09
2024-10-10 10:00:58,21.35,-0.53
2024-10-10 10:00:59,21.36,-0.53
2024-10-10 10:01:00,21.39,-0.5
2024-10-10 10:01:01,21.34,-0.38
2024-10-10 10:01:02,19.91,-0.3
2024-10-10 10:01:03,19.72,-0.27
2024-10-10 10:01:04,19.39,-0.27
2024-10-10 10:01:05,19.34,-0.28
2024-10-10 10:01:06,19.36,-0.31
2024-10-10 10:01:07,19.42,-0.28
2024-10-10 10:01:08,20.32,-0.28
2024-10-10 10:01:09,19.94,-0.28
2024-10-10 10:01:10,19.81,-0.27
2024-10-10 10:01:11,19.76,-0.3
2024-10-10 10:01:12,19.66,-0.28
2024-10-10 10:01:13,19.65,-0.31
2024-10-10 10:01:14,20.28,-0.3
2024-10-10 10:01:15,20.34,-0.3
2024-10-10 10:01:16,20.27,-0.3
2024-10-10 10:01:17,20.06,-0.27
2024-10-10 10:01:18,19.98,-0.3
2024-10-10 10:01:19,19.92,-0.27
2024-10-10 10:01:20,19.79,-0.3
2024-10-10 10:01:21,19.67,-0.28
2024-10-10 10:01:22,19.71,-0.28
2024-10-10 10:01:23,19.64,-0.31
2024-10-10 10:01:24,19.53,-0.28
2024-10-10 10:01:25,19.53,-0.31
2024-10-10 10:01:26,19.39,-0.24
2024-10-10 10:01:27,19.58,-0.28
2024-10-10 10:01:28,19.55,-0.28
2024-10-10 10:01:29,19.48,-0.28
2024-10-10 10:01:30,19.82,-0.31
2024-10-10 10:01:31,19.73,-0.31
2024-10-10 10:01:32,19.74,-0.28
2024-10-10 10:01:33,19.82,-0.31
2024-10-10 10:01:34,19.71,-0.31
2024-10-10 10:01:35,19.9,-0.31
2024-10-10 10:01:36,20.92,-0.28
2024-10-10 10:01:37,22.31,-0.31
2024-10-10 10:01:38,23.29,-0.27
2024-10-10 10:01:39,23.18,-0.29
2024-10-10 10:01:40,23.2,-0.29
2024-10-10 10:01:41,23.27,-0.28
2024-10-10 10:01:42,23.38,-0.28
2024-10-10 10:01:43,24.31,-0.3
2024-10-10 10:01:44,24.26,-0.3
2024-10-10 10:01:45,25.1,-0.32
2024-10-10 10:01:46,26.4,-0.29
2024-10-10 10:01:47,27.26,-0.28
2024-10-10 10:01:48,28.72,-0.29
2024-10-10 10:01:49,28.39,-0.31
2024-10-10 10:01:50,28.57,-0.3
2024-10-10 10:01:51,29.03,-0.32
2024-10-10 10:01:52,29.05,-0.28
2024-10-10 10:01:53,29.04,-0.31
2024-10-10 10:01:54,28.4,-0.3
2024-10-10 10:01:55,27.84,-0.31
2024-10-10 10:01:56,27.69,-0.28
