File name: dv_menorca_n54laura_2024-10-12T10:52:14_2024-10-12T10:53:44

User: dv_menorca

Sensor: n54laura[DC:E9:E9:B8:06:28]

Dive: esquinazo
Dive date range: 2024-10-12 10:52:14 - 2024-10-12 10:53:44 (UTC +02:00)

"Location: 40.053984,4.129922"

Summary: 
Duration: 0:01:30 h.
Temp: 20.73 c (min.) 23.12 c (max.) 
Depth: -2.03 m (max.)

date,temperature(c),depth(m)
2024-10-12 10:52:14,21.82,-1.08
2024-10-12 10:52:15,21.85,-0.61
2024-10-12 10:52:16,21.85,-0.67
2024-10-12 10:52:17,21.84,-0.69
2024-10-12 10:52:18,21.85,-1.3
2024-10-12 10:52:19,21.86,-1.73
2024-10-12 10:52:20,21.85,-1.38
2024-10-12 10:52:21,21.89,-1.33
2024-10-12 10:52:22,21.89,-1.26
2024-10-12 10:52:23,21.92,-1.0
2024-10-12 10:52:24,21.87,-1.86
2024-10-12 10:52:25,21.85,-1.83
2024-10-12 10:52:26,21.86,-1.47
2024-10-12 10:52:27,21.85,-1.65
2024-10-12 10:52:28,21.85,-2.0
2024-10-12 10:52:29,21.88,-1.79
2024-10-12 10:52:30,21.86,-2.03
2024-10-12 10:52:31,21.85,-1.65
2024-10-12 10:52:32,22.02,-0.58
2024-10-12 10:52:33,21.93,-0.58
2024-10-12 10:52:34,21.92,-0.55
2024-10-12 10:52:35,21.92,-0.55
2024-10-12 10:52:36,21.96,-0.55
2024-10-12 10:52:37,21.96,-0.55
2024-10-12 10:52:38,21.92,-1.32
2024-10-12 10:52:39,21.92,-1.11
2024-10-12 10:52:40,21.9,-1.7
2024-10-12 10:52:41,21.92,-1.35
2024-10-12 10:52:42,21.89,-1.23
2024-10-12 10:52:43,21.92,-1.92
2024-10-12 10:52:44,21.93,-1.26
2024-10-12 10:52:45,22.03,-0.58
2024-10-12 10:52:46,22.01,-0.58
2024-10-12 10:52:47,21.14,-0.38
2024-10-12 10:52:48,20.73,-0.35
2024-10-12 10:52:49,21.5,-0.38
2024-10-12 10:52:50,21.88,-0.35
2024-10-12 10:52:51,21.87,-0.38
2024-10-12 10:52:52,21.94,-0.34
2024-10-12 10:52:53,22.2,-0.37
2024-10-12 10:52:54,22.54,-0.37
2024-10-12 10:52:55,22.54,-0.37
2024-10-12 10:52:56,22.7,-0.37
2024-10-12 10:52:57,22.73,-0.34
2024-10-12 10:52:58,22.79,-0.39
2024-10-12 10:52:59,22.88,-0.36
2024-10-12 10:53:00,23.03,-0.39
2024-10-12 10:53:01,22.88,-0.36
2024-10-12 10:53:02,22.83,-0.33
2024-10-12 10:53:03,22.78,-0.36
2024-10-12 10:53:04,22.67,-0.39
2024-10-12 10:53:05,22.57,-0.36
2024-10-12 10:53:06,22.42,-0.39
2024-10-12 10:53:07,22.42,-0.37
2024-10-12 10:53:08,22.26,-0.37
2024-10-12 10:53:09,22.3,-0.37
2024-10-12 10:53:10,22.32,-0.4
2024-10-12 10:53:11,22.38,-0.37
2024-10-12 10:53:12,22.48,-0.37
2024-10-12 10:53:13,22.56,-0.37
2024-10-12 10:53:14,22.61,-0.4
2024-10-12 10:53:15,22.66,-0.34
2024-10-12 10:53:16,22.7,-0.4
2024-10-12 10:53:17,22.75,-0.37
2024-10-12 10:53:18,22.8,-0.4
2024-10-12 10:53:19,22.82,-0.37
2024-10-12 10:53:20,22.85,-0.34
2024-10-12 10:53:21,22.91,-0.36
2024-10-12 10:53:22,22.93,-0.36
2024-10-12 10:53:23,22.97,-0.36
2024-10-12 10:53:24,22.96,-0.36
2024-10-12 10:53:25,22.94,-0.36
2024-10-12 10:53:26,22.87,-0.36
2024-10-12 10:53:27,22.85,-0.36
2024-10-12 10:53:28,22.85,-0.39
2024-10-12 10:53:29,22.76,-0.36
2024-10-12 10:53:30,22.68,-0.36
2024-10-12 10:53:31,22.7,-0.36
2024-10-12 10:53:32,22.78,-0.39
2024-10-12 10:53:33,22.83,-0.36
2024-10-12 10:53:34,22.87,-0.39
2024-10-12 10:53:35,22.92,-0.39
2024-10-12 10:53:36,22.97,-0.33
2024-10-12 10:53:37,22.97,-0.36
2024-10-12 10:53:38,23.03,-0.36
2024-10-12 10:53:39,23.04,-0.36
2024-10-12 10:53:40,23.07,-0.36
2024-10-12 10:53:41,23.07,-0.36
2024-10-12 10:53:42,23.09,-0.36
2024-10-12 10:53:43,23.11,-0.36
2024-10-12 10:53:44,23.12,-0.36
