File name: h2o_palamos_n52csic_2024-09-09T15:37:31_2024-09-09T18:18:18

User: h2o_palamos

Sensor: n52csic[FD:44:65:43:93:19]

Dive: morro del vedell
Dive date range: 2024-09-09 15:37:31 - 2024-09-09 18:18:18 (UTC +02:00)

"Location: 41.847557,3.139184"

Summary: 
Duration: 2:40:47 h.
Temp: 21.68 c (min.) 29.55 c (max.) 
Depth: -32.81 m (max.)

date,temperature(c),depth(m)
2024-09-09 15:37:31,24.11,-1.09
2024-09-09 15:37:32,24.14,-1.09
2024-09-09 15:37:33,24.16,-1.14
2024-09-09 15:37:34,24.2,-1.12
2024-09-09 15:37:35,24.22,-1.09
2024-09-09 15:37:36,24.22,-1.12
2024-09-09 15:37:37,24.22,-1.12
2024-09-09 15:37:38,24.23,-1.06
2024-09-09 15:37:39,24.26,-1.06
2024-09-09 15:37:40,24.25,-1.06
2024-09-09 15:37:41,24.28,-1.03
2024-09-09 15:37:42,24.28,-1.0
2024-09-09 15:37:43,24.28,-1.09
2024-09-09 15:37:44,24.28,-1.09
2024-09-09 15:37:45,24.32,-1.06
2024-09-09 15:37:46,24.3,-1.06
2024-09-09 15:37:47,24.29,-1.03
2024-09-09 15:37:48,24.32,-0.94
2024-09-09 15:37:49,24.32,-1.0
2024-09-09 15:37:50,24.31,-1.12
2024-09-09 15:37:51,24.31,-1.06
2024-09-09 15:37:52,24.32,-1.03
2024-09-09 15:37:53,24.32,-1.0
2024-09-09 15:37:54,24.34,-1.0
2024-09-09 15:37:55,24.34,-1.06
2024-09-09 15:37:56,24.32,-1.03
2024-09-09 15:37:57,24.32,-1.06
2024-09-09 15:37:58,24.32,-1.0
2024-09-09 15:37:59,24.36,-1.03
2024-09-09 15:38:00,24.35,-1.03
2024-09-09 15:38:01,24.37,-1.06
2024-09-09 15:38:02,24.37,-1.03
2024-09-09 15:38:03,24.38,-1.03
2024-09-09 15:38:04,24.37,-1.03
2024-09-09 15:38:05,24.38,-1.03
2024-09-09 15:38:06,24.39,-1.06
2024-09-09 15:38:07,24.37,-1.09
2024-09-09 15:38:08,24.37,-1.06
2024-09-09 15:38:09,24.39,-1.09
2024-09-09 15:38:10,24.39,-1.03
2024-09-09 15:38:11,24.39,-1.06
2024-09-09 15:38:12,24.4,-1.06
2024-09-09 15:38:13,24.4,-1.09
2024-09-09 15:38:14,24.4,-1.09
2024-09-09 15:38:15,24.4,-1.06
2024-09-09 15:38:16,24.4,-1.03
2024-09-09 15:38:17,24.4,-1.03
2024-09-09 15:38:18,24.4,-1.03
2024-09-09 15:38:19,24.39,-1.09
2024-09-09 15:38:20,24.43,-1.09
2024-09-09 15:38:21,24.42,-1.03
2024-09-09 15:38:22,24.41,-1.06
2024-09-09 15:38:23,24.42,-1.09
2024-09-09 15:38:24,24.43,-1.03
2024-09-09 15:38:25,24.42,-1.06
2024-09-09 15:38:26,24.42,-0.75
2024-09-09 15:38:27,24.41,-0.82
2024-09-09 15:38:28,24.42,-0.91
2024-09-09 15:38:29,24.42,-0.94
2024-09-09 15:38:30,24.43,-0.88
2024-09-09 15:38:31,24.43,-0.88
2024-09-09 15:38:32,24.43,-0.88
2024-09-09 15:38:33,24.44,-0.91
2024-09-09 15:38:34,24.45,-0.94
2024-09-09 15:38:35,24.45,-0.97
2024-09-09 15:38:36,24.44,-1.03
2024-09-09 15:38:37,24.46,-1.03
2024-09-09 15:38:38,24.46,-1.06
2024-09-09 15:38:39,24.45,-1.06
2024-09-09 15:38:40,24.47,-1.0
2024-09-09 15:38:41,24.46,-0.97
2024-09-09 15:38:42,24.48,-1.06
2024-09-09 15:38:43,24.47,-1.06
2024-09-09 15:38:44,24.45,-1.09
2024-09-09 15:38:45,24.45,-1.09
2024-09-09 15:38:46,24.47,-1.15
2024-09-09 15:38:47,24.45,-1.12
2024-09-09 15:38:48,24.49,-1.06
2024-09-09 15:38:49,24.47,-1.0
2024-09-09 15:38:50,24.49,-1.03
2024-09-09 15:38:51,24.47,-1.15
2024-09-09 15:38:52,24.47,-1.06
2024-09-09 15:38:53,24.48,-1.09
2024-09-09 15:38:54,24.48,-1.0
2024-09-09 15:38:55,24.5,-0.94
2024-09-09 15:38:56,24.5,-1.06
2024-09-09 15:38:57,24.5,-1.06
2024-09-09 15:38:58,24.5,-1.06
2024-09-09 15:38:59,24.49,-1.06
2024-09-09 15:39:00,24.5,-1.06
2024-09-09 15:39:01,24.5,-1.06
2024-09-09 15:39:02,24.51,-1.12
2024-09-09 15:39:03,24.53,-1.03
2024-09-09 15:39:04,24.51,-1.09
2024-09-09 15:39:05,24.54,-1.12
2024-09-09 15:39:06,24.53,-1.09
2024-09-09 15:39:07,24.53,-1.06
2024-09-09 15:39:08,24.53,-1.06
2024-09-09 15:39:09,24.53,-1.12
2024-09-09 15:39:10,24.54,-1.12
2024-09-09 15:39:11,24.53,-1.12
2024-09-09 15:39:12,24.54,-1.09
2024-09-09 15:39:13,24.54,-1.12
2024-09-09 15:39:14,24.53,-1.03
2024-09-09 15:39:15,24.53,-1.03
2024-09-09 15:39:16,24.55,-0.94
2024-09-09 15:39:17,24.56,-1.06
2024-09-09 15:39:18,24.56,-1.06
2024-09-09 15:39:19,24.54,-1.12
2024-09-09 15:39:20,24.56,-1.09
2024-09-09 15:39:21,24.53,-1.09
2024-09-09 15:39:22,24.53,-1.09
2024-09-09 15:39:23,24.55,-0.91
2024-09-09 15:39:24,24.55,-0.94
2024-09-09 15:39:25,24.53,-1.0
2024-09-09 15:39:26,24.56,-1.06
2024-09-09 15:39:27,24.55,-1.06
2024-09-09 15:39:28,24.56,-1.09
2024-09-09 15:39:29,24.53,-1.09
2024-09-09 15:39:30,24.53,-1.03
2024-09-09 15:39:31,24.54,-1.09
2024-09-09 15:39:32,24.53,-1.12
2024-09-09 15:39:33,24.53,-1.06
2024-09-09 15:39:34,24.54,-1.06
2024-09-09 15:39:35,24.54,-1.09
2024-09-09 15:39:36,24.55,-1.09
2024-09-09 15:39:37,24.58,-1.06
2024-09-09 15:39:38,24.56,-1.06
2024-09-09 15:39:39,24.55,-1.09
2024-09-09 15:39:40,24.55,-1.09
2024-09-09 15:39:41,24.54,-1.03
2024-09-09 15:39:42,24.56,-1.03
2024-09-09 15:39:43,24.54,-0.97
2024-09-09 15:39:44,24.55,-0.94
2024-09-09 15:39:45,24.55,-0.97
2024-09-09 15:39:46,24.56,-1.03
2024-09-09 15:39:47,24.57,-0.97
2024-09-09 15:39:48,24.56,-1.0
2024-09-09 15:39:49,24.56,-0.94
2024-09-09 15:39:50,24.55,-0.97
2024-09-09 15:39:51,24.55,-0.88
2024-09-09 15:39:52,24.55,-0.85
2024-09-09 15:39:53,24.57,-0.88
2024-09-09 15:39:54,24.57,-0.88
2024-09-09 15:39:55,24.57,-0.79
2024-09-09 15:39:56,24.55,-0.72
2024-09-09 15:39:57,24.57,-0.72
2024-09-09 15:39:58,24.56,-0.82
2024-09-09 15:39:59,24.57,-0.82
2024-09-09 15:40:00,24.56,-1.18
2024-09-09 15:40:01,24.58,-1.06
2024-09-09 15:40:02,24.54,-1.0
2024-09-09 15:40:03,24.54,-1.0
2024-09-09 15:40:04,24.54,-0.91
2024-09-09 15:40:05,24.56,-1.0
2024-09-09 15:40:06,24.57,-0.85
2024-09-09 15:40:07,24.57,-0.75
2024-09-09 15:40:08,24.56,-0.79
2024-09-09 15:40:09,24.55,-0.85
2024-09-09 15:40:10,24.56,-0.82
2024-09-09 15:40:11,24.58,-0.79
2024-09-09 15:40:12,24.54,-0.72
2024-09-09 15:40:13,24.56,-0.72
2024-09-09 15:40:14,24.57,-0.69
2024-09-09 15:40:15,24.57,-0.75
2024-09-09 15:40:16,24.58,-0.75
2024-09-09 15:40:17,24.55,-0.82
2024-09-09 15:40:18,24.57,-0.97
2024-09-09 15:40:19,24.58,-0.82
2024-09-09 15:40:20,24.58,-0.88
2024-09-09 15:40:21,24.56,-0.75
2024-09-09 15:40:22,24.59,-1.0
2024-09-09 15:40:23,24.57,-0.91
2024-09-09 15:40:24,24.57,-0.94
2024-09-09 15:40:25,24.56,-1.03
2024-09-09 15:40:26,24.58,-1.06
2024-09-09 15:40:27,24.59,-1.06
2024-09-09 15:40:28,24.58,-1.06
2024-09-09 15:40:29,24.56,-1.09
2024-09-09 15:40:30,24.55,-1.12
2024-09-09 15:40:31,24.55,-1.06
2024-09-09 15:40:32,24.55,-1.03
2024-09-09 15:40:33,24.57,-1.03
2024-09-09 15:40:34,24.56,-1.09
2024-09-09 15:40:35,24.58,-1.06
2024-09-09 15:40:36,24.57,-1.06
2024-09-09 15:40:37,24.57,-1.03
2024-09-09 15:40:38,24.55,-1.12
2024-09-09 15:40:39,24.56,-1.06
2024-09-09 15:40:40,24.57,-1.06
2024-09-09 15:40:41,24.57,-1.0
2024-09-09 15:40:42,24.55,-0.97
2024-09-09 15:40:43,24.57,-0.97
2024-09-09 15:40:44,24.55,-1.03
2024-09-09 15:40:45,24.56,-1.06
2024-09-09 15:40:46,24.55,-1.03
2024-09-09 15:40:47,24.54,-1.0
2024-09-09 15:40:48,24.55,-1.0
2024-09-09 15:40:49,24.53,-1.03
2024-09-09 15:40:50,24.55,-0.97
2024-09-09 15:40:51,24.54,-0.97
2024-09-09 15:40:52,24.57,-0.94
2024-09-09 15:40:53,24.55,-0.97
2024-09-09 15:40:54,24.55,-1.0
