File name: h2o_palamos_n52csic_2024-09-13T09:17:46_2024-09-13T11:00:16

User: h2o_palamos

Sensor: n52csic[FD:44:65:43:93:19]

Dive: LLOSA DE PALAMOS
Dive date range: 2024-09-13 09:17:46 - 2024-09-13 11:00:16 (UTC +02:00)

"Location: 41.837717,3.125528"

Summary: 
Duration: 1:42:30 h.
Temp: 14.85 c (min.) 23.85 c (max.) 
Depth: -22.9 m (max.)

date,temperature(c),depth(m)
2024-09-13 09:17:46,23.73,-2.47
2024-09-13 09:17:47,23.75,-2.59
2024-09-13 09:17:48,23.75,-2.92
2024-09-13 09:17:49,23.75,-3.1
2024-09-13 09:17:50,23.75,-3.38
2024-09-13 09:17:51,23.75,-3.62
2024-09-13 09:17:52,23.77,-3.92
2024-09-13 09:17:53,23.76,-4.07
2024-09-13 09:17:54,23.75,-4.25
2024-09-13 09:17:55,23.75,-4.41
2024-09-13 09:17:56,23.76,-4.52
2024-09-13 09:17:57,23.78,-4.61
2024-09-13 09:17:58,23.77,-4.82
2024-09-13 09:17:59,23.75,-5.13
2024-09-13 09:18:00,23.78,-5.43
2024-09-13 09:18:01,23.76,-5.7
2024-09-13 09:18:02,23.76,-5.85
2024-09-13 09:18:03,23.78,-5.95
2024-09-13 09:18:04,23.76,-6.07
2024-09-13 09:18:05,23.78,-6.1
2024-09-13 09:18:06,23.75,-6.22
2024-09-13 09:18:07,23.77,-6.28
2024-09-13 09:18:08,23.78,-6.34
2024-09-13 09:18:09,23.77,-6.42
2024-09-13 09:18:10,23.78,-6.45
2024-09-13 09:18:11,23.77,-6.49
2024-09-13 09:18:12,23.77,-6.67
2024-09-13 09:18:13,23.75,-6.79
2024-09-13 09:18:14,23.78,-6.85
2024-09-13 09:18:15,23.78,-6.88
2024-09-13 09:18:16,23.77,-7.13
2024-09-13 09:18:17,23.77,-7.34
2024-09-13 09:18:18,23.77,-7.55
2024-09-13 09:18:19,23.78,-7.73
2024-09-13 09:18:20,23.75,-7.85
2024-09-13 09:18:21,23.75,-7.97
2024-09-13 09:18:22,23.78,-8.31
2024-09-13 09:18:23,23.75,-8.48
2024-09-13 09:18:24,23.8,-8.64
2024-09-13 09:18:25,23.77,-8.82
2024-09-13 09:18:26,23.78,-8.97
2024-09-13 09:18:27,23.77,-9.16
2024-09-13 09:18:28,23.77,-9.42
2024-09-13 09:18:29,23.77,-9.64
2024-09-13 09:18:30,23.76,-9.85
2024-09-13 09:18:31,23.77,-10.1
2024-09-13 09:18:32,23.77,-10.31
2024-09-13 09:18:33,23.77,-10.54
2024-09-13 09:18:34,23.77,-10.79
2024-09-13 09:18:35,23.77,-10.91
2024-09-13 09:18:36,23.78,-11.16
2024-09-13 09:18:37,23.77,-11.39
2024-09-13 09:18:38,23.79,-11.6
2024-09-13 09:18:39,23.77,-11.73
2024-09-13 09:18:40,23.78,-11.76
2024-09-13 09:18:41,23.78,-11.88
2024-09-13 09:18:42,23.77,-12.03
2024-09-13 09:18:43,23.76,-12.36
2024-09-13 09:18:44,23.77,-12.48
2024-09-13 09:18:45,23.78,-12.54
2024-09-13 09:18:46,23.76,-12.54
2024-09-13 09:18:47,23.75,-12.6
2024-09-13 09:18:48,23.75,-12.57
2024-09-13 09:18:49,23.75,-12.67
2024-09-13 09:18:50,23.75,-12.73
2024-09-13 09:18:51,23.73,-12.91
2024-09-13 09:18:52,23.76,-13.15
2024-09-13 09:18:53,23.74,-13.37
2024-09-13 09:18:54,23.73,-13.51
2024-09-13 09:18:55,23.72,-13.54
2024-09-13 09:18:56,23.71,-13.51
2024-09-13 09:18:57,23.7,-13.46
2024-09-13 09:18:58,23.69,-13.4
2024-09-13 09:18:59,23.67,-13.37
2024-09-13 09:19:00,23.64,-13.4
2024-09-13 09:19:01,23.63,-13.54
2024-09-13 09:19:02,23.63,-13.7
2024-09-13 09:19:03,23.6,-13.82
2024-09-13 09:19:04,23.57,-13.91
2024-09-13 09:19:05,23.58,-13.88
2024-09-13 09:19:06,23.56,-13.76
2024-09-13 09:19:07,23.56,-13.7
2024-09-13 09:19:08,23.55,-13.7
2024-09-13 09:19:09,23.55,-13.64
