File name: inaki_n12inaki1_2024-07-30T09:09:34_2024-07-30T09:39:42

User: inaki

Sensor: n12inaki1[D8:52:F2:7E:F7:B9]

Dive: 30 martes emisario MT PALMA 2
Dive date range: 2024-07-30 09:09:34 - 2024-07-30 09:39:42 (UTC +02:00)

"Location: 39.552427,2.68591"

Summary: 
Duration: 0:30:08 h.
Temp: 27.47 c (min.) 32.53 c (max.) 
Depth: -14.47 m (max.)

date,temperature(c),depth(m)
2024-07-30 09:09:34,27.98,-1.17
2024-07-30 09:09:35,28.0,-1.02
2024-07-30 09:09:36,27.97,-0.96
2024-07-30 09:09:37,27.96,-1.02
2024-07-30 09:09:38,27.95,-0.96
2024-07-30 09:09:39,27.96,-0.87
2024-07-30 09:09:40,27.99,-1.11
2024-07-30 09:09:41,27.96,-1.3
2024-07-30 09:09:42,27.96,-1.26
2024-07-30 09:09:43,27.94,-0.93
2024-07-30 09:09:44,27.95,-0.47
2024-07-30 09:09:45,27.96,-0.32
2024-07-30 09:09:46,27.93,-0.35
2024-07-30 09:09:47,27.93,-0.35
2024-07-30 09:09:48,27.94,-0.35
2024-07-30 09:09:49,27.91,-0.32
2024-07-30 09:09:50,27.91,-0.35
2024-07-30 09:09:51,27.92,-0.38
2024-07-30 09:09:52,27.9,-0.31
2024-07-30 09:09:53,27.94,-0.38
2024-07-30 09:09:54,27.93,-0.41
2024-07-30 09:09:55,27.94,-0.35
2024-07-30 09:09:56,27.86,-0.56
2024-07-30 09:09:57,27.86,-0.99
2024-07-30 09:09:58,27.89,-1.12
2024-07-30 09:09:59,27.9,-1.49
2024-07-30 09:10:00,27.89,-1.99
2024-07-30 09:10:01,27.89,-2.36
2024-07-30 09:10:02,27.89,-2.26
2024-07-30 09:10:03,27.9,-2.7
2024-07-30 09:10:04,27.89,-3.22
2024-07-30 09:10:05,27.9,-3.66
2024-07-30 09:10:06,27.91,-3.84
2024-07-30 09:10:07,27.91,-3.78
2024-07-30 09:10:08,27.89,-3.97
2024-07-30 09:10:09,27.89,-4.12
2024-07-30 09:10:10,27.89,-4.06
2024-07-30 09:10:11,27.89,-4.28
2024-07-30 09:10:12,27.89,-4.41
2024-07-30 09:10:13,27.86,-4.68
2024-07-30 09:10:14,27.89,-5.05
2024-07-30 09:10:15,27.89,-5.3
2024-07-30 09:10:16,27.86,-5.49
2024-07-30 09:10:17,27.85,-5.61
2024-07-30 09:10:18,27.87,-5.95
2024-07-30 09:10:19,27.85,-6.29
2024-07-30 09:10:20,27.87,-6.6
2024-07-30 09:10:21,27.89,-6.66
2024-07-30 09:10:22,27.85,-6.87
2024-07-30 09:10:23,27.85,-7.07
2024-07-30 09:10:24,27.85,-7.31
2024-07-30 09:10:25,27.84,-7.53
